# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.372
metadata : {}


# id : NWRW1800000022.372.1.1
현실보다 더 생생한 스포츠게임 세계 게임을 하는 순간 국가대표 선수가 된다;실제 선수들의 모습·능력 그대로 반영해 몰입 높여

현실보다	현실/NNG+보다/JKB
'엑스업	'/SS+엑스업/NNP
레볼루션'은	레볼루션/NNP+'/SS+은/JX
마우스로	마우스/NNG+로/JKB
즐기는	즐기/VV+는/ETM
PC	PC/SL
온라인	온라인/NNG
탁구	탁구/NNG
게임이다.	게임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.372.17.2
마우스를 탁구채처럼 잡고 이리저리 휘두르면 화면 속 선수가 서브와 쇼트, 드라이브, 스매싱 등을 한다.

마우스를	마우스/NNG+를/JKO
탁구채처럼	탁구채/NNG+처럼/JKB
잡고	잡/VV+고/EC
이리저리	이리저리/MAG
휘두르면	휘두르/VV+면/EC
화면	화면/NNG
속	속/NNG
선수가	선수/NNG+가/JKS
서브와	서브/NNG+와/JC
쇼트,	쇼트/NNG+,/SP
드라이브,	드라이브/NNG+,/SP
스매싱	스매싱/NNG
등을	등/NNB+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.17.3
익숙해지기까지 다소 시간이 걸리지만, 곧 화려한 기술을 구사할 수 있다.

익숙해지기까지	익숙하/VA+아/EC+지/VX+기/ETN+까지/JX
다소	다소/MAG
시간이	시간/NNG+이/JKS
걸리지만,	걸리/VV+지만/EC+,/SP
곧	곧/MAG
화려한	화려하/VA+ㄴ/ETM
기술을	기술/NNG+을/JKO
구사할	구사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.18.1
다음 달 X박스360용으로 출시될 '토니 호크:라이드'는 스케이트 보드 모양의 게임 컨트롤러를 도입해 화제를 모으고 있다.

다음	다음/NNG
달	달/NNG
X박스360용으로	X박스360/NNG+용/XSN+으로/JKB
출시될	출시/NNG+되/XSV+ㄹ/ETM
'토니	'/SS+토니/NNP
호크:라이드'는	호크/NNP+:/SP+라이드/NNG+'/SS+는/JX
스케이트	스케이트/NNG
보드	보드/NNG
모양의	모양/NNG+의/JKG
게임	게임/NNG
컨트롤러를	컨트롤러/NNG+를/JKO
도입해	도입/NNG+하/XSV+아/EC
화제를	화제/NNG+를/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.372.18.2
이 컨트롤러는 G센서(방향이나 기울기, 가속도 등을 감지하는 기술)와 위치 감지 카메라를 탑재해 실제 스케이트 보드를 타는 것과 거의 비슷한 느낌을 준다.

이	이/MMD
컨트롤러는	컨트롤러/NNG+는/JX
G센서(방향이나	G/SL+센서/NNG+(/SS+방향/NNG+이나/JC
기울기,	기울기/NNG+,/SP
가속도	가속도/NNG
등을	등/NNB+을/JKO
감지하는	감지/NNG+하/XSV+는/ETM
기술)와	기술/NNG+)/SS+와/JC
위치	위치/NNG
감지	감지/NNG
카메라를	카메라/NNG+를/JKO
탑재해	탑재/NNG+하/XSV+아/EC
실제	실제/NNG
스케이트	스케이트/NNG
보드를	보드/NNG+를/JKO
타는	타/VV+는/ETM
것과	것/NNB+과/JKB
거의	거의/MAG
비슷한	비슷하/VA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.18.3
실제 지난 6월 미국에서 열린 게임 전시회 E3에서는 유명 프로 스케이트 보드 선수인 토니 호크가 직접 나와 이 컨트롤러로 자신의 고난도 점프와 회전 기술을 선보였다.

실제	실제/MAG
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
미국에서	미국/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
게임	게임/NNG
전시회	전시회/NNG
E3에서는	E/SL+3/SN+에서/JKB+는/JX
유명	유명/NNG
프로	프로/NNG
스케이트	스케이트/NNG
보드	보드/NNG
선수인	선수/NNG+이/VCP+ㄴ/ETM
토니	토니/NNP
호크가	호크/NNP+가/JKS
직접	직접/MAG
나와	나오/VV+아/EC
이	이/MMD
컨트롤러로	컨트롤러/NNG+로/JKB
자신의	자신/NNG+의/JKG
고난도	고/XPN+난도/NNG
점프와	점프/NNG+와/JC
회전	회전/NNG
기술을	기술/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.19.1
◆구단을 운영해보자

◆구단을	◆/SW+구단/NNG+을/JKO
운영해보자	운영/NNG+하/XSV+아/EC+보/VX+자/EF


# id : NWRW1800000022.372.20.1
자신이 스포츠 전문가라고 생각하는 사람은 구단 경영 체험(시뮬레이션) 게임에 도전해봐도 좋다.

자신이	자신/NNG+이/JKS
스포츠	스포츠/NNG
전문가라고	전문가/NNG+이/VCP+라고/EC
생각하는	생각/NNG+하/XSV+는/ETM
사람은	사람/NNG+은/JX
구단	구단/NNG
경영	경영/NNG
체험(시뮬레이션)	체험/NNG+(/SS+시뮬레이션/NNG+)/SS
게임에	게임/NNG+에/JKB
도전해봐도	도전/NNG+하/XSV+아/EC+보/VX+아도/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000022.372.20.2
이 게임 장르는 말 그대로 자신이 구단주나 감독이 돼서 팀을 꾸려나가는 것이다.

이	이/MMD
게임	게임/NNG
장르는	장르/NNG+는/JX
말	말/NNG
그대로	그대로/MAG
자신이	자신/NNG+이/JKS
구단주나	구단주/NNG+나/JC
감독이	감독/NNG+이/JKC
돼서	되/VV+어서/EC
팀을	팀/NNG+을/JKO
꾸려나가는	꾸리/VV+어/EC+나가/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.372.20.3
선수의 움직임을 직접 조종하지는 않지만, 상대팀에 따라 선수를 적절히 기용하고 작전을 지시해야만 승리할 수 있다.

선수의	선수/NNG+의/JKG
움직임을	움직임/NNG+을/JKO
직접	직접/MAG
조종하지는	조종/NNG+하/XSV+지/EC+는/JX
않지만,	않/VX+지만/EC+,/SP
상대팀에	상대/NNG+팀/NNG+에/JKB
따라	따르/VV+아/EC
선수를	선수/NNG+를/JKO
적절히	적절히/MAG
기용하고	기용/NNG+하/XSV+고/EC
작전을	작전/NNG+을/JKO
지시해야만	지시/NNG+하/XSV+아야/EC+만/JX
승리할	승리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.20.4
알려지지 않은 유망주를 찾고 이들과 계약을 맺는 재미도 느낄 수 있다.

알려지지	알려지/VV+지/EC
않은	않/VX+은/ETM
유망주를	유망주/NNG+를/JKO
찾고	찾/VV+고/EC
이들과	이/NP+들/XSN+과/JKB
계약을	계약/NNG+을/JKO
맺는	맺/VV+는/ETM
재미도	재미/NNG+도/JX
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.21.1
축구의 본고장인 영국에서 등장한 '풋볼매니저(FM)'는 가장 인기 있는 축구 시뮬레이션 게임이다.

축구의	축구/NNG+의/JKG
본고장인	본고장/NNG+이/VCP+ㄴ/ETM
영국에서	영국/NNP+에서/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
'풋볼매니저(FM)'는	'/SS+풋볼매니저/NNG+(/SS+FM/SL+)/SS+'/SS+는/JX
가장	가장/MAG
인기	인기/NNG
있는	있/VA+는/ETM
축구	축구/NNG
시뮬레이션	시뮬레이션/NNG
게임이다.	게임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.372.21.2
스포츠 인터렉티브가 개발한 이 게임의 역사는 벌써 17년이나 됐다.

스포츠	스포츠/NNG
인터렉티브가	인터렉티브/NNG+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
이	이/MMD
게임의	게임/NNG+의/JKG
역사는	역사/NNG+는/JX
벌써	벌써/MAG
17년이나	17/SN+년/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.21.3
당시에는 그래픽 기술이 발달하지 않아 평면적인 그림과 단순한 애니메이션으로 표현됐음에도 큰 인기를 끌었다.

당시에는	당시/NNG+에/JKB+는/JX
그래픽	그래픽/NNG
기술이	기술/NNG+이/JKS
발달하지	발달/NNG+하/XSV+지/EC
않아	않/VX+아/EC
평면적인	평면/NNG+적/XSN+이/VCP+ㄴ/ETM
그림과	그림/NNG+과/JC
단순한	단순/NNG+하/XSA+ㄴ/ETM
애니메이션으로	애니메이션/NNG+으로/JKB
표현됐음에도	표현/NNG+되/XSV+었/EP+음/ETN+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.21.4
지난해부터 3D 그래픽을 도입해 화면 표현력에서도 한 단계 올라섰다.

지난해부터	지난해/NNG+부터/JX
3D	3/SN+D/SL
그래픽을	그래픽/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
화면	화면/NNG
표현력에서도	표현력/NNG+에서/JKB+도/JX
한	한/MMN
단계	단계/NNG
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.21.5
세계적으로 수천만 명의 FM 마니아를 양산할 정도로 성공했으며, 한글화가 이루어져 우리나라에서도 즐길 수 있다.

세계적으로	세계/NNG+적/XSN+으로/JKB
수천만	수천만/NR
명의	명/NNB+의/JKG
FM	FM/SL
마니아를	마니아/NNG+를/JKO
양산할	양산/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
성공했으며,	성공/NNG+하/XSV+았/EP+으며/EC+,/SP
한글화가	한글/NNG+화/XSN+가/JKS
이루어져	이루어지/VV+어/EC
우리나라에서도	우리나라/NNG+에서/JKB+도/JX
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.22.1
야구 종목에서는 일본 세가가 개발한 '프로야구팀을 만들자'가 있다.

야구	야구/NNG
종목에서는	종목/NNG+에서/JKB+는/JX
일본	일본/NNP
세가가	세가/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
'프로야구팀을	'/SS+프로/NNG+야구팀/NNG+을/JKO
만들자'가	만들/VV+자/EF+'/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.22.2
게이머는 프로야구팀의 구단주로서 선수들의 계약과 육성, 은퇴까지 모든 것을 관리할 수 있다.

게이머는	게이머/NNG+는/JX
프로야구팀의	프로/NNG+야구팀/NNG+의/JKG
구단주로서	구단주/NNG+로서/JKB
선수들의	선수/NNG+들/XSN+의/JKG
계약과	계약/NNG+과/JC
육성,	육성/NNG+,/SP
은퇴까지	은퇴/NNG+까지/JX
모든	모든/MMN
것을	것/NNB+을/JKO
관리할	관리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.22.3
한국의 엔트리브소프트가 온라인 게임으로 개발할 예정이다.

한국의	한국/NNP+의/JKG
엔트리브소프트가	엔트리브소프트/NNP+가/JKS
온라인	온라인/NNG
게임으로	게임/NNG+으로/JKB
개발할	개발/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


