# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.382
metadata : {}


# id : NWRW1800000021.382.1.1
[김화성 전문기자의 아하, 이맛!]청국장

[김화성	[/SS+김화성/NNP
‘영덕식당 아주머니가/청국장 백반을 이고 온다/신문지 한가운데 둥근 투가리에서/김이 폴폴 오르고, 그걸 맛보겠다고/하느님이 눈발이 되어 뛰어내린다/하느님도 무게가 제법인지/아주머니도 허리를 펴고 멈춰 선다/여관 신축공사장 삼층으로 오르면/눈발 하느님은 국물도 없을 것이다’ <이정록의 ‘청국장’에서>

‘영덕식당	‘/SS+영덕식당/NNP
아주머니가/청국장	아주머니/NNG+가/JKS+//SP+청국장/NNG
백반을	백반/NNG+을/JKO
이고	이/VV+고/EC
온다/신문지	오/VV+ㄴ다/EF+//SP+신문지/NNG
한가운데	한/XPN+가운데/NNG
둥근	둥글/VA+ㄴ/ETM
투가리에서/김이	투가리/NNG+에서/JKB+//SP+김/NNG+이/JKS
폴폴	폴폴/MAG
오르고,	오르/VV+고/EC+,/SP
그걸	그거/NP+ㄹ/JKO
맛보겠다고/하느님이	맛보/VV+겠/EP+다고/EC+//SP+하느님/NNG+이/JKS
눈발이	눈발/NNG+이/JKC
되어	되/VV+어/EC
뛰어내린다/하느님도	뛰어내리/VV+ㄴ다/EF+//SP+하느님/NNG+도/JX
무게가	무게/NNG+가/JKS
제법인지/아주머니도	제법/MAG+이/VCP+ㄴ지/EC+//SP+아주머니/NNG+도/JX
허리를	허리/NNG+를/JKO
펴고	펴/VV+고/EC
멈춰	멈추/VV+어/EC
선다/여관	서/VV+ㄴ다/EF+//SP+여관/NNG
신축공사장	신축/NNG+공사장/NNG
삼층으로	삼/NR+층/NNG+으로/JKB
오르면/눈발	오르/VV+면/EC+//SP+눈발/NNG
하느님은	하느님/NNG+은/JX
국물도	국물/NNG+도/JX
없을	없/VA+을/ETM
것이다’	것/NNB+이/VCP+다/EF+’/SS
<이정록의	</SS+이정록/NNP+의/JKG
‘청국장’에서>	‘/SS+청국장/NNG+’/SS+에서/JKB+>/SS


# id : NWRW1800000021.382.14.1
청국장은 끓인 것보다 날로 먹는 게 가장 좋다.

청국장은	청국장/NNG+은/JX
끓인	끓이/VV+ㄴ/ETM
것보다	것/NNB+보다/JKB
날로	날로/MAG
먹는	먹/VV+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000021.382.14.2
변비에 으뜸이다.

변비에	변비/NNG+에/JKB
으뜸이다.	으뜸/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.14.3
생청국장은 영양분도 전혀 파괴되지 않는다.

생청국장은	생/XPN+청국장/NNG+은/JX
영양분도	영양분/NNG+도/JX
전혀	전혀/MAG
파괴되지	파괴/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.382.14.4
하지만 비위 약한 사람은 먹기 힘들다.

하지만	하지만/MAJ
비위	비위/NNG
약한	약하/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
먹기	먹/VV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000021.382.14.5
그래서 나온 게 말린 청국장이다.

그래서	그래서/MAJ
나온	나오/VV+ㄴ/ETM
게	거/NNB+이/JKS
말린	말리/VV+ㄴ/ETM
청국장이다.	청국장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.14.6
이것은 심심할 때 주전부리처럼 집어 먹으면 된다.

이것은	이것/NP+은/JX
심심할	심심하/VA+ㄹ/ETM
때	때/NNG
주전부리처럼	주전부리/NNG+처럼/JKB
집어	집/VV+어/EC
먹으면	먹/VV+으면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.14.7
요구르트나 우유에 타먹을 수 있는 가루 청국장도 나왔다.

요구르트나	요구르트/NNG+나/JC
우유에	우유/NNG+에/JKB
타먹을	타/VV+아/EC+먹/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
가루	가루/NNG
청국장도	청국장/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.382.14.8
요즘은 ‘냄새 없는 청국장’이 새로운 추세다.

요즘은	요즘/NNG+은/JX
‘냄새	‘/SS+냄새/NNG
없는	없/VA+는/ETM
청국장’이	청국장/NNG+’/SS+이/JKS
새로운	새롭/VA+ㄴ/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.14.9
밥집들마다 저마다의 비법으로 청국장 냄새를 지운다.

밥집들마다	밥집/NNG+들/XSN+마다/JX
저마다의	저마다/NNG+의/JKG
비법으로	비법/NNG+으로/JKB
청국장	청국장/NNG
냄새를	냄새/NNG+를/JKO
지운다.	지우/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.15.1
청국장은 다른 맛을 다 품에 안지만 그렇다고 제맛을 잃지 않는다.

청국장은	청국장/NNG+은/JX
다른	다른/MMD
맛을	맛/NNG+을/JKO
다	다/MAG
품에	품/NNG+에/JKB
안지만	안/VV+지만/EC
그렇다고	그렇/VA+다고/EC
제맛을	제맛/NNG+을/JKO
잃지	잃/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.382.15.2
모든 강물을 다 품지만 짠맛을 잃지 않는 바닷물과 같다.

모든	모든/MMN
강물을	강물/NNG+을/JKO
다	다/MAG
품지만	품/VV+지만/EC
짠맛을	짠맛/NNG+을/JKO
잃지	잃/VV+지/EC
않는	않/VX+는/ETM
바닷물과	바닷물/NNG+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000021.382.15.3
아무리 강한 맛도 청국장과 어우러지면 부드러워진다.

아무리	아무리/MAG
강한	강하/VA+ㄴ/ETM
맛도	맛/NNG+도/JX
청국장과	청국장/NNG+과/JKB
어우러지면	어우러지/VV+면/EC
부드러워진다.	부드럽/VA+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.382.15.4
혀끝이 얼얼하도록 매운맛은 칼칼해지고, 소태처럼 짠맛은 간간해진다.

혀끝이	혀끝/NNG+이/JKS
얼얼하도록	얼얼하/VA+도록/EC
매운맛은	매운맛/NNG+은/JX
칼칼해지고,	칼칼하/VA+아/EC+지/VX+고/EC+,/SP
소태처럼	소태/NNG+처럼/JKB
짠맛은	짠맛/NNG+은/JX
간간해진다.	간간하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.382.15.5
느끼한 것들은 한결 담백해진다.

느끼한	느끼하/VA+ㄴ/ETM
것들은	것/NNB+들/XSN+은/JX
한결	한결/MAG
담백해진다.	담백하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.382.15.6
바글바글 자글자글 뽀글뽀글 끓다 보면 뼈와 살이 모두 녹아 둥글고 그윽해진다.

바글바글	바글바글/MAG
자글자글	자글자글/MAG
뽀글뽀글	뽀글뽀글/MAG
끓다	끓/VV+다/EC
보면	보/VX+면/EC
뼈와	뼈/NNG+와/JC
살이	살/NNG+이/JKS
모두	모두/MAG
녹아	녹/VV+아/EC
둥글고	둥글/VA+고/EC
그윽해진다.	그윽하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.382.16.1
‘나도/언제쯤이면/다 풀어져/흔적도 없이 흐르고 흐르다가/그대 상처 깊은 그곳까지/온몸으로 스밀/죽, 한 사발 되랴’ <박규리의 ‘죽 한 사발’에서>

‘나도/언제쯤이면/다	‘/SS+나/NP+도/JX+//SP+언제/NP+쯤/XSN+이/VCP+면/EC+//SP+다/MAG
풀어져/흔적도	풀어지/VV+어/EC+//SP+흔적/NNG+도/JX
없이	없이/MAG
흐르고	흐르/VV+고/EC
흐르다가/그대	흐르/VV+다가/EC+//SP+그대/NP
상처	상처/NNG
깊은	깊/VA+은/ETM
그곳까지/온몸으로	그곳/NP+까지/JX+//SP+온몸/NNG+으로/JKB
스밀/죽,	스미/VV+ㄹ/ETM+//SP+죽/NNG+,/SP
한	한/MMN
사발	사발/NNG
되랴’	되/VV+랴/EF+’/SS
<박규리의	</SS+박규리/NNP+의/JKG
‘죽	‘/SS+죽/NNG
사발’에서>	사발/NNG+’/SS+에서/JKB+>/SS


