# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.419
metadata : {}


# id : NWRW1800000021.419.1.1
■“盧 전대통령 진술에 큰 기대 말라”… 전두환-노태우 수사팀 조언

■“盧	■/SW+“/SS+盧/SH
# id : NWRW1800000021.419.17.1
노 전 대통령 측도 검찰 수사에 대비한 막바지 점검에 들어갔다.

노	노/NNP
전	전/MMD
대통령	대통령/NNG
측도	측/NNB+도/JX
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
막바지	막바지/NNG
점검에	점검/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.17.2
문재인 전 대통령비서실장을 비롯한 변호인들은 노 전 대통령과 전화 통화로 대응 논리와 반박 증거를 정리 중인 것으로 알려졌다.

문재인	문재인/NNP
전	전/MMD
대통령비서실장을	대통령/NNG+비서실장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
변호인들은	변호인/NNG+들/XSN+은/JX
노	노/NNP
대통령과	대통령/NNG+과/JKB
전화	전화/NNG
통화로	통화/NNG+로/JKB
대응	대응/NNG
논리와	논리/NNG+와/JC
반박	반박/NNG
증거를	증거/NNG+를/JKO
정리	정리/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.419.17.3
노 전 대통령 측 김경수 비서관은 “차량룀로 이동하는 것만 확정했을 뿐 이동경로 등은 경호팀과 협의 중”이라고 말했다.

노	노/NNP
전	전/MMD
대통령	대통령/NNG
측	측/NNB
김경수	김경수/NNP
비서관은	비서관/NNG+은/JX
“차량룀로	“/SS+차량/NNG+룀/NA+로/JKB
이동하는	이동/NNG+하/XSV+는/ETM
것만	것/NNB+만/JX
확정했을	확정/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
이동경로	이동/NNG+경로/NNG
등은	등/NNB+은/JX
경호팀과	경호/NNG+팀/NNG+과/JKB
협의	협의/NNG
중”이라고	중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.18.1
이런 가운데 봉하마을 주민 40여 명은 이날 오전 마을광장 앞에서 노 전 대통령 소환조사를 규탄하는 집회를 열었다.

이런	이런/MMD
가운데	가운데/NNG
봉하마을	봉하마을/NNP
주민	주민/NNG
40여	40/SN+여/XSN
명은	명/NNB+은/JX
이날	이날/NNG
오전	오전/NNG
마을광장	마을/NNG+광장/NNG
앞에서	앞/NNG+에서/JKB
노	노/NNP
전	전/MMD
대통령	대통령/NNG
소환조사를	소환/NNG+조사/NNG+를/JKO
규탄하는	규탄/NNG+하/XSV+는/ETM
집회를	집회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


