# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.352
metadata : {}


# id : NWRW1800000026.352.1.1
[더 나은 미래] 난민 신청자, 법 지키고 굶어 죽든지… 법 어기고 살든지;UN난민협약 60주년 앞둔 한국의 난민보호 실태 김구 선생·김대중 前대통령 망명도

[더	[/SS+더/MAG
금지의	금지/NNG+의/JKG
원칙의	원칙/NNG+의/JKG
예외를	예외/NNG+를/JKO
없애고,	없애/VV+고/EC+,/SP
공항	공항/NNG
및	및/MAG
항만	항만/NNG
등에서의	등/NNB+에서/JKB+의/JKG
난민	난민/NNG
인정	인정/NNG
신청절차를	신청/NNG+절차/NNG+를/JKO
명문화해	명문/NNG+화/XSN+하/XSV+아/EC
원칙	원칙/NNG
없이	없이/MAG
인정이	인정/NNG+이/JKS
거부되는	거부/NNG+되/XSV+는/ETM
상황을	상황/NNG+을/JKO
방지하도록	방지/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.352.10.3
유엔난민기구 앤 메리 캠벨(Anne Mary Campbell) 한국대표는 "독립적인 난민법이 통과되면 출입국관리법 등으로 박해의 위협 때문에 본국으로 돌아갈 수 없는 난민들과 다른 이주민을 같은 범주로 다루는 것을 막을 수 있어 한국의 난민보호가 한걸음 진전될 것"이라고 말했다.

유엔난민기구	유엔난민기구/NNP
앤	앤/NNP
메리	메리/NNP
캠벨(Anne	캠벨/NNP+(/SS+Anne/SL
Mary	Mary/SL
Campbell)	Campbell/SL+)/SS
한국대표는	한국/NNP+대표/NNG+는/JX
"독립적인	"/SS+독립/NNG+적/XSN+이/VCP+ㄴ/ETM
난민법이	난민법/NNG+이/JKS
통과되면	통과/NNG+되/XSV+면/EC
출입국관리법	출입국/NNG+관리법/NNG
등으로	등/NNB+으로/JKB
박해의	박해/NNG+의/JKG
위협	위협/NNG
때문에	때문/NNB+에/JKB
본국으로	본국/NNG+으로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
난민들과	난민/NNG+들/XSN+과/JC
다른	다른/MMD
이주민을	이주민/NNG+을/JKO
같은	같/VA+은/ETM
범주로	범주/NNG+로/JKB
다루는	다루/VV+는/ETM
것을	것/NNB+을/JKO
막을	막/VV+을/ETM
있어	있/VA+어/EC
한국의	한국/NNP+의/JKG
난민보호가	난민/NNG+보호/NNG+가/JKS
한걸음	한걸음/NNG
진전될	진전/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.352.11.1
2차 세계대전 때문에 국경을 넘었던 숱한 사람들을 보호하기 위해 난민협약이 만들어진 지 60년.

2차	2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
때문에	때문/NNB+에/JKB
국경을	국경/NNG+을/JKO
넘었던	넘/VV+었/EP+던/ETM
숱한	숱하/VA+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
난민협약이	난민/NNG+협약/NNG+이/JKS
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
지	지/NNB
60년.	60/SN+년/NNB+./SF


# id : NWRW1800000026.352.11.2
지난해 말 집계된 종교·인종 차별 등으로 생긴 전 세계 난민 수(4330만명)는 협약제정 당시(2100만명)의 두 배가 넘는다.

지난해	지난해/NNG
말	말/NNB
집계된	집계/NNG+되/XSV+ㄴ/ETM
종교·인종	종교/NNG+·/SP+인종/NNG
차별	차별/NNG
등으로	등/NNB+으로/JKB
생긴	생기/VV+ㄴ/ETM
전	전/MMN
세계	세계/NNG
난민	난민/NNG
수(4330만명)는	수/NNG+(/SS+4330/SN+만/NR+명/NNB+)/SS+는/JX
협약제정	협약/NNG+제정/NNG
당시(2100만명)의	당시/NNG+(/SS+2100/SN+만/NR+명/NNB+)/SS+의/JKG
두	두/MMN
배가	배/NNG+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000026.352.11.3
일제 식민통치와 6·25전쟁, 독재와 민주화 운동을 경험했던 우리나라 역시 최근까지 난민을 내보내는 나라였다.

일제	일제/NNG
식민통치와	식민/NNG+통치/NNG+와/JC
6·25전쟁,	6/SN+·/SP+25/SN+전쟁/NNG+,/SP
독재와	독재/NNG+와/JC
민주화	민주/NNG+화/XSN
운동을	운동/NNG+을/JKO
경험했던	경험/NNG+하/XSV+았/EP+던/ETM
우리나라	우리나라/NNG
역시	역시/MAG
최근까지	최근/NNG+까지/JX
난민을	난민/NNG+을/JKO
내보내는	내보내/VV+는/ETM
나라였다.	나라/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.352.11.4
이승만 대통령과 백범 김구 선생, 김대중 대통령의 망명 경험도 현대적 개념의 '난민'에 속한다고 할 수 있다.

이승만	이승만/NNP
대통령과	대통령/NNG+과/JC
백범	백범/NNP
김구	김구/NNP
선생,	선생/NNG+,/SP
김대중	김대중/NNP
대통령의	대통령/NNG+의/JKG
망명	망명/NNG
경험도	경험/NNG+도/JX
현대적	현대/NNG+적/XSN
개념의	개념/NNG+의/JKG
'난민'에	'/SS+난민/NNG+'/SS+에/JKB
속한다고	속하/VV+ㄴ다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.352.11.5
최성근 팀장은 "한국도 이제 국제법에 따라 난민들을 좀 더 열린 마음으로 바라볼 때가 됐다"고 말했다.

최성근	최성근/NNP
팀장은	팀장/NNG+은/JX
"한국도	"/SS+한국/NNP+도/JX
이제	이제/MAG
국제법에	국제법/NNG+에/JKB
따라	따르/VV+아/EC
난민들을	난민/NNG+들/XSN+을/JKO
좀	좀/MAG
더	더/MAG
열린	열리/VV+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
바라볼	바라보/VV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.352.12.1
※한국의 난민신청자들을 후원할 분들은 피난처(02-871-5382, www.pnan.org)나 난민인권센터(02-712-0620, www.nancen.org)로 연락하면 됩니다.

※한국의	※/SW+한국/NNP+의/JKG
난민신청자들을	난민/NNG+신청자/NNG+들/XSN+을/JKO
후원할	후원/NNG+하/XSV+ㄹ/ETM
분들은	분/NNB+들/XSN+은/JX
피난처(02-871-5382,	피난처/NNG+(/SS+02/SN+-/SO+871/SN+-/SO+5382/SN+,/SP
www.pnan.org)나	www/SL+./SP+pnan/SL+./SP+org/SL+)/SS+나/JC
난민인권센터(02-712-0620,	난민/NNG+인권/NNG+센터/NNG+(/SS+02/SN+-/SO+712/SN+-/SO+0620/SN+,/SP
www.nancen.org)로	www/SL+./SP+nancen/SL+./SP+org/SL+)/SS+로/JKB
연락하면	연락/NNG+하/XSV+면/EC
됩니다.	되/VV+ㅂ니다/EF+./SF


