# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.121
metadata : {}


# id : NWRW1800000026.121.1.1
[Why?가 간다] 요코하마 오삼바시;숨가빴던 일본의 근대를 만나다

[Why?가	[/SS+Why/SL+?/SF+가/JKS
따라	따르/VV+아/EC
있는	있/VX+는/ETM
야마시타(山下)공원은	야마시타/NNP+(/SS+山下/SH+)/SS+공원/NNG+은/JX
1930년에	1930/SN+년/NNB+에/JKB
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.121.23.2
이 공원은 간토 대지진의 복구 작업 중 하나로 만들어졌는데, 지진으로 생긴 자갈이나 기와를 매립해 만든 공원이다.

이	이/MMD
공원은	공원/NNG+은/JX
간토	간토/NNP
대지진의	대/XPN+지진/NNG+의/JKG
복구	복구/NNG
작업	작업/NNG
중	중/NNB
하나로	하나/NR+로/JKB
만들어졌는데,	만들/VV+어/EC+지/VX+었/EP+는데/EC+,/SP
지진으로	지진/NNG+으로/JKB
생긴	생기/VV+ㄴ/ETM
자갈이나	자갈/NNG+이나/JC
기와를	기와/NNG+를/JKO
매립해	매립/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
공원이다.	공원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.23.3
지금은 아름드리 나무가 펼쳐져 있는 단순한 공원처럼 보이지만 속 사정은 따로 있는 것이다.

지금은	지금/NNG+은/JX
아름드리	아름드리/NNG
나무가	나무/NNG+가/JKS
펼쳐져	펼쳐지/VV+어/EC
있는	있/VA+는/ETM
단순한	단순/NNG+하/XSA+ㄴ/ETM
공원처럼	공원/NNG+처럼/JKB
보이지만	보이/VV+지만/EC
속	속/NNG
사정은	사정/NNG+은/JX
따로	따로/MAG
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.24.1
야마시타 공원을 벗어나면 상당히 큰 규모의 차이나타운인 추카가이(中華街)가 있다.

야마시타	야마시타/NNP
공원을	공원/NNG+을/JKO
벗어나면	벗어나/VV+면/EC
상당히	상당히/MAG
큰	크/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
차이나타운인	차이나타운/NNG+이/VCP+ㄴ/ETM
추카가이(中華街)가	추카가이/NNP+(/SS+中華街/SH+)/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.121.24.2
먹을거리가 풍부해 필수 관광 코스로 꼽힌다.

먹을거리가	먹을거리/NNG+가/JKS
풍부해	풍부하/VA+아/EC
필수	필수/NNG
관광	관광/NNG
코스로	코스/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.24.3
화려하다고는 볼 수 없는 한국 인천의 차이나타운과는 전혀 다르게 엄청나게 화려한 위용을 자랑한다.

화려하다고는	화려하/VA+다고/EC+는/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
한국	한국/NNP
인천의	인천/NNP+의/JKG
차이나타운과는	차이나타운/NNG+과/JKB+는/JX
전혀	전혀/MAG
다르게	다르/VA+게/EC
엄청나게	엄청나/VA+게/EC
화려한	화려하/VA+ㄴ/ETM
위용을	위용/NNG+을/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.24.4
중국인 특유의 빨간색이 눈에 띈다.

중국인	중국인/NNG
특유의	특유/NNG+의/JKG
빨간색이	빨간색/NNG+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.25.1
미나토미라이는 일본의 현대식 건물을 볼 수 있는 지역이다.

미나토미라이는	미나토미라이/NNP+는/JX
일본의	일본/NNP+의/JKG
현대식	현대식/NNG
건물을	건물/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.25.2
중심부에는 높이 296m의 요코하마랜드마크 타워가 있다.

중심부에는	중심부/NNG+에/JKB+는/JX
높이	높이/NNG
296m의	296/SN+m/SW+의/JKG
요코하마랜드마크	요코하마/NNP+랜드마크/NNG
타워가	타워/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.121.25.3
현재 일본에서 가장 높은 건물이다.

현재	현재/MAG
일본에서	일본/NNP+에서/JKB
가장	가장/MAG
높은	높/VA+은/ETM
건물이다.	건물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.25.4
70층이 있는데 69층에는 스카이가든이라는 전망대가 있다.

70층이	70/SN+층/NNG+이/JKS
있는데	있/VA+는데/EC
69층에는	69/SN+층/NNG+에/JKB+는/JX
스카이가든이라는	스카이/NNG+가든/NNG+이/VCP+라는/ETM
전망대가	전망대/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.121.26.1
시내에서 약간 남동쪽으로 벗어나면 미나토노미에루오카(港の見える丘)공원이 있다.

시내에서	시내/NNG+에서/JKB
약간	약간/MAG
남동쪽으로	남동쪽/NNG+으로/JKB
벗어나면	벗어나/VV+면/EC
미나토노미에루오카(港の見える丘)공원이	미나토노미에루오카/NNP+(/SS+港/SH+の/SL+見/SH+える/SL+丘/SH+)/SS+공원/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.121.26.2
이 공원은 원래 요코하마 개항 시기 즈음에는 영국군과 프랑스군이 주둔했었고, 일본의 패전 이후에는 미국군이 주둔했던 곳이다.

이	이/MMD
공원은	공원/NNG+은/JX
원래	원래/MAG
요코하마	요코하마/NNP
개항	개항/NNG
시기	시기/NNG
즈음에는	즈음/NNB+에/JKB+는/JX
영국군과	영국군/NNG+과/JC
프랑스군이	프랑스군/NNG+이/JKS
주둔했었고,	주둔/NNG+하/XSV+았었/EP+고/EC+,/SP
일본의	일본/NNP+의/JKG
패전	패전/NNG
이후에는	이후/NNG+에/JKB+는/JX
미국군이	미국군/NNG+이/JKS
주둔했던	주둔/NNG+하/XSV+았/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.26.3
바다쪽이 훤히 잘 보이는 시원한 풍광을 즐길 수 있다.

바다쪽이	바다/NNG+쪽/NNB+이/JKS
훤히	훤히/MAG
잘	잘/MAG
보이는	보이/VV+는/ETM
시원한	시원하/VA+ㄴ/ETM
풍광을	풍광/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.121.27.1
오삼바시가 관광객에게 인기 있는 이유는 풍경과 역사 말고도 또 있다.

오삼바시가	오삼바시/NNP+가/JKS
관광객에게	관광객/NNG+에게/JKB
인기	인기/NNG
있는	있/VA+는/ETM
이유는	이유/NNG+는/JX
풍경과	풍경/NNG+과/JC
역사	역사/NNG
말고도	말/VV+고/EC+도/JX
또	또/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.121.27.2
쇼핑과 각종 공연이다.

쇼핑과	쇼핑/NNG+과/JC
각종	각종/NNG
공연이다.	공연/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.27.3
미나토미라이에 크고 작은 쇼핑센터들이 들어서 있다.

미나토미라이에	미나토미라이/NNP+에/JKB
크고	크/VA+고/EC
작은	작/VA+은/ETM
쇼핑센터들이	쇼핑센터/NNG+들/XSN+이/JKS
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.121.27.4
1910년대에 만들어진 창고인 요코하마아카렌가소코(橫浜赤レンガ倉庫)가 보존돼 있는데, 지금은 전시장과 상점이 들어서 있다.

1910년대에	1910/SN+년대/NNB+에/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
창고인	창고/NNG+이/VCP+ㄴ/ETM
요코하마아카렌가소코(橫浜赤レンガ倉庫)가	요코하마아카렌가소코/NNP+(/SS+橫浜赤/SH+レンガ/SL+倉庫/SH+)/SS+가/JKS
보존돼	보존/NNG+되/XSV+어/EC
있는데,	있/VX+는데/EC+,/SP
지금은	지금/NNG+은/JX
전시장과	전시장/NNG+과/JC
상점이	상점/NNG+이/JKS
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


