# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.5
metadata : {}


# id : NWRW1800000022.5.1.1
[우리 대학 비전을 말한다] 전주대학교 이남식 총장; "학생 스스로 100% 만족하는 대학으로"

[우리	[/SS+우리/NP
교직원들에게	교직원/NNG+들/XSN+에게/JKB
짧은	짧/VA+은/ETM
동영상을	동영상/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.5.21.2
동영상의 내용은 한 학생의 이야기를 통해 학생들이 학교에 바라는 것들이 무엇인지를 담은 것이었다.

동영상의	동영상/NNG+의/JKG
내용은	내용/NNG+은/JX
한	한/MMN
학생의	학생/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
통해	통하/VV+아/EC
학생들이	학생/NNG+들/XSN+이/JKS
학교에	학교/NNG+에/JKB
바라는	바라/VV+는/ETM
것들이	것/NNB+들/XSN+이/JKS
무엇인지를	무엇/NP+이/VCP+ㄴ지/EF+를/JKO
담은	담/VV+은/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.5.21.3
정체돼 있고, 수동적인 자세가 아니라 보다 적극적이고 진취적인 모습으로 학교 업무를 하고, 학생들을 가르치라는 메시지를 전달하기 위해서였다.

정체돼	정체/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
수동적인	수동/NNG+적/XSN+이/VCP+ㄴ/ETM
자세가	자세/NNG+가/JKC
아니라	아니/VCN+라/EC
보다	보다/MAG
적극적이고	적극/NNG+적/XSN+이/VCP+고/EC
진취적인	진취/NNG+적/XSN+이/VCP+ㄴ/ETM
모습으로	모습/NNG+으로/JKB
학교	학교/NNG
업무를	업무/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
학생들을	학생/NNG+들/XSN+을/JKO
가르치라는	가르치/VV+라는/ETM
메시지를	메시지/NNG+를/JKO
전달하기	전달/NNG+하/XSV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.5.21.4
특히 교수의 경우 전체 근무시간의 10%를 직접 학생들을 만나는 시간으로 활용하도록 했다.

특히	특히/MAG
교수의	교수/NNG+의/JKG
경우	경우/NNG
전체	전체/NNG
근무시간의	근무/NNG+시간/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
직접	직접/MAG
학생들을	학생/NNG+들/XSN+을/JKO
만나는	만나/VV+는/ETM
시간으로	시간/NNG+으로/JKB
활용하도록	활용/NNG+하/XSV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.22.1
또 대학내 건물 전체에 디자인이라는 개념을 도입, 우중충한 느낌의 정문을 산뜻한 디자인으로 다시 만들었고 각 건물들을 현대식으로 리모델링했다.

또	또/MAG
대학내	대학/NNG+내/NNB
건물	건물/NNG
전체에	전체/NNG+에/JKB
디자인이라는	디자인/NNG+이/VCP+라는/ETM
개념을	개념/NNG+을/JKO
도입,	도입/NNG+,/SP
우중충한	우중충/MAG+하/XSA+ㄴ/ETM
느낌의	느낌/NNG+의/JKG
정문을	정문/NNG+을/JKO
산뜻한	산뜻/MAG+하/XSA+ㄴ/ETM
디자인으로	디자인/NNG+으로/JKB
다시	다시/MAG
만들었고	만들/VV+었/EP+고/EC
각	각/MMD
건물들을	건물/NNG+들/XSN+을/JKO
현대식으로	현대식/NNG+으로/JKB
리모델링했다.	리모델링/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.23.1
교육혁신은 곧바로 취업률과 이어진다.

교육혁신은	교육/NNG+혁신/NNG+은/JX
곧바로	곧바로/MAG
취업률과	취업/NNG+률/XSN+과/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.23.2
2007년 취업률은 84.4%로 전국 대학들 가운데 1위를, 지난해는 84.7%로 2위를 차지했다.

2007년	2007/SN+년/NNB
취업률은	취업/NNG+률/XSN+은/JX
84.4%로	84/SN+./SP+4/SN+%/SW+로/JKB
전국	전국/NNG
대학들	대학/NNG+들/XSN
가운데	가운데/NNG
1위를,	1/SN+위/NNB+를/JKO+,/SP
지난해는	지난해/NNG+는/JX
84.7%로	84/SN+./SP+7/SN+%/SW+로/JKB
2위를	2/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.24.1
"현대 사회는 단순히 '잘한다' 정도로는 성공할 수 없습니다.

"현대	"/SS+현대/NNG
사회는	사회/NNG+는/JX
단순히	단순히/MAG
'잘한다'	'/SS+잘/MAG+하/XSV+ㄴ다/EF+'/SS
정도로는	정도/NNG+로/JKB+는/JX
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000022.5.24.2
누가 보더라도 인정할 수밖에 없는 '신화'가 필요합니다.

누가	누구/NP+가/JKS
보더라도	보/VV+더라도/EC
인정할	인정/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
'신화'가	'/SS+신화/NNG+'/SS+가/JKS
필요합니다.	필요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000022.5.24.3
신화를 이뤄내기 위해서는 무엇보다 내부 구성원의 인식이 전환돼야 하고, 변화를 뒷받침해줄 수 있는 하드웨어도 필수적입니다.

신화를	신화/NNG+를/JKO
이뤄내기	이루/VV+어/EC+내/VX+기/ETN
위해서는	위하/VV+아서/EC+는/JX
무엇보다	무엇/NP+보다/JKB
내부	내부/NNG
구성원의	구성원/NNG+의/JKG
인식이	인식/NNG+이/JKS
전환돼야	전환/NNG+되/XSV+어야/EC
하고,	하/VX+고/EC+,/SP
변화를	변화/NNG+를/JKO
뒷받침해줄	뒷받침/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
하드웨어도	하드웨어/NNG+도/JX
필수적입니다.	필수/NNG+적/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.5.24.4
전주대는 이를 위해 모든 것을 하나씩 혁신적으로 바꿔나가고 있습니다.

전주대는	전주대/NNP+는/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
모든	모든/MMN
것을	것/NNB+을/JKO
하나씩	하나/NR+씩/XSN
혁신적으로	혁신/NNG+적/XSN+으로/JKB
바꿔나가고	바꾸/VV+어/EC+나가/VX+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.5.24.5
변화의 방향은 인재육성입니다.

변화의	변화/NNG+의/JKG
방향은	방향/NNG+은/JX
인재육성입니다.	인재/NNG+육성/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.5.24.6
전주대 최고의 가치가 바로 학생의 발전이기 때문입니다.

전주대	전주대/NNP
최고의	최고/NNG+의/JKG
가치가	가치/NNG+가/JKS
바로	바로/MAG
학생의	학생/NNG+의/JKG
발전이기	발전/NNG+이/VCP+기/ETN
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.5.24.7
변화와 혁신으로 전주대에서 최고의 인재로 거듭나길 바랍니다."

변화와	변화/NNG+와/JC
혁신으로	혁신/NNG+으로/JKB
전주대에서	전주대/NNP+에서/JKB
최고의	최고/NNG+의/JKG
인재로	인재/NNG+로/JKB
거듭나길	거듭나/VV+기/ETN+ㄹ/JKO
바랍니다."	바라/VV+ㅂ니다/EF+./SF+"/SS


