# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.222
metadata : {}


# id : NWRW1800000021.222.1.1
[Weekend/서영수 전문기자의 사진 이야기]포토샵, 양심까지 ‘뽀샵’해서야

[Weekend/서영수	[/SS+Weekend/SL+//SP+서영수/NNP
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.222.14.3
일반인도 연예인 누드사진 조작에서 보듯이 대중을 속이거나 특정인의 명예까지 훼손하는 범죄를 저지르면 재발방지를 위해서라도 윤리적 책임을 넘어 법적 책임까지 물어야 할 때가 되었다.

일반인도	일반인/NNG+도/JX
연예인	연예인/NNG
누드사진	누드/NNG+사진/NNG
조작에서	조작/NNG+에서/JKB
보듯이	보/VV+듯이/EC
대중을	대중/NNG+을/JKO
속이거나	속이/VV+거나/EC
특정인의	특정인/NNG+의/JKG
명예까지	명예/NNG+까지/JX
훼손하는	훼손/NNG+하/XSV+는/ETM
범죄를	범죄/NNG+를/JKO
저지르면	저지르/VV+면/EC
재발방지를	재발/NNG+방지/NNG+를/JKO
위해서라도	위하/VV+아서/EC+라도/JX
윤리적	윤리/NNG+적/XSN
책임을	책임/NNG+을/JKO
넘어	넘/VV+어/EC
법적	법/NNG+적/XSN
책임까지	책임/NNG+까지/JX
물어야	묻/VV+어야/EC
할	하/VX+ㄹ/ETM
때가	때/NNG+가/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.222.15.1
그러나 작가의 예술행위로서 포토샵을 이용한 사진 변형은 ‘자유로운 표현’이 된다.

그러나	그러나/MAJ
작가의	작가/NNG+의/JKG
예술행위로서	예술/NNG+행위/NNG+로서/JKB
포토샵을	포토샵/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
사진	사진/NNG
변형은	변형/NNG+은/JX
‘자유로운	‘/SS+자유/NNG+롭/XSA+ㄴ/ETM
표현’이	표현/NNG+’/SS+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.222.15.2
그 결과물인 사진작품 또한 사람들이 각자의 판단에 따라 평가하면 그뿐이지 지탄받아야 할 이유가 없다.

그	그/MMD
결과물인	결과물/NNG+이/VCP+ㄴ/ETM
사진작품	사진/NNG+작품/NNG
또한	또한/MAG
사람들이	사람/NNG+들/XSN+이/JKS
각자의	각자/NNG+의/JKG
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
평가하면	평가/NNG+하/XSV+면/EC
그뿐이지	그/NP+뿐/NNB+이/VCP+지/EC
지탄받아야	지탄/NNG+받/XSV+아야/EC
할	하/VX+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.222.15.3
중앙대 사진학과 김영수 교수는 “상품을 선전하는 광고사진, 작가의 주관이 뚜렷이 옮겨지는 순수예술사진에서는 이미 포토샵이 대세”라고 단정 지어 말한다.

중앙대	중앙대/NNP
사진학과	사진학/NNG+과/NNG
김영수	김영수/NNP
교수는	교수/NNG+는/JX
“상품을	“/SS+상품/NNG+을/JKO
선전하는	선전/NNG+하/XSV+는/ETM
광고사진,	광고/NNG+사진/NNG+,/SP
작가의	작가/NNG+의/JKG
주관이	주관/NNG+이/JKS
뚜렷이	뚜렷이/MAG
옮겨지는	옮기/VV+어/EC+지/VX+는/ETM
순수예술사진에서는	순수/NNG+예술/NNG+사진/NNG+에서/JKB+는/JX
이미	이미/MAG
포토샵이	포토샵/NNG+이/JKS
대세”라고	대세/NNG+”/SS+라고/JKQ
단정	단정/NNG
지어	짓/VV+어/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.222.16.1
결국 포토샵 문제는 일반인이든 작가든 포토샵 사용 여부를 직간접으로 밝히면 간단히 해결될 수 있다.

결국	결국/MAG
포토샵	포토샵/NNG
문제는	문제/NNG+는/JX
일반인이든	일반인/NNG+이/VCP+든/EC
작가든	작가/NNG+이/VCP+든/EC
사용	사용/NNG
여부를	여부/NNG+를/JKO
직간접으로	직간접/NNG+으로/JKB
밝히면	밝히/VV+면/EC
간단히	간단히/MAG
해결될	해결/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.222.16.2
공모전의 경우 주최 측이 목적과 성격에 따라 구체적인 가이드라인으로 제시한다면 포토샵 문제로 떠들썩할 이유가 더 없다.

공모전의	공모전/NNG+의/JKG
경우	경우/NNG
주최	주최/NNG
측이	측/NNB+이/JKS
목적과	목적/NNG+과/JC
성격에	성격/NNG+에/JKB
따라	따르/VV+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
가이드라인으로	가이드라인/NNG+으로/JKB
제시한다면	제시/NNG+하/XSV+ㄴ다면/EC
포토샵	포토샵/NNG
문제로	문제/NNG+로/JKB
떠들썩할	떠들썩하/VA+ㄹ/ETM
이유가	이유/NNG+가/JKS
더	더/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.222.16.3
문제는 작가가 사회적 약속을 어기고 수정과 변형을 숨기거나 은폐하면서 개인의 명예와 이득을 추구하는 경우인데 그 역시 개인 윤리의 문제이지, 포토샵 사용 자체의 문제가 아닌 것이다.

문제는	문제/NNG+는/JX
작가가	작가/NNG+가/JKS
사회적	사회/NNG+적/XSN
약속을	약속/NNG+을/JKO
어기고	어기/VV+고/EC
수정과	수정/NNG+과/JC
변형을	변형/NNG+을/JKO
숨기거나	숨기/VV+거나/EC
은폐하면서	은폐/NNG+하/XSV+면서/EC
개인의	개인/NNG+의/JKG
명예와	명예/NNG+와/JC
이득을	이득/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
경우인데	경우/NNG+이/VCP+ㄴ데/EC
그	그/MMD
역시	역시/MAG
개인	개인/NNG
윤리의	윤리/NNG+의/JKG
문제이지,	문제/NNG+이/VCP+지/EC+,/SP
포토샵	포토샵/NNG
사용	사용/NNG
자체의	자체/NNG+의/JKG
문제가	문제/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.17.1
사진공모전에서 포토샵을 허용한다면 모르지만 “예술작품이니까 사진을 맘대로 수정, 조작해도 된다”는 인식에는 개인적으로 동의하지 않는다.

사진공모전에서	사진/NNG+공모전/NNG+에서/JKB
포토샵을	포토샵/NNG+을/JKO
허용한다면	허용/NNG+하/XSV+ㄴ다면/EC
모르지만	모르/VV+지만/EC
“예술작품이니까	“/SS+예술/NNG+작품/NNG+이/VCP+니까/EC
사진을	사진/NNG+을/JKO
맘대로	맘대로/MAG
수정,	수정/NNG+,/SP
조작해도	조작/NNG+하/XSV+아도/EC
된다”는	되/VV+ㄴ다/EF+”/SS+는/ETM
인식에는	인식/NNG+에/JKB+는/JX
개인적으로	개인/NNG+적/XSN+으로/JKB
동의하지	동의/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.222.17.2
간단해 보이는 풍경사진에도 절정의 순간이 숨겨져 있다.

간단해	간단하/VA+아/EC
보이는	보이/VV+는/ETM
풍경사진에도	풍경/NNG+사진/NNG+에/JKB+도/JX
절정의	절정/NNG+의/JKG
순간이	순간/NNG+이/JKS
숨겨져	숨기/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.222.17.3
해가 나무에 걸쳐지는 순간이랄지, 하늘이 붉게 물들며 긴 나무그림자를 드리운다든지 하는 모습은 그 순간에만 찍을 수 있는 장면이다.

해가	해/NNG+가/JKS
나무에	나무/NNG+에/JKB
걸쳐지는	걸치/VV+어/EC+지/VX+는/ETM
순간이랄지,	순간/NNG+이/VCP+랄지/EC+,/SP
하늘이	하늘/NNG+이/JKS
붉게	붉/VA+게/EC
물들며	물들/VV+며/EC
긴	길/VA+ㄴ/ETM
나무그림자를	나무/NNG+그림자/NNG+를/JKO
드리운다든지	드리우/VV+ㄴ다든지/EC
하는	하/VV+는/ETM
모습은	모습/NNG+은/JX
그	그/MMD
순간에만	순간/NNG+에/JKB+만/JX
찍을	찍/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.17.4
그런데 이를 포토샵으로 합성해 만들어 출품한다면 누가 계속 사진을 찍으려 하겠는가.

그런데	그런데/MAJ
이를	이/NP+를/JKO
포토샵으로	포토샵/NNG+으로/JKB
합성해	합성/NNG+하/XSV+아/EC
만들어	만들/VV+어/EC
출품한다면	출품/NNG+하/XSV+ㄴ다면/EC
누가	누구/NP+가/JKS
계속	계속/MAG
사진을	사진/NNG+을/JKO
찍으려	찍/VV+으려/EC
하겠는가.	하/VX+겠/EP+는가/EF+./SF


# id : NWRW1800000021.222.18.1
사진을 좋아하는 많은 이에게 기회를 던져준 포토샵.

사진을	사진/NNG+을/JKO
좋아하는	좋아하/VV+는/ETM
많은	많/VA+은/ETM
이에게	이/NNB+에게/JKB
기회를	기회/NNG+를/JKO
던져준	던지/VV+어/EC+주/VX+ㄴ/ETM
포토샵.	포토샵/NNG+./SF


# id : NWRW1800000021.222.18.2
이 프로그램의 오·남용을 묻기 전에 사진 분야마다 사진 수정이나 조작에 관한 기준을 가져야 한다.

이	이/MMD
프로그램의	프로그램/NNG+의/JKG
오·남용을	오·남용/NNG+을/JKO
묻기	묻/VV+기/ETN
전에	전/NNG+에/JKB
사진	사진/NNG
분야마다	분야/NNG+마다/JX
수정이나	수정/NNG+이나/JC
조작에	조작/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기준을	기준/NNG+을/JKO
가져야	가지/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.222.18.3
현재 우리는 특정한 기준이나 의식 없이 마구잡이로 포토샵을 사용한다는 느낌이다.

현재	현재/MAG
우리는	우리/NP+는/JX
특정한	특정/NNG+하/XSA+ㄴ/ETM
기준이나	기준/NNG+이나/JC
의식	의식/NNG
없이	없이/MAG
마구잡이로	마구잡이/NNG+로/JKB
포토샵을	포토샵/NNG+을/JKO
사용한다는	사용/NNG+하/XSV+ㄴ다는/ETM
느낌이다.	느낌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.18.4
그러다 보니 써야 할 곳, 쓰지 말아야 할 곳에 대한 의식적 구분을 잘 못하고 있음을 보게 된다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
써야	쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
곳,	곳/NNG+,/SP
쓰지	쓰/VV+지/EC
말아야	말/VX+아야/EC
곳에	곳/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의식적	의식/NNG+적/XSN
구분을	구분/NNG+을/JKO
잘	잘/MAG
못하고	못/MAG+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
보게	보/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.222.18.5
이른 시일 내에 우리 사회에서 공감대가 마련돼 무분별한 포토샵 사용은 막고 예술로서 사진은 한층 더 발전할 수 있었으면 한다.

이른	이르/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
우리	우리/NP
사회에서	사회/NNG+에서/JKB
공감대가	공감대/NNG+가/JKS
마련돼	마련/NNG+되/XSV+어/EC
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
포토샵	포토샵/NNG
사용은	사용/NNG+은/JX
막고	막/VV+고/EC
예술로서	예술/NNG+로서/JKB
사진은	사진/NNG+은/JX
한층	한층/MAG
더	더/MAG
발전할	발전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


