# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.301
metadata : {}


# id : NWRW1800000021.301.1.1
[달라도 다함께/4부 다문화, 해외서 배운다]<2> 유럽-일본의 이민자 보호

[달라도	[/SS+다르/VA+아도/EC
“너는	“/SS+너/NP+는/JX
혼혈아냐”는	혼혈아/NNG+이/VCP+냐/EF+”/SS+는/JX
친구들의	친구/NNG+들/XSN+의/JKG
놀림을	놀림/NNG+을/JKO
받아	받/VV+아/EC
집에	집/NNG+에/JKB
울고	울/VV+고/EC
오는	오/VV+는/ETM
날이	날/NNG+이/JKS
많아서다.	많/VA+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000021.301.17.3
따돌림을 당하던 딸은 학교생활에 적응을 하지 못해 결국 심리치료까지 받았다.

따돌림을	따돌림/NNG+을/JKO
당하던	당하/VV+던/ETM
딸은	딸/NNG+은/JX
학교생활에	학교생활/NNG+에/JKB
적응을	적응/NNG+을/JKO
하지	하/VV+지/EC
못해	못하/VX+아/EC
결국	결국/MAG
심리치료까지	심리/NNG+치료/NNG+까지/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.17.4
야네스 씨는 “아이가 외모도 다르고 한국어 실력도 떨어져 친구들과 어울리지 못한다”면서 “아빠는 공장 일이 바쁘고 엄마는 한국어를 잘 몰라 가르쳐줄 수가 없다”고 말했다.

야네스	야네스/NNP
씨는	씨/NNB+는/JX
“아이가	“/SS+아이/NNG+가/JKS
외모도	외모/NNG+도/JX
다르고	다르/VA+고/EC
한국어	한국어/NNP
실력도	실력/NNG+도/JX
떨어져	떨어지/VV+어/EC
친구들과	친구/NNG+들/XSN+과/JKB
어울리지	어울리/VV+지/EC
못한다”면서	못하/VX+ㄴ다/EF+”/SS+면서/EC
“아빠는	“/SS+아빠/NNG+는/JX
공장	공장/NNG
일이	일/NNG+이/JKS
바쁘고	바쁘/VA+고/EC
엄마는	엄마/NNG+는/JX
한국어를	한국어/NNP+를/JKO
잘	잘/MAG
몰라	모르/VV+아/EC
가르쳐줄	가르치/VV+어/EC+주/VX+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.18.1
이렇듯 상당수 다문화가족은 언어와 문화 차이, 경제적 어려움과 사회적 편견 때문에 생활에 어려움을 겪는다.

이렇듯	이렇/VA+듯/EC
상당수	상당수/NNG
다문화가족은	다문화/NNG+가족/NNG+은/JX
언어와	언어/NNG+와/JC
문화	문화/NNG
차이,	차이/NNG+,/SP
경제적	경제/NNG+적/XSN
어려움과	어려움/NNG+과/JC
사회적	사회/NNG+적/XSN
편견	편견/NNG
때문에	때문/NNB+에/JKB
생활에	생활/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는다.	겪/VV+는다/EF+./SF


# id : NWRW1800000021.301.18.2
법적으로 한국인이 되어도 한국 사회에 적응하는 데 실패하면 늘 이방인으로 살아가게 되는 것.

법적으로	법/NNG+적/XSN+으로/JKB
한국인이	한국인/NNG+이/JKC
되어도	되/VV+어도/EC
한국	한국/NNP
사회에	사회/NNG+에/JKB
적응하는	적응/NNG+하/XSV+는/ETM
데	데/NNB
실패하면	실패/NNG+하/XSV+면/EC
늘	늘/MAG
이방인으로	이방인/NNG+으로/JKB
살아가게	살아가/VV+게/EC
되는	되/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.301.18.3
다문화가족 자녀가 지난해 5만8000명에서 올해 10만3000명으로 급증하면서 차별이 대물림되는 것을 막는 것이 시급한 과제로 떠올랐다.

다문화가족	다문화/NNG+가족/NNG
자녀가	자녀/NNG+가/JKS
지난해	지난해/NNG
5만8000명에서	5/SN+만/NR+8000/SN+명/NNB+에서/JKB
올해	올해/NNG
10만3000명으로	10/SN+만/NR+3000/SN+명/NNB+으로/JKB
급증하면서	급증/NNG+하/XSV+면서/EC
차별이	차별/NNG+이/JKS
대물림되는	대물림/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
막는	막/VV+는/ETM
것이	것/NNB+이/JKS
시급한	시급하/VA+ㄴ/ETM
과제로	과제/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.18.4
다문화가족 자녀들이 발달 단계에 따라 적절한 교육을 받지 못하고 있어 성인이 되어서도 한국 사회의 비주류로 살아갈 가능성이 높다.

다문화가족	다문화/NNG+가족/NNG
자녀들이	자녀/NNG+들/XSN+이/JKS
발달	발달/NNG
단계에	단계/NNG+에/JKB
따라	따르/VV+아/EC
적절한	적절하/VA+ㄴ/ETM
교육을	교육/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있어	있/VX+어/EC
성인이	성인/NNG+이/JKC
되어서도	되/VV+어서/EC+도/JX
한국	한국/NNP
사회의	사회/NNG+의/JKG
비주류로	비/XPN+주류/NNG+로/JKB
살아갈	살아가/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000021.301.18.5
정부는 결혼이주여성의 인권 보호에 주력했던 초기와 달리 다문화가족의 사회 통합을 돕는 쪽으로 정책을 선회했다.

정부는	정부/NNG+는/JX
결혼이주여성의	결혼/NNG+이주/NNG+여성/NNG+의/JKG
인권	인권/NNG
보호에	보호/NNG+에/JKB
주력했던	주력/NNG+하/XSV+았/EP+던/ETM
초기와	초기/NNG+와/JKB
달리	달리/MAG
다문화가족의	다문화/NNG+가족/NNG+의/JKG
사회	사회/NNG
통합을	통합/NNG+을/JKO
돕는	돕/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
정책을	정책/NNG+을/JKO
선회했다.	선회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.19.1
지난해 11월 법무부 다문화가족 실태 조사에서 결혼이민자들은 한국어를 못해서 불편했던 점으로 ‘공공기관에서 업무 볼 때’(33.3%), ‘가족과의 의사소통’(28.7%), ‘자녀 훈육 및 숙제 지도할 때’(15.9%) 등을 꼽았다.

지난해	지난해/NNG
11월	11/SN+월/NNB
법무부	법무부/NNG
다문화가족	다문화/NNG+가족/NNG
실태	실태/NNG
조사에서	조사/NNG+에서/JKB
결혼이민자들은	결혼/NNG+이민자/NNG+들/XSN+은/JX
한국어를	한국어/NNP+를/JKO
못해서	못하/VX+아서/EC
불편했던	불편/NNG+하/XSA+았/EP+던/ETM
점으로	점/NNG+으로/JKB
‘공공기관에서	‘/SS+공공/NNG+기관/NNG+에서/JKB
업무	업무/NNG
볼	보/VV+ㄹ/ETM
때’(33.3%),	때/NNG+’/SS+(/SS+33/SN+./SP+3/SN+%/SW+)/SS+,/SP
‘가족과의	‘/SS+가족/NNG+과/JKB+의/JKG
의사소통’(28.7%),	의사소통/NNG+’/SS+(/SS+28/SN+./SP+7/SN+%/SW+)/SS+,/SP
‘자녀	‘/SS+자녀/NNG
훈육	훈육/NNG
및	및/MAG
숙제	숙제/NNG
지도할	지도/NNG+하/XSV+ㄹ/ETM
때’(15.9%)	때/NNG+’/SS+(/SS+15/SN+./SP+9/SN+%/SW+)/SS
등을	등/NNB+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.19.2
언어 장벽은 가족간 불화를 일으키고 한국 사회에 통합되는 것을 어렵게 만든다.

언어	언어/NNG
장벽은	장벽/NNG+은/JX
가족간	가족/NNG+간/NNB
불화를	불화/NNG+를/JKO
일으키고	일으키/VV+고/EC
한국	한국/NNP
사회에	사회/NNG+에/JKB
통합되는	통합/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
어렵게	어렵/VA+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.301.20.1
전국 다문화가족지원센터 100여 곳에서 한국어 교육을 실시하는 한편 통·번역 서비스를 제공하기 시작한 것도 이런 이유에서다.

전국	전국/NNG
다문화가족지원센터	다문화/NNG+가족/NNG+지원/NNG+센터/NNG
100여	100/SN+여/XSN
곳에서	곳/NNG+에서/JKB
한국어	한국어/NNP
교육을	교육/NNG+을/JKO
실시하는	실시/NNG+하/XSV+는/ETM
한편	한편/NNG
통·번역	통·번역/NNG
서비스를	서비스/NNG+를/JKO
제공하기	제공/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000021.301.20.2
지난해 통·번역 서비스를 이용한 다문화가족은 5760가구.

지난해	지난해/NNG
통·번역	통·번역/NNG
서비스를	서비스/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
다문화가족은	다문화/NNG+가족/NNG+은/JX
5760가구.	5760/SN+가구/NNG+./SF


# id : NWRW1800000021.301.20.3
한국어교육 지도사 960명가량이 파견되어 부모들이 자녀의 학교 방문할 때 동행해 선생님과의 상담을 도왔다.

한국어교육	한국어/NNP+교육/NNG
지도사	지도사/NNG
960명가량이	960/SN+명/NNB+가량/XSN+이/JKS
파견되어	파견/NNG+되/XSV+어/EC
부모들이	부모/NNG+들/XSN+이/JKS
자녀의	자녀/NNG+의/JKG
학교	학교/NNG
방문할	방문/NNG+하/XSV+ㄹ/ETM
때	때/NNG
동행해	동행/NNG+하/XSV+아/EC
선생님과의	선생/NNG+님/XSN+과/JKB+의/JKG
상담을	상담/NNG+을/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.21.1
다문화가족은 도시보다 농촌에 많이 거주한다.

다문화가족은	다문화/NNG+가족/NNG+은/JX
도시보다	도시/NNG+보다/JKB
농촌에	농촌/NNG+에/JKB
많이	많이/MAG
거주한다.	거주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.301.21.2
장거리 외출을 해야 하지만 버스 타는 법, 돈 세는 법도 능숙하지 못해 사실상 혼자서 외출이 어렵다.

장거리	장거리/NNG
외출을	외출/NNG+을/JKO
해야	하/VV+아야/EC
하지만	하/VX+지만/EC
버스	버스/NNG
타는	타/VV+는/ETM
법,	법/NNB+,/SP
돈	돈/NNG
세는	세/VV+는/ETM
법도	법/NNB+도/JX
능숙하지	능숙하/VA+지/EC
못해	못하/VX+아/EC
사실상	사실/NNG+상/XSN
혼자서	혼자/NNG+서/JKS
외출이	외출/NNG+이/JKS
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000021.301.21.3
사정이 이렇다 보니 자녀들 역시 활동에 제약이 따르고 외톨이로 지내기 쉽다.

사정이	사정/NNG+이/JKS
이렇다	이렇/VA+다/EF
보니	보/VX+니/EC
자녀들	자녀/NNG+들/XSN
역시	역시/MAG
활동에	활동/NNG+에/JKB
제약이	제약/NNG+이/JKS
따르고	따르/VV+고/EC
외톨이로	외톨이/NNG+로/JKB
지내기	지내/VV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000021.301.22.1
다문화가족지원센터에서는 자녀들의 정상적인 교육 기회를 보장하기 위해 자녀 보육·교육을 돕는 양육지도사 방문 서비스를 실시하고 있다.

다문화가족지원센터에서는	다문화/NNG+가족/NNG+지원/NNG+센터/NNG+에서/JKB+는/JX
자녀들의	자녀/NNG+들/XSN+의/JKG
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
교육	교육/NNG
기회를	기회/NNG+를/JKO
보장하기	보장/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자녀	자녀/NNG
보육·교육을	보육/NNG+·/SP+교육/NNG+을/JKO
돕는	돕/VV+는/ETM
양육지도사	양육/NNG+지도사/NNG
방문	방문/NNG
서비스를	서비스/NNG+를/JKO
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.301.22.2
보육시설에도 한국어 교육 지도사가 파견되어 한국어 교육을 지원한다.

보육시설에도	보육/NNG+시설/NNG+에/JKB+도/JX
한국어	한국어/NNP
교육	교육/NNG
지도사가	지도사/NNG+가/JKS
파견되어	파견/NNG+되/XSV+어/EC
교육을	교육/NNG+을/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.301.23.1
이민원 보건복지가족부 다문화가족과장은 “국제결혼 건수는 전체의 10%를 상회하고 있고 앞으로 우리 사회의 주요한 가족 형태가 될 것”이라며 “이제는 다문화가족의 한국 사회 통합을 돕는 정책이 중요해졌다”고 말했다.

이민원	이민원/NNP
보건복지가족부	보건/NNG+복지/NNG+가족부/NNG
다문화가족과장은	다문화/NNG+가족과장/NNG+은/JX
“국제결혼	“/SS+국제결혼/NNG
건수는	건수/NNG+는/JX
전체의	전체/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
상회하고	상회/NNG+하/XSV+고/EC
있고	있/VX+고/EC
앞으로	앞/NNG+으로/JKB
우리	우리/NP
사회의	사회/NNG+의/JKG
주요한	주요/NNG+하/XSA+ㄴ/ETM
가족	가족/NNG
형태가	형태/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이제는	“/SS+이제/NNG+는/JX
다문화가족의	다문화/NNG+가족/NNG+의/JKG
한국	한국/NNP
사회	사회/NNG
통합을	통합/NNG+을/JKO
돕는	돕/VV+는/ETM
정책이	정책/NNG+이/JKS
중요해졌다”고	중요/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


