# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.376
metadata : {}


# id : NWRW1800000026.376.1.1
완전범죄를 꿈꾸는가?

완전범죄를	완전/NNG+범죄/NNG+를/JKO
무서운	무섭/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
그런	그런/MMD
이유	이유/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.15.2
경찰청 사이버테러대응센터 관계자는 "단순 분석은 빼고 파손된 것을 복구하는 어려운 작업을 거친 처리 건수만 봐도 2008년 전국 2502건에서 2009년 5723건으로 급증했다"고 말했다.

경찰청	경찰청/NNG
사이버테러대응센터	사이버/NNG+테러/NNG+대응/NNG+센터/NNG
관계자는	관계자/NNG+는/JX
"단순	"/SS+단순/NNG
분석은	분석/NNG+은/JX
빼고	빼/VV+고/EC
파손된	파손/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
복구하는	복구/NNG+하/XSV+는/ETM
어려운	어렵/VA+ㄴ/ETM
작업을	작업/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
처리	처리/NNG
건수만	건수/NNG+만/JX
봐도	보/VV+아도/EC
2008년	2008/SN+년/NNB
전국	전국/NNG
2502건에서	2502/SN+건/NNB+에서/JKB
2009년	2009/SN+년/NNB
5723건으로	5723/SN+건/NNB+으로/JKB
급증했다"고	급증/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.15.3
검찰 디지털포렌식의 처리 건수도 두 배씩 늘고 있다.

검찰	검찰/NNG
디지털포렌식의	디지털포렌식/NNG+의/JKG
처리	처리/NNG
건수도	건수/NNG+도/JX
두	두/MMN
배씩	배/NNG+씩/XSN
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.15.4
매년 이 정도의 성장이 일어나고 있다고 추정된다.

매년	매년/MAG
이	이/MMD
정도의	정도/NNG+의/JKG
성장이	성장/NNG+이/JKS
일어나고	일어나/VV+고/EC
있다고	있/VX+다고/EC
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.376.16.1
크게 알려지지는 않았지만 한국은 디지털포렌식 강국이다.

크게	크/VA+게/EC
알려지지는	알려지/VV+지/EC+는/JX
않았지만	않/VX+았/EP+지만/EC
한국은	한국/NNP+은/JX
디지털포렌식	디지털포렌식/NNG
강국이다.	강국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.16.2
경찰청 관계자는 "인터넷과 컴퓨터 보급률이 세계 최고 수준이다 보니 디지털포렌식의 수준도 미국을 빼고는 한국이 제일 높다"고 말했다.

경찰청	경찰청/NNG
관계자는	관계자/NNG+는/JX
"인터넷과	"/SS+인터넷/NNG+과/JC
컴퓨터	컴퓨터/NNG
보급률이	보급/NNG+률/XSN+이/JKS
세계	세계/NNG
최고	최고/NNG
수준이다	수준/NNG+이/VCP+다/EC
보니	보/VX+니/EC
디지털포렌식의	디지털포렌식/NNG+의/JKG
수준도	수준/NNG+도/JX
미국을	미국/NNP+을/JKO
빼고는	빼/VV+고/EC+는/JX
한국이	한국/NNP+이/JKS
제일	제일/MAG
높다"고	높/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.16.3
휴대폰 가입자도 지난 9월 기준으로 5000만명을 찍었다.

휴대폰	휴대폰/NNG
가입자도	가입자/NNG+도/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
기준으로	기준/NNG+으로/JKB
5000만명을	5000/SN+만/NR+명/NNB+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.376.16.4
1인당 1개를 넘는다.

1인당	1/SN+인/NNG+당/XSN
1개를	1/SN+개/NNB+를/JKO
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000026.376.16.5
그만큼 사례도 많다.

그만큼	그만큼/MAG
사례도	사례/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.376.16.6
세계적으로도 소문이 나서 경찰청에는 매년 50~60개국의 수사기관들이 찾아와 견학을 하고 있다.

세계적으로도	세계/NNG+적/XSN+으로/JKB+도/JX
소문이	소문/NNG+이/JKS
나서	나/VV+아서/EC
경찰청에는	경찰청/NNG+에/JKB+는/JX
매년	매년/MAG
50~60개국의	50/SN+~/SO+60/SN+개국/NNB+의/JKG
수사기관들이	수사/NNG+기관/NNG+들/XSN+이/JKS
찾아와	찾아오/VV+아/EC
견학을	견학/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.17.1
그러나 창이 날카로워질수록 방패도 두터워지는 법.

그러나	그러나/MAJ
창이	창/NNG+이/JKS
날카로워질수록	날카롭/VA+어/EC+지/VX+ㄹ수록/EC
방패도	방패/NNG+도/JX
두터워지는	두텁/VA+어/EC+지/VX+는/ETM
법.	법/NNB+./SF


# id : NWRW1800000026.376.17.2
'안티 디지털포렌식'도 같이 뜨기 시작했다.

'안티	'/SS+안티/NNG
디지털포렌식'도	디지털포렌식/NNG+'/SS+도/JX
같이	같이/MAG
뜨기	뜨/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.17.3
'확실히 지우는' 기술이다.

'확실히	'/SS+확실히/MAG
지우는'	지우/VV+는/ETM+'/SS
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.17.4
검찰은 최근 국무총리실의 민간인 사찰 의혹 수사에서 공직윤리지원관실 관계자들이 '디가우저'라는 장비를 썼다고 했다.

검찰은	검찰/NNG+은/JX
최근	최근/NNG
국무총리실의	국무총리실/NNG+의/JKG
민간인	민간인/NNG
사찰	사찰/NNG
의혹	의혹/NNG
수사에서	수사/NNG+에서/JKB
공직윤리지원관실	공직/NNG+윤리/NNG+지원관실/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
'디가우저'라는	'/SS+디가우저/NNG+'/SS+이/VCP+라는/ETM
장비를	장비/NNG+를/JKO
썼다고	쓰/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.17.5
이 장비는 강한 자성(磁性)을 이용해 하드디스크를 복구하지 못하도록 하는 특수 장비다.

이	이/MMD
장비는	장비/NNG+는/JX
강한	강하/VA+ㄴ/ETM
자성(磁性)을	자성/NNG+(/SS+磁性/SH+)/SS+을/JKO
이용해	이용/NNG+하/XSV+아/EC
하드디스크를	하드/NNG+디스크/NNG+를/JKO
복구하지	복구/NNG+하/XSV+지/EC
못하도록	못하/VX+도록/EC
하는	하/VX+는/ETM
특수	특수/NNG
장비다.	장비/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.17.6
경찰·검찰이 컴퓨터 전문가로 무장하니 변론하는 쪽에서도 그에 대응하고 있다.

경찰·검찰이	경찰/NNG+·/SP+검찰/NNG+이/JKS
컴퓨터	컴퓨터/NNG
전문가로	전문가/NNG+로/JKB
무장하니	무장/NNG+하/XSV+니/EC
변론하는	변론/NNG+하/XSV+는/ETM
쪽에서도	쪽/NNB+에서/JKB+도/JX
그에	그/NP+에/JKB
대응하고	대응/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.17.7
법무법인 김앤장은 디지털포렌식팀을 2008년부터 운영하고 있다.

법무법인	법무/NNG+법인/NNG
김앤장은	김앤장/NNP+은/JX
디지털포렌식팀을	디지털포렌식/NNG+팀/NNG+을/JKO
2008년부터	2008/SN+년/NNB+부터/JX
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.17.8
이쪽에 밝은 검사도 스카우트해서 상당한 수준의 팀을 꾸린 것으로 전해지고 있다.

이쪽에	이쪽/NP+에/JKB
밝은	밝/VA+은/ETM
검사도	검사/NNG+도/JX
스카우트해서	스카우트/NNG+하/XSV+아서/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
수준의	수준/NNG+의/JKG
팀을	팀/NNG+을/JKO
꾸린	꾸리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해지고	전하/VV+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.18.1
이곳저곳에서 전문가를 필요로 하다보니 디지털포렌식을 교육하는 민간업체도 생기고 있다.

이곳저곳에서	이곳저곳/NNG+에서/JKB
전문가를	전문가/NNG+를/JKO
필요로	필요/NNG+로/JKB
하다보니	하/VV+다/EC+보/VX+니/EC
디지털포렌식을	디지털포렌식/NNG+을/JKO
교육하는	교육/NNG+하/XSV+는/ETM
민간업체도	민간/NNG+업체/NNG+도/JX
생기고	생기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.18.2
검찰과 경찰은 각각 자격증제도의 도입을 검토하고 있다.

검찰과	검찰/NNG+과/JC
경찰은	경찰/NNG+은/JX
각각	각각/MAG
자격증제도의	자격증/NNG+제도/NNG+의/JKG
도입을	도입/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.18.3
약간 엉뚱하지만 단어 자체도 유명해졌다.

약간	약간/MAG
엉뚱하지만	엉뚱하/VA+지만/EC
단어	단어/NNG
자체도	자체/NNG+도/JX
유명해졌다.	유명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.376.18.4
단순히 자료를 복구해주는 업체가 '디지털포렌식'이라는 말을 회사명에 쓰기도 한다.

단순히	단순히/MAG
자료를	자료/NNG+를/JKO
복구해주는	복구/NNG+하/XSV+아/EC+주/VX+는/ETM
업체가	업체/NNG+가/JKS
'디지털포렌식'이라는	'/SS+디지털포렌식/NNG+'/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
회사명에	회사명/NNG+에/JKB
쓰기도	쓰/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.376.19.1
고려대 정보경영공학전문대학원 임종인 원장은 "지식경제부 R&D전략기획단의 황창규 단장이 발표해 세계적으로 통용되고 있는 '황의 법칙'에 따르면 디지털 정보로 담을 수 있는 자료의 양은 1년에 두 배씩 늘어난다"며 "디지털포렌식에 대한 수요도 같은 속도로 늘어날 가능성이 크다"고 말했다.

고려대	고려대/NNP
정보경영공학전문대학원	정보/NNG+경영/NNG+공학/NNG+전문/NNG+대학원/NNG
임종인	임종인/NNP
원장은	원장/NNG+은/JX
"지식경제부	"/SS+지식/NNG+경제부/NNG
R&D전략기획단의	R/SL+&/SW+D/SL+전략/NNG+기획단/NNG+의/JKG
황창규	황창규/NNP
단장이	단장/NNG+이/JKS
발표해	발표/NNG+하/XSV+아/EC
세계적으로	세계/NNG+적/XSN+으로/JKB
통용되고	통용/NNG+되/XSV+고/EC
있는	있/VA+는/ETM
'황의	'/SS+황/NNP+의/JKG
법칙'에	법칙/NNG+'/SS+에/JKB
따르면	따르/VV+면/EC
디지털	디지털/NNG
정보로	정보/NNG+로/JKB
담을	담/VV+을/ETM
수	수/NNB
자료의	자료/NNG+의/JKG
양은	양/NNG+은/JX
1년에	1/SN+년/NNB+에/JKB
두	두/MMN
배씩	배/NNG+씩/XSN
늘어난다"며	늘어나/VV+ㄴ다/EF+"/SS+며/EC
"디지털포렌식에	"/SS+디지털포렌식/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수요도	수요/NNG+도/JX
같은	같/VA+은/ETM
속도로	속도/NNG+로/JKB
늘어날	늘어나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


