# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.278
metadata : {}


# id : NWRW1800000025.278.1.1
[해운대 37층 주상복합 화재]4층서 발화 10여분만에 가연성 외벽 타고 37층 옥상까지

[해운대	[/SS+해운대/NNP
부산 해운대 우신골든스위트 화재는 규모에 비해 다행히 인명피해가 크지 않았다.

부산	부산/NNP
해운대	해운대/NNP
우신골든스위트	우신골든스위트/NNP
화재는	화재/NNG+는/JX
규모에	규모/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
다행히	다행히/MAG
인명피해가	인명/NNG+피해/NNG+가/JKS
크지	크/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.278.17.2
37층짜리 건물 외벽 30%가량이 타거나 그을리고 옥상에 있는 스카이라운지와 37층 펜트하우스가 전소되고, 그 아래층인 36층도 상당 부분 화재 피해를 봤지만 인명피해는 입주민 3명과 소방관 1명 등 4명이 경상을 입었을 정도로 미미했다.

37층짜리	37/SN+층/NNG+짜리/XSN
건물	건물/NNG
외벽	외벽/NNG
30%가량이	30/SN+%/SW+가량/XSN+이/JKS
타거나	타/VV+거나/EC
그을리고	그을리/VV+고/EC
옥상에	옥상/NNG+에/JKB
있는	있/VA+는/ETM
스카이라운지와	스카이라운지/NNG+와/JC
37층	37/SN+층/NNG
펜트하우스가	펜트하우스/NNG+가/JKS
전소되고,	전소/NNG+되/XSV+고/EC+,/SP
그	그/MMD
아래층인	아래층/NNG+이/VCP+ㄴ/ETM
36층도	36/SN+층/NNG+도/JX
상당	상당/NNG
부분	부분/NNG
화재	화재/NNG
피해를	피해/NNG+를/JKO
봤지만	보/VV+았/EP+지만/EC
인명피해는	인명/NNG+피해/NNG+는/JX
입주민	입주민/NNG
3명과	3/SN+명/NNB+과/JC
소방관	소방관/NNG
1명	1/SN+명/NNB
등	등/NNB
4명이	4/SN+명/NNB+이/JKS
경상을	경상/NNG+을/JKO
입었을	입/VV+었/EP+을/ETM
정도로	정도/NNG+로/JKB
미미했다.	미미하/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.278.18.1
우선 화재 현장이 인근 해운대소방서에서 승용차로 1, 2분 거리여서 소방관들의 출동이 빨랐다.

우선	우선/MAG
화재	화재/NNG
현장이	현장/NNG+이/JKS
인근	인근/NNG
해운대소방서에서	해운대소방서/NNP+에서/JKB
승용차로	승용차/NNG+로/JKB
1,	1/SN+,/SP
2분	2/SN+분/NNB
거리여서	거리/NNG+이/VCP+어서/EC
소방관들의	소방관/NNG+들/XSN+의/JKG
출동이	출동/NNG+이/JKS
빨랐다.	빠르/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.278.18.2
실제로 소방관들은 화재 신고 3분 만에 현장에 도착한 것으로 알려졌다.

실제로	실제로/MAG
소방관들은	소방관/NNG+들/XSN+은/JX
화재	화재/NNG
신고	신고/NNG
3분	3/SN+분/NNB
만에	만/NNB+에/JKB
현장에	현장/NNG+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.18.3
이들은 곧바로 발화지점을 비롯해 층별로 올라가면서 각 가정의 입주민들에게 대피를 종용했다.

이들은	이/NP+들/XSN+은/JX
곧바로	곧바로/MAG
발화지점을	발화/NNG+지점/NNG+을/JKO
비롯해	비롯하/VV+아/EC
층별로	층/NNG+별/XSN+로/JKB
올라가면서	올라가/VV+면서/EC
각	각/MMD
가정의	가정/NNG+의/JKG
입주민들에게	입주민/NNG+들/XSN+에게/JKB
대피를	대피/NNG+를/JKO
종용했다.	종용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.18.4
하지만 일부 주민은 소방당국의 초기진화 문제점을 지적했다.

하지만	하지만/MAJ
일부	일부/NNG
주민은	주민/NNG+은/JX
소방당국의	소방/NNG+당국/NNG+의/JKG
초기진화	초기/NNG+진화/NNG
문제점을	문제점/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.18.5
입주민들은 “소방관들에게 불이 고층으로 번지기 전에 5, 6층 유리를 깨고 빨리 불을 끄라고 얘기했지만 ‘동의가 필요하다’며 미적거렸고 그 사이 불길이 걷잡을 수 없이 커졌다”고 주장했다.

입주민들은	입주민/NNG+들/XSN+은/JX
“소방관들에게	“/SS+소방관/NNG+들/XSN+에게/JKB
불이	불/NNG+이/JKS
고층으로	고층/NNG+으로/JKB
번지기	번지/VV+기/ETN
전에	전/NNG+에/JKB
5,	5/SN+,/SP
6층	6/SN+층/NNG
유리를	유리/NNG+를/JKO
깨고	깨/VV+고/EC
빨리	빨리/MAG
불을	불/NNG+을/JKO
끄라고	끄/VV+라고/EC
얘기했지만	얘기/NNG+하/XSV+았/EP+지만/EC
‘동의가	‘/SS+동의/NNG+가/JKS
필요하다’며	필요/NNG+하/XSA+다/EF+’/SS+며/EC
미적거렸고	미적거리/VV+었/EP+고/EC
그	그/MMD
사이	사이/NNG
불길이	불길/NNG+이/JKS
걷잡을	걷잡/VV+을/ETM
수	수/NNB
없이	없이/MAG
커졌다”고	커지/VV+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.19.1
불이 낮 시간대에 발생한 것도 피해가 적은 원인 중 하나다.

불이	불/NNG+이/JKS
낮	낮/NNG
시간대에	시간대/NNG+에/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
피해가	피해/NNG+가/JKS
적은	적/VA+은/ETM
원인	원인/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000025.278.19.2
이 아파트 입주민은 400여 명으로 대부분 출근해 집에는 주부와 노인 등만 남아 있었다.

이	이/MMD
아파트	아파트/NNG
입주민은	입주민/NNG+은/JX
400여	400/SN+여/XSN
명으로	명/NNB+으로/JKB
대부분	대/XPN+부분/NNG
출근해	출근/NNG+하/XSV+아/EC
집에는	집/NNG+에/JKB+는/JX
주부와	주부/NNG+와/JC
노인	노인/NNG
등만	등/NNB+만/JX
남아	남/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.278.19.3
이들은 인근에서 울려오는 119구조대 사이렌 소리를 듣고 건물에 불이 난 사실을 알고 대피했다.

이들은	이/NP+들/XSN+은/JX
인근에서	인근/NNG+에서/JKB
울려오는	울려오/VV+는/ETM
119구조대	119/SN+구조대/NNG
사이렌	사이렌/NNG
소리를	소리/NNG+를/JKO
듣고	듣/VV+고/EC
건물에	건물/NNG+에/JKB
불이	불/NNG+이/JKS
난	나/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
대피했다.	대피/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.20.1
4층에서 시작된 불길이 건물 내부로 향하지 않고, 환풍 통로를 타고 가연성 재질로 돼 있는 황금색 외벽으로 번진 것도 인명 피해를 줄어들게 한 요인이다.

4층에서	4/SN+층/NNG+에서/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
불길이	불길/NNG+이/JKS
건물	건물/NNG
내부로	내부/NNG+로/JKB
향하지	향하/VV+지/EC
않고,	않/VX+고/EC+,/SP
환풍	환풍/NNG
통로를	통로/NNG+를/JKO
타고	타/VV+고/EC
가연성	가연/NNG+성/XSN
재질로	재질/NNG+로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
황금색	황금색/NNG
외벽으로	외벽/NNG+으로/JKB
번진	번지/VV+ㄴ/ETM
것도	것/NNB+도/JX
인명	인명/NNG
피해를	피해/NNG+를/JKO
줄어들게	줄어들/VV+게/EC
한	하/VX+ㄴ/ETM
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.278.20.2
소방 전문가들은 “현존 화재진압장비가 별 쓸모가 없고 비상계단이 유일한 대피로인 초고층 빌딩 화재인데도 큰 인명피해가 발생하지 않은 것은 천만다행”이라며 “만약 밤에 화재가 났고 불길이 건물 내부로 번졌다면 대형 참사를 피할 수 없었을 것”이라고 말했다.

소방	소방/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
“현존	“/SS+현존/NNG
화재진압장비가	화재/NNG+진압/NNG+장비/NNG+가/JKS
별	별/MMA
쓸모가	쓸모/NNG+가/JKS
없고	없/VA+고/EC
비상계단이	비상계단/NNG+이/JKS
유일한	유일/NNG+하/XSA+ㄴ/ETM
대피로인	대피로/NNG+이/VCP+ㄴ/ETM
초고층	초/XPN+고층/NNG
빌딩	빌딩/NNG
화재인데도	화재/NNG+이/VCP+ㄴ데/EC+도/JX
큰	크/VA+ㄴ/ETM
인명피해가	인명/NNG+피해/NNG+가/JKS
발생하지	발생/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
천만다행”이라며	천만다행/NNG+”/SS+이/VCP+라며/EC
“만약	“/SS+만약/MAG
밤에	밤/NNG+에/JKB
화재가	화재/NNG+가/JKS
났고	나/VV+았/EP+고/EC
불길이	불길/NNG+이/JKS
건물	건물/NNG
내부로	내부/NNG+로/JKB
번졌다면	번지/VV+었/EP+다면/EC
대형	대형/NNG
참사를	참사/NNG+를/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없었을	없/VA+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.21.1
■아찔한 초고층 건물, 불나면 ‘진짜 아찔’… [1] 불길 위로 급속히 번지고 [2] 진화-구조작업 어려운데 [3] 중간에 피난층 따로 안둬

■아찔한	■/SW+아찔/MAG+하/XSA+ㄴ/ETM
초고층	초/XPN+고층/NNG
건물,	건물/NNG+,/SP
불나면	불나/VV+면/EC
‘진짜	‘/SS+진짜/MAG
아찔’…	아찔/MAG+’/SS+…/SE
[1]	[/SS+1/SN+]/SS
불길	불길/NNG
위로	위/NNG+로/JKB
급속히	급속히/MAG
번지고	번지/VV+고/EC
[2]	[/SS+2/SN+]/SS
진화-구조작업	진화/NNG+-/SO+구조/NNG+작업/NNG
어려운데	어렵/VA+ㄴ데/EC
[3]	[/SS+3/SN+]/SS
중간에	중간/NNG+에/JKB
피난층	피난층/NNG
따로	따로/MAG
안둬	안/MAG+두/VV+어/EF


# id : NWRW1800000025.278.22.1
부산 해운대구 초고층 주상복합아파트 화재는 그동안 줄곧 지적돼온 초고층 건물의 화재 위험성을 명확하게 보여줬다.

부산	부산/NNP
해운대구	해운대구/NNP
초고층	초/XPN+고층/NNG
주상복합아파트	주상/NNG+복합/NNG+아파트/NNG
화재는	화재/NNG+는/JX
그동안	그동안/NNG
줄곧	줄곧/MAG
지적돼온	지적/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
건물의	건물/NNG+의/JKG
화재	화재/NNG
위험성을	위험/NNG+성/XSN+을/JKO
명확하게	명확하/VA+게/EC
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.278.22.2
초고층 주상복합 건축은 서울을 시작으로 전국적으로 확산되고 있어 이 위험성이 현실화할 가능성이 잠재해 있다.

초고층	초/XPN+고층/NNG
주상복합	주상/NNG+복합/NNG
건축은	건축/NNG+은/JX
서울을	서울/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
전국적으로	전국/NNG+적/XSN+으로/JKB
확산되고	확산/NNG+되/XSV+고/EC
있어	있/VX+어/EC
이	이/MMD
위험성이	위험/NNG+성/XSN+이/JKS
현실화할	현실/NNG+화/XSN+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
잠재해	잠재/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.278.23.1
초고층 주상복합은 아파트 분양가 자율화가 시행된 뒤 1998년 서울 강남구 도곡동에 지상 46층의 아크로빌을 시작으로 우후죽순처럼 생겨났다.

초고층	초/XPN+고층/NNG
주상복합은	주상/NNG+복합/NNG+은/JX
아파트	아파트/NNG
분양가	분양/NNG+가/XSN
자율화가	자율/NNG+화/XSN+가/JKS
시행된	시행/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
1998년	1998/SN+년/NNB
서울	서울/NNP
강남구	강남구/NNP
도곡동에	도곡동/NNP+에/JKB
지상	지상/NNG
46층의	46/SN+층/NNG+의/JKG
아크로빌을	아크로빌/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
우후죽순처럼	우후죽순/NNG+처럼/JKB
생겨났다.	생겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.23.2
2002년 역시 도곡동에 지상 66층의 타워팰리스Ⅰ이 들어서 대표적인 초고층 주상복합으로 자리 잡았다.

2002년	2002/SN+년/NNB
역시	역시/MAG
도곡동에	도곡동/NNP+에/JKB
지상	지상/NNG
66층의	66/SN+층/NNG+의/JKG
타워팰리스Ⅰ이	타워팰리스Ⅰ/NNP+이/JKS
들어서	들/VV+어서/EC
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
초고층	초/XPN+고층/NNG
주상복합으로	주상/NNG+복합/NNG+으로/JKB
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.23.3
이어 여의도 트럼프월드Ⅰ, 목동 하이페리온, 삼성동 아이파크 등 40∼60층의 건물이 출현했다.

이어	이어/MAG
여의도	여의도/NNP
트럼프월드Ⅰ,	트럼프월드Ⅰ/NNP+,/SP
목동	목동/NNP
하이페리온,	하이페리온/NNP+,/SP
삼성동	삼성동/NNP
아이파크	아이파크/NNP
등	등/NNB
40∼60층의	40/SN+∼/SO+60/SN+층/NNG+의/JKG
건물이	건물/NNG+이/JKS
출현했다.	출현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.23.4
현재 서울에만 31∼40층 주상복합이 84곳이고 41∼50층 26곳, 51∼60층 7곳이며 61층 이상도 3곳이나 되는 등 총 120개의 주상복합 건축물이 있다.

현재	현재/MAG
서울에만	서울/NNP+에/JKB+만/JX
31∼40층	31/SN+∼/SO+40/SN+층/NNG
주상복합이	주상/NNG+복합/NNG+이/JKS
84곳이고	84/SN+곳/NNG+이/VCP+고/EC
41∼50층	41/SN+∼/SO+50/SN+층/NNG
26곳,	26/SN+곳/NNG+,/SP
51∼60층	51/SN+∼/SO+60/SN+층/NNG
7곳이며	7/SN+곳/NNG+이/VCP+며/EC
61층	61/SN+층/NNG
이상도	이상/NNG+도/JX
3곳이나	3/SN+곳/NNG+이나/JX
되는	되/VV+는/ETM
등	등/NNB
총	총/MMA
120개의	120/SN+개/NNB+의/JKG
주상복합	주상/NNG+복합/NNG
건축물이	건축물/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.278.23.5
또 31층 이상 아파트도 76동이나 된다.

또	또/MAG
31층	31/SN+층/NNG
이상	이상/NNG
아파트도	아파트/NNG+도/JX
76동이나	76/SN+동/NNB+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.278.23.6
지방에서는 신시가지로 떠오른 부산 해운대가 초고층 주상복합아파트가 밀집해 있는 대표적인 곳이다.

지방에서는	지방/NNG+에서/JKB+는/JX
신시가지로	신/XPN+시가지/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
부산	부산/NNP
해운대가	해운대/NNP+가/JKS
초고층	초/XPN+고층/NNG
주상복합아파트가	주상/NNG+복합/NNG+아파트/NNG+가/JKS
밀집해	밀집/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.278.24.1
주상복합아파트뿐만 아니라 100층 내외의 초고층 업무용 빌딩도 속속 등장할 예정이다.

주상복합아파트뿐만	주상/NNG+복합/NNG+아파트/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
100층	100/SN+층/NNG
내외의	내외/NNG+의/JKG
초고층	초/XPN+고층/NNG
업무용	업무/NNG+용/XSN
빌딩도	빌딩/NNG+도/JX
속속	속속/MAG
등장할	등장/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.278.24.2
서울의 용산국제업무지구와 상암 디지털미디어시티(DMC), 부산의 해운대 센텀시티 월드비즈니스센터(WBC)와 해운대관광리조트, 중구 중앙동 롯데월드가 대표적인 초고층 랜드마크 빌딩들이다.

서울의	서울/NNP+의/JKG
용산국제업무지구와	용산국제업무지구/NNP+와/JC
상암	상암/NNP
디지털미디어시티(DMC),	디지털미디어시티/NNP+(/SS+DMC/SL+)/SS+,/SP
부산의	부산/NNP+의/JKG
해운대	해운대/NNP
센텀시티	센텀시티/NNP
월드비즈니스센터(WBC)와	월드비즈니스센터/NNP+(/SS+WBC/SL+)/SS+와/JC
해운대관광리조트,	해운대관광리조트/NNP+,/SP
중구	중구/NNP
중앙동	중앙동/NNP
롯데월드가	롯데월드/NNP+가/JKS
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
초고층	초/XPN+고층/NNG
랜드마크	랜드마크/NNG
빌딩들이다.	빌딩/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.278.25.1
그러나 초고층 건물은 일단 화재 초기 진압에 실패하면 건물 상층부로 불길과 연기가 삽시간에 확산된다.

그러나	그러나/MAJ
초고층	초/XPN+고층/NNG
건물은	건물/NNG+은/JX
일단	일단/MAG
화재	화재/NNG
초기	초기/NNG
진압에	진압/NNG+에/JKB
실패하면	실패/NNG+하/XSV+면/EC
건물	건물/NNG
상층부로	상층부/NNG+로/JKB
불길과	불길/NNG+과/JC
연기가	연기/NNG+가/JKS
삽시간에	삽시간/NNG+에/JKB
확산된다.	확산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.278.25.2
특히 고층일수록 불길이 상승 기류를 타고 급속하게 번지는 ‘굴뚝효과’가 강하게 일어난다.

특히	특히/MAG
고층일수록	고층/NNG+이/VCP+ㄹ수록/EC
불길이	불길/NNG+이/JKS
상승	상승/NNG
기류를	기류/NNG+를/JKO
타고	타/VV+고/EC
급속하게	급속/NNG+하/XSA+게/EC
번지는	번지/VV+는/ETM
‘굴뚝효과’가	‘/SS+굴뚝/NNG+효과/NNG+’/SS+가/JKS
강하게	강하/VA+게/EC
일어난다.	일어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.278.25.3
서울시정개발연구원 보고서에 따르면 불길이 번지면 피난 통로의 바람 속도가 30배 빨라지는 것으로 나타났다.

서울시정개발연구원	서울시정개발연구원/NNP
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
불길이	불길/NNG+이/JKS
번지면	번지/VV+면/EC
피난	피난/NNG
통로의	통로/NNG+의/JKG
바람	바람/NNG
속도가	속도/NNG+가/JKS
30배	30/SN+배/NNG
빨라지는	빠르/VA+아/EC+지/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.25.4
또 초고층 건물은 창문이 작거나 열리지 않는 구조가 많아 외부 공기가 들어가면 불이 쉽게 번진다.

또	또/MAG
초고층	초/XPN+고층/NNG
건물은	건물/NNG+은/JX
창문이	창문/NNG+이/JKS
작거나	작/VA+거나/EC
열리지	열리/VV+지/EC
않는	않/VX+는/ETM
구조가	구조/NNG+가/JKS
많아	많/VA+아/EC
외부	외부/NNG
공기가	공기/NNG+가/JKS
들어가면	들어가/VV+면/EC
불이	불/NNG+이/JKS
쉽게	쉽/VA+게/EC
번진다.	번지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.278.25.5
소방장비의 한계로 화재를 진압하기가 상대적으로 어렵고 구조 활동도 쉽지 않다.

소방장비의	소방/NNG+장비/NNG+의/JKG
한계로	한계/NNG+로/JKB
화재를	화재/NNG+를/JKO
진압하기가	진압/NNG+하/XSV+기/ETN+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
어렵고	어렵/VA+고/EC
구조	구조/NNG
활동도	활동/NNG+도/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.278.26.1
이 때문에 중국은 100m 이상 건물에는 15층마다, 홍콩은 20∼25층마다 피난안전구역을 설치하도록 규정하고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
중국은	중국/NNP+은/JX
100m	100/SN+m/SW
이상	이상/NNG
건물에는	건물/NNG+에/JKB+는/JX
15층마다,	15/SN+층/NNG+마다/JX+,/SP
홍콩은	홍콩/NNP+은/JX
20∼25층마다	20/SN+∼/SO+25/SN+층/NNG+마다/JX
피난안전구역을	피난/NNG+안전/NNG+구역/NNG+을/JKO
설치하도록	설치/NNG+하/XSV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.278.26.2
피난안전구역은 화재가 났을 때 대피공간을 갖춘 피난층으로 이곳에는 1층이나 옥상으로 바로 오갈 수 있는 계단과 비상급수시설 등을 갖춰야 한다.

피난안전구역은	피난/NNG+안전/NNG+구역/NNG+은/JX
화재가	화재/NNG+가/JKS
났을	나/VV+았/EP+을/ETM
때	때/NNG
대피공간을	대피/NNG+공간/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
피난층으로	피난층/NNG+으로/JKB
이곳에는	이곳/NP+에/JKB+는/JX
1층이나	1/SN+층/NNG+이나/JC
옥상으로	옥상/NNG+으로/JKB
바로	바로/MAG
오갈	오가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계단과	계단/NNG+과/JC
비상급수시설	비상/NNG+급수/NNG+시설/NNG
등을	등/NNB+을/JKO
갖춰야	갖추/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.278.26.3
해외에서는 피난용 엘리베이터를 설치해 소방대원이 진입하거나 건물 내에 있는 사람들이 피할 수 있도록 해놓았다.

해외에서는	해외/NNG+에서/JKB+는/JX
피난용	피난/NNG+용/XSN
엘리베이터를	엘리베이터/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
소방대원이	소방대원/NNG+이/JKS
진입하거나	진입/NNG+하/XSV+거나/EC
건물	건물/NNG
내에	내/NNB+에/JKB
있는	있/VA+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
피할	피하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해놓았다.	하/VV+아/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.278.26.4
국내에서는 이러한 내용을 담은 ‘초고층 및 지하연계 복합건축물 재난관리에 관한 특별법’이 이번 정기국회 통과를 기다리고 있다.

국내에서는	국내/NNG+에서/JKB+는/JX
이러한	이러하/VA+ㄴ/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘초고층	‘/SS+초/XPN+고층/NNG
및	및/MAG
지하연계	지하/NNG+연계/NNG
복합건축물	복합/NNG+건축물/NNG
재난관리에	재난/NNG+관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
특별법’이	특별법/NNG+’/SS+이/JKS
이번	이번/NNG
정기국회	정기/NNG+국회/NNG
통과를	통과/NNG+를/JKO
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.278.26.5
GS건설 기술연구소 윤성욱 박사는 “이번 화재를 계기로 피난층이나 피난용 엘리베이터를 제도화하는 것이 앞당겨져야 한다”고 말했다.

GS건설	GS건설/NNP
기술연구소	기술/NNG+연구소/NNG
윤성욱	윤성욱/NNP
박사는	박사/NNG+는/JX
“이번	“/SS+이번/NNG
화재를	화재/NNG+를/JKO
계기로	계기/NNG+로/JKB
피난층이나	피난층/NNG+이나/JC
피난용	피난/NNG+용/XSN
엘리베이터를	엘리베이터/NNG+를/JKO
제도화하는	제도/NNG+화/XSN+하/XSV+는/ETM
것이	것/NNB+이/JKS
앞당겨져야	앞당기/VV+어/EC+지/VX+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


