# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.4
metadata : {}


# id : NWRW1800000021.4.1.1
속끓는 평택-동두천… 느긋한 서울시

속끓는	속/NNG+끓/VV+는/ETM
한미 양국은 2004년 7월 기지 이전을 2008년 말까지 끝내기로 합의했지만 2년여 뒤 한국 측은 기지 이전 반대 시위로 인한 공사 차질 등을 이유로 이전 시기를 늦출 것을 요구해 2012년으로 연기된 바 있다.

한미	한미/NNP
양국은	양국/NNG+은/JX
2004년	2004/SN+년/NNB
7월	7/SN+월/NNB
기지	기지/NNG
이전을	이전/NNG+을/JKO
2008년	2008/SN+년/NNB
말까지	말/NNB+까지/JX
끝내기로	끝내/VV+기/ETN+로/JKB
합의했지만	합의/NNG+하/XSV+았/EP+지만/EC
2년여	2/SN+년/NNB+여/XSN
뒤	뒤/NNG
한국	한국/NNP
측은	측/NNB+은/JX
이전	이전/NNG
반대	반대/NNG
시위로	시위/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
공사	공사/NNG
차질	차질/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
시기를	시기/NNG+를/JKO
늦출	늦추/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구해	요구/NNG+하/XSV+아/EC
2012년으로	2012/SN+년/NNB+으로/JKB
연기된	연기/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.4.24.2
그러자 당시 버웰 벨 주한미군사령관은 기자회견을 자청해 “기지 이전이 연기될 경우 싸우겠다(fight)”고 언급해 논란이 일기도 했다.

그러자	그러/VV+자/EC
당시	당시/NNG
버웰	버웰/NNP
벨	벨/NNP
주한미군사령관은	주한/NNG+미군/NNG+사령관/NNG+은/JX
기자회견을	기자/NNG+회견/NNG+을/JKO
자청해	자청/NNG+하/XSV+아/EC
“기지	“/SS+기지/NNG
이전이	이전/NNG+이/JKS
연기될	연기/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
싸우겠다(fight)”고	싸우/VV+겠/EP+다/EF+(/SS+fight/SL+)/SS+”/SS+고/JKQ
언급해	언급/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
일기도	일/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.4.25.1
군 관계자는 “미국 측은 과거 기지 이전 사업이 ‘자주국방’이나 ‘반미주의’ 등에 휘둘려 차질을 빚은 만큼 더는 정치적 외풍에 좌우되지 않도록 철저히 실현 가능한 일정을 잡길 원한다”고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“미국	“/SS+미국/NNP
측은	측/NNB+은/JX
과거	과거/NNG
기지	기지/NNG
이전	이전/NNG
사업이	사업/NNG+이/JKS
‘자주국방’이나	‘/SS+자주국방/NNG+’/SS+이나/JC
‘반미주의’	‘/SS+반미/NNG+주의/NNG+’/SS
등에	등/NNB+에/JKB
휘둘려	휘둘리/VV+어/EC
차질을	차질/NNG+을/JKO
빚은	빚/VV+은/ETM
만큼	만큼/NNB
더는	더/MAG+는/JX
정치적	정치/NNG+적/XSN
외풍에	외풍/NNG+에/JKB
좌우되지	좌우/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
철저히	철저히/MAG
실현	실현/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일정을	일정/NNG+을/JKO
잡길	잡/VV+기/ETN+ㄹ/JKO
원한다”고	원/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


