# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.41
metadata : {}


# id : NWRW1800000025.41.1.1
[설 연휴특집]설 준비에 지친 심신… □ 하나면 사르르

[설	[/SS+설/NNG
# id : NWRW1800000025.41.17.6
사용한 뒤에는 까맣게 타버린 심지의 끝 부분을 조금 잘라낸다.

사용한	사용/NNG+하/XSV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
까맣게	까맣/VA+게/EC
타버린	타/VV+아/EC+버리/VX+ㄴ/ETM
심지의	심지/NNG+의/JKG
끝	끝/NNG
부분을	부분/NNG+을/JKO
조금	조금/MAG
잘라낸다.	자르/VV+아/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.41.17.7
그래야 다음에 다시 불을 붙일 때 그을음이 적게 생긴다.

그래야	그렇/VA+어야/EC
다음에	다음/NNG+에/JKB
다시	다시/MAG
불을	불/NNG+을/JKO
붙일	붙이/VV+ㄹ/ETM
때	때/NNG
그을음이	그을음/NNG+이/JKS
적게	적/VA+게/EC
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.41.17.8
새로 불을 붙이기 전에 기울어진 심지는 곧게 세운다.

새로	새로/MAG
불을	불/NNG+을/JKO
붙이기	붙이/VV+기/ETN
전에	전/NNG+에/JKB
기울어진	기울어지/VV+ㄴ/ETM
심지는	심지/NNG+는/JX
곧게	곧/VA+게/EC
세운다.	세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.41.18.1
정답=향초

정답=향초	정답/NNG+=/SW+향초/NNG


