# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.259
metadata : {}


# id : NWRW1800000022.259.1.1
['워킹푸어' 300만명 시대](6ㆍ끝)전문가 좌담; "중산층·빈곤층 사이 외줄타기… '안전망'이 없다"

['워킹푸어'	[/SS+'/SS+워킹푸어/NNG+'/SS
# id : NWRW1800000022.259.17.1
강석훈=교육을 못 받아서 빈곤이 대물림되는 현상을 막아야 한다.

강석훈=교육을	강석훈/NNP+=/SW+교육/NNG+을/JKO
못	못/MAG
받아서	받/VV+아서/EC
빈곤이	빈곤/NNG+이/JKS
대물림되는	대물림/NNG+되/XSV+는/ETM
현상을	현상/NNG+을/JKO
막아야	막/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.17.2
월급 120만원을 받는 사람도 아이들을 학원에 보내고 싶은 것이 인지상정이다.

월급	월급/NNG
120만원을	120/SN+만/NR+원/NNB+을/JKO
받는	받/VV+는/ETM
사람도	사람/NNG+도/JX
아이들을	아이/NNG+들/XSN+을/JKO
학원에	학원/NNG+에/JKB
보내고	보내/VV+고/EC
싶은	싶/VX+은/ETM
것이	것/NNB+이/JKS
인지상정이다.	인지상정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.17.3
그런데 돈이 없어 못한다.

그런데	그런데/MAJ
돈이	돈/NNG+이/JKS
없어	없/VA+어/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.17.4
거창한 '워킹푸어 종합대책'을 세우기보다 '근로 없이 혜택 없다'는 원칙을 기둥 삼아 하나씩 문제를 풀어나갔으면 한다.

거창한	거창하/VA+ㄴ/ETM
'워킹푸어	'/SS+워킹푸어/NNG
종합대책'을	종합/NNG+대책/NNG+'/SS+을/JKO
세우기보다	세우/VV+기/ETN+보다/JKB
'근로	'/SS+근로/NNG
없이	없이/MAG
혜택	혜택/NNG
없다'는	없/VA+다/EF+'/SS+는/ETM
원칙을	원칙/NNG+을/JKO
기둥	기둥/NNG
삼아	삼/VV+아/EC
하나씩	하나/NR+씩/XSN
문제를	문제/NNG+를/JKO
풀어나갔으면	풀/VV+어/EC+나가/VX+았/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.17.5
가령 대학생들에게 저소득층 아이들을 가르치는 자원봉사를 하게 만들자.

가령	가령/MAG
대학생들에게	대학/NNG+생/XSN+들/XSN+에게/JKB
저소득층	저/XPN+소득/NNG+층/XSN
아이들을	아이/NNG+들/XSN+을/JKO
가르치는	가르치/VV+는/ETM
자원봉사를	자원봉사/NNG+를/JKO
하게	하/VV+게/EC
만들자.	만들/VV+자/EF+./SF


# id : NWRW1800000022.259.17.6
이걸 학점으로 인정해 주고, 기업이 이 자원봉사 점수에 취업 인센티브를 주면 사교육을 받지 못하는 저소득층 아이들에게 도움이 되지 않을까.

이걸	이거/NP+ㄹ/JKO
학점으로	학점/NNG+으로/JKB
인정해	인정/NNG+하/XSV+아/EC
주고,	주/VX+고/EC+,/SP
기업이	기업/NNG+이/JKS
이	이/MMD
자원봉사	자원봉사/NNG
점수에	점수/NNG+에/JKB
취업	취업/NNG
인센티브를	인센티브/NNG+를/JKO
주면	주/VV+면/EC
사교육을	사교육/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
저소득층	저/XPN+소득/NNG+층/XSN
아이들에게	아이/NNG+들/XSN+에게/JKB
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않을까.	않/VX+을까/EF+./SF


# id : NWRW1800000022.259.18.1
장준배=쉰이 넘은 구두닦이 아저씨로부터 '세상이 너무 빨리 변해서 나처럼 나이 많이 먹은 사람은 변화를 따라잡기 힘들다'는 한탄을 들은 적이 있다.

장준배=쉰이	장준배/NNP+=/SW+쉰/NR+이/JKS
넘은	넘/VV+은/ETM
구두닦이	구두닦이/NNG
아저씨로부터	아저씨/NNG+로부터/JKB
'세상이	'/SS+세상/NNG+이/JKS
너무	너무/MAG
빨리	빨리/MAG
변해서	변하/VV+아서/EC
나처럼	나/NP+처럼/JKB
나이	나이/NNG
많이	많이/MAG
먹은	먹/VV+은/ETM
사람은	사람/NNG+은/JX
변화를	변화/NNG+를/JKO
따라잡기	따라잡/VV+기/ETN
힘들다'는	힘들/VA+다/EF+'/SS+는/ETM
한탄을	한탄/NNG+을/JKO
들은	듣/VV+은/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.259.18.2
새로운 형태의 일자리를 만들어내는 것도 좋지만, 전통적인 일자리도 어느 정도 살릴 것은 살려야 한다.

새로운	새롭/VA+ㄴ/ETM
형태의	형태/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
것도	것/NNB+도/JX
좋지만,	좋/VA+지만/EC+,/SP
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
일자리도	일자리/NNG+도/JX
어느	어느/MMD
정도	정도/NNG
살릴	살리/VV+ㄹ/ETM
것은	것/NNB+은/JX
살려야	살리/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.18.3
공(公)보육이 그 대안이 될 수 있다고 생각한다.

공(公)보육이	공/NNG+(/SS+公/SH+)/SS+보육/NNG+이/JKS
그	그/MMD
대안이	대안/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.259.18.4
젊은 부부들은 마음 놓고 아이를 맡기고 일을 할 수 있어 좋고, 보육시설 근로자들은 일자리가 새로 창출돼서 좋다.

젊은	젊/VA+은/ETM
부부들은	부부/NNG+들/XSN+은/JX
마음	마음/NNG
놓고	놓/VV+고/EC
아이를	아이/NNG+를/JKO
맡기고	맡기/VV+고/EC
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
좋고,	좋/VA+고/EC+,/SP
보육시설	보육/NNG+시설/NNG
근로자들은	근로자/NNG+들/XSN+은/JX
일자리가	일자리/NNG+가/JKS
새로	새로/MAG
창출돼서	창출/NNG+되/XSV+어서/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000022.259.19.1
유경준=근로소득에 대해 세금을 환급해주는 근로장려세제(EITC)를 확대해야 한다.

유경준=근로소득에	유경준/NNP+=/SW+근로/NNG+소득/NNG+에/JKB
대해	대하/VV+아/EC
세금을	세금/NNG+을/JKO
환급해주는	환급/NNG+하/XSV+아/EC+주/VX+는/ETM
근로장려세제(EITC)를	근로/NNG+장려/NNG+세제/NNG+(/SS+EITC/SL+)/SS+를/JKO
확대해야	확대/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.19.2
전직(轉職)훈련도 활성화돼야 한다.

전직(轉職)훈련도	전직/NNG+(/SS+轉職/SH+)/SS+훈련/NNG+도/JX
활성화돼야	활성/NNG+화/XSN+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.19.3
학력이 높고 전문 기술이 있는 사람은 스스로 알아서 할 수 있지만, 나머지 사람들은 무리 없이 전직할 수 있도록 정부가 도와줘야 한다.

학력이	학력/NNG+이/JKS
높고	높/VA+고/EC
전문	전문/NNG
기술이	기술/NNG+이/JKS
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
스스로	스스로/MAG
알아서	알/VV+아서/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
나머지	나머지/NNG
사람들은	사람/NNG+들/XSN+은/JX
무리	무리/NNG
없이	없이/MAG
전직할	전직/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
정부가	정부/NNG+가/JKS
도와줘야	도와주/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.19.4
무작정 나눠주기보다는 일하는 사람에게 혜택을 많이 줘서 중산층으로 올라설 수 있게 만드는 시스템을 구축해야 한다.

무작정	무/XPN+작정/NNG
나눠주기보다는	나누/VV+어/EC+주/VX+기/ETN+보다/JKB+는/JX
일하는	일/NNG+하/XSV+는/ETM
사람에게	사람/NNG+에게/JKB
혜택을	혜택/NNG+을/JKO
많이	많이/MAG
줘서	주/VV+어서/EC
중산층으로	중산/NNG+층/XSN+으로/JKB
올라설	올라서/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
만드는	만들/VV+는/ETM
시스템을	시스템/NNG+을/JKO
구축해야	구축/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.20.1
조성철=정부가 하고 있는 전직 훈련 프로그램을 산업 생산 현장에만 국한시키지 말자.

조성철=정부가	조성철/NNP+=/SW+정부/NNG+가/JKS
하고	하/VV+고/EC
있는	있/VX+는/ETM
전직	전직/NNG
훈련	훈련/NNG
프로그램을	프로그램/NNG+을/JKO
산업	산업/NNG
생산	생산/NNG
현장에만	현장/NNG+에/JKB+만/JX
국한시키지	국한/NNG+시키/XSV+지/EC
말자.	말/VX+자/EF+./SF


# id : NWRW1800000022.259.20.2
우리나라 사회복지 서비스 인력이 선진국의 20%가 안 된다.

우리나라	우리나라/NNG
사회복지	사회/NNG+복지/NNG
서비스	서비스/NNG
인력이	인력/NNG+이/JKS
선진국의	선진국/NNG+의/JKG
20%가	20/SN+%/SW+가/JKS
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.259.20.3
산업사회에서 빠져나온 인력을 '사회적 일자리', 즉 사람에게 서비스하는 쪽으로 연결해 주는 방법을 모색해야 한다.

산업사회에서	산업/NNG+사회/NNG+에서/JKB
빠져나온	빠져나오/VV+ㄴ/ETM
인력을	인력/NNG+을/JKO
'사회적	'/SS+사회/NNG+적/XSN
일자리',	일자리/NNG+'/SS+,/SP
즉	즉/MAG
사람에게	사람/NNG+에게/JKB
서비스하는	서비스/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
연결해	연결/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
방법을	방법/NNG+을/JKO
모색해야	모색/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


