# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.357
metadata : {}


# id : NWRW1800000021.357.1.1
정부, 오늘 신종플루 ‘심각’ 단계 격상

정부,	정부/NNG+,/SP
# id : NWRW1800000021.357.15.3
교육 당국은 학급 휴업으로 발생할 수 있는 수업 격차를 최소화할 방침이다.

교육	교육/NNG
당국은	당국/NNG+은/JX
학급	학급/NNG
휴업으로	휴업/NNG+으로/JKB
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수업	수업/NNG
격차를	격차/NNG+를/JKO
최소화할	최소/NNG+화/XSN+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.357.15.4
서울시교육청 관계자는 “수업 결손은 보충수업을 통해 채울 수 있다”며 “특정 학급만 방학이 늦춰지는 상황은 없도록 할 것”이라고 말했다.

서울시교육청	서울시교육청/NNP
관계자는	관계자/NNG+는/JX
“수업	“/SS+수업/NNG
결손은	결손/NNG+은/JX
보충수업을	보충/NNG+수업/NNG+을/JKO
통해	통하/VV+아/EC
채울	채우/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“특정	“/SS+특정/NNG
학급만	학급/NNG+만/JX
방학이	방학/NNG+이/JKS
늦춰지는	늦춰지/VV+는/ETM
상황은	상황/NNG+은/JX
없도록	없/VA+도록/EC
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.16.1
■ 분당 4개 초등교 첫 공동휴업

■	■/SW
분당	분당/NNP
4개	4/SN+개/NNB
초등교	초등교/NNG
첫	첫/MMN
공동휴업	공동/NNG+휴업/NNG


# id : NWRW1800000021.357.17.1
신종 인플루엔자 확산을 막기 위해 경기지역 초등학교 4곳이 처음으로 공동 휴업을 결정했다.

신종	신종/NNG
인플루엔자	인플루엔자/NNG
확산을	확산/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
경기지역	경기지역/NNP
초등학교	초등학교/NNG
4곳이	4/SN+곳/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
공동	공동/NNG
휴업을	휴업/NNG+을/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.17.2
2일 경기도교육청에 따르면 성남시 분당구 야탑역 주변에 있는 야탑·중탑·돌마·하탑 초등학교가 신종 플루 환자가 늘어나자 교장 협의를 거쳐 7일까지 휴업하기로 결정했다.

2일	2/SN+일/NNB
경기도교육청에	경기도교육청/NNP+에/JKB
따르면	따르/VV+면/EC
성남시	성남시/NNP
분당구	분당구/NNP
야탑역	야탑역/NNP
주변에	주변/NNG+에/JKB
있는	있/VA+는/ETM
야탑·중탑·돌마·하탑	야탑/NNP+·/SP+중탑/NNP+·/SP+돌마/NNP+·/SP+하탑/NNP
초등학교가	초등학교/NNG+가/JKS
신종	신종/NNG
플루	플루/NNG
환자가	환자/NNG+가/JKS
늘어나자	늘어나/VV+자/EC
교장	교장/NNG
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
7일까지	7/SN+일/NNB+까지/JX
휴업하기로	휴업/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.18.1
야탑초등학교의 경우 주말 결석생이 110명을 넘어서는 등 환자가 급증했다.

야탑초등학교의	야탑초등학교/NNP+의/JKG
경우	경우/NNG
주말	주말/NNG
결석생이	결석/NNG+생/XSN+이/JKS
110명을	110/SN+명/NNB+을/JKO
넘어서는	넘어서/VV+는/ETM
등	등/NNB
환자가	환자/NNG+가/JKS
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.18.2
이 학교는 고위험군에 속하는 특수학급이 2개나 되고 장애학생 중 확진자가 나오자 학교운영위원회와 지역 내 학교장 협의를 거쳐 휴업을 결정했다.

이	이/MMD
학교는	학교/NNG+는/JX
고위험군에	고위험군/NNG+에/JKB
속하는	속하/VV+는/ETM
특수학급이	특수/NNG+학급/NNG+이/JKS
2개나	2/SN+개/NNB+나/JX
되고	되/VV+고/EC
장애학생	장애/NNG+학생/NNG
중	중/NNB
확진자가	확진자/NNG+가/JKS
나오자	나오/VV+자/EC
학교운영위원회와	학교/NNG+운영/NNG+위원회/NNG+와/JC
지역	지역/NNG
내	내/NNB
학교장	학교장/NNG
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
휴업을	휴업/NNG+을/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.18.3
근처 하탑초등학교도 이날부터 휴업에 들어갔고 중탑·돌마초등학교는 지난달 30일과 31일 시작한 휴업을 다른 학교와 맞춰 7일까지 실시하기로 했다.

근처	근처/NNG
하탑초등학교도	하탑초등학교/NNP+도/JX
이날부터	이날/NNG+부터/JX
휴업에	휴업/NNG+에/JKB
들어갔고	들어가/VV+았/EP+고/EC
중탑·돌마초등학교는	중탑/NNP+·/SP+돌마초등학교/NNP+는/JX
지난달	지난달/NNG
30일과	30/SN+일/NNB+과/JC
31일	31/SN+일/NNB
시작한	시작/NNG+하/XSV+ㄴ/ETM
휴업을	휴업/NNG+을/JKO
다른	다른/MMD
학교와	학교/NNG+와/JKB
맞춰	맞추/VV+어/EC
7일까지	7/SN+일/NNB+까지/JX
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.19.1
성남시뿐 아니라 다른 지역에서도 공동 휴업을 논의하는 경우가 많아 조만간 실시 지역이 늘어날 것으로 전망된다.

성남시뿐	성남시/NNP+뿐/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
지역에서도	지역/NNG+에서/JKB+도/JX
공동	공동/NNG
휴업을	휴업/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
조만간	조만간/MAG
실시	실시/NNG
지역이	지역/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.357.19.2
도교육청 관계자는 “휴업은 학교장들의 판단으로 결정할 수 있다”며 “공동 휴업을 실시하는 학교가 조금씩 확대될 것으로 보인다”고 말했다.

도교육청	도/NNG+교육청/NNG
관계자는	관계자/NNG+는/JX
“휴업은	“/SS+휴업/NNG+은/JX
학교장들의	학교장/NNG+들/XSN+의/JKG
판단으로	판단/NNG+으로/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“공동	“/SS+공동/NNG
휴업을	휴업/NNG+을/JKO
실시하는	실시/NNG+하/XSV+는/ETM
학교가	학교/NNG+가/JKS
조금씩	조금/NNG+씩/XSN
확대될	확대/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


