# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.388
metadata : {}


# id : NWRW1800000021.388.1.1
짓다만 꿈의 인공섬엔 건설자재만 나뒹굴어…

짓다만	짓/VV+다/EC+말/VV+ㄴ/ETM
사이에서는	사이/NNG+에서/JKB+는/JX
아부다비가	아부다비/NNP+가/JKS
지원의	지원/NNG+의/JKG
대가로	대가/NNG+로/JKB
두바이의	두바이/NNP+의/JKG
국영항공사인	국영/NNG+항공사/NNG+이/VCP+ㄴ/ETM
에미레이트항공과	에미레이트항공/NNP+과/JC
중동	중동/NNP
최대의	최대/NNG+의/JKG
항만	항만/NNG
운영사인	운영사/NNG+이/VCP+ㄴ/ETM
DP월드를	DP월드/NNP+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
소문이	소문/NNG+이/JKS
공공연하게	공공연하/VA+게/EC
돌고	돌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.388.22.2
채무상환유예를 신청하기 직전 두바이가 100억 달러를 요구했음에도 50억 달러만 준 것도 두바이의 물류 허브 기능을 가져오려는 의도가 깔려 있었다는 것이다.

채무상환유예를	채무/NNG+상환/NNG+유예/NNG+를/JKO
신청하기	신청/NNG+하/XSV+기/ETN
직전	직전/NNG
두바이가	두바이/NNP+가/JKS
100억	100/SN+억/NR
달러를	달러/NNB+를/JKO
요구했음에도	요구/NNG+하/XSV+았/EP+음/ETN+에/JKB+도/JX
50억	50/SN+억/NR
달러만	달러/NNB+만/JX
준	주/VV+ㄴ/ETM
것도	것/NNB+도/JX
두바이의	두바이/NNP+의/JKG
물류	물류/NNG
허브	허브/NNG
기능을	기능/NNG+을/JKO
가져오려는	가져오/VV+려는/ETM
의도가	의도/NNG+가/JKS
깔려	깔리/VV+어/EC
있었다는	있/VX+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.388.23.1
아부다비 정부 관계자는 이날 로이터와의 인터뷰에서 무조건적인 지원은 지양할 것이라고 선을 그으면서도 “두바이가 내건 약속들을 검토한 뒤 사안별로 접근해 언제 어디서 두바이 기업을 도울 것인지를 선택할 것”이라며 선별적 지원 방침을 밝혔다.

아부다비	아부다비/NNP
정부	정부/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
로이터와의	로이터/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
무조건적인	무/XPN+조건/NNG+적/XSN+이/VCP+ㄴ/ETM
지원은	지원/NNG+은/JX
지양할	지양/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
선을	선/NNG+을/JKO
그으면서도	긋/VV+으면서/EC+도/JX
“두바이가	“/SS+두바이/NNP+가/JKS
내건	내걸/VV+ㄴ/ETM
약속들을	약속/NNG+들/XSN+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
사안별로	사안/NNG+별/XSN+로/JKB
접근해	접근/NNG+하/XSV+아/EC
언제	언제/NP
어디서	어디/NP+서/JKB
두바이	두바이/NNP
기업을	기업/NNG+을/JKO
도울	돕/VV+ㄹ/ETM
것인지를	것/NNB+이/VCP+ㄴ지/EF+를/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
선별적	선별/NNG+적/XSN
지원	지원/NNG
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.23.2
반면 현지인들은 대체로 무관심하거나 평온한 모습이었다.

반면	반면/NNG
현지인들은	현지인/NNG+들/XSN+은/JX
대체로	대체로/MAG
무관심하거나	무/XPN+관심/NNG+하/XSA+거나/EC
평온한	평온/NNG+하/XSA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.388.23.3
28일 저녁에 찾은 ‘더 몰 오브 에미레이트’는 주말과 휴일을 맞아 인파로 북적였다.

28일	28/SN+일/NNB
저녁에	저녁/NNG+에/JKB
찾은	찾/VV+은/ETM
‘더	‘/SS+더/NNP
몰	몰/NNP
오브	오브/NNP
에미레이트’는	에미레이트/NNP+’/SS+는/JX
주말과	주말/NNG+과/JC
휴일을	휴일/NNG+을/JKO
맞아	맞/VV+아/EC
인파로	인파/NNG+로/JKB
북적였다.	북적이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.23.4
이 쇼핑몰의 명물인 실내스키장 ‘스키 두바이’를 보러 인근 국가에서 찾아온 방문객들도 많았다.

이	이/MMD
쇼핑몰의	쇼핑몰/NNG+의/JKG
명물인	명물/NNG+이/VCP+ㄴ/ETM
실내스키장	실내/NNG+스키장/NNG
‘스키	‘/SS+스키/NNG
두바이’를	두바이/NNP+’/SS+를/JKO
보러	보/VV+러/EC
인근	인근/NNG
국가에서	국가/NNG+에서/JKB
찾아온	찾아오/VV+ㄴ/ETM
방문객들도	방문객/NNG+들/XSN+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.388.23.5
이곳에서 만난 대학생 모하메드 리시드 씨(21)는 “이처럼 많은 관광객이 두바이를 찾고 있지 않느냐”며 “당분간 경기 하락을 피할 순 없겠지만 구조조정을 거치면 두바이는 다시 도약할 것”이라고 낙관했다.

이곳에서	이곳/NP+에서/JKB
만난	만나/VV+ㄴ/ETM
대학생	대학/NNG+생/XSN
모하메드	모하메드/NNP
리시드	리시드/NNP
씨(21)는	씨/NNB+(/SS+21/SN+)/SS+는/JX
“이처럼	“/SS+이/NP+처럼/JKB
많은	많/VA+은/ETM
관광객이	관광객/NNG+이/JKS
두바이를	두바이/NNP+를/JKO
찾고	찾/VV+고/EC
있지	있/VX+지/EC
않느냐”며	않/VX+느냐/EF+”/SS+며/EC
“당분간	“/SS+당분간/MAG
경기	경기/NNG
하락을	하락/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없겠지만	없/VA+겠/EP+지만/EC
구조조정을	구조/NNG+조정/NNG+을/JKO
거치면	거치/VV+면/EC
두바이는	두바이/NNP+는/JX
다시	다시/MAG
도약할	도약/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
낙관했다.	낙관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.24.1
내신과 외신 사이의 온도차도 감지됐다.

내신과	내신/NNG+과/JC
외신	외신/NNG
사이의	사이/NNG+의/JKG
온도차도	온도/NNG+차/NNG+도/JX
감지됐다.	감지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.24.2
유력 영자신문인 ‘걸프 뉴스’는 29일자에 “두바이월드의 구조조정을 둘러싸고 세계 금융시장이 지나치게 과민 반응을 보이고 있다”는 내용의 기사를 실었다.

유력	유력/NNG
영자신문인	영자/NNG+신문/NNG+이/VCP+ㄴ/ETM
‘걸프	‘/SS+걸프/NNP
뉴스’는	뉴스/NNG+’/SS+는/JX
29일자에	29/SN+일/NNB+자/NNG+에/JKB
“두바이월드의	“/SS+두바이월드/NNP+의/JKG
구조조정을	구조/NNG+조정/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
세계	세계/NNG
금융시장이	금융/NNG+시장/NNG+이/JKS
지나치게	지나치/VA+게/EC
과민	과민/NNG
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
기사를	기사/NNG+를/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.24.3
반면 외신들은 두바이의 상황을 심각하게 받아들이고 실시간으로 중계하는 모습이었다.

반면	반면/NNG
외신들은	외신/NNG+들/XSN+은/JX
두바이의	두바이/NNP+의/JKG
상황을	상황/NNG+을/JKO
심각하게	심각하/VA+게/EC
받아들이고	받아들이/VV+고/EC
실시간으로	실시간/NNG+으로/JKB
중계하는	중계/NNG+하/XSV+는/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


