# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.318
metadata : {}


# id : NWRW1800000022.318.1.1
['화려한 싱글'은 없다] (上) 가난한 '1인가구' 급증;나홀로 가구 절반, 한 달 수입 100만원 안돼

['화려한	[/SS+'/SS+화려하/VA+ㄴ/ETM
그런	그런/MMD
그가	그/NP+가/JKS
삶의	삶/NNG+의/JKG
자세를	자세/NNG+를/JKO
바꿔	바꾸/VV+어/EC
성실한	성실/NNG+하/XSA+ㄴ/ETM
생활인으로	생활인/NNG+으로/JKB
돌아온	돌아오/VV+ㄴ/ETM
것은	것/NNB+은/JX
불과	불과/MAG
2년	2/SN+년/NNB
전의	전/NNG+의/JKG
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.16.1
"16살짜리 딸이 공부를 잘해요.

"16살짜리	"/SS+16/SN+살/NNB+짜리/XSN
딸이	딸/NNG+이/JKS
공부를	공부/NNG+를/JKO
잘해요.	잘/MAG+하/XSV+아요/EF+./SF


# id : NWRW1800000022.318.16.2
해준 것도 없는데, 대학 등록금만은 아빠가 대줘야 할 것 같아서 택시 몰면서 한달에 20만~30만원씩 모으고 있어요."

해준	하/VV+아/EC+주/VX+ㄴ/ETM
것도	것/NNB+도/JX
없는데,	없/VA+는데/EC+,/SP
대학	대학/NNG
등록금만은	등록금/NNG+만/JX+은/JX
아빠가	아빠/NNG+가/JKS
대줘야	대/VV+어/EC+주/VX+어야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같아서	같/VA+아서/EC
택시	택시/NNG
몰면서	몰/VV+면서/EC
한달에	한/MMN+달/NNB+에/JKB
20만~30만원씩	20/SN+만/NR+~/SO+30/SN+만/NR+원/NNB+씩/XSN
모으고	모으/VV+고/EC
있어요."	있/VX+어요/EF+./SF+"/SS


# id : NWRW1800000022.318.17.1
전문가들은 "독거노인들은 물론, 비정규직과 아르바이트로 생활하는 20~30대 1인가구의 절망감도 심각한 수준"이라고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
"독거노인들은	"/SS+독거노인/NNG+들/XSN+은/JX
물론,	물론/MAG+,/SP
비정규직과	비/XPN+정규직/NNG+과/JC
아르바이트로	아르바이트/NNG+로/JKB
생활하는	생활/NNG+하/XSV+는/ETM
20~30대	20/SN+~/SO+30/SN+대/NNB
1인가구의	1/SN+인/NNG+가구/NNG+의/JKG
절망감도	절망감/NNG+도/JX
심각한	심각하/VA+ㄴ/ETM
수준"이라고	수준/NNG+"/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.18.1
서울 낙원동에서 14년째 혼자 사는 김오태(63)씨의 경우, 시집간 딸(41)과 연락이 끊긴 지 10년쯤 됐다.

서울	서울/NNP
낙원동에서	낙원동/NNP+에서/JKB
14년째	14/SN+년/NNB+째/XSN
혼자	혼자/NNG
사는	살/VV+는/ETM
김오태(63)씨의	김오태/NNP+(/SS+63/SN+)/SS+씨/NNB+의/JKG
경우,	경우/NNG+,/SP
시집간	시집가/VV+ㄴ/ETM
딸(41)과	딸/NNG+(/SS+41/SN+)/SS+과/JKB
연락이	연락/NNG+이/JKS
끊긴	끊기/VV+ㄴ/ETM
지	지/NNB
10년쯤	10/SN+년/NNB+쯤/XSN
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.18.2
중소기업 다니던 아들은 지난 2월 37세의 나이로 직장에서 쓰러져 그대로 숨졌다.

중소기업	중소기업/NNG
다니던	다니/VV+던/ETM
아들은	아들/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
37세의	37/SN+세/NNB+의/JKG
나이로	나이/NNG+로/JKB
직장에서	직장/NNG+에서/JKB
쓰러져	쓰러지/VV+어/EC
그대로	그대로/MAG
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.18.3
과로사였다.

과로사였다.	과로사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.318.19.1
"딸도 형편이 어려워요.

"딸도	"/SS+딸/NNG+도/JX
형편이	형편/NNG+이/JKS
어려워요.	어렵/VA+어요/EF+./SF


# id : NWRW1800000022.318.19.2
돈 없고 몸이 아픈 내가 자꾸 전화하니까 부담스러웠던 것 같아요.

돈	돈/NNG
없고	없/VA+고/EC
몸이	몸/NNG+이/JKS
아픈	아프/VA+ㄴ/ETM
내가	내/NP+가/JKS
자꾸	자꾸/MAG
전화하니까	전화/NNG+하/XSV+니까/EC
부담스러웠던	부담/NNG+스럽/XSA+었/EP+던/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000022.318.19.3
딸이 내 전화를 피하니까 나도 안 걸게 되고, 그렇게 몇년 지나다보니 이제는 전화번호도 주소도 모르게 됐어요.

딸이	딸/NNG+이/JKS
내	나/NP+의/JKG
전화를	전화/NNG+를/JKO
피하니까	피하/VV+니까/EC
나도	나/NP+도/JX
안	안/MAG
걸게	걸/VV+게/EC
되고,	되/VV+고/EC+,/SP
그렇게	그렇/VA+게/EC
몇년	몇/NR+년/NNB
지나다보니	지나/VV+다/EC+보/VX+니/EC
이제는	이제/NNG+는/JX
전화번호도	전화번호/NNG+도/JX
주소도	주소/NNG+도/JX
모르게	모르/VV+게/EC
됐어요.	되/VV+었/EP+어요/EF+./SF


# id : NWRW1800000022.318.19.4
친척들도 뿔뿔이 흩어져 사는 터라 고향에 내려가도 밥 한끼 먹을 곳이 없어요."

친척들도	친척/NNG+들/XSN+도/JX
뿔뿔이	뿔뿔이/MAG
흩어져	흩어지/VV+어/EC
사는	살/VV+는/ETM
터라	터/NNB+이/VCP+라/EC
고향에	고향/NNG+에/JKB
내려가도	내려가/VV+아도/EC
밥	밥/NNG
한끼	한/MMN+끼/NNG
먹을	먹/VV+을/ETM
곳이	곳/NNG+이/JKS
없어요."	없/VA+어요/EF+./SF+"/SS


# id : NWRW1800000022.318.20.1
그는 작년 12월 고혈압으로 쓰러졌다.

그는	그/NP+는/JX
작년	작년/NNG
12월	12/SN+월/NNB
고혈압으로	고/XPN+혈압/NNG+으로/JKB
쓰러졌다.	쓰러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.20.2
"도움을 청할 생각에 '어억'하고 크게 소리를 냈다"고 했다.

"도움을	"/SS+도움/NNG+을/JKO
청할	청/NNG+하/XSV+ㄹ/ETM
생각에	생각/NNG+에/JKB
'어억'하고	'/SS+어억/IC+'/SS+하고/JKQ
크게	크/VA+게/EC
소리를	소리/NNG+를/JKO
냈다"고	내/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.20.3
다행히 옆방 사람이 그가 쓰러지는 소리를 듣고 119를 불러줬다.

다행히	다행히/MAG
옆방	옆방/NNG
사람이	사람/NNG+이/JKS
그가	그/NP+가/JKS
쓰러지는	쓰러지/VV+는/ETM
소리를	소리/NNG+를/JKO
듣고	듣/VV+고/EC
119를	119/SN+를/JKO
불러줬다.	부르/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.318.20.4
그는 "또 아프거나 쓰러질까봐 겁이 난다"고 했다.

그는	그/NP+는/JX
"또	"/SS+또/MAG
아프거나	아프/VA+거나/EC
쓰러질까봐	쓰러지/VV+ㄹ까/EF+보/VX+아/EC
겁이	겁/NNG+이/JKS
난다"고	나/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.21.1
한편, 1990년대의 20~30대 1인가구는 학업이 길어지거나 결혼관이 바뀌면서 자발적으로 '만혼'을 선택한 사람들이 많았다.

한편,	한편/MAG+,/SP
1990년대의	1990/SN+년대/NNB+의/JKG
20~30대	20/SN+~/SO+30/SN+대/NNB
1인가구는	1/SN+인/NNG+가구/NNG+는/JX
학업이	학업/NNG+이/JKS
길어지거나	길어지/VV+거나/EC
결혼관이	결혼관/NNG+이/JKS
바뀌면서	바뀌/VV+면서/EC
자발적으로	자발/NNG+적/XSN+으로/JKB
'만혼'을	'/SS+만혼/NNG+'/SS+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.318.21.2
연세대 사회학과 김호기 교수는 "대기업에 들어가건 중소기업에 들어가건 일단 취직하기만 하면 장기적인 계획을 세울 수 있었던 선배들과 달리, 박봉과 만성적인 고용불안에 시달리는 2009년의 20~30대 1인가구는 자기 힘으로는 미래를 계획하는 게 불가능한 경우가 많다"고 지적했다.

연세대	연세대/NNP
사회학과	사회학과/NNG
김호기	김호기/NNP
교수는	교수/NNG+는/JX
"대기업에	"/SS+대/XPN+기업/NNG+에/JKB
들어가건	들어가/VV+건/EC
중소기업에	중소기업/NNG+에/JKB
일단	일단/MAG
취직하기만	취직/NNG+하/XSV+기/ETN+만/JX
하면	하/VX+면/EC
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
선배들과	선배/NNG+들/XSN+과/JKB
달리,	달리/MAG+,/SP
박봉과	박봉/NNG+과/JC
만성적인	만성/NNG+적/XSN+이/VCP+ㄴ/ETM
고용불안에	고용/NNG+불안/NNG+에/JKB
시달리는	시달리/VV+는/ETM
2009년의	2009/SN+년/NNB+의/JKG
20~30대	20/SN+~/SO+30/SN+대/NNB
1인가구는	1/SN+인/NNG+가구/NNG+는/JX
자기	자기/NP
힘으로는	힘/NNG+으로/JKB+는/JX
미래를	미래/NNG+를/JKO
계획하는	계획/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.22.1
지난 2월 대학을 졸업한 한승엽(28)씨는 수원 영통구에서 원룸(26.4㎡·8평)에 혼자 살고 있다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
대학을	대학/NNG+을/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
한승엽(28)씨는	한승엽/NNP+(/SS+28/SN+)/SS+씨/NNB+는/JX
수원	수원/NNP
영통구에서	영통구/NNP+에서/JKB
원룸(26.4㎡·8평)에	원룸/NNG+(/SS+26/SN+./SP+4/SN+㎡/SW+·/SP+8/SN+평/NNB+)/SS+에/JKB
혼자	혼자/NNG
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.318.22.2
대학 입학 후 줄곧 부모와 헤어져 살고 있는 한씨는 대학시절 내내 음식업 서빙, 편의점 아르바이트, 휴대폰 판매원 등 닥치는대로 아르바이트를 해서 지금 사는 원룸의 전세금 3000만원을 마련했다.

대학	대학/NNG
입학	입학/NNG
후	후/NNG
줄곧	줄곧/MAG
부모와	부모/NNG+와/JKB
헤어져	헤어지/VV+어/EC
살고	살/VV+고/EC
있는	있/VX+는/ETM
한씨는	한/NNP+씨/NNB+는/JX
대학시절	대학/NNG+시절/NNG
내내	내내/MAG
음식업	음식업/NNG
서빙,	서빙/NNG+,/SP
편의점	편의점/NNG
아르바이트,	아르바이트/NNG+,/SP
휴대폰	휴대폰/NNG
판매원	판매원/NNG
등	등/NNB
닥치는대로	닥치/VV+는/ETM+대로/NNB
아르바이트를	아르바이트/NNG+를/JKO
해서	하/VV+아서/EC
지금	지금/MAG
사는	살/VV+는/ETM
원룸의	원룸/NNG+의/JKG
전세금	전세금/NNG
3000만원을	3000/SN+만/NR+원/NNB+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.22.3
대학 졸업 직후부터 5월까지 3개월간 대기업 비정규직으로 월 100만원을 받았고, 이후 6~8월에는 또다른 대기업에서 인턴으로 일했다.

대학	대학/NNG
졸업	졸업/NNG
직후부터	직후/NNG+부터/JX
5월까지	5/SN+월/NNB+까지/JX
3개월간	3/SN+개월/NNB+간/XSN
대기업	대/XPN+기업/NNG
비정규직으로	비/XPN+정규직/NNG+으로/JKB
월	월/NNG
100만원을	100/SN+만/NR+원/NNB+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
이후	이후/NNG
6~8월에는	6/SN+~/SO+8/SN+월/NNB+에/JKB+는/JX
또다른	또/MAG+다른/MMD
대기업에서	대/XPN+기업/NNG+에서/JKB
인턴으로	인턴/NNG+으로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.22.4
그는 "60군데 넘게 원서를 냈지만 아직 연락 온 곳이 없다"고 했다.

그는	그/NP+는/JX
"60군데	"/SS+60/SN+군데/NNB
넘게	넘/VV+게/EC
원서를	원서/NNG+를/JKO
냈지만	내/VV+었/EP+지만/EC
아직	아직/MAG
연락	연락/NNG
온	오/VV+ㄴ/ETM
곳이	곳/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.23.1
"정규직 취업은 영영 불가능할지 모른다는 생각이 자꾸 들어요.

"정규직	"/SS+정규직/NNG
취업은	취업/NNG+은/JX
영영	영영/MAG
불가능할지	불/XPN+가능/NNG+하/XSA+ㄹ지/EC
모른다는	모르/VV+ㄴ다는/ETM
생각이	생각/NNG+이/JKS
자꾸	자꾸/MAG
들어요.	들/VV+어요/EF+./SF


# id : NWRW1800000022.318.23.2
졸업하면 직장에 들어가 돈을 모은 뒤 결혼을 하는 게 목표였는데, 이대로 시간이 가면 30대가 돼서도 원룸에 혼자 살면서 아르바이트로 먹고살게 될 것 같아요.

졸업하면	졸업/NNG+하/XSV+면/EC
직장에	직장/NNG+에/JKB
들어가	들어가/VV+아/EC
돈을	돈/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
뒤	뒤/NNG
결혼을	결혼/NNG+을/JKO
하는	하/VV+는/ETM
게	거/NNB+이/JKS
목표였는데,	목표/NNG+이/VCP+었/EP+는데/EC+,/SP
이대로	이대로/MAG
시간이	시간/NNG+이/JKS
가면	가/VV+면/EC
30대가	30/SN+대/NNB+가/JKC
돼서도	되/VV+어서/EC+도/JX
원룸에	원룸/NNG+에/JKB
혼자	혼자/NNG
살면서	살/VV+면서/EC
아르바이트로	아르바이트/NNG+로/JKB
먹고살게	먹고살/VV+게/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000022.318.23.3
답답해서 미쳐버릴 것 같죠."

답답해서	답답하/VA+아서/EC
미쳐버릴	미치/VV+어/EC+버리/VX+ㄹ/ETM
것	것/NNB
같죠."	같/VA+죠/EF+./SF+"/SS


