# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.375
metadata : {}


# id : NWRW1800000024.375.1.1
(21) 엘지디스플레이 /“외모보다 긍정적 의지·균형된 시각 보여달라”

(21)	(/SS+21/SN+)/SS
훈련하면서	훈련/NNG+하/XSV+면서/EC
긴장하더라도	긴장/NNG+하/XSV+더라도/EC
잘	잘/MAG
대답할	대답/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
준비해야	준비/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.375.19.4
또 면접관들이 제일 싫어하는 게 거짓말하는 것이다.

또	또/MAG
면접관들이	면접관/NNG+들/XSN+이/JKS
제일	제일/MAG
싫어하는	싫어하/VV+는/ETM
게	거/NNB+이/JKS
거짓말하는	거짓말/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.375.19.5
솔직한 답변이 면접을 볼 때 매우 중요하다.”

솔직한	솔직하/VA+ㄴ/ETM
답변이	답변/NNG+이/JKS
면접을	면접/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
매우	매우/MAG
중요하다.”	중요/NNG+하/XSA+다/EF+./SF+”/SS


# id : NWRW1800000024.375.20.1
-업무 강도가 강해서 버티기 힘들다는 인식도 있다.

-업무	-/SO+업무/NNG
강도가	강도/NNG+가/JKS
강해서	강하/VA+아서/EC
버티기	버티/VV+기/ETN
힘들다는	힘들/VA+다는/ETM
인식도	인식/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.21.1
“지원자들이 ‘아오지 탄광’이라는 말도 한다고 들었다.

“지원자들이	“/SS+지원자/NNG+들/XSN+이/JKS
‘아오지	‘/SS+아오지/NNP
탄광’이라는	탄광/NNG+’/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
한다고	하/VV+ㄴ다고/EC
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.375.21.2
(웃음) 대한민국에서 정보기술(IT) 산업 가운데 세계 1위 하는 분야는 반도체, 디스플레이 등이 있다.

(웃음)	(/SS+웃음/NNG+)/SS
대한민국에서	대한민국/NNP+에서/JKB
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
산업	산업/NNG
가운데	가운데/NNG
세계	세계/NNG
1위	1/SN+위/NNB
하는	하/VV+는/ETM
분야는	분야/NNG+는/JX
반도체,	반도체/NNG+,/SP
디스플레이	디스플레이/NNG
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.21.3
1등을 하고 있는 산업에서도 1등을 지향하는 회사에 일할 수 있다는 것 자체가 굉장한 자부심을 줄 수 있다.

1등을	1/SN+등/NNB+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
산업에서도	산업/NNG+에서/JKB+도/JX
지향하는	지향/NNG+하/XSV+는/ETM
회사에	회사/NNG+에/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
굉장한	굉장하/VA+ㄴ/ETM
자부심을	자부심/NNG+을/JKO
줄	주/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.21.4
지원한 이유가 이것만으로도 충분하다고 본다.

지원한	지원/NNG+하/XSV+ㄴ/ETM
이유가	이유/NNG+가/JKS
이것만으로도	이것/NP+만/JX+으로/JKB+도/JX
충분하다고	충분하/VA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.21.5
업종의 특성상 365일 가동을 해야 한다.

업종의	업종/NNG+의/JKG
특성상	특성/NNG+상/XSN
365일	365/SN+일/NNB
가동을	가동/NNG+을/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.375.21.6
인사팀에서 노동 환경에 대해 관심을 쏟고 있지만 업종의 특성으로 인해 하루아침에 고칠 수 없는 부분이 있다.

인사팀에서	인사/NNG+팀/NNG+에서/JKB
노동	노동/NNG
환경에	환경/NNG+에/JKB
대해	대하/VV+아/EC
관심을	관심/NNG+을/JKO
쏟고	쏟/VV+고/EC
있지만	있/VX+지만/EC
업종의	업종/NNG+의/JKG
특성으로	특성/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
하루아침에	하루아침/NNG+에/JKB
고칠	고치/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
부분이	부분/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.21.7
대신 이를 상쇄할 수 있는 시스템을 갖추고 있다.

대신	대신/NNG
이를	이/NP+를/JKO
상쇄할	상쇄/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템을	시스템/NNG+을/JKO
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.375.21.8
특히 1등을 지향하는 회사에서 본인이 성장할 수 있는 기회가 무궁무진하고 많은 학습과 성장의 기회가 제공될 수 있다.

특히	특히/MAG
1등을	1/SN+등/NNB+을/JKO
지향하는	지향/NNG+하/XSV+는/ETM
회사에서	회사/NNG+에서/JKB
본인이	본인/NNG+이/JKS
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKS
무궁무진하고	무궁무진/NNG+하/XSA+고/EC
많은	많/VA+은/ETM
학습과	학습/NNG+과/JC
성장의	성장/NNG+의/JKG
제공될	제공/NNG+되/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.21.9
힘든 만큼 내 삶이나 경력에 대한 열정이 있다면 한번쯤 도전하고 기여할 수 있는 공간이라고 생각한다.”

힘든	힘들/VA+ㄴ/ETM
만큼	만큼/NNB
내	나/NP+의/JKG
삶이나	삶/NNG+이나/JC
경력에	경력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열정이	열정/NNG+이/JKS
있다면	있/VA+다면/EC
한번쯤	한번/NNG+쯤/XSN
도전하고	도전/NNG+하/XSV+고/EC
기여할	기여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간이라고	공간/NNG+이/VCP+라고/EC
생각한다.”	생각/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000024.375.22.1
-신입사원 연수 중에 시험을 치르고 기준 점수에 못 미치면 퇴출된다는 얘기가 있다.

-신입사원	-/SO+신입/NNG+사원/NNG
연수	연수/NNG
중에	중/NNB+에/JKB
시험을	시험/NNG+을/JKO
치르고	치르/VV+고/EC
기준	기준/NNG
점수에	점수/NNG+에/JKB
못	못/MAG
미치면	미치/VV+면/EC
퇴출된다는	퇴출/NNG+되/XSV+ㄴ다는/ETM
얘기가	얘기/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.23.1
“연수 기간 배운 것에 대한 평가가 이뤄진다.

“연수	“/SS+연수/NNG
기간	기간/NNG
배운	배우/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
평가가	평가/NNG+가/JKS
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.23.2
하지만 이때 성적이 나빠서 퇴출되는 경우는 없다.

하지만	하지만/MAJ
이때	이때/NNG
성적이	성적/NNG+이/JKS
나빠서	나쁘/VA+아서/EC
퇴출되는	퇴출/NNG+되/XSV+는/ETM
경우는	경우/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.375.23.3
일반적인 기준이라면 걱정 하지 않아도 된다.”

일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
기준이라면	기준/NNG+이/VCP+라면/EC
걱정	걱정/NNG
하지	하/VV+지/EC
않아도	않/VX+아도/EC
된다.”	되/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000024.375.24.1
-면접에서 만난 팀장과 일하는 경우가 많다고 들었다.

-면접에서	-/SO+면접/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
팀장과	팀장/NNG+과/JKB
일하는	일/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다고	많/VA+다고/EC
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.375.24.2
“현업 팀장 3~4명과 인사팀 관계자가 함께 들어간다.

“현업	“/SS+현업/NNG
팀장	팀장/NNG
3~4명과	3/SN+~/SO+4/SN+명/NNB+과/JC
인사팀	인사/NNG+팀/NNG
관계자가	관계자/NNG+가/JKS
함께	함께/MAG
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.24.3
면접을 본 팀장이 지원자에 대한 욕심이 있고 지원자의 의사가 다르지 않다면 최대한 배치하려고 한다.

면접을	면접/NNG+을/JKO
본	보/VV+ㄴ/ETM
팀장이	팀장/NNG+이/JKS
지원자에	지원자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
욕심이	욕심/NNG+이/JKS
있고	있/VA+고/EC
지원자의	지원자/NNG+의/JKG
의사가	의사/NNG+가/JKS
다르지	다르/VA+지/EC
않다면	않/VX+다면/EC
최대한	최대한/MAG
배치하려고	배치/NNG+하/XSV+려고/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.375.24.4
지원자는 자신에게 호감을 가진 팀장이랑 일하는 게 좋고, 팀장에게는 종일 면접하는 것에 보상이 될 수도 있다.

지원자는	지원자/NNG+는/JX
자신에게	자신/NNG+에게/JKB
호감을	호감/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
팀장이랑	팀장/NNG+이랑/JKB
일하는	일/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋고,	좋/VA+고/EC+,/SP
팀장에게는	팀장/NNG+에게/JKB+는/JX
종일	종일/MAG
면접하는	면접/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
보상이	보상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.24.5
또 지원자의 희망을 최대한 반영해 현업에 배치하려고 한다.”

또	또/MAG
지원자의	지원자/NNG+의/JKG
희망을	희망/NNG+을/JKO
최대한	최대한/MAG
반영해	반영/NNG+하/XSV+아/EC
현업에	현업/NNG+에/JKB
배치하려고	배치/NNG+하/XSV+려고/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000024.375.25.1
-마지막으로 인사담당자의 입장에서 조언을 한다면?

-마지막으로	-/SO+마지막/NNG+으로/JKB
인사담당자의	인사/NNG+담당자/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
조언을	조언/NNG+을/JKO
한다면?	하/VV+ㄴ다면/EC+?/SF


# id : NWRW1800000024.375.26.1
“자신의 적성에 따라 소신 지원을 했으면 한다.

“자신의	“/SS+자신/NNG+의/JKG
적성에	적성/NNG+에/JKB
따라	따르/VV+아/EC
소신	소신/NNG
지원을	지원/NNG+을/JKO
했으면	하/VV+았/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.375.26.2
또 회사에 대해 어느 정도 공부를 하고 오는 것이 좋다.

또	또/MAG
회사에	회사/NNG+에/JKB
대해	대하/VV+아/EC
어느	어느/MMD
정도	정도/NNG
공부를	공부/NNG+를/JKO
하고	하/VV+고/EC
오는	오/VV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000024.375.26.3
준비해온 지원자는 면접에서 확연히 차이점을 드러낸다.

준비해온	준비/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
지원자는	지원자/NNG+는/JX
면접에서	면접/NNG+에서/JKB
확연히	확연히/MAG
차이점을	차이점/NNG+을/JKO
드러낸다.	드러내/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.26.4
그리고 무엇보다 당장 입사를 하겠다는 것보다 입사를 한 뒤 어떤 분야에서 어떤 것을 하겠다는 목표가 뚜렷한 지원자가 유리할 것이다.”

그리고	그리고/MAJ
무엇보다	무엇/NP+보다/JKB
당장	당장/NNG
입사를	입사/NNG+를/JKO
하겠다는	하/VV+겠/EP+다는/ETM
것보다	것/NNB+보다/JKB
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
어떤	어떤/MMD
분야에서	분야/NNG+에서/JKB
것을	것/NNB+을/JKO
목표가	목표/NNG+가/JKS
뚜렷한	뚜렷하/VA+ㄴ/ETM
지원자가	지원자/NNG+가/JKS
유리할	유리/NNG+하/XSA+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000024.375.26.5
<끝>

<끝>	</SS+끝/NNG+>/SS


