# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.197
metadata : {}


# id : NWRW1800000021.197.1.1
“충격적인 판갈아엎기… 후속 인사태풍 언제 얼마까지”

“충격적인	“/SS+충격/NNG+적/XSN+이/VCP+ㄴ/ETM
술렁였다.	술렁이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.20.2
이날 경기 과천시와 수원시에서 중앙부처 실국장 워크숍에 참석했던 국장급 간부들은 공정위를 통해 백 내정자의 업무 스타일 등을 파악하느라 분주했다.

이날	이날/NNG
경기	경기/NNP
과천시와	과천시/NNP+와/JC
수원시에서	수원시/NNP+에서/JKB
중앙부처	중앙/NNG+부처/NNG
실국장	실국장/NNG
워크숍에	워크숍/NNG+에/JKB
참석했던	참석/NNG+하/XSV+았/EP+던/ETM
국장급	국장급/NNG
간부들은	간부/NNG+들/XSN+은/JX
공정위를	공정위/NNG+를/JKO
통해	통하/VV+아/EC
백	백/NNP
내정자의	내정자/NNG+의/JKG
업무	업무/NNG
스타일	스타일/NNG
등을	등/NNB+을/JKO
파악하느라	파악/NNG+하/XSV+느라/EC
분주했다.	분주/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000021.197.21.1
43년 국세청 역사에 국세행정 경험이 전무한 학자 출신이 청장에 내정된 것은 이번이 처음이다.

43년	43/SN+년/NNB
국세청	국세청/NNG
역사에	역사/NNG+에/JKB
국세행정	국세/NNG+행정/NNG
경험이	경험/NNG+이/JKS
전무한	전무/NNG+하/XSA+ㄴ/ETM
학자	학자/NNG
출신이	출신/NNG+이/JKS
청장에	청장/NNG+에/JKB
내정된	내정/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.21.2
노무현 정부 당시 관세청장에서 발탁된 이용섭 씨도 외부인사로 분류되지만 관료 출신인 이 씨는 상급기관인 재정경제부에서 세제실장 등을 맡았다는 점에서 업무 연관성이 전혀 없다고 하기는 힘들다.

노무현	노무현/NNP
정부	정부/NNG
당시	당시/NNG
관세청장에서	관세청장/NNG+에서/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
이용섭	이용섭/NNP
씨도	씨/NNB+도/JX
외부인사로	외부/NNG+인사/NNG+로/JKB
분류되지만	분류/NNG+되/XSV+지만/EC
관료	관료/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
이	이/NNP
씨는	씨/NNB+는/JX
상급기관인	상급/NNG+기관/NNG+이/VCP+ㄴ/ETM
재정경제부에서	재정/NNG+경제부/NNG+에서/JKB
세제실장	세제실장/NNG
등을	등/NNB+을/JKO
맡았다는	맡/VV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
업무	업무/NNG
연관성이	연관/NNG+성/XSN+이/JKS
전혀	전혀/MAG
없다고	없/VA+다고/EC
하기는	하/VV+기/ETN+는/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000021.197.21.3
국세청으로서는 아무런 연줄도, 공통분모도 없는 ‘백지’ 상태의 인물을 새 청장으로 맞게 된 셈.

국세청으로서는	국세청/NNG+으로서/JKB+는/JX
아무런	아무런/MMD
연줄도,	연줄/NNG+도/JX+,/SP
공통분모도	공통분모/NNG+도/JX
없는	없/VA+는/ETM
‘백지’	‘/SS+백지/NNG+’/SS
상태의	상태/NNG+의/JKG
인물을	인물/NNG+을/JKO
새	새/MMA
청장으로	청장/NNG+으로/JKB
맞게	맞/VV+게/EC
된	되/VV+ㄴ/ETM
셈.	셈/NNB+./SF


# id : NWRW1800000021.197.22.1
국세청장 자리가 5개월 넘게 비었던 것도 국세청 설립 이후 처음 있는 일이다.

국세청장	국세청장/NNG
자리가	자리/NNG+가/JKS
5개월	5/SN+개월/NNB
넘게	넘/VV+게/EC
비었던	비/VV+었/EP+던/ETM
것도	것/NNB+도/JX
국세청	국세청/NNG
설립	설립/NNG
이후	이후/NNG
처음	처음/NNG
있는	있/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.22.2
이번 인선은 사상 초유의 청장 장기공백 사태를 감수한 끝에 내놓은 카드라는 점에서 의미가 남다를 수밖에 없다.

이번	이번/NNG
인선은	인선/NNG+은/JX
사상	사상/NNG
초유의	초유/NNG+의/JKG
청장	청장/NNG
장기공백	장기/NNG+공백/NNG
사태를	사태/NNG+를/JKO
감수한	감수/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
내놓은	내놓/VV+은/ETM
카드라는	카드/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
의미가	의미/NNG+가/JKS
남다를	남다르/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.197.22.3
이에 따라 국세청 안팎에서는 백 내정자의 등장을 국세청에 대한 강력한 쇄신을 예고하는 ‘신호탄’으로 받아들이고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
국세청	국세청/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
백	백/NNP
내정자의	내정자/NNG+의/JKG
등장을	등장/NNG+을/JKO
국세청에	국세청/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
쇄신을	쇄신/NNG+을/JKO
예고하는	예고/NNG+하/XSV+는/ETM
‘신호탄’으로	‘/SS+신호탄/NNG+’/SS+으로/JKB
받아들이고	받아들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.22.4
국세청에 대한 이명박 대통령의 불신이 그만큼 크다는 증거라며 바짝 긴장하는 기류도 감지된다.

국세청에	국세청/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
불신이	불신/NNG+이/JKS
그만큼	그만큼/NNG
크다는	크/VA+다는/ETM
증거라며	증거/NNG+이/VCP+라며/EC
바짝	바짝/MAG
긴장하는	긴장/NNG+하/XSV+는/ETM
기류도	기류/NNG+도/JX
감지된다.	감지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.23.1
일각에서는 한상률 전 청장이 올 1월 ‘그림 로비’ 사건으로 불명예 퇴진한 것을 비롯해 이주성, 전군표 전 청장이 구속되는 등 전임 청장 3명이 연이어 비리에 연루된 것이 국세청 개혁론을 촉발시켰다는 점을 들어 ‘자업자득’이라는 자성론을 펴고 있다.

일각에서는	일각/NNG+에서/JKB+는/JX
한상률	한상률/NNP
전	전/MMD
청장이	청장/NNG+이/JKS
올	올/NNG
1월	1/SN+월/NNB
‘그림	‘/SS+그림/NNG
로비’	로비/NNG+’/SS
사건으로	사건/NNG+으로/JKB
불명예	불/XPN+명예/NNG
퇴진한	퇴진/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
이주성,	이주성/NNP+,/SP
전군표	전군표/NNP
구속되는	구속/NNG+되/XSV+는/ETM
등	등/NNB
전임	전임/NNG
청장	청장/NNG
3명이	3/SN+명/NNB+이/JKS
연이어	연잇/VV+어/EC
비리에	비리/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
국세청	국세청/NNG
개혁론을	개혁/NNG+론/XSN+을/JKO
촉발시켰다는	촉발/NNG+시키/XSV+었/EP+다는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
‘자업자득’이라는	‘/SS+자업자득/NNG+’/SS+이/VCP+라는/ETM
자성론을	자성/NNG+론/XSN+을/JKO
펴고	펴/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.24.1
백 내정자는 취임 직후부터 국세청 개혁을 밀어붙이기 위해 대대적인 인사를 단행할 것으로 보인다.

백	백/NNP
내정자는	내정자/NNG+는/JX
취임	취임/NNG
직후부터	직후/NNG+부터/JX
국세청	국세청/NNG
개혁을	개혁/NNG+을/JKO
밀어붙이기	밀어붙이/VV+기/ETN
위해	위하/VV+아/EC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
인사를	인사/NNG+를/JKO
단행할	단행/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.24.2
어느 행정기관보다도 내부 결속력이 강하다고 정평이 난 국세청을 단기간에 장악하려면 핵심 보직에 대한 인사가 불가피하기 때문이다.

어느	어느/MMD
행정기관보다도	행정/NNG+기관/NNG+보다/JKB+도/JX
내부	내부/NNG
결속력이	결속력/NNG+이/JKS
강하다고	강하/VA+다고/EC
정평이	정평/NNG+이/JKS
난	나/VV+ㄴ/ETM
국세청을	국세청/NNG+을/JKO
단기간에	단기간/NNG+에/JKB
장악하려면	장악/NNG+하/XSV+려면/EC
핵심	핵심/NNG
보직에	보직/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인사가	인사/NNG+가/JKS
불가피하기	불가피하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.24.3
고위직의 연쇄이동이 확실시되는 데다 서기관 이상 관리자의 명예퇴직도 이달 말 예정돼 있어 한 차례 인사 태풍이 불 것으로 전망된다.

고위직의	고위직/NNG+의/JKG
연쇄이동이	연쇄/NNG+이동/NNG+이/JKS
확실시되는	확실시/NNG+되/XSV+는/ETM
데다	데/NNB+다/JX
서기관	서기관/NNG
이상	이상/NNG
관리자의	관리자/NNG+의/JKG
명예퇴직도	명예퇴직/NNG+도/JX
이달	이달/NNG
말	말/NNB
예정돼	예정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
한	한/MMN
차례	차례/NNG
인사	인사/NNG
태풍이	태풍/NNG+이/JKS
불	불/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.24.4
청와대는 그동안 국세행정선진화 실무태스크포스(TF)를 구성해 국세청 개혁방안을 다듬어왔다.

청와대는	청와대/NNP+는/JX
그동안	그동안/NNG
국세행정선진화	국세/NNG+행정/NNG+선진/NNG+화/XSN
실무태스크포스(TF)를	실무/NNG+태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
구성해	구성/NNG+하/XSV+아/EC
국세청	국세청/NNG
개혁방안을	개혁/NNG+방안/NNG+을/JKO
다듬어왔다.	다듬/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.197.24.5
지방청을 폐지하고 외부감시위원회를 설치하는 등 조직을 효율화하고 투명성을 강화하는 방안이 거론됐지만 이번 인사로 개혁의 강도가 세질 가능성이 커졌다.

지방청을	지방청/NNG+을/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
외부감시위원회를	외부/NNG+감시/NNG+위원회/NNG+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
등	등/NNB
조직을	조직/NNG+을/JKO
효율화하고	효율/NNG+화/XSN+하/XSV+고/EC
투명성을	투명/NNG+성/XSN+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
거론됐지만	거론/NNG+되/XSV+었/EP+지만/EC
이번	이번/NNG
인사로	인사/NNG+로/JKB
개혁의	개혁/NNG+의/JKG
강도가	강도/NNG+가/JKS
세질	세/VA+어/EC+지/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.24.6
백 내정자가 ‘재계의 검찰’인 공정위에서 시장친화적 정책을 다수 내놓았던 만큼 ‘경제 검찰’인 국세청에서도 기업의 고충을 헤아리는 세정을 펼 것이라는 전망도 나온다.

백	백/NNP
내정자가	내정자/NNG+가/JKS
‘재계의	‘/SS+재계/NNG+의/JKG
검찰’인	검찰/NNG+’/SS+이/VCP+ㄴ/ETM
공정위에서	공정위/NNG+에서/JKB
시장친화적	시장/NNG+친화/NNG+적/XSN
정책을	정책/NNG+을/JKO
다수	다수/NNG
내놓았던	내놓/VV+았/EP+던/ETM
만큼	만큼/NNB
‘경제	‘/SS+경제/NNG
국세청에서도	국세청/NNG+에서/JKB+도/JX
기업의	기업/NNG+의/JKG
고충을	고충/NNG+을/JKO
헤아리는	헤아리/VV+는/ETM
세정을	세정/NNG+을/JKO
펼	펴/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.24.7
그러나 그가 국세청 쇄신작업을 추진하는 과정에서 진통도 만만치 않을 것으로 보인다.

그러나	그러나/MAJ
그가	그/NP+가/JKS
국세청	국세청/NNG
쇄신작업을	쇄신/NNG+작업/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
진통도	진통/NNG+도/JX
만만치	만만하/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.24.8
대통령의 측근이고 공정위원장으로 행정경험을 쌓았다고는 하지만 국세청 조직특성상 외부인사가 연착륙하기 쉽지 않은 여건이기 때문이다.

대통령의	대통령/NNG+의/JKG
측근이고	측근/NNG+이/VCP+고/EC
공정위원장으로	공정위원장/NNG+으로/JKB
행정경험을	행정/NNG+경험/NNG+을/JKO
쌓았다고는	쌓/VV+았/EP+다고/EC+는/JX
하지만	하/VV+지만/EC
국세청	국세청/NNG
조직특성상	조직/NNG+특성/NNG+상/XSN
외부인사가	외부/NNG+인사/NNG+가/JKS
연착륙하기	연착륙/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
여건이기	여건/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.25.1
한편 백 내정자는 이날 밤 동아일보 기자와 만나 “이전 국세청장들이 청렴도가 떨어진다고 볼 수는 없다”며 “구조적인 문제가 있는지 살펴보고 국세청 직원들의 자존심이 다쳤다면 자존심을 살릴 수 있도록 같이 노력하겠다”고 말했다.

한편	한편/MAG
백	백/NNP
내정자는	내정자/NNG+는/JX
이날	이날/NNG
밤	밤/NNG
동아일보	동아일보/NNP
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
“이전	“/SS+이전/NNG
국세청장들이	국세청장/NNG+들/XSN+이/JKS
청렴도가	청렴도/NNG+가/JKS
떨어진다고	떨어지/VV+ㄴ다고/EC
볼	보/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“구조적인	“/SS+구조/NNG+적/XSN+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
있는지	있/VA+는지/EC
살펴보고	살펴보/VV+고/EC
국세청	국세청/NNG
직원들의	직원/NNG+들/XSN+의/JKG
자존심이	자존심/NNG+이/JKS
다쳤다면	다치/VV+었/EP+다면/EC
자존심을	자존심/NNG+을/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
같이	같이/MAG
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.197.26.1
■ TK 피해 충청으로?… 청와대 국정쇄신 예고편… 내년 지방선거 앞두고 충청 인사 추가발탁 가능성

■	■/SW
TK	TK/SL
피해	피해/NNG
충청으로?…	충청/NNP+으로/JKB+?/SF+…/SE
청와대	청와대/NNP
국정쇄신	국정/NNG+쇄신/NNG
예고편…	예고편/NNG+…/SE
내년	내년/NNG
지방선거	지방/NNG+선거/NNG
앞두고	앞두/VV+고/EC
충청	충청/NNP
인사	인사/NNG
추가발탁	추가/NNG+발탁/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000021.197.27.1
이명박 대통령은 21일 검찰총장에 천성관 서울중앙지검장을 낙점하면서 “대통령과 일면식도 없는 사람을 검찰총장으로 발탁한 것은 역대 정권에서 아마 처음일 것”이라며 역대 정권과 다른 ‘검찰의 일신(日新)’을 강조했다고 한다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
21일	21/SN+일/NNB
검찰총장에	검찰/NNG+총장/NNG+에/JKB
천성관	천성관/NNP
서울중앙지검장을	서울중앙지검장/NNG+을/JKO
낙점하면서	낙점/NNG+하/XSV+면서/EC
“대통령과	“/SS+대통령/NNG+과/JC
일면식도	일면식/NNG+도/JX
없는	없/VA+는/ETM
사람을	사람/NNG+을/JKO
검찰총장으로	검찰/NNG+총장/NNG+으로/JKB
발탁한	발탁/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
역대	역대/NNG
정권에서	정권/NNG+에서/JKB
아마	아마/MAG
처음일	처음/NNG+이/VCP+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
정권과	정권/NNG+과/JC
다른	다르/VA+ㄴ/ETM
‘검찰의	‘/SS+검찰/NNG+의/JKG
일신(日新)’을	일신/NNG+(/SS+日新/SH+)/SS+’/SS+을/JKO
강조했다고	강조/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.28.1
‘기수 관행’을 파괴한 검찰총장과 외부인사를 발탁한 국세청장 인사는 이 대통령의 검찰과 국세청에 대한 ‘개혁’ 의지가 반영된 것이란 분석이 나오고 있다.

‘기수	‘/SS+기수/NNG
관행’을	관행/NNG+’/SS+을/JKO
파괴한	파괴/NNG+하/XSV+ㄴ/ETM
검찰총장과	검찰/NNG+총장/NNG+과/JC
외부인사를	외부/NNG+인사/NNG+를/JKO
발탁한	발탁/NNG+하/XSV+ㄴ/ETM
국세청장	국세청장/NNG
인사는	인사/NNG+는/JX
이	이/NNP
대통령의	대통령/NNG+의/JKG
검찰과	검찰/NNG+과/JC
국세청에	국세청/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘개혁’	‘/SS+개혁/NNG+’/SS
의지가	의지/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.29.1
천 내정자는 사법연수원 12기로 전임 총장의 3기수 후배다.

천	천/NNP
내정자는	내정자/NNG+는/JX
사법연수원	사법/NNG+연수원/NNG
12기로	12/SN+기/NNG+로/JKB
전임	전임/NNG
총장의	총장/NNG+의/JKG
3기수	3/SN+기수/NNG
후배다.	후배/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.29.2
후배가 총장이 됐을 경우 연수원 기수를 기준으로 선배와 동기들이 퇴직하는 관행에 비춰볼 때 큰 폭의 세대교체는 불가피하며 이는 자연스럽게 검찰조직의 개혁으로 이어질 것이라는 게 청와대 측의 시각이다.

후배가	후배/NNG+가/JKS
총장이	총장/NNG+이/JKC
됐을	되/VV+었/EP+을/ETM
경우	경우/NNG
연수원	연수원/NNG
기수를	기수/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
선배와	선배/NNG+와/JC
동기들이	동기/NNG+들/XSN+이/JKS
퇴직하는	퇴직/NNG+하/XSV+는/ETM
관행에	관행/NNG+에/JKB
비춰볼	비추/VV+어/EC+보/VX+ㄹ/ETM
때	때/NNG
큰	크/VA+ㄴ/ETM
폭의	폭/NNG+의/JKG
세대교체는	세대교체/NNG+는/JX
불가피하며	불가피하/VA+며/EC
이는	이/NP+는/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
검찰조직의	검찰/NNG+조직/NNG+의/JKG
개혁으로	개혁/NNG+으로/JKB
이어질	이어지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
청와대	청와대/NNP
측의	측/NNB+의/JKG
시각이다.	시각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.30.1
차관급인 국세청장에 교수 출신의 장관급인 백용호 공정거래위원장을 발탁한 것도 의외다.

차관급인	차관급/NNG+이/VCP+ㄴ/ETM
국세청장에	국세청장/NNG+에/JKB
교수	교수/NNG
출신의	출신/NNG+의/JKG
장관급인	장관급/NNG+이/VCP+ㄴ/ETM
백용호	백용호/NNP
공정거래위원장을	공정/NNG+거래/NNG+위원장/NNG+을/JKO
발탁한	발탁/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
의외다.	의외/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.30.2
5개월 동안 한상률 전 청장 후임 인사를 하지 않고 공석으로 놔 둔 것은 이 대통령이 국세청 개혁을 책임질 ‘외부인사’를 고집했기 때문이라는 점에서 장고에 장고를 거듭한 인사라 할 수 있다.

5개월	5/SN+개월/NNB
동안	동안/NNG
한상률	한상률/NNP
전	전/MMD
청장	청장/NNG
후임	후임/NNG
인사를	인사/NNG+를/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
공석으로	공석/NNG+으로/JKB
놔	놓/VV+아/EC
둔	두/VX+ㄴ/ETM
것은	것/NNB+은/JX
이	이/NNP
대통령이	대통령/NNG+이/JKS
국세청	국세청/NNG
개혁을	개혁/NNG+을/JKO
책임질	책임지/VV+ㄹ/ETM
‘외부인사’를	‘/SS+외부/NNG+인사/NNG+’/SS+를/JKO
고집했기	고집/NNG+하/XSV+았/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
장고에	장고/NNG+에/JKB
장고를	장고/NNG+를/JKO
거듭한	거듭/MAG+하/XSV+ㄴ/ETM
인사라	인사/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.197.30.3
국세청의 반복되는 부패와 비리 고리를 끊기 위해서는 외부인사가 조직에 들어와야 개혁이 가능하다는 이 대통령의 의지가 어떻게 실현될지 주목된다.

국세청의	국세청/NNG+의/JKG
반복되는	반복/NNG+되/XSV+는/ETM
부패와	부패/NNG+와/JC
비리	비리/NNG
고리를	고리/NNG+를/JKO
끊기	끊/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
외부인사가	외부/NNG+인사/NNG+가/JKS
조직에	조직/NNG+에/JKB
들어와야	들어오/VV+아야/EC
개혁이	개혁/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
이	이/NNP
대통령의	대통령/NNG+의/JKG
의지가	의지/NNG+가/JKS
어떻게	어떻/VA+게/EC
실현될지	실현/NNG+되/XSV+ㄹ지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.30.4
백 내정자가 국세청 경험이 없다는 한계는 5개월 동안 직무대행을 해왔던 허병익 차장이 메워줄 것이라는 게 청와대의 설명이다.

백	백/NNP
내정자가	내정자/NNG+가/JKS
국세청	국세청/NNG
경험이	경험/NNG+이/JKS
없다는	없/VA+다는/ETM
한계는	한계/NNG+는/JX
5개월	5/SN+개월/NNB
동안	동안/NNG
직무대행을	직무/NNG+대행/NNG+을/JKO
해왔던	하/VV+아/EC+오/VX+았/EP+던/ETM
허병익	허병익/NNP
차장이	차장/NNG+이/JKS
메워줄	메우/VV+어/EC+주/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
청와대의	청와대/NNP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.31.1
두 자리에 모두 충청권 인사를 발탁한 것도 눈에 띄는 대목이다.

두	두/MMN
자리에	자리/NNG+에/JKB
모두	모두/MAG
충청권	충청/NNP+권/XSN
인사를	인사/NNG+를/JKO
발탁한	발탁/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.31.2
검찰총장에는 그동안 대구·경북(TK) 출신 인사가 유력하게 거론돼 왔으나 배제됐다.

검찰총장에는	검찰/NNG+총장/NNG+에/JKB+는/JX
그동안	그동안/NNG
대구·경북(TK)	대구/NNP+·/SP+경북/NNP+(/SS+TK/SL+)/SS
출신	출신/NNG
인사가	인사/NNG+가/JKS
유력하게	유력/NNG+하/XSA+게/EC
거론돼	거론/NNG+되/XSV+어/EC
왔으나	오/VX+았/EP+으나/EC
배제됐다.	배제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.31.3
정치권에서는 이를 두고 내년 지방선거를 앞두고 충청권에 대한 ‘러브 콜’을 시작한 것 아니냐는 관측을 내놓고 있다.

정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
이를	이/NP+를/JKO
두고	두/VV+고/EC
내년	내년/NNG
지방선거를	지방/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
충청권에	충청/NNP+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
‘러브	‘/SS+러브/NNG
콜’을	콜/NNG+’/SS+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
관측을	관측/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.31.4
향후 인사에서 충청권 출신들이 추가로 발탁될 가능성도 제기되고 있다.

향후	향후/NNG
인사에서	인사/NNG+에서/JKB
충청권	충청/NNP+권/XSN
출신들이	출신/NNG+들/XSN+이/JKS
추가로	추가/NNG+로/JKB
발탁될	발탁/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.31.5
청와대 핵심 관계자는 이날 기자들과 만나 대통령이 주재하는 수석비서관회의를 당초 매주 수요일에서 월요일로 앞당긴다고 했다.

청와대	청와대/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
대통령이	대통령/NNG+이/JKS
주재하는	주재/NNG+하/XSV+는/ETM
수석비서관회의를	수석/NNG+비서관/NNG+회의/NNG+를/JKO
당초	당초/NNG
매주	매주/MAG
수요일에서	수요일/NNG+에서/JKB
월요일로	월요일/NNG+로/JKB
앞당긴다고	앞당기/VV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.197.31.6
그러면서 이 관계자는 “그동안 수석회의는 상황이 벌어지고 나면 정리하는 회의가 많았고 나열식 보고가 많았다.

그러면서	그러/VV+면서/EC
이	이/MMD
관계자는	관계자/NNG+는/JX
“그동안	“/SS+그동안/NNG
수석회의는	수석/NNG+회의/NNG+는/JX
상황이	상황/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
나면	나/VX+면/EC
정리하는	정리/NNG+하/XSV+는/ETM
회의가	회의/NNG+가/JKS
많았고	많/VA+았/EP+고/EC
나열식	나열식/NNG
보고가	보고/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.197.31.7
이런 것을 고쳐 이제는 청와대가 정무적 기능을 살려 선제적으로 조치를 취하는 곳으로 바뀐다는 의미다.

이런	이런/MMD
것을	것/NNB+을/JKO
고쳐	고치/VV+어/EC
이제는	이제/NNG+는/JX
청와대가	청와대/NNP+가/JKS
정무적	정무/NNG+적/XSN
기능을	기능/NNG+을/JKO
살려	살리/VV+어/EC
