# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.58
metadata : {}


# id : NWRW1800000052.58.1.1
무지 vs 브라운…막상막하 무승부

무지	무지/NNP
하려고	하/VV+려고/EC
했는데,	하/VX+았/EP+는데/EC+,/SP
이	이/MMD
몸은	몸/NNG+은/JX
필기구	필기구/NNG
마니아들이	마니아/NNG+들/XSN+이/JKS
좋아하는	좋아하/VV+는/ETM
독일의	독일/NNP+의/JKG
‘라미’가	‘/SS+라미/NNP+’/SS+가/JKS
처음으로	처음/NNG+으로/JKB
선택한	선택/NNG+하/XSV+ㄴ/ETM
협업	협업/NNG
캐릭터야.	캐릭터/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.13.9
만년필·수성펜에 내 얼굴 모양의 클립이 끼워진 ‘브라운 에디션’은 이미 완판됐고, 재생산에 들어갔대.

만년필·수성펜에	만년필/NNG+·/SP+수성/NNG+펜/NNG+에/JKB
내	나/NP+의/JKG
얼굴	얼굴/NNG
모양의	모양/NNG+의/JKG
클립이	클립/NNG+이/JKS
끼워진	끼우/VV+어/EC+지/VX+ㄴ/ETM
‘브라운	‘/SS+브라운/NNP
에디션’은	에디션/NNG+’/SS+은/JX
이미	이미/MAG
완판됐고,	완판/NNG+되/XSV+었/EP+고/EC+,/SP
재생산에	재/XPN+생산/NNG+에/JKB
들어갔대.	들어가/VV+았/EP+대/EF+./SF


# id : NWRW1800000052.58.14.1
무지: 후덜덜한데?

무지:	무지/NNP+:/SP
후덜덜한데?	후덜덜/MAG+하/XSA+ㄴ데/EF+?/SF


# id : NWRW1800000052.58.15.1
브라운: 으쓱~.

브라운:	브라운/NNP+:/SP
으쓱~.	으쓱/MAG+~/SO+./SF


# id : NWRW1800000052.58.15.2
내가 원래 말이 별로 없는데, 오늘은 기왕 자랑한 김에 좀더 해볼까?

내가	내/NP+가/JKS
원래	원래/MAG
말이	말/NNG+이/JKS
별로	별로/MAG
없는데,	없/VA+는데/EC+,/SP
오늘은	오늘/NNG+은/JX
기왕	기왕/MAG
자랑한	자랑/NNG+하/XSV+ㄴ/ETM
김에	김/NNB+에/JKB
좀더	좀/MAG+더/MAG
해볼까?	하/VV+아/EC+보/VX+ㄹ까/EF+?/SF


# id : NWRW1800000052.58.15.3
보통은 캐릭터가 만화나 애니메이션에서 시작하잖아.

보통은	보통/NNG+은/JX
캐릭터가	캐릭터/NNG+가/JKS
만화나	만화/NNG+나/JC
애니메이션에서	애니메이션/NNG+에서/JKB
시작하잖아.	시작/NNG+하/XSV+잖아/EF+./SF


# id : NWRW1800000052.58.15.4
근데 우린 메신저 캐릭터인데 거꾸로 애니메이션으로 만들어진 적이 있어.

근데	근데/MAJ
우린	우리/NP+ㄴ/JX
메신저	메신저/NNG
캐릭터인데	캐릭터/NNG+이/VCP+ㄴ데/EC
거꾸로	거꾸로/MAG
애니메이션으로	애니메이션/NNG+으로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
적이	적/NNB+이/JKS
있어.	있/VA+어/EF+./SF


# id : NWRW1800000052.58.15.5
2013년 1월부터 9월까지 일본 <티브이(TV) 도쿄>라는 채널에서 <라인 타운-샐러리맨>이라는 114회짜리 애니메이션으로 만들어져서 방영됐고, 말레이시아, 타이, 대만에서도 재방영됐지.

2013년	2013/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
9월까지	9/SN+월/NNB+까지/JX
일본	일본/NNP
<티브이(TV)	</SS+티브이/NNG+(/SS+TV/SL+)/SS
도쿄>라는	도쿄/NNP+>/SS+이/VCP+라는/ETM
채널에서	채널/NNG+에서/JKB
<라인	</SS+라인/NNG
타운-샐러리맨>이라는	타운/NNG+-/SO+샐러리맨/NNG+>/SS+이/VCP+라는/ETM
114회짜리	114/SN+회/NNB+짜리/XSN
애니메이션으로	애니메이션/NNG+으로/JKB
만들어져서	만들/VV+어/EC+지/VX+어서/EC
방영됐고,	방영/NNG+되/XSV+었/EP+고/EC+,/SP
말레이시아,	말레이시아/NNP+,/SP
타이,	타이/NNP+,/SP
대만에서도	대만/NNP+에서/JKB+도/JX
재방영됐지.	재/XPN+방영/NNG+되/XSV+었/EP+지/EF+./SF


# id : NWRW1800000052.58.15.6
우리나라에서도 재작년에 케이블에서 했었고.

우리나라에서도	우리나라/NNG+에서/JKB+도/JX
재작년에	재/XPN+작년/NNG+에/JKB
케이블에서	케이블/NNG+에서/JKB
했었고.	하/VV+았었/EP+고/EC+./SF


# id : NWRW1800000052.58.16.1
무지: 그래도 모바일 게임은 우리 못 따라오잖아.

무지:	무지/NNP+:/SP
그래도	그러/VV+어도/EC
모바일	모바일/NNG
게임은	게임/NNG+은/JX
우리	우리/NP
못	못/MAG
따라오잖아.	따라오/VV+잖아/EF+./SF


# id : NWRW1800000052.58.16.2
너네도 ‘라인 레인저스’가 있지만 아직 우리 ‘프렌즈팝’이랑은 게임이 안 되지~.

너네도	너/NP+네/XSN+도/JX
‘라인	‘/SS+라인/NNP
레인저스’가	레인저스/NNP+’/SS+가/JKS
있지만	있/VA+지만/EC
아직	아직/MAG
우리	우리/NP
‘프렌즈팝’이랑은	‘/SS+프렌즈팝/NNP+’/SS+이랑/JKB+은/JX
게임이	게임/NNG+이/JKS
안	안/MAG
되지~.	되/VV+지/EF+~/SO+./SF


# id : NWRW1800000052.58.16.3
‘프렌즈팝’은 구글 플레이스토어 인기 게임 순위 37위로 요즘 관심 끄는 ‘붐비치’나 ‘세븐 나이츠’보다 높고, 아이템 등을 판매해서 얻는 매출액 순위도 9위라고.

‘프렌즈팝’은	‘/SS+프렌즈팝/NNP+’/SS+은/JX
구글	구글/NNP
플레이스토어	플레이스토어/NNP
인기	인기/NNG
게임	게임/NNG
순위	순위/NNG
37위로	37/SN+위/NNB+로/JKB
요즘	요즘/NNG
관심	관심/NNG
끄는	끌/VV+는/ETM
‘붐비치’나	‘/SS+붐비치/NNP+’/SS+나/JC
‘세븐	‘/SS+세븐/NNP
나이츠’보다	나이츠/NNP+’/SS+보다/JKB
높고,	높/VA+고/EC+,/SP
아이템	아이템/NNG
등을	등/NNB+을/JKO
판매해서	판매/NNG+하/XSV+아서/EC
얻는	얻/VV+는/ETM
매출액	매출액/NNG
순위도	순위/NNG+도/JX
9위라고.	9/SN+위/NNB+이/VCP+라고/EF+./SF


# id : NWRW1800000052.58.17.1
브라운: 인정!

브라운:	브라운/NNP+:/SP
인정!	인정/NNG+!/SF


# id : NWRW1800000052.58.18.1
무지: 근데, 사람들이 왜 이렇게 우릴 좋아할까?

무지:	무지/NNP+:/SP
근데,	근데/MAJ+,/SP
사람들이	사람/NNG+들/XSN+이/JKS
왜	왜/MAG
이렇게	이렇/VA+게/EC
우릴	우리/NP+ㄹ/JKO
좋아할까?	좋아하/VV+ㄹ까/EF+?/SF


# id : NWRW1800000052.58.18.2
우린 서울, 부산, 광주, 대구 등 전국 15곳에 카카오 프렌즈 브랜드 스토어가 있어.

우린	우리/NP+ㄴ/JX
서울,	서울/NNP+,/SP
부산,	부산/NNP+,/SP
광주,	광주/NNP+,/SP
대구	대구/NNP
등	등/NNB
전국	전국/NNG
15곳에	15/SN+곳/NNG+에/JKB
카카오	카카오/NNP
프렌즈	프렌즈/NNG
브랜드	브랜드/NNG
스토어가	스토어/NNG+가/JKS
있어.	있/VA+어/EF+./SF


# id : NWRW1800000052.58.18.3
거기선 상품을 판매할 뿐만 아니라, 우리를 대형 피규어로 만들어두고 사람들이 같이 사진을 찍을 수 있게도 해뒀지.

거기선	거기/NP+서/JKB+ㄴ/JX
상품을	상품/NNG+을/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라,	아니/VCN+라/EC+,/SP
우리를	우리/NP+를/JKO
대형	대형/NNG
피규어로	피규어/NNG+로/JKB
만들어두고	만들/VV+어/EC+두/VX+고/EC
사람들이	사람/NNG+들/XSN+이/JKS
같이	같이/MAG
사진을	사진/NNG+을/JKO
찍을	찍/VV+을/ETM
수	수/NNB
있게도	있/VA+게/EC+도/JX
해뒀지.	하/VX+아/EC+두/VX+었/EP+지/EF+./SF


# id : NWRW1800000052.58.18.4
게다가 롯데월드몰에 있는 브랜드 스토어는 전문 바리스타가 고급 커피를 만들어 판매하는 카페도 겸하고 있는데 색다른 분위기라 그런지 사람이 많이 온대.

게다가	게다가/MAG
롯데월드몰에	롯데월드몰/NNP+에/JKB
있는	있/VA+는/ETM
브랜드	브랜드/NNG
스토어는	스토어/NNG+는/JX
전문	전문/NNG
바리스타가	바리스타/NNG+가/JKS
고급	고급/NNG
커피를	커피/NNG+를/JKO
만들어	만들/VV+어/EC
판매하는	판매/NNG+하/XSV+는/ETM
카페도	카페/NNG+도/JX
겸하고	겸/NNB+하/XSV+고/EC
있는데	있/VX+는데/EC
색다른	색다르/VA+ㄴ/ETM
분위기라	분위기/NNG+이/VCP+라/EC
그런지	그렇/VA+ㄴ지/EC
사람이	사람/NNG+이/JKS
많이	많이/MAG
온대.	오/VV+ㄴ대/EF+./SF


# id : NWRW1800000052.58.19.1
브라운: 글쎄 말이야.

브라운:	브라운/NNP+:/SP
글쎄	글쎄/IC
말이야.	말/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.19.2
우린 한국뿐만 아니라 말레이시아, 인도네시아, 타이, 홍콩, 미국, 대만, 중국, 콜롬비아 등에 한시적으로 운영하는 팝업 스토어를 열었는데, 중국에선 사흘 만에 1만명이 찾아올 정도였어.

우린	우리/NP+ㄴ/JX
한국뿐만	한국/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
말레이시아,	말레이시아/NNP+,/SP
인도네시아,	인도네시아/NNP+,/SP
타이,	타이/NNP+,/SP
홍콩,	홍콩/NNP+,/SP
미국,	미국/NNP+,/SP
대만,	대만/NNP+,/SP
중국,	중국/NNP+,/SP
콜롬비아	콜롬비아/NNP
등에	등/NNB+에/JKB
한시적으로	한시/NNG+적/XSN+으로/JKB
운영하는	운영/NNG+하/XSV+는/ETM
팝업	팝업/NNG
스토어를	스토어/NNG+를/JKO
열었는데,	열/VV+었/EP+는데/EC+,/SP
중국에선	중국/NNP+에서/JKB+ㄴ/JX
사흘	사흘/NNG
만에	만/NNB+에/JKB
1만명이	1/SN+만/NR+명/NNB+이/JKS
찾아올	찾아오/VV+ㄹ/ETM
정도였어.	정도/NNG+이/VCP+었/EP+어/EF+./SF


# id : NWRW1800000052.58.19.3
정규 매장인 라인 프렌즈 스토어는 한국, 대만, 일본, 중국 등 모두 7곳이 있고.

정규	정규/NNG
매장인	매장/NNG+이/VCP+ㄴ/ETM
라인	라인/NNP
프렌즈	프렌즈/NNG
스토어는	스토어/NNG+는/JX
한국,	한국/NNP+,/SP
대만,	대만/NNP+,/SP
일본,	일본/NNP+,/SP
중국	중국/NNP
등	등/NNB
모두	모두/MAG
7곳이	7/SN+곳/NNG+이/JKS
있고.	있/VA+고/EC+./SF


# id : NWRW1800000052.58.20.1
무지: 우리가 만만해 보여 그런가?

무지:	무지/NNP+:/SP
우리가	우리/NP+가/JKS
만만해	만만하/VA+아/EC
보여	보이/VV+어/EC
그런가?	그렇/VA+ㄴ가/EF+?/SF


# id : NWRW1800000052.58.21.1
브라운: ㅋㅋㅋ.

브라운:	브라운/NNP+:/SP
ㅋㅋㅋ.	ㅋㅋㅋ/IC+./SF


# id : NWRW1800000052.58.21.2
그럴 수 있지.

그럴	그렇/VA+ㄹ/ETM
수	수/NNB
있지.	있/VA+지/EF+./SF


# id : NWRW1800000052.58.21.3
하기 힘든 말이 있을 때, 재치있는 표현이 생각나지 않을 때, 우리처럼 귀엽고 만만한 캐릭터를 이용해 소통한 경험이 다들 있으니까 아무래도 우리한테 감정이입을 하기 쉽겠지.

하기	하/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
말이	말/NNG+이/JKS
있을	있/VA+을/ETM
때,	때/NNG+,/SP
재치있는	재치/NNG+있/VA+는/ETM
표현이	표현/NNG+이/JKS
생각나지	생각나/VV+지/EC
않을	않/VX+을/ETM
우리처럼	우리/NP+처럼/JKB
귀엽고	귀엽/VA+고/EC
만만한	만만하/VA+ㄴ/ETM
캐릭터를	캐릭터/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
소통한	소통/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
다들	다/MAG+들/XSN
있으니까	있/VA+으니까/EC
아무래도	아무래도/MAG
우리한테	우리/NP+한테/JKB
감정이입을	감정/NNG+이입/NNG+을/JKO
쉽겠지.	쉽/VA+겠/EP+지/EF+./SF


# id : NWRW1800000052.58.21.4
‘소통의 기억’이랄까, ‘익숙한 일상’이랄까, 뭐 그런 거 아니겠어?

‘소통의	‘/SS+소통/NNG+의/JKG
기억’이랄까,	기억/NNG+’/SS+이/VCP+랄까/EF+,/SP
‘익숙한	‘/SS+익숙하/VA+ㄴ/ETM
일상’이랄까,	일상/NNG+’/SS+이/VCP+랄까/EF+,/SP
뭐	뭐/IC
그런	그런/MMD
거	거/NNB
아니겠어?	아니/VCN+겠/EP+어/EF+?/SF


# id : NWRW1800000052.58.21.5
그러니까 우리를 이용한 상품이 무궁무진하게 나오는 거겠지.

그러니까	그러니까/MAJ
우리를	우리/NP+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
상품이	상품/NNG+이/JKS
무궁무진하게	무궁무진/NNG+하/XSA+게/EC
나오는	나오/VV+는/ETM
거겠지.	거/NNB+이/VCP+겠/EP+지/EF+./SF


# id : NWRW1800000052.58.22.1
무지: 오올~, 브라운~.

무지:	무지/NNP+:/SP
오올~,	오올/IC+~/SO+,/SP
브라운~.	브라운/NNP+~/SO+./SF


# id : NWRW1800000052.58.22.2
대단한데?

대단한데?	대단하/VA+ㄴ데/EF+?/SF


# id : NWRW1800000052.58.22.3
정말 그런 것 같네.

정말	정말/MAG
그런	그런/MMD
것	것/NNB
같네.	같/VA+네/EF+./SF


# id : NWRW1800000052.58.22.4
카카오 프렌즈는 한국에서, 라인 프렌즈는 외국에서 인기가 있는 게 결국 카카오톡은 한국에서, 라인은 외국에서 많이 쓰기 때문으로 볼 수 있으니 말이야.

카카오	카카오/NNP
프렌즈는	프렌즈/NNG+는/JX
한국에서,	한국/NNP+에서/JKB+,/SP
라인	라인/NNP
외국에서	외국/NNG+에서/JKB
인기가	인기/NNG+가/JKS
있는	있/VA+는/ETM
게	거/NNB+이/JKS
결국	결국/MAG
카카오톡은	카카오톡/NNP+은/JX
라인은	라인/NNP+은/JX
많이	많이/MAG
쓰기	쓰/VV+기/ETN
때문으로	때문/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
말이야.	말/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.22.5
주로 쓰는 메신저에서 익숙해진 캐릭터를 좋아하게 되고, 그렇게 좋아하는 마음이 담긴 캐릭터가 새겨진 상품을 갖고 싶어하는 거겠지.

주로	주로/MAG
쓰는	쓰/VV+는/ETM
메신저에서	메신저/NNG+에서/JKB
익숙해진	익숙하/VA+아/EC+지/VX+ㄴ/ETM
캐릭터를	캐릭터/NNG+를/JKO
좋아하게	좋아하/VV+게/EC
되고,	되/VV+고/EC+,/SP
그렇게	그렇/VA+게/EC
좋아하는	좋아하/VV+는/ETM
마음이	마음/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
캐릭터가	캐릭터/NNG+가/JKS
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
상품을	상품/NNG+을/JKO
갖고	갖/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
거겠지.	거/NNB+이/VCP+겠/EP+지/EF+./SF


# id : NWRW1800000052.58.22.6
그럼 우린 사람들을 따뜻하고 유쾌하게 소통할 수 있도록 더 애써야겠네.

그럼	그럼/MAJ
우린	우리/NP+ㄴ/JX
사람들을	사람/NNG+들/XSN+을/JKO
따뜻하고	따뜻하/VA+고/EC
유쾌하게	유쾌/NNG+하/XSA+게/EC
소통할	소통/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
더	더/MAG
애써야겠네.	애쓰/VV+어야/EC+하/VX+겠/EP+네/EF+./SF


# id : NWRW1800000052.58.23.1
브라운: 무지 너도 보통이 아니구나?

브라운:	브라운/NNP+:/SP
무지	무지/NNP
너도	너/NP+도/JX
보통이	보통/NNG+이/JKC
아니구나?	아니/VCN+구나/EF+?/SF


# id : NWRW1800000052.58.23.2
ㅎㅎ.

ㅎㅎ.	ㅎㅎ/IC+./SF


# id : NWRW1800000052.58.23.3
우리 앞으로도 잘해보자!

우리	우리/NP
앞으로도	앞/NNG+으로/JKB+도/JX
잘해보자!	잘/MAG+하/XSV+아/EC+보/VX+자/EF+!/SF


# id : NWRW1800000052.58.24.1
무지: 그래, 잘해보자!

무지:	무지/NNP+:/SP
그래,	그래/IC+,/SP
잘해보자!	잘/MAG+하/XSV+아/EC+보/VX+자/EF+!/SF


