# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.244
metadata : {}


# id : NWRW1800000026.244.1.1
말하면 검색 결과 좌르르, 몇초 전 트위터 글까지 실시간으로 찾아…;인터넷 검색서비스 놀라운 진화

말하면	말/NNG+하/XSV+면/EC
하는	하/VX+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.244.15.5
또 '삼성 TV' 등 영문자와 한국어가 혼합된 경우 한국에서 관행적으로 읽는 발음을 표준 발음으로 인식하도록 했다.

또	또/MAG
'삼성	'/SS+삼성/NNP
TV'	TV/SL+'/SS
등	등/NNB
영문자와	영문자/NNG+와/JC
한국어가	한국어/NNP+가/JKS
혼합된	혼합/NNG+되/XSV+ㄴ/ETM
경우	경우/NNG
한국에서	한국/NNP+에서/JKB
관행적으로	관행/NNG+적/XSN+으로/JKB
읽는	읽/VV+는/ETM
발음을	발음/NNG+을/JKO
표준	표준/NNG
발음으로	발음/NNG+으로/JKB
인식하도록	인식/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.244.16.1
마이크 슈스터(Schuster) 구글 연구원은 "음성 검색 사용자는 일반 인터넷 검색 사용자와 검색하는 단어부터가 다르다"며 "더 많은 데이터를 축적해 빠르고 사용자 친화적인 서비스로 만들 계획"이라고 말했다.

마이크	마이크/NNP
슈스터(Schuster)	슈스터/NNP+(/SS+Schuster/SL+)/SS
구글	구글/NNP
연구원은	연구원/NNG+은/JX
"음성	"/SS+음성/NNG
검색	검색/NNG
사용자는	사용자/NNG+는/JX
일반	일반/NNG
인터넷	인터넷/NNG
사용자와	사용자/NNG+와/JKB
검색하는	검색/NNG+하/XSV+는/ETM
단어부터가	단어/NNG+부터/JX+가/JKS
다르다"며	다르/VA+다/EF+"/SS+며/EC
"더	"/SS+더/MAG
많은	많/VA+은/ETM
데이터를	데이터/NNG+를/JKO
축적해	축적/NNG+하/XSV+아/EC
빠르고	빠르/VA+고/EC
사용자	사용자/NNG
친화적인	친화/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스로	서비스/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


