# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.200
metadata : {}


# id : NWRW1800000026.200.1.1
[세계 미술의 巨匠에게 듣는다] 세계적 미술 명소 日나오시마에 이름 건 미술관 연 이우환;보이는 것 너머에 그의 宇宙가 있다

[세계	[/SS+세계/NNG
갖고	갖/VV+고/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
건축가	건축가/NNG
안도	안도/NNP
다다오와	다다오/NNP+와/JKB
함께	함께/MAG
프로젝트를	프로젝트/NNG+를/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.12.1
1992년에는 잭슨 폴락과 데이비드 호크니·브루스 나우먼 등 세계적인 현대미술 거장들의 작품을 보여주는 현대미술관을 지었고, 2004년에는 건물을 땅 속에 지은 지중(地中)미술관을 세워 역시 제임스 터렐 같은 세계적인 작가의 작품을 보여주고 있다.

1992년에는	1992/SN+년/NNB+에/JKB+는/JX
잭슨	잭슨/NNP
폴락과	폴락/NNP+과/JC
데이비드	데이비드/NNP
호크니·브루스	호크니/NNP+·/SP+브루스/NNP
나우먼	나우먼/NNP
등	등/NNB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
현대미술	현대/NNG+미술/NNG
거장들의	거장/NNG+들/XSN+의/JKG
작품을	작품/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
현대미술관을	현대/NNG+미술관/NNG+을/JKO
지었고,	짓/VV+었/EP+고/EC+,/SP
2004년에는	2004/SN+년/NNB+에/JKB+는/JX
건물을	건물/NNG+을/JKO
땅	땅/NNG
속에	속/NNG+에/JKB
지은	짓/VV+은/ETM
지중(地中)미술관을	지중/NNP+(/SS+地中/SH+)/SS+미술관/NNG+을/JKO
세워	세우/VV+어/EC
역시	역시/MAG
제임스	제임스/NNP
터렐	터렐/NNP
같은	같/VA+은/ETM
작가의	작가/NNG+의/JKG
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.200.12.2
나오시마에는 또 버려진 빈집을 미술 작품으로 꾸민 ‘하우스 프로젝트’가 있고, 해변 곳곳에는 일본 작가 구사마 야요이의 ‘호박’ 같은 조각 작품들을 세워 섬 전체를 전시장으로 꾸몄다.

나오시마에는	나오시마/NNP+에/JKB+는/JX
또	또/MAG
버려진	버려지/VV+ㄴ/ETM
빈집을	빈집/NNG+을/JKO
미술	미술/NNG
작품으로	작품/NNG+으로/JKB
꾸민	꾸미/VV+ㄴ/ETM
‘하우스	‘/SS+하우스/NNG
프로젝트’가	프로젝트/NNG+’/SS+가/JKS
있고,	있/VA+고/EC+,/SP
해변	해변/NNG
곳곳에는	곳곳/NNG+에/JKB+는/JX
일본	일본/NNP
작가	작가/NNG
구사마	구사마/NNP
야요이의	야요이/NNP+의/JKG
‘호박’	‘/SS+호박/NNG+’/SS
같은	같/VA+은/ETM
조각	조각/NNG
작품들을	작품/NNG+들/XSN+을/JKO
세워	세우/VV+어/EC
섬	섬/NNG
전체를	전체/NNG+를/JKO
전시장으로	전시장/NNG+으로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


