# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.300
metadata : {}


# id : NWRW1800000025.300.1.1
예산안, 4대강 건너 법정시한 지킬까

예산안,	예산안/NNG+,/SP
# id : NWRW1800000025.300.21.1
민주당 정세균 최고위원은 25일 이명박 대통령이 국회 시정연설을 김황식 국무총리에게 대독시킨 것을 놓고 “국민을 무시하는 행태”라고 비난했다.

민주당	민주당/NNP
정세균	정세균/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
25일	25/SN+일/NNB
이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
국회	국회/NNG
시정연설을	시정/NNG+연설/NNG+을/JKO
김황식	김황식/NNP
국무총리에게	국무총리/NNG+에게/JKB
대독시킨	대독/NNG+시키/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
놓고	놓/VV+고/EC
“국민을	“/SS+국민/NNG+을/JKO
무시하는	무시/NNG+하/XSV+는/ETM
행태”라고	행태/NNG+”/SS+라고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.21.2
정 최고위원은 이날 최고위원회의에서 “내년도 정부 예산은 ‘4대강 예산’이라고 해도 과언이 아니다”며 “4대강 예산은 대통령 예산인데 왜 직접 오시지 않고 총리에게 계속 대독을 시키나.

정	정/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
이날	이날/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“내년도	“/SS+내년도/NNG
정부	정부/NNG
예산은	예산/NNG+은/JX
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
예산’이라고	예산/NNG+’/SS+이라고/JKQ
해도	하/VV+아도/EC
과언이	과언/NNG+이/JKC
아니다”며	아니/VCN+다/EF+”/SS+며/EC
“4대강	“/SS+4/SN+대/NNG+강/NNG
대통령	대통령/NNG
예산인데	예산/NNG+이/VCP+ㄴ데/EC
왜	왜/MAG
직접	직접/MAG
오시지	오/VV+시/EP+지/EC
않고	않/VX+고/EC
총리에게	총리/NNG+에게/JKB
계속	계속/MAG
대독을	대독/NNG+을/JKO
시키나.	시키/VV+나/EF+./SF


# id : NWRW1800000025.300.21.3
대통령이 오셔서 (시정연설을 직접) 했어야 했다.

대통령이	대통령/NNG+이/JKS
오셔서	오/VV+시/EP+어서/EC
(시정연설을	(/SS+시정/NNG+연설/NNG+을/JKO
직접)	직접/MAG+)/SS
했어야	하/VV+았/EP+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.300.21.4
이 대통령은 지금까지 (국회에) 1번밖에 안 오셨던 것 같다”고 말했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
지금까지	지금/NNG+까지/JX
(국회에)	(/SS+국회/NNG+에/JKB+)/SS
1번밖에	1/SN+번/NNB+밖에/JX
안	안/MAG
오셨던	오/VV+시/EP+었/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.22.1
청와대의 한 참모는 정 최고위원의 비판에 대해 “이 대통령은 국민의 대표기관인 국회를 존중하는 차원에서 가급적 시간이 맞으면 국회 시정연설을 직접 하겠다는 생각을 갖고 있지만 가봉 대통령과의 정상회담 등 주요 일정이 많았다.

청와대의	청와대/NNP+의/JKG
한	한/MMN
참모는	참모/NNG+는/JX
정	정/NNP
최고위원의	최고/NNG+위원/NNG+의/JKG
비판에	비판/NNG+에/JKB
대해	대하/VV+아/EC
“이	“/SS+이/NNP
대통령은	대통령/NNG+은/JX
국민의	국민/NNG+의/JKG
대표기관인	대표/NNG+기관/NNG+이/VCP+ㄴ/ETM
국회를	국회/NNG+를/JKO
존중하는	존중/NNG+하/XSV+는/ETM
차원에서	차원/NNG+에서/JKB
가급적	가급적/MAG
시간이	시간/NNG+이/JKS
맞으면	맞/VV+으면/EC
국회	국회/NNG
시정연설을	시정/NNG+연설/NNG+을/JKO
직접	직접/MAG
하겠다는	하/VV+겠/EP+다는/ETM
생각을	생각/NNG+을/JKO
갖고	갖/VV+고/EC
있지만	있/VX+지만/EC
가봉	가봉/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
정상회담	정상/NNG+회담/NNG
등	등/NNB
주요	주요/NNG
일정이	일정/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.300.22.2
또 새 총리에게 시정연설을 하도록 하는 의미도 있다”며 “정 최고위원이 공연한 트집을 잡고 있다”고 반박했다.

또	또/MAG
새	새/MMA
총리에게	총리/NNG+에게/JKB
시정연설을	시정/NNG+연설/NNG+을/JKO
하도록	하/VV+도록/EC
하는	하/VX+는/ETM
의미도	의미/NNG+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“정	“/SS+정/NNP
최고위원이	최고/NNG+위원/NNG+이/JKS
공연한	공연하/VA+ㄴ/ETM
트집을	트집/NNG+을/JKO
잡고	잡/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.22.3
실제 이 대통령은 이날 오전 10시 반부터 청와대에서 방한 중인 알리벤 봉고온딤바 가봉 대통령과 정상회담 일정 등을 소화했다.

실제	실제/MAG
이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
10시	10/SN+시/NNB
반부터	반/NNG+부터/JX
청와대에서	청와대/NNP+에서/JKB
방한	방한/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
알리벤	알리벤/NNP
봉고온딤바	봉고온딤바/NNP
가봉	가봉/NNP
대통령과	대통령/NNG+과/JKB
정상회담	정상/NNG+회담/NNG
일정	일정/NNG
등을	등/NNB+을/JKO
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.22.4
또 역대 대통령 중에도 직접 시정연설을 한 대통령은 노태우 전 대통령과 노무현 전 대통령이 각각 1번씩이고 이 대통령도 2008년 취임 첫해 직접 시정연설을 했다는 것이다.

또	또/MAG
역대	역대/NNG
대통령	대통령/NNG
중에도	중/NNB+에/JKB+도/JX
직접	직접/MAG
시정연설을	시정/NNG+연설/NNG+을/JKO
한	하/VV+ㄴ/ETM
대통령은	대통령/NNG+은/JX
노태우	노태우/NNP
전	전/MMD
대통령과	대통령/NNG+과/JC
노무현	노무현/NNP
대통령이	대통령/NNG+이/JKS
각각	각각/MAG
1번씩이고	1/SN+번/NNB+씩/XSN+이/VCP+고/EC
이	이/NNP
대통령도	대통령/NNG+도/JX
2008년	2008/SN+년/NNB
취임	취임/NNG
첫해	첫해/NNG
했다는	하/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


