# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.159
metadata : {}


# id : NWRW1800000026.159.1.1
[문갑식의 하드보일드] '狂馬부부'고성규·윤미라, 사라진 제국 고구려의 기마무예를 살리다;"말과 고구려에 미친 우리 부부… 예, '또라이' 맞습니다"

[문갑식의	[/SS+문갑식/NNP+의/JKG
그에게	그/NP+에게/JKB
남편은	남편/NNG+은/JX
엉뚱한	엉뚱하/VA+ㄴ/ETM
소리를	소리/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.21.5
"함께 배우자!"

"함께	"/SS+함께/MAG
배우자!"	배우/VV+자/EF+!/SF+"/SS


# id : NWRW1800000026.159.22.1
싫다는 아내를 기어코 승마장에 데려간 '파쇼' 남편 때문에 윤미라는 말을 타게 됐고 마장마술(Dressage)에 빠져들게 됐다.

싫다는	싫/VA+다는/ETM
아내를	아내/NNG+를/JKO
기어코	기어코/MAG
승마장에	승마장/NNG+에/JKB
데려간	데려가/VV+ㄴ/ETM
'파쇼'	'/SS+파쇼/NNG+'/SS
남편	남편/NNG
때문에	때문/NNB+에/JKB
윤미라는	윤미라/NNP+는/JX
말을	말/NNG+을/JKO
타게	타/VV+게/EC
됐고	되/VV+었/EP+고/EC
마장마술(Dressage)에	마장/NNG+마술/NNG+(/SS+Dressage/SL+)/SS+에/JKB
빠져들게	빠지/VV+어/EC+들/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.22.2
나중엔 경희대에서 승마지도자 자격증까지 땄다.

나중엔	나중/NNG+에/JKB+ㄴ/JX
경희대에서	경희대/NNP+에서/JKB
승마지도자	승마/NNG+지도자/NNG
자격증까지	자격증/NNG+까지/JX
땄다.	따/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.22.3
그리 괴롭히던 알레르기도 어느덧 사라지고 말았다.

그리	그리/MAG
괴롭히던	괴롭히/VV+던/ETM
알레르기도	알레르기/NNG+도/JX
어느덧	어느덧/MAG
사라지고	사라지/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.159.23.1
#국토종주

#국토종주	#/SW+국토/NNG+종주/NNG


# id : NWRW1800000026.159.24.1
지금 고성규가 달고 있는 타이틀은 세 가지다.

지금	지금/MAG
고성규가	고성규/NNP+가/JKS
달고	달/VV+고/EC
있는	있/VX+는/ETM
타이틀은	타이틀/NNG+은/JX
세	세/MMN
가지다.	가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.24.2
'대한청년기마대'의 대장(隊長), 고구려기마문화보존회 회장, 홀스액터코리아대표다.

'대한청년기마대'의	'/SS+대한청년기마대/NNP+'/SS+의/JKG
대장(隊長),	대장/NNG+(/SS+隊長/SH+)/SS+,/SP
고구려기마문화보존회	고구려기마문화보존회/NNP
회장,	회장/NNG+,/SP
홀스액터코리아대표다.	홀스액터코리아/NNP+대표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.24.3
이름은 하나같이 그럴 듯해 보이지만 돈 되는 건 하나도 없고 말 사료 값 대기에도 벅찬 실정이다.

이름은	이름/NNG+은/JX
하나같이	하나같이/MAG
그럴	그렇/VA+ㄹ/ETM
듯해	듯/NNB+하/XSA+아/EC
보이지만	보이/VV+지만/EC
돈	돈/NNG
되는	되/VV+는/ETM
건	거/NNB+ㄴ/JX
하나도	하나/NR+도/JX
없고	없/VA+고/EC
말	말/NNG
사료	사료/NNG
값	값/NNG
대기에도	대/VV+기/ETN+에/JKB+도/JX
벅찬	벅차/VA+ㄴ/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.25.1
현재 그가 보유한 말은 모두 스물두 필이다.

현재	현재/MAG
그가	그/NP+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
말은	말/NNG+은/JX
모두	모두/MAG
스물두	스물두/MMN
필이다.	필/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.25.2
제일 많을 땐 스물다섯 마리까지 키워봤다.

제일	제일/MAG
많을	많/VA+을/ETM
땐	때/NNG+ㄴ/JX
스물다섯	스물다섯/NR
마리까지	마리/NNB+까지/JX
키워봤다.	키우/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.159.25.3
그는 우리 고유의 과하마(果下馬)를 가지고 있었는데 올 2월 죽었다.

그는	그/NP+는/JX
우리	우리/NP
고유의	고유/NNG+의/JKG
과하마(果下馬)를	과하마/NNG+(/SS+果下馬/SH+)/SS+를/JKO
가지고	가지/VV+고/EC
있었는데	있/VX+었/EP+는데/EC
올	올/NNG
2월	2/SN+월/NNB
죽었다.	죽/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.25.4
죽은 과하마는 서대문자연사박물관을 비롯한 두곳에 기증됐다고 한다.

죽은	죽/VV+은/ETM
과하마는	과하마/NNG+는/JX
서대문자연사박물관을	서대문자연사박물관/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
두곳에	두/MMN+곳/NNG+에/JKB
기증됐다고	기증/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.159.26.1
―사주(四柱)에 말과의 인연이 나옵니까.

―사주(四柱)에	―/SS+사주/NNG+(/SS+四柱/SH+)/SS+에/JKB
말과의	말/NNG+과/JKB+의/JKG
인연이	인연/NNG+이/JKS
나옵니까.	나오/VV+ㅂ니까/EF+./SF


# id : NWRW1800000026.159.27.1
"그런 건 안 나오는데 명지대에서 고대사 연구하는 한 교수님이 제 족보를 가져가더니 이런 해석을 해오시더군요.

"그런	"/SS+그런/MMD
건	거/NNB+ㄴ/JX
안	안/MAG
나오는데	나오/VV+는데/EC
명지대에서	명지대/NNP+에서/JKB
고대사	고대사/NNG
연구하는	연구/NNG+하/XSV+는/ETM
한	한/MMN
교수님이	교수/NNG+님/XSN+이/JKS
제	저/NP+의/JKG
족보를	족보/NNG+를/JKO
가져가더니	가져가/VV+더니/EC
이런	이런/MMD
해석을	해석/NNG+을/JKO
해오시더군요.	하/VV+아/EC+오/VV+시/EP+더군/EF+요/JX+./SF


# id : NWRW1800000026.159.27.2
제가 고주몽의 58대손이라고.

제가	제/NP+가/JKS
고주몽의	고주몽/NNP+의/JKG
58대손이라고.	58/SN+대손/NNB+이/VCP+라고/EF+./SF


# id : NWRW1800000026.159.27.3
믿지 않으시겠지만."

믿지	믿/VV+지/EC
않으시겠지만."	않/VX+으시/EP+겠/EP+지만/EC+./SF+"/SS


# id : NWRW1800000026.159.28.1
―고주몽의 58대손?

―고주몽의	―/SS+고주몽/NNP+의/JKG
58대손?	58/SN+대손/NNB+?/SF


# id : NWRW1800000026.159.29.1
"제가 제주고씨이고 본은 횡성이에요.

"제가	"/SS+제/NP+가/JKS
제주고씨이고	제주/NNP+고/NNP+씨/NNB+이/VCP+고/EC
본은	본/NNG+은/JX
횡성이에요.	횡성/NNP+이/VCP+에요/EF+./SF


# id : NWRW1800000026.159.29.2
그분이 오랫동안 여러 역사책을 비교 연구해 그리해준 말씀이니 믿어야지요."

그분이	그분/NP+이/JKS
오랫동안	오랫동안/NNG
여러	여러/MMN
역사책을	역사책/NNG+을/JKO
비교	비교/NNG
연구해	연구/NNG+하/XSV+아/EC
그리해준	그리/MAG+하/XSV+아/EC+주/VX+ㄴ/ETM
말씀이니	말씀/NNG+이/VCP+니/EC
믿어야지요."	믿/VV+어야지/EF+요/JX+./SF+"/SS


# id : NWRW1800000026.159.30.1
―차 팔고 살았으면 편했을 텐데 왜 그리 직업을 많이 바꿨습니까.

―차	―/SS+차/NNG
팔고	팔/VV+고/EC
살았으면	살/VV+았/EP+으면/EC
편했을	편하/VA+았/EP+을/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
왜	왜/MAG
그리	그리/MAG
직업을	직업/NNG+을/JKO
많이	많이/MAG
바꿨습니까.	바꾸/VV+었/EP+습니까/EF+./SF


# id : NWRW1800000026.159.31.1
"제가 파는 것엔 재주가 있어요.

"제가	"/SS+제/NP+가/JKS
파는	팔/VV+는/ETM
것엔	것/NNB+에/JKB+ㄴ/JX
재주가	재주/NNG+가/JKS
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000026.159.31.2
기아차 영업소에서 일하다 한 보험회사 지사장으로 스카우트 제의까지 받았으니까요.

기아차	기아차/NNP
영업소에서	영업소/NNG+에서/JKB
일하다	일/NNG+하/XSV+다/EC
한	한/MMN
보험회사	보험/NNG+회사/NNG
지사장으로	지사장/NNG+으로/JKB
스카우트	스카우트/NNG
제의까지	제의/NNG+까지/JX
받았으니까요.	받/VV+았/EP+으니까/EC+요/JX+./SF


# id : NWRW1800000026.159.31.3
그런데 세상일은 모르는 겁니다.

그런데	그런데/MAJ
세상일은	세상일/NNG+은/JX
모르는	모르/VV+는/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.159.31.4
아는 후배의 동생이 권유해 '풀뿌리 저널'이라는 격주간지 창간에 간여했어요.

아는	알/VV+는/ETM
후배의	후배/NNG+의/JKG
동생이	동생/NNG+이/JKS
권유해	권유/NNG+하/XSV+아/EC
'풀뿌리	'/SS+풀뿌리/NNG
저널'이라는	저널/NNG+'/SS+이/VCP+라는/ETM
격주간지	격주간지/NNG
창간에	창간/NNG+에/JKB
간여했어요.	간여/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000026.159.31.5
그 주간지는 2횐가 3회 만에 이름을 '리더스비전'으로 바꿨어요.

그	그/MMD
주간지는	주간지/NNG+는/JX
2횐가	2/SN+회/NNB+이/VCP+ㄴ가/EF
3회	3/SN+회/NNB
만에	만/NNB+에/JKB
이름을	이름/NNG+을/JKO
'리더스비전'으로	'/SS+리더스비전/NNP+'/SS+으로/JKB
바꿨어요.	바꾸/VV+었/EP+어요/EF+./SF


# id : NWRW1800000026.159.31.6
잘 아실 거 아녜요, 광고 따오고 영업하는 거.

잘	잘/MAG
아실	알/VV+시/EP+ㄹ/ETM
거	거/NNB
아녜요,	아니/VCN+에요/EF+,/SP
광고	광고/NNG
따오고	따/VV+아/EC+오/VX+고/EC
영업하는	영업/NNG+하/XSV+는/ETM
거.	거/NNB+./SF


# id : NWRW1800000026.159.31.7
1년 동안 무보수로 일하다 나왔습니다."

1년	1/SN+년/NNB
동안	동안/NNG
무보수로	무/XPN+보수/NNG+로/JKB
일하다	일/NNG+하/XSV+다/EC
나왔습니다."	나오/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000026.159.32.1
―그 뒤 했다는 보따리상, 서울패션도 다 중국을 상대로 한 거죠.

―그	―/SS+그/MMD
뒤	뒤/NNG
했다는	하/VV+았/EP+다는/ETM
보따리상,	보따리상/NNG+,/SP
서울패션도	서울패션/NNP+도/JX
다	다/MAG
중국을	중국/NNP+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
거죠.	거/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000026.159.33.1
"보따리상은 중국에 중고차나 자동차 부품을 팔아보려 했던 것인데 여의치 않았고 '서울패션'은 중국 심양과 하얼빈에 근거지를 두고 했던 건데 환율(換率) 때문에 쪽박을 찼지요.

"보따리상은	"/SS+보따리상/NNG+은/JX
중국에	중국/NNP+에/JKB
중고차나	중고차/NNG+나/JC
자동차	자동차/NNG
부품을	부품/NNG+을/JKO
팔아보려	팔/VV+아/EC+보/VX+려/EC
했던	하/VX+았/EP+던/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
여의치	여의하/VA+지/EC
않았고	않/VX+았/EP+고/EC
'서울패션'은	'/SS+서울패션/NNP+'/SS+은/JX
중국	중국/NNP
심양과	심양/NNP+과/JC
하얼빈에	하얼빈/NNP+에/JKB
근거지를	근거지/NNG+를/JKO
두고	두/VV+고/EC
건데	거/NNB+이/VCP+ㄴ데/EC
환율(換率)	환율/NNG+(/SS+換率/SH+)/SS
때문에	때문/NNB+에/JKB
쪽박을	쪽박/NNG+을/JKO
찼지요.	차/VV+았/EP+지요/EF+./SF


# id : NWRW1800000026.159.33.2
그리고 오리고기 유통업체에 영업과장으로 갔다가 다시 제빵기 납품회사엔 영업본부장으로 갔습니다."

그리고	그리고/MAJ
오리고기	오리고기/NNG
유통업체에	유통업체/NNG+에/JKB
영업과장으로	영업과장/NNG+으로/JKB
갔다가	가/VV+았/EP+다가/EC
다시	다시/MAG
제빵기	제빵기/NNG
납품회사엔	납품/NNG+회사/NNG+에/JKB+ㄴ/JX
영업본부장으로	영업/NNG+본부장/NNG+으로/JKB
갔습니다."	가/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000026.159.34.1
―그때라도 마음을 바꿨으면 지금같은 처지를 면할 수 있었을 것 같습니다.

―그때라도	―/SS+그때/NNG+이/VCP+라도/EC
마음을	마음/NNG+을/JKO
바꿨으면	바꾸/VV+었/EP+으면/EC
지금같은	지금/NNG+같/VA+은/ETM
처지를	처지/NNG+를/JKO
면할	면하/VV+ㄹ/ETM
수	수/NNB
있었을	있/VA+었/EP+을/ETM
것	것/NNB
같습니다.	같/VA+습니다/EF+./SF


# id : NWRW1800000026.159.35.1
"제가 경기도 원흥승마장이란 곳에서 말 타는 걸 배웠어요.

"제가	"/SS+제/NP+가/JKS
경기도	경기도/NNP
원흥승마장이란	원흥승마장/NNP+이/VCP+란/ETM
곳에서	곳/NNG+에서/JKB
말	말/NNG
타는	타/VV+는/ETM
걸	거/NNB+ㄹ/JKO
배웠어요.	배우/VV+었/EP+어요/EF+./SF


# id : NWRW1800000026.159.35.2
그즈음 그 승마장에 있던 말 한 필을 샀는데 제가 키울 형편이 안 되잖아요.

그즈음	그즈음/NNG
그	그/MMD
승마장에	승마장/NNG+에/JKB
있던	있/VA+던/ETM
말	말/NNG
한	한/MMN
필을	필/NNB+을/JKO
샀는데	사/VV+았/EP+는데/EC
제가	제/NP+가/JKS
키울	키우/VV+ㄹ/ETM
형편이	형편/NNG+이/JKS
안	안/MAG
되잖아요.	되/VV+잖아/EF+요/JX+./SF


# id : NWRW1800000026.159.35.3
소유권만 제가 갖고 원흥승마장에 맡기는 대신 학생들 가르치면서 번 돈으로 말값을 갚곤 했지요.

소유권만	소유/NNG+권/XSN+만/JX
제가	제/NP+가/JKS
갖고	갖/VV+고/EC
원흥승마장에	원흥승마장/NNP+에/JKB
맡기는	맡기/VV+는/ETM
대신	대신/NNG
학생들	학생/NNG+들/XSN
가르치면서	가르치/VV+면서/EC
번	벌/VV+ㄴ/ETM
돈으로	돈/NNG+으로/JKB
말값을	말/NNG+값/NNG+을/JKO
갚곤	갚/VV+곤/EC
했지요.	하/VX+았/EP+지요/EF+./SF


# id : NWRW1800000026.159.35.4
학생들이 안 오면 일꾼처럼 일도 해주고요.

학생들이	학생/NNG+들/XSN+이/JKS
안	안/MAG
오면	오/VV+면/EC
일꾼처럼	일/NNG+꾼/XSN+처럼/JKB
일도	일/NNG+도/JX
해주고요.	하/VV+아/EC+주/VX+고/EC+요/JX+./SF


# id : NWRW1800000026.159.35.5
그때 서울대학생들이 국토종주를 하겠다고 온 겁니다."

그때	그때/NNG
서울대학생들이	서울대/NNP+학생/NNG+들/XSN+이/JKS
국토종주를	국토/NNG+종주/NNG+를/JKO
하겠다고	하/VV+겠/EP+다고/EC
온	오/VV+ㄴ/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000026.159.36.1
―국토종주?

―국토종주?	―/SS+국토/NNG+종주/NNG+?/SF


# id : NWRW1800000026.159.37.1
"2002년 월드컵 축구가 열릴 때 서울대학생들이 16강 진입 기원 종주를 제주도에서 임진각까지 하겠다는 계획을 세웠어요.

"2002년	"/SS+2002/SN+년/NNB
월드컵	월드컵/NNG
축구가	축구/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
때	때/NNG
서울대학생들이	서울대/NNP+학생/NNG+들/XSN+이/JKS
16강	16/SN+강/NNB
진입	진입/NNG
기원	기원/NNG
종주를	종주/NNG+를/JKO
제주도에서	제주도/NNP+에서/JKB
임진각까지	임진각/NNP+까지/JX
하겠다는	하/VV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
세웠어요.	세우/VV+었/EP+어요/EF+./SF


# id : NWRW1800000026.159.37.2
자기들끼리 승마를 배우려다 안 되니 원흥승마장을 찾아온 겁니다.

자기들끼리	자기/NNG+들/XSN+끼리/XSN
승마를	승마/NNG+를/JKO
배우려다	배우/VV+려다/EC
안	안/MAG
되니	되/VV+니/EC
원흥승마장을	원흥승마장/NNP+을/JKO
찾아온	찾아오/VV+ㄴ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.159.37.3
당시 원흥승마장 주인이 돌아가신 강석태씨란 분이에요.

당시	당시/NNG
원흥승마장	원흥승마장/NNP
주인이	주인/NNG+이/JKS
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
강석태씨란	강석태/NNP+씨/NNB+이/VCP+란/ETM
분이에요.	분/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000026.159.37.4
그분이 제게 '학생들 좀 가르치라'고 했어요.

그분이	그분/NP+이/JKS
제게	저/NP+에게/JKB
'학생들	'/SS+학생/NNG+들/XSN
좀	좀/MAG
가르치라'고	가르치/VV+라/EF+'/SS+고/JKQ
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000026.159.37.5
그때부터 매주 토요일과 일요일 곤지암의 보이스카우트 수련장에서 '지옥훈련'을 했습니다."

그때부터	그때/NNG+부터/JX
매주	매주/MAG
토요일과	토요일/NNG+과/JC
일요일	일요일/NNG
곤지암의	곤지암/NNP+의/JKG
보이스카우트	보이스카우트/NNG
수련장에서	수련장/NNG+에서/JKB
'지옥훈련'을	'/SS+지옥/NNG+훈련/NNG+'/SS+을/JKO
했습니다."	하/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000026.159.38.1
―어떻게 하는 게 지옥훈련인가요.

―어떻게	―/SS+어떻/VA+게/EC
하는	하/VV+는/ETM
게	거/NNB+이/JKS
지옥훈련인가요.	지옥/NNG+훈련/NNG+이/VCP+ㄴ가요/EF+./SF


# id : NWRW1800000026.159.39.1
"처음엔 45명이 왔어요.

"처음엔	"/SS+처음/NNG+에/JKB+ㄴ/JX
45명이	45/SN+명/NNB+이/JKS
왔어요.	오/VV+았/EP+어요/EF+./SF


# id : NWRW1800000026.159.39.2
6개월 만에 다 떨어져 나가고 10명이 남았습니다.

6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
다	다/MAG
떨어져	떨어지/VV+어/EC
나가고	나가/VX+고/EC
10명이	10/SN+명/NNB+이/JKS
남았습니다.	남/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.159.39.3
서울대생 7명, 다른 대학생 두명, 그리고 일반인 한명, 그렇게요.

서울대생	서울대/NNP+생/XSN
7명,	7/SN+명/NNB+,/SP
다른	다른/MMD
대학생	대학/NNG+생/XSN
두명,	두/MMN+명/NNB+,/SP
그리고	그리고/MAJ
일반인	일반인/NNG
한명,	한/MMN+명/NNB+,/SP
그렇게요.	그렇/VA+게요/EF+./SF


# id : NWRW1800000026.159.39.4
말 씻기는 법부터 시작해 안장 얹는 법, 말 다루는 법을 배운 뒤 평보(平步) 속보(速步) 구보(驅步)를 주말에 100㎞씩 했어요.

말	말/NNG
씻기는	씻기/VV+는/ETM
법부터	법/NNB+부터/JX
시작해	시작/NNG+하/XSV+아/EC
안장	안장/NNG
얹는	얹/VV+는/ETM
법,	법/NNB+,/SP
다루는	다루/VV+는/ETM
법을	법/NNB+을/JKO
배운	배우/VV+ㄴ/ETM
뒤	뒤/NNG
평보(平步)	평보/NNG+(/SS+平步/SH+)/SS
속보(速步)	속보/NNG+(/SS+速步/SH+)/SS
구보(驅步)를	구보/NNG+(/SS+驅步/SH+)/SS+를/JKO
주말에	주말/NNG+에/JKB
100㎞씩	100/SN+㎞/SW+씩/XSN
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000026.159.39.5
곤지암에서 양평까지가 50㎞인데 왕복하는 거죠.

곤지암에서	곤지암/NNP+에서/JKB
양평까지가	양평/NNP+까지/JX+가/JKS
50㎞인데	50/SN+㎞/SW+이/VCP+ㄴ데/EC
왕복하는	왕복/NNG+하/XSV+는/ETM
거죠.	거/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000026.159.39.6
스폰서도 없어서 1인당 50만원씩 거둬서 자기끼리 밥 해먹고 그렇게 말을 타면 나자빠지지 않을 장사가 없습니다."

스폰서도	스폰서/NNG+도/JX
없어서	없/VA+어서/EC
1인당	1/SN+인/NNG+당/XSN
50만원씩	50/SN+만/NR+원/NNB+씩/XSN
거둬서	거두/VV+어서/EC
자기끼리	자기/NP+끼리/XSN
밥	밥/NNG
해먹고	하/VV+아/EC+먹/VV+고/EC
그렇게	그렇/VA+게/EC
말을	말/NNG+을/JKO
타면	타/VV+면/EC
나자빠지지	나자빠지/VV+지/EC
않을	않/VX+을/ETM
장사가	장사/NNG+가/JKS
없습니다."	없/VA+습니다/EF+./SF+"/SS


# id : NWRW1800000026.159.40.1
―실제로 국토종주를 했습니까.

―실제로	―/SS+실제로/MAG
국토종주를	국토/NNG+종주/NNG+를/JKO
했습니까.	하/VV+았/EP+습니까/EF+./SF


# id : NWRW1800000026.159.41.1
"제주~부산~울산~경주~대구~대전~오산~평택~양재~한남대교~이태원~서울역~세종로~효자동길~구기터널~통일로~임진각 코스였어요.

"제주~부산~울산~경주~대구~대전~오산~평택~양재~한남대교~이태원~서울역~세종로~효자동길~구기터널~통일로~임진각	"/SS+제주/NNP+~/SO+부산/NNP+~/SO+울산/NNP+~/SO+경주/NNP+~/SO+대구/NNP+~/SO+대전/NNP+~/SO+오산/NNP+~/SO+평택/NNP+~/SO+양재/NNP+~/SO+한남대교/NNP+~/SO+이태원/NNP+~/SO+서울역/NNP+~/SO+세종로/NNP+~/SO+효자동길/NNP+~/SO+구기터널/NNP+~/SO+통일로/NNP+~/SO+임진각/NNP
코스였어요.	코스/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000026.159.41.2
완주했지요.

완주했지요.	완주/NNG+하/XSV+았/EP+지요/EF+./SF


# id : NWRW1800000026.159.41.3
그때가 김대중(金大中) 대통령 시절이었습니다.

그때가	그때/NNG+가/JKS
김대중(金大中)	김대중/NNP+(/SS+金大中/SH+)/SS
대통령	대통령/NNG
시절이었습니다.	시절/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000026.159.41.4
청와대 앞길로 가려 했더니 못 가게 막더군요.

청와대	청와대/NNP
앞길로	앞길/NNG+로/JKB
가려	가/VV+려/EC
했더니	하/VX+았/EP+더니/EC
못	못/MAG
가게	가/VV+게/EC
막더군요.	막/VV+더군/EF+요/JX+./SF


# id : NWRW1800000026.159.41.5
'통일염원'이란 말이 앞에 붙었는데도요.

'통일염원'이란	'/SS+통일/NNG+염원/NNG+'/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
앞에	앞/NNG+에/JKB
붙었는데도요.	붙/VV+었/EP+는데/EC+도/JX+요/JX+./SF


# id : NWRW1800000026.159.41.6
경찰 보호는 생각도 못했고요."

경찰	경찰/NNG
보호는	보호/NNG+는/JX
생각도	생각/NNG+도/JX
못했고요."	못하/VX+았/EP+고/EC+요/JX+./SF+"/SS


# id : NWRW1800000026.159.42.1
B2면에 계속

B2면에	B/SL+2/SN+면/NNG+에/JKB
계속	계속/MAG


