# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.95
metadata : {}


# id : NWRW1800000026.95.1.1
[6·25전쟁 60주년][나와 6·25] ⑧신군식씨 '난 인민군 소위였다';인민군에서 국군장교로… 난 스스로 조국을 선택했다

[6·25전쟁	[/SS+6/SN+·/SP+25/SN+전쟁/NNG


# id : NWRW1800000026.95.17.2
국군에 합류한 지 105일 만에 정식 대한민국 군인이 된 것이다.

국군에	국군/NNG+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
지	지/NNB
105일	105/SN+일/NNB
만에	만/NNB+에/JKB
정식	정식/NNG
대한민국	대한민국/NNP
군인이	군인/NNG+이/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.95.17.3
1961년 소령 예편 후 한국전력공사에 들어가 24년간 근무했고, 정년 퇴임 이후엔 중앙경찰학교와 한전의 각 사업장에서 북한의 실상을 강의하는 외래강사를 했다.

1961년	1961/SN+년/NNB
소령	소령/NNG
예편	예편/NNG
후	후/NNG
한국전력공사에	한국전력공사/NNP+에/JKB
들어가	들어가/VV+아/EC
24년간	24/SN+년/NNB+간/XSN
근무했고,	근무/NNG+하/XSV+았/EP+고/EC+,/SP
정년	정년/NNG
퇴임	퇴임/NNG
이후엔	이후/NNG+에/JKB+ㄴ/JX
중앙경찰학교와	중앙경찰학교/NNP+와/JC
한전의	한전/NNP+의/JKG
각	각/MMD
사업장에서	사업장/NNG+에서/JKB
북한의	북한/NNP+의/JKG
실상을	실상/NNG+을/JKO
강의하는	강의/NNG+하/XSV+는/ETM
외래강사를	외래/NNG+강사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.95.17.4
국군으로 참전한 것은 내게 큰 영광이었다.

국군으로	국군/NNG+으로/JKB
참전한	참전/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
내게	나/NP+에게/JKB
큰	크/VA+ㄴ/ETM
영광이었다.	영광/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.95.17.5
당연히 한 치의 후회도 없다.

당연히	당연히/MAG
한	한/MMN
치의	치/NNB+의/JKG
후회도	후회/NNG+도/JX
없다.	없/VA+다/EF+./SF


