# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.182
metadata : {}


# id : NWRW1800000026.182.1.1
[초등 서술형 평가 대담] "선생님, 어떻게 대비하죠?";다독보다는 '정독'암기보다는 '이해'정답보다는 '표현'

[초등	[/SS+초등/NNG
큰	크/VA+ㄴ/ETM
원인은	원인/NNG+은/JX
영상매체에	영상/NNG+매체/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
영향과	영향/NNG+과/JC
만화책이다.	만화책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.17.2
물론 학습만화의 장점은 분명히 있다.

물론	물론/MAG
학습만화의	학습/NNG+만화/NNG+의/JKG
장점은	장점/NNG+은/JX
분명히	분명히/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.182.17.3
하지만, 이렇게 쉽게 흥미 위주로 읽는 취향에 빠지다 보면 제대로 독서하는 방법을 잊어버리게 된다.

하지만,	하지만/MAJ+,/SP
이렇게	이렇/VA+게/EC
쉽게	쉽/VA+게/EC
흥미	흥미/NNG
위주로	위주/NNG+로/JKB
읽는	읽/VV+는/ETM
취향에	취향/NNG+에/JKB
빠지다	빠지/VV+다/EC
보면	보/VX+면/EC
제대로	제대로/MAG
독서하는	독서/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
잊어버리게	잊어버리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.17.4
방법은 고전 읽기라고 생각한다.

방법은	방법/NNG+은/JX
고전	고전/NNG
읽기라고	읽/VV+기/ETN+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.17.5
원서, 원전에 근거한 이솝우화나 안데르센 같은 고전.

원서,	원서/NNG+,/SP
원전에	원전/NNG+에/JKB
근거한	근거/NNG+하/XSV+ㄴ/ETM
이솝우화나	이솝우화/NNP+나/JC
안데르센	안데르센/NNP
같은	같/VA+은/ETM
고전.	고전/NNG+./SF


# id : NWRW1800000026.182.17.6
그런데 요즘은 아이들 입맛에 맞춘 슬림화된 책들이 너무 많다.

그런데	그런데/MAJ
요즘은	요즘/NNG+은/JX
아이들	아이/NNG+들/XSN
입맛에	입맛/NNG+에/JKB
맞춘	맞추/VV+ㄴ/ETM
슬림화된	슬림/NNG+화/XSN+되/XSV+ㄴ/ETM
책들이	책/NNG+들/XSN+이/JKS
너무	너무/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.182.17.7
그런 책은 더 이상 고전의 가치를 품고 있는 제대로 된 고전이라고 볼 수 없다.

그런	그런/MMD
책은	책/NNG+은/JX
더	더/MAG
이상	이상/NNG
고전의	고전/NNG+의/JKG
가치를	가치/NNG+를/JKO
품고	품/VV+고/EC
있는	있/VX+는/ETM
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
고전이라고	고전/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.182.18.1
최광기 : 사실 압축된 책과 학습만화를 위주로 많이 사준 것 같다.

최광기	최광기/NNP
:	:/SP
사실	사실/MAG
압축된	압축/NNG+되/XSV+ㄴ/ETM
책과	책/NNG+과/JC
학습만화를	학습/NNG+만화/NNG+를/JKO
위주로	위주/NNG+로/JKB
많이	많이/MAG
사준	사/VV+아/EC+주/VX+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000026.182.18.2
시중에도 원서 위주의 책보다는 압축된 도서들이 훨씬 많다.

시중에도	시중/NNG+에/JKB+도/JX
원서	원서/NNG
위주의	위주/NNG+의/JKG
책보다는	책/NNG+보다/JKB+는/JX
압축된	압축/NNG+되/XSV+ㄴ/ETM
도서들이	도서/NNG+들/XSN+이/JKS
훨씬	훨씬/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.182.19.1
송재환 교사 : 그게 문제다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
그게	그거/NP+이/JKS
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.19.2
슬림화된 책을 읽은 아이는 나중에 절대로 원전을 읽지 않는다.

슬림화된	슬림/NNG+화/XSN+되/XSV+ㄴ/ETM
책을	책/NNG+을/JKO
읽은	읽/VV+은/ETM
아이는	아이/NNG+는/JX
나중에	나중/NNG+에/JKB
절대로	절대로/MAG
원전을	원전/NNG+을/JKO
읽지	읽/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.182.19.3
읽었다고 생각하기 때문이다.

읽었다고	읽/VV+었/EP+다고/EC
생각하기	생각/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.19.4
하지만 작가는 절대 축약본의 책을 쓰지 않았다.

하지만	하지만/MAJ
작가는	작가/NNG+는/JX
절대	절대/NNG
축약본의	축약본/NNG+의/JKG
책을	책/NNG+을/JKO
쓰지	쓰/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.182.19.5
고전 한권 속에는 작가의 가치관, 세계관, 인간관계 등 다양한 철학이 담겨 있다.

고전	고전/NNG
한권	한/MMN+권/NNB
속에는	속/NNG+에/JKB+는/JX
작가의	작가/NNG+의/JKG
가치관,	가치관/NNG+,/SP
세계관,	세계관/NNG+,/SP
인간관계	인간관계/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
철학이	철학/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.182.19.6
하지만 이런 것들이 무시된 채 압축된 책은 아동심리전문가들이 말하듯 아이들을 무시하는 처사다.

하지만	하지만/MAJ
이런	이런/MMD
것들이	것/NNB+들/XSN+이/JKS
무시된	무시/NNG+되/XSV+ㄴ/ETM
채	채/NNB
압축된	압축/NNG+되/XSV+ㄴ/ETM
책은	책/NNG+은/JX
아동심리전문가들이	아동/NNG+심리/NNG+전문가/NNG+들/XSN+이/JKS
말하듯	말/NNG+하/XSV+듯/EC
아이들을	아이/NNG+들/XSN+을/JKO
무시하는	무시/NNG+하/XSV+는/ETM
처사다.	처사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.19.7
아이들도 얼마든지 원전을 읽을 수 있다.

아이들도	아이/NNG+들/XSN+도/JX
얼마든지	얼마/NNG+든지/JX
원전을	원전/NNG+을/JKO
읽을	읽/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.182.20.1
최광기 : 역시 다독보다는 정독이란 말인가.

최광기	최광기/NNP
:	:/SP
역시	역시/MAG
다독보다는	다독/NNG+보다/JKB+는/JX
정독이란	정독/NNG+이/VCP+란/ETM
말인가.	말/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000026.182.21.1
송재환 교사 : 평소 아이들이 한 학기에 열권 정도의 문제집을 푼다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
평소	평소/NNG
아이들이	아이/NNG+들/XSN+이/JKS
한	한/MMN
학기에	학기/NNG+에/JKB
열권	열/NR+권/NNB
정도의	정도/NNG+의/JKG
문제집을	문제집/NNG+을/JKO
푼다.	풀/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.21.2
그런데 왜 서술형 문제 하나를 제대로 풀지 못해 전전긍긍할까?

그런데	그런데/MAJ
왜	왜/MAG
서술형	서술/NNG+형/XSN
문제	문제/NNG
하나를	하나/NR+를/JKO
제대로	제대로/MAG
풀지	풀/VV+지/EC
못해	못하/VX+아/EC
전전긍긍할까?	전전긍긍/NNG+하/XSV+ㄹ까/EF+?/SF


# id : NWRW1800000026.182.21.3
본질을 이해하고 원리를 내 것으로 만들어야 하는데 양으로만 승부했기 때문이다.

본질을	본질/NNG+을/JKO
이해하고	이해/NNG+하/XSV+고/EC
원리를	원리/NNG+를/JKO
내	나/NP+의/JKG
것으로	것/NNB+으로/JKB
만들어야	만들/VV+어야/EC
하는데	하/VX+는데/EC
양으로만	양/NNG+으로/JKB+만/JX
승부했기	승부/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.21.4
독서 역시 다독보다는 한권의 고전을 깊이 있게 읽고 충분히 이해하는 것이 중요하다.

독서	독서/NNG
역시	역시/MAG
다독보다는	다독/NNG+보다/JKB+는/JX
한권의	한/MMN+권/NNB+의/JKG
고전을	고전/NNG+을/JKO
깊이	깊이/MAG
있게	있/VA+게/EC
읽고	읽/VV+고/EC
충분히	충분히/MAG
이해하는	이해/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.182.21.5
그것이 문제를 이해하는 힘, 생각을 표현하는 힘으로 이어진다.

그것이	그것/NP+이/JKS
문제를	문제/NNG+를/JKO
이해하는	이해/NNG+하/XSV+는/ETM
힘,	힘/NNG+,/SP
생각을	생각/NNG+을/JKO
표현하는	표현/NNG+하/XSV+는/ETM
힘으로	힘/NNG+으로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.21.6
서술형 평가를 대비하기 위해서도 정독, 다양한 배경 지식은 기본이 돼야 한다.

서술형	서술/NNG+형/XSN
평가를	평가/NNG+를/JKO
대비하기	대비/NNG+하/XSV+기/ETN
위해서도	위하/VV+아서/EC+도/JX
정독,	정독/NNG+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
배경	배경/NNG
지식은	지식/NNG+은/JX
기본이	기본/NNG+이/JKC
돼야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.182.21.7
서술형 평가에 대비하고 싶다면 양질의 독서, 다양한 글쓰기 훈련이 반드시 필요하다.

서술형	서술/NNG+형/XSN
평가에	평가/NNG+에/JKB
대비하고	대비/NNG+하/XSV+고/EC
싶다면	싶/VX+다면/EC
양질의	양질/NNG+의/JKG
독서,	독서/NNG+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
글쓰기	글쓰기/NNG
훈련이	훈련/NNG+이/JKS
반드시	반드시/MAG
필요하다.	필요/NNG+하/XSA+다/EF+./SF


