# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.374
metadata : {}


# id : NWRW1800000022.374.1.1
폭락설에서 폭등설까지… 널뛰는 한국 부동산 시장 전망;"근거없는 부동산 불패론·폭락론은 무책임한 선전선동일 뿐"

폭락설에서	폭락설/NNG+에서/JKB
서브프라임	서브프라임/NNG
모기지(비우량	모기지/NNG+(/SS+비/XPN+우량/NNG
주택담보대출)로	주택/NNG+담보/NNG+대출/NNG+)/SS+로/JKB
인해	인/NNG+하/XSV+아/EC
집값이	집값/NNG+이/JKS
급락했다.	급락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.14.1
애당초 한국의 집값이 외국에 비해 상대적으로 덜 올랐다는 분석도 있다.

애당초	애당초/NNG
한국의	한국/NNP+의/JKG
집값이	집값/NNG+이/JKS
외국에	외국/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
덜	덜/MAG
올랐다는	오르/VV+았/EP+다는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.374.14.2
서강대 김경환 교수는"2000년 이후 강남 집값은 크게 올랐지만 전국 평균 상승률은 OECD 국가에서 상당히 낮은 편"이라고 말했다.

서강대	서강대/NNP
김경환	김경환/NNP
교수는"2000년	교수/NNG+는/JX+"/SS+2000/SN+년/NNB
이후	이후/NNG
강남	강남/NNP
집값은	집값/NNG+은/JX
크게	크/VA+게/EC
올랐지만	오르/VV+았/EP+지만/EC
전국	전국/NNG
평균	평균/NNG
상승률은	상승/NNG+률/XSN+은/JX
OECD	OECD/SL
국가에서	국가/NNG+에서/JKB
상당히	상당히/MAG
낮은	낮/VA+은/ETM
편"이라고	편/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.14.3
물가 상승률을 감안한 실질 가격을 기준으로 하면, 미국 주택가격은 1991년부터 2008년까지 연평균 2.3% 오르고, 영국은 4.8%,호주는 4.1% 올랐지만 한국은 1.7% 떨어졌다.

물가	물가/NNG
상승률을	상승/NNG+률/XSN+을/JKO
감안한	감안/NNG+하/XSV+ㄴ/ETM
실질	실질/NNG
가격을	가격/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
하면,	하/VV+면/EC+,/SP
미국	미국/NNP
주택가격은	주택/NNG+가격/NNG+은/JX
1991년부터	1991/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
연평균	연평균/NNG
2.3%	2/SN+./SP+3/SN+%/SW
오르고,	오르/VV+고/EC+,/SP
영국은	영국/NNP+은/JX
4.8%,호주는	4/SN+./SP+8/SN+%/SW+,/SP+호주/NNP+는/JX
4.1%	4/SN+./SP+1/SN+%/SW
올랐지만	오르/VV+았/EP+지만/EC
한국은	한국/NNP+은/JX
1.7%	1/SN+./SP+7/SN+%/SW
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.14.4
(한국에서는 전국이 아닌 강남 아파트 가격, 그리고 물가를 감안하지 않은 명목 가격을 가지고 주택 버블을 이야기하는 경우가 많다.)

(한국에서는	(/SS+한국/NNP+에서/JKB+는/JX
전국이	전국/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
강남	강남/NNP
아파트	아파트/NNG
가격,	가격/NNG+,/SP
그리고	그리고/MAJ
물가를	물가/NNG+를/JKO
감안하지	감안/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
명목	명목/NNG
가격을	가격/NNG+을/JKO
가지고	가지/VV+고/EC
주택	주택/NNG
버블을	버블/NNG+을/JKO
이야기하는	이야기/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다.)	많/VA+다/EF+./SF+)/SS


# id : NWRW1800000022.374.15.1
■박스성 장세 속 차별화 전망

■박스성	■/SW+박스/NNG+성/XSN
장세	장세/NNG
속	속/NNG
차별화	차별/NNG+화/XSN
전망	전망/NNG


# id : NWRW1800000022.374.16.1
그렇다면 향후 집값은 어떻게 될까.

그렇다면	그렇/VA+다면/EC
향후	향후/NNG
집값은	집값/NNG+은/JX
어떻게	어떻/VA+게/EC
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000022.374.16.2
경기 회복의 속도와 폭에 달렸다.

경기	경기/NNG
회복의	회복/NNG+의/JKG
속도와	속도/NNG+와/JC
폭에	폭/NNG+에/JKB
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.16.3
전 세계 각국의 유례 없는 정책 공조로 대공황에 대한 공포는 벗어났지만, 지속적인 경기 회복을 속단하기는 어렵다.

전	전/MMN
세계	세계/NNG
각국의	각국/NNG+의/JKG
유례	유례/NNG
없는	없/VA+는/ETM
정책	정책/NNG
공조로	공조/NNG+로/JKB
대공황에	대/XPN+공황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공포는	공포/NNG+는/JX
벗어났지만,	벗어나/VV+았/EP+지만/EC+,/SP
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
경기	경기/NNG
회복을	회복/NNG+을/JKO
속단하기는	속단/NNG+하/XSV+기/ETN+는/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000022.374.16.4
강만수 국가경쟁력강화위원장은 최근 "출구전략을 쓰든, 안 쓰든 더블딥(경기 회복 후 다시 침체)이 닥칠 우려가 있다"고 말했다.

강만수	강만수/NNP
국가경쟁력강화위원장은	국가/NNG+경쟁력/NNG+강화/NNG+위원장/NNG+은/JX
최근	최근/NNG
"출구전략을	"/SS+출구/NNG+전략/NNG+을/JKO
쓰든,	쓰/VV+든/EC+,/SP
안	안/MAG
쓰든	쓰/VV+든/EC
더블딥(경기	더블딥/NNG+(/SS+경기/NNG
회복	회복/NNG
후	후/NNG
다시	다시/MAG
침체)이	침체/NNG+)/SS+이/JKS
닥칠	닥치/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.17.1
집값이 주택의 수요와 공급에 의해 결정되지만, 수요는 종국적으로는 소득에 의해 결정된다.

집값이	집값/NNG+이/JKS
주택의	주택/NNG+의/JKG
수요와	수요/NNG+와/JC
공급에	공급/NNG+에/JKB
의해	의하/VV+아/EC
결정되지만,	결정/NNG+되/XSV+지만/EC+,/SP
수요는	수요/NNG+는/JX
종국적으로는	종국/NNG+적/XSN+으로/JKB+는/JX
소득에	소득/NNG+에/JKB
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.17.2
소득이 지속적으로 늘어나지 않는 이상 집값의 추가적인 상승이 어렵다.

소득이	소득/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
늘어나지	늘어나/VV+지/EC
않는	않/VX+는/ETM
이상	이상/NNG
집값의	집값/NNG+의/JKG
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
상승이	상승/NNG+이/JKS
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000022.374.17.3
IMF 보고서에 따르면 소득 1% 증가는 실질 집값을 1.1% 올린다.

IMF	IMF/SL
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
소득	소득/NNG
1%	1/SN+%/SW
증가는	증가/NNG+는/JX
실질	실질/NNG
집값을	집값/NNG+을/JKO
1.1%	1/SN+./SP+1/SN+%/SW
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.17.4
일부에선 투기 심리만으로 집값이 지속적으로 상승할 것이라고 주장하지만, 소득의 뒷받침 없는 집값 상승은 모래성처럼 쉽게 허물어진다.

일부에선	일부/NNG+에서/JKB+ㄴ/JX
투기	투기/NNG
심리만으로	심리/NNG+만/JX+으로/JKB
집값이	집값/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
상승할	상승/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장하지만,	주장/NNG+하/XSV+지만/EC+,/SP
소득의	소득/NNG+의/JKG
뒷받침	뒷받침/NNG
없는	없/VA+는/ETM
집값	집값/NNG
상승은	상승/NNG+은/JX
모래성처럼	모래성/NNG+처럼/JKB
쉽게	쉽/VA+게/EC
허물어진다.	허물어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.18.1
반대로, 소득이 오르는데도 집값이 폭락할 것이라는 주장은 '사이비 종말론'이다.

반대로,	반대/NNG+로/JKB+,/SP
소득이	소득/NNG+이/JKS
오르는데도	오르/VV+는데/EC+도/JX
집값이	집값/NNG+이/JKS
폭락할	폭락/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
주장은	주장/NNG+은/JX
'사이비	'/SS+사이비/NNG
종말론'이다.	종말/NNG+론/XSN+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.18.2
부동산 폭락론을 주장하는 사람들은 한국이 일본의 전철을 따를 것이라고 주장하고 있다.

부동산	부동산/NNG
폭락론을	폭락/NNG+론/XSN+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
한국이	한국/NNP+이/JKS
일본의	일본/NNP+의/JKG
전철을	전철/NNG+을/JKO
따를	따르/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.18.3
1970년 이후 OECD 국가에서 40번의 주택 붐(BOOM·가격 상승)과 버스트(BUST·가격 하락) 현상이 나타났지만, 장기 침체된 경우는 일본과 독일 외에는 없다.

1970년	1970/SN+년/NNB
이후	이후/NNG
OECD	OECD/SL
국가에서	국가/NNG+에서/JKB
40번의	40/SN+번/NNB+의/JKG
주택	주택/NNG
붐(BOOM·가격	붐/NNG+(/SS+BOOM/SL+·/SP+가격/NNG
상승)과	상승/NNG+)/SS+과/JC
버스트(BUST·가격	버스트/NNG+(/SS+BUST/SL+·/SP+가격/NNG
하락)	하락/NNG+)/SS
현상이	현상/NNG+이/JKS
나타났지만,	나타나/VV+았/EP+지만/EC+,/SP
장기	장기/NNG
침체된	침체/NNG+되/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
일본과	일본/NNP+과/JC
독일	독일/NNP
외에는	외/NNB+에/JKB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.374.18.4
일본과 비슷한 시기에 부동산 가격 급락이 발생한 스웨덴의 경우, 1990년에 주택 버블이 터져 주요 지역 집값이 18개월 만에 50~60% 폭락했지만, 스웨덴 정부가 공적자금을 조성해 신속하게 금융기관의 부실을 털어내면서 집값도 빠르게 회복됐다.

일본과	일본/NNP+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
부동산	부동산/NNG
가격	가격/NNG
급락이	급락/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
스웨덴의	스웨덴/NNP+의/JKG
경우,	경우/NNG+,/SP
1990년에	1990/SN+년/NNB+에/JKB
주택	주택/NNG
버블이	버블/NNG+이/JKS
터져	터지/VV+어/EC
주요	주요/NNG
지역	지역/NNG
집값이	집값/NNG+이/JKS
18개월	18/SN+개월/NNB
만에	만/NNB+에/JKB
50~60%	50/SN+~/SO+60/SN+%/SW
폭락했지만,	폭락/NNG+하/XSV+았/EP+지만/EC+,/SP
스웨덴	스웨덴/NNP
정부가	정부/NNG+가/JKS
공적자금을	공/NNG+적/XSN+자금/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
신속하게	신속/NNG+하/XSA+게/EC
금융기관의	금융/NNG+기관/NNG+의/JKG
부실을	부실/NNG+을/JKO
털어내면서	털/VV+어/EC+내/VX+면서/EC
집값도	집값/NNG+도/JX
빠르게	빠르/VA+게/EC
회복됐다.	회복/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.19.1
지난해 글로벌 금융위기가 발생한 뒤 각국 정부가 경기 부양을 위해 정책 공조에 나선 것은 일본의 장기 침체를 되풀이하지 않기 위해서이다.

지난해	지난해/NNG
글로벌	글로벌/NNG
금융위기가	금융/NNG+위기/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
각국	각국/NNG
정부가	정부/NNG+가/JKS
경기	경기/NNG
부양을	부양/NNG+을/JKO
위해	위하/VV+아/EC
정책	정책/NNG
공조에	공조/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
일본의	일본/NNP+의/JKG
장기	장기/NNG
침체를	침체/NNG+를/JKO
되풀이하지	되풀이/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
위해서이다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.19.2
과거 경험을 통한 학습 효과 덕분에 일본식 장기 침체 가능성은 낮다고 봐야 한다.

과거	과거/NNG
경험을	경험/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
학습	학습/NNG
효과	효과/NNG
덕분에	덕분/NNG+에/JKB
일본식	일본식/NNG
장기	장기/NNG
침체	침체/NNG
가능성은	가능/NNG+성/XSN+은/JX
낮다고	낮/VA+다고/EC
봐야	보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.374.20.1
앞으로 집값은 경기의 방향성이 확정될 때까지 소폭의 등락을 거듭하며 횡보하는 '박스성 장세'를 보일 가능성이 높아 보인다.

앞으로	앞/NNG+으로/JKB
집값은	집값/NNG+은/JX
경기의	경기/NNG+의/JKG
방향성이	방향/NNG+성/XSN+이/JKS
확정될	확정/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
소폭의	소폭/NNG+의/JKG
등락을	등락/NNG+을/JKO
거듭하며	거듭/MAG+하/XSV+며/EC
횡보하는	횡보/NNG+하/XSV+는/ETM
'박스성	'/SS+박스/NNG+성/XSN
장세'를	장세/NNG+'/SS+를/JKO
보일	보이/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아	높/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.20.2
경기 전반이 불투명한 데다, 정부도 집값의 급등이나 급락 어느 쪽도 바라지 않기 때문이다.

경기	경기/NNG
전반이	전반/NNG+이/JKS
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
정부도	정부/NNG+도/JX
집값의	집값/NNG+의/JKG
급등이나	급등/NNG+이나/JC
급락	급락/NNG
어느	어느/MMD
쪽도	쪽/NNB+도/JX
바라지	바라/VV+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.20.3
정책 당국은 금리 인상에는 매우 신중할 것이며, LTV와 DTI 등 미시적 금융 규제를 통해 집값 변동성을 줄이려고 애쓸 것이다.

정책	정책/NNG
당국은	당국/NNG+은/JX
금리	금리/NNG
인상에는	인상/NNG+에/JKB+는/JX
매우	매우/MAG
신중할	신중/NNG+하/XSA+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
LTV와	LTV/SL+와/JC
DTI	DTI/SL
등	등/NNB
미시적	미시/NNG+적/XSN
금융	금융/NNG
규제를	규제/NNG+를/JKO
통해	통하/VV+아/EC
집값	집값/NNG
변동성을	변동/NNG+성/XSN+을/JKO
줄이려고	줄이/VV+려고/EC
애쓸	애쓰/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.21.1
다만, 전체 경기가 좋지 않더라도 특정 지역의 집값이 치솟는 현상은 발생할 수 있다.

다만,	다만/MAG+,/SP
전체	전체/NNG
경기가	경기/NNG+가/JKS
좋지	좋/VA+지/EC
않더라도	않/VX+더라도/EC
특정	특정/NNG
지역의	지역/NNG+의/JKG
집값이	집값/NNG+이/JKS
치솟는	치솟/VV+는/ETM
현상은	현상/NNG+은/JX
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.374.21.2
20세기 들어 전 세계 곳곳에서 상상을 초월할 정도의 초고급·초고가 주택이 들어서는 현상이 나타났는데 도시사회학자들은 이를 '수퍼 젠트리피케이션(super gentrification)'이란 말로 설명하고 있다.

20세기	20/SN+세기/NNG
들어	들/VV+어/EC
전	전/MMN
세계	세계/NNG
곳곳에서	곳곳/NNG+에서/JKB
상상을	상상/NNG+을/JKO
초월할	초월/NNG+하/XSV+ㄹ/ETM
정도의	정도/NNG+의/JKG
초고급·초고가	초/XPN+고급/NNG+·/SP+초/XPN+고가/NNG
주택이	주택/NNG+이/JKS
들어서는	들어서/VV+는/ETM
현상이	현상/NNG+이/JKS
나타났는데	나타나/VV+았/EP+는데/EC
도시사회학자들은	도시/NNG+사회학자/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
'수퍼	'/SS+수퍼/NNG
젠트리피케이션(super	젠트리피케이션/NNG+(/SS+super/SL
gentrification)'이란	gentrification/SL+)/SS+'/SS+이/VCP+란/ETM
말로	말/NNG+로/JKB
설명하고	설명/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.21.3
금융 자율화로 인해 초(超) 거액의 연봉과 보너스를 받는 신(新)부유층이 탄생하면서 이들을 겨냥한 초고가 개발이 이뤄지고, 그 주변 지역의 집값도 치솟는다는 것이다.

금융	금융/NNG
자율화로	자율/NNG+화/XSN+로/JKB
인해	인/NNG+하/XSV+아/EC
초(超)	초/XPN+(/SS+超/SH+)/SS
거액의	거액/NNG+의/JKG
연봉과	연봉/NNG+과/JC
보너스를	보너스/NNG+를/JKO
받는	받/VV+는/ETM
신(新)부유층이	신/XPN+(/SS+新/SH+)/SS+부유/NNG+층/XSN+이/JKS
탄생하면서	탄생/NNG+하/XSV+면서/EC
이들을	이/NP+들/XSN+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
초고가	초/XPN+고가/NNG
개발이	개발/NNG+이/JKS
이뤄지고,	이뤄지/VV+고/EC+,/SP
그	그/MMD
주변	주변/NNG
지역의	지역/NNG+의/JKG
집값도	집값/NNG+도/JX
치솟는다는	치솟/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.21.4
서울의 초고가 아파트의 등장도 IMF 외환위기 이후 확대된 스톡옵션, 고액 연봉자의 증가 등 신부유층의 증가에 따른 현상으로 볼 수 있다.

서울의	서울/NNP+의/JKG
초고가	초/XPN+고가/NNG
아파트의	아파트/NNG+의/JKG
등장도	등장/NNG+도/JX
IMF	IMF/SL
외환위기	외환/NNG+위기/NNG
이후	이후/NNG
확대된	확대/NNG+되/XSV+ㄴ/ETM
스톡옵션,	스톡옵션/NNG+,/SP
고액	고액/NNG
연봉자의	연봉자/NNG+의/JKG
증가	증가/NNG
등	등/NNB
신부유층의	신/XPN+부유/NNG+층/XSN+의/JKG
증가에	증가/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
현상으로	현상/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.374.22.1
■극단적 비관론과 낙관론 모두를 경계해야

■극단적	■/SW+극단/NNG+적/XSN
비관론과	비관/NNG+론/XSN+과/JC
낙관론	낙관/NNG+론/XSN
모두를	모두/NNG+를/JKO
경계해야	경계/NNG+하/XSV+아야/EC


# id : NWRW1800000022.374.23.1
세계적 석학인 그레고리 맨큐(Mankiw) 하버드대 교수가 1989년 논문을 통해 "2007년까지 미국의 주택 가격이 47% 하락할 것"이라고 전망한 적이 있다.

세계적	세계/NNG+적/XSN
석학인	석학/NNG+이/VCP+ㄴ/ETM
그레고리	그레고리/NNP
맨큐(Mankiw)	맨큐/NNP+(/SS+Mankiw/SL+)/SS
하버드대	하버드대/NNP
교수가	교수/NNG+가/JKS
1989년	1989/SN+년/NNB
논문을	논문/NNG+을/JKO
통해	통하/VV+아/EC
"2007년까지	"/SS+2007/SN+년/NNB+까지/JX
미국의	미국/NNP+의/JKG
주택	주택/NNG
가격이	가격/NNG+이/JKS
47%	47/SN+%/SW
하락할	하락/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전망한	전망/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.374.23.2
그는 1970년대와 1980년대 미국 집값이 상승한 것은 베이비붐 세대들이 결혼하면서 신규 주택 수요가 급증했기 때문이라고 주장했다.

그는	그/NP+는/JX
1970년대와	1970/SN+년대/NNB+와/JC
1980년대	1980/SN+년대/NNB
미국	미국/NNP
집값이	집값/NNG+이/JKS
상승한	상승/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
베이비붐	베이비붐/NNG
세대들이	세대/NNG+들/XSN+이/JKS
결혼하면서	결혼/NNG+하/XSV+면서/EC
신규	신규/NNG
주택	주택/NNG
수요가	수요/NNG+가/JKS
급증했기	급증/NNG+하/XSV+았/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.23.3
그런 베이비 붐 세대들의 주택 장만이 끝났기 때문에 이들의 수요가 급격히 줄어들면서 20년간 집값이 하락할 것이라고 봤던 것이다.

그런	그런/MMD
베이비	베이비/NNG
붐	붐/NNG
세대들의	세대/NNG+들/XSN+의/JKG
주택	주택/NNG
장만이	장만/NNG+이/JKS
끝났기	끝나/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
이들의	이/NP+들/XSN+의/JKG
수요가	수요/NNG+가/JKS
급격히	급격히/MAG
줄어들면서	줄어들/VV+면서/EC
20년간	20/SN+년/NNB+간/XSN
집값이	집값/NNG+이/JKS
하락할	하락/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
봤던	보/VV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.24.1
그러나 현실은 달랐다.

그러나	그러나/MAJ
현실은	현실/NNG+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.374.24.2
경제가 성장하면서 베이비붐 세대들은 더 넓은 주택을 장만하고, 세컨드 하우스를 마련했고, 주택 가격은 계속 치솟았다.

경제가	경제/NNG+가/JKS
성장하면서	성장/NNG+하/XSV+면서/EC
베이비붐	베이비붐/NNG
세대들은	세대/NNG+들/XSN+은/JX
더	더/MAG
넓은	넓/VA+은/ETM
주택을	주택/NNG+을/JKO
장만하고,	장만/NNG+하/XSV+고/EC+,/SP
세컨드	세컨드/NNG
하우스를	하우스/NNG+를/JKO
마련했고,	마련/NNG+하/XSV+았/EP+고/EC+,/SP
주택	주택/NNG
가격은	가격/NNG+은/JX
계속	계속/MAG
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.24.3
이 때문에 맨큐는 "최악의 예측을 한 경제학자"라는 비판도 받고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
맨큐는	맨큐/NNP+는/JX
"최악의	"/SS+최악/NNG+의/JKG
예측을	예측/NNG+을/JKO
한	하/VV+ㄴ/ETM
경제학자"라는	경제학자/NNG+"/SS+이/VCP+라는/ETM
비판도	비판/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.25.1
맨큐 교수뿐만 아니라 미래를 단정적으로 예측했다가 망신을 당한 전문가들은 수도 없이 많다.

맨큐	맨큐/NNP
교수뿐만	교수/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
미래를	미래/NNG+를/JKO
단정적으로	단정/NNG+적/XSN+으로/JKB
예측했다가	예측/NNG+하/XSV+았/EP+다가/EC
망신을	망신/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
전문가들은	전문가/NNG+들/XSN+은/JX
수도	수/NNG+도/JX
없이	없이/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.374.25.2
엉터리 예측을 하는 것은 특정 변수만을 과도하게 강조해 집값을 설명하려 하기 때문이다.

엉터리	엉터리/NNG
예측을	예측/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
특정	특정/NNG
변수만을	변수/NNG+만/JX+을/JKO
과도하게	과도/NNG+하/XSA+게/EC
강조해	강조/NNG+하/XSV+아/EC
집값을	집값/NNG+을/JKO
설명하려	설명/NNG+하/XSV+려/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.26.1
집값뿐만 아니라 증시와 경제에 대해서도 극단적인 낙관론과 비관론이 많았지만, 대부분 망신으로 끝난다.

집값뿐만	집값/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
증시와	증시/NNG+와/JC
경제에	경제/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
낙관론과	낙관/NNG+론/XSN+과/JC
비관론이	비관/NNG+론/XSN+이/JKS
많았지만,	많/VA+았/EP+지만/EC+,/SP
대부분	대/XPN+부분/NNG
망신으로	망신/NNG+으로/JKB
끝난다.	끝나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.26.2
집값은 주식과 마찬가지로 사이클을 그린다.

집값은	집값/NNG+은/JX
주식과	주식/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
사이클을	사이클/NNG+을/JKO
그린다.	그리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.26.3
주택시장이 과열되면 집값이 영원히 오를 것 같은 낙관론이, 시장이 급랭하면 집값이 영원히 내려갈 것 같은 비관론이 지배한다.

주택시장이	주택/NNG+시장/NNG+이/JKS
과열되면	과열/NNG+되/XSV+면/EC
집값이	집값/NNG+이/JKS
영원히	영원히/MAG
오를	오르/VV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
낙관론이,	낙관/NNG+론/XSN+이/JKS+,/SP
시장이	시장/NNG+이/JKS
급랭하면	급랭/NNG+하/XSV+면/EC
내려갈	내려가/VV+ㄹ/ETM
비관론이	비관/NNG+론/XSN+이/JKS
지배한다.	지배/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.27.1
이런 낙관론과 비관론을 극복한 사람이 미국의 부동산 재벌 샘 젤(Zell)이다.

이런	이런/MMD
낙관론과	낙관/NNG+론/XSN+과/JC
비관론을	비관/NNG+론/XSN+을/JKO
극복한	극복/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
미국의	미국/NNP+의/JKG
부동산	부동산/NNG
재벌	재벌/NNG
샘	샘/NNP
젤(Zell)이다.	젤/NNP+(/SS+Zell/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.27.2
그는 남들이 투자하는 호황기에 자산을 팔고.

그는	그/NP+는/JX
남들이	남/NNG+들/XSN+이/JKS
투자하는	투자/NNG+하/XSV+는/ETM
호황기에	호황기/NNG+에/JKB
자산을	자산/NNG+을/JKO
팔고.	팔/VV+고/EF+./SF


# id : NWRW1800000022.374.27.3
모두가 겁을 먹고 부동산을 투매하는 침체기에 알짜 부동산을 저가에 매수하는 방식으로 부를 추적했다.

모두가	모두/NNG+가/JKS
겁을	겁/NNG+을/JKO
먹고	먹/VV+고/EC
