# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.232
metadata : {}


# id : NWRW1800000028.232.1.1
학교의 부조리에 입 다물고 공부만 해야 하는 현실 답답해요 /자퇴보단 그 문제의식 오래 품길

학교의	학교/NNG+의/JKG
자위하는데,	자위/NNG+하/XSV+는데/EC+,/SP
한	한/MMN
번의	번/NNB+의/JKG
고양된	고양/NNG+되/XSV+ㄴ/ETM
클라이맥스에	클라이맥스/NNG+에/JKB
도달하고	도달/NNG+하/XSV+고/EC
난	나/VX+ㄴ/ETM
뒤의	뒤/NNG+의/JKG
뒷감당적	뒷감당/NNG+적/XSN
소모는	소모/NNG+는/JX
상상	상상/NNG
이상으로	이상/NNG+으로/JKB
크고	크/VA+고/EC
외롭습니다.	외롭/VA+습니다/EF+./SF


# id : NWRW1800000028.232.3.23
게다가 에너지 한번 고갈되면 그다음엔 포기하고 잊고 타협하는 것에 스스로 얼마나 관대해지는지요.

게다가	게다가/MAG
에너지	에너지/NNG
한번	한번/MAG
고갈되면	고갈/NNG+되/XSV+면/EC
그다음엔	그다음/NNG+에/JKB+ㄴ/JX
포기하고	포기/NNG+하/XSV+고/EC
잊고	잊/VV+고/EC
타협하는	타협/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
스스로	스스로/MAG
얼마나	얼마나/MAG
관대해지는지요.	관대하/VA+아/EC+지/VX+는지/EF+요/JX+./SF


# id : NWRW1800000028.232.3.24
인간은 심리적 밸런스를 찾으려는 동물이니깐요.

인간은	인간/NNG+은/JX
심리적	심리/NNG+적/XSN
밸런스를	밸런스/NNG+를/JKO
찾으려는	찾/VV+으려는/ETM
동물이니깐요.	동물/NNG+이/VCP+니깐/EF+요/JX+./SF


# id : NWRW1800000028.232.3.25
그런데 그러기엔 그간 품었던 그 문제의식들이 아깝지 않나요?

그런데	그런데/MAJ
그러기엔	그러/VV+기에/EC+ㄴ/JX
그간	그/NP+간/XSN
품었던	품/VV+었/EP+던/ETM
그	그/MMD
문제의식들이	문제의식/NNG+들/XSN+이/JKS
아깝지	아깝/VA+지/EC
않나요?	않/VX+나요/EF+?/SF


# id : NWRW1800000028.232.3.26
양보할 수 없는 문제의식이 있다면 그것을 소중히 오래도록 품고 어른이 되어 달라고 부탁하고 싶습니다.

양보할	양보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
문제의식이	문제의식/NNG+이/JKS
있다면	있/VA+다면/EC
그것을	그것/NP+을/JKO
소중히	소중히/MAG
오래도록	오래도록/MAG
품고	품/VV+고/EC
어른이	어른/NNG+이/JKC
되어	되/VV+어/EC
달라고	달/VX+라고/EC
부탁하고	부탁/NNG+하/XSV+고/EC
싶습니다.	싶/VX+습니다/EF+./SF


# id : NWRW1800000028.232.3.27
고민하고 생각하는 데 적절한 타이밍이 따로 있는 건 아닙니다.

고민하고	고민/NNG+하/XSV+고/EC
생각하는	생각/NNG+하/XSV+는/ETM
데	데/NNB
적절한	적절하/VA+ㄴ/ETM
타이밍이	타이밍/NNG+이/JKS
따로	따로/MAG
있는	있/VA+는/ETM
건	거/NNB+ㄴ/JX
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000028.232.3.28
다만 그 생각을 토대로 최적의 결과를 끌어내기 위해선 최적의 타이밍이 있고 거기에는 기다림이라는 더더욱 답답해 뵈는 숙제가 있기도 합니다.

다만	다만/MAG
그	그/MMD
생각을	생각/NNG+을/JKO
토대로	토대/NNG+로/JKB
최적의	최적/NNG+의/JKG
결과를	결과/NNG+를/JKO
끌어내기	끌어내/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
타이밍이	타이밍/NNG+이/JKS
있고	있/VA+고/EC
거기에는	거기/NP+에/JKB+는/JX
기다림이라는	기다리/VV+ㅁ/ETN+이/VCP+라는/ETM
더더욱	더더욱/MAG
답답해	답답하/VA+아/EC
뵈는	뵈/VV+는/ETM
숙제가	숙제/NNG+가/JKS
있기도	있/VA+기/ETN+도/JX
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000028.232.3.29
어른들은 너무 실리주의적이라고요?

어른들은	어른/NNG+들/XSN+은/JX
너무	너무/MAG
실리주의적이라고요?	실리주의/NNG+적/XSN+이/VCP+라고/EF+요/JX+?/SF


# id : NWRW1800000028.232.3.30
예, 전 너무 실리적이라 초딩 때 그 트라우마로 빈정상해 급기야는 한국말로 먹고사는 직업을 끝끝내 성취했답니다.

예,	예/IC+,/SP
전	저/NP+ㄴ/JX
너무	너무/MAG
실리적이라	실리/NNG+적/XSN+이/VCP+라/EC
초딩	초딩/NNG
때	때/NNG
그	그/MMD
트라우마로	트라우마/NNG+로/JKB
빈정상해	빈정/XR+상하/VV+아/EC
급기야는	급기야/MAG+는/JX
한국말로	한국말/NNG+로/JKB
먹고사는	먹고살/VV+는/ETM
직업을	직업/NNG+을/JKO
끝끝내	끝끝내/MAG
성취했답니다.	성취/NNG+하/XSV+았/EP+답니다/EF+./SF


# id : NWRW1800000028.232.3.31
열아홉에 느꼈던 감촉에 비해 인생은 생각보다 길더라고요.

열아홉에	열아홉/NR+에/JKB
느꼈던	느끼/VV+었/EP+던/ETM
감촉에	감촉/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
인생은	인생/NNG+은/JX
생각보다	생각/NNG+보다/JKB
길더라고요.	길/VA+더라고/EF+요/JX+./SF


