# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.85
metadata : {}


# id : NWRW1800000025.85.1.1
[다시 뛰는 금융]증권사들도 세계시장서 초대형 투자은행에 도전장

[다시	[/SS+다시/MAG
홍콩	홍콩/NNP
당국으로부터	당국/NNG+으로부터/JKB
현지법인	현지/NNG+법인/NNG
인가를	인가/NNG+를/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.19.1
○ 중국과 동남아, 이제는 열매를 딸 때

○	○/SW
중국과	중국/NNP+과/JC
동남아,	동남아/NNP+,/SP
이제는	이제/NNG+는/JX
열매를	열매/NNG+를/JKO
딸	따/VV+ㄹ/ETM
때	때/NNG


# id : NWRW1800000025.85.20.1
신한금융투자는 ‘수업료가 상대적으로 싼’ 곳을 집중 공략할 예정이다.

신한금융투자는	신한금융투자/NNP+는/JX
‘수업료가	‘/SS+수업료/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
싼’	싸/VA+ㄴ/ETM+’/SS
곳을	곳/NNG+을/JKO
집중	집중/NNG
공략할	공략/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.20.2
중심지는 베트남과 일본.

중심지는	중심지/NNG+는/JX
베트남과	베트남/NNP+과/JC
일본.	일본/NNP+./SF


# id : NWRW1800000025.85.20.3
베트남 호찌민에서 현지사무소 인가를 받으면 본격적으로 사업을 전개할 예정이다.

베트남	베트남/NNP
호찌민에서	호찌민/NNP+에서/JKB
현지사무소	현지/NNG+사무소/NNG
인가를	인가/NNG+를/JKO
받으면	받/VV+으면/EC
본격적으로	본격/NNG+적/XSN+으로/JKB
사업을	사업/NNG+을/JKO
전개할	전개/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.20.4
앞으로 이 지역을 발판으로 동남아 전역과 중동지역 진출 가능성도 모색할 계획이다.

앞으로	앞/NNG+으로/JKB
이	이/MMD
지역을	지역/NNG+을/JKO
발판으로	발판/NNG+으로/JKB
동남아	동남아/NNP
전역과	전역/NNG+과/JC
중동지역	중동/NNP+지역/NNG
진출	진출/NNG
가능성도	가능/NNG+성/XSN+도/JX
모색할	모색/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.21.1
우리투자증권은 지난해 9월 베트남 현지 증권사를 인수했고 호찌민에 사무소를 둔 한국투자증권도 현지 증권사 인수가 마무리 단계다.

우리투자증권은	우리투자증권/NNP+은/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
베트남	베트남/NNP
현지	현지/NNG
증권사를	증권사/NNG+를/JKO
인수했고	인수/NNG+하/XSV+았/EP+고/EC
호찌민에	호찌민/NNP+에/JKB
사무소를	사무소/NNG+를/JKO
둔	두/VV+ㄴ/ETM
한국투자증권도	한국투자증권/NNP+도/JX
증권사	증권사/NNG
인수가	인수/NNG+가/JKS
마무리	마무리/NNG
단계다.	단계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.22.1
자본시장이 덜 발달된 캄보디아, 라오스도 주요 대상이다.

자본시장이	자본/NNG+시장/NNG+이/JKS
덜	덜/MAG
발달된	발달/NNG+되/XSV+ㄴ/ETM
캄보디아,	캄보디아/NNP+,/SP
라오스도	라오스/NNP+도/JX
주요	주요/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.22.2
대신증권은 2008년 캄보디아 현지 재벌인 로열그룹과 전략적 제휴를 맺은 데 이어 최근 라오스 민간그룹인 코라오그룹과 제휴하기도 했다.

대신증권은	대신증권/NNP+은/JX
2008년	2008/SN+년/NNB
캄보디아	캄보디아/NNP
현지	현지/NNG
재벌인	재벌/NNG+이/VCP+ㄴ/ETM
로열그룹과	로열그룹/NNP+과/JKB
전략적	전략/NNG+적/XSN
제휴를	제휴/NNG+를/JKO
맺은	맺/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
최근	최근/NNG
라오스	라오스/NNP
민간그룹인	민간/NNG+그룹/NNG+이/VCP+ㄴ/ETM
코라오그룹과	코라오그룹/NNP+과/JKB
제휴하기도	제휴/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.85.22.3
라오스는 IBK투자증권이 IPO 시장에 진출한다고 밝히기도 했다.

라오스는	라오스/NNP+는/JX
IBK투자증권이	IBK투자증권/NNP+이/JKS
IPO	IPO/SL
시장에	시장/NNG+에/JKB
진출한다고	진출/NNG+하/XSV+ㄴ다고/EC
밝히기도	밝히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.85.23.1
무엇보다 중국을 빼놓을 수 없다.

무엇보다	무엇/NP+보다/JKB
중국을	중국/NNP+을/JKO
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.85.23.2
한화증권은 상하이에 투자자문사를 설립해 중국 기업의 한국 증시 상장, M&A 등 IB 사업을 추진하고 있다.

한화증권은	한화증권/NNP+은/JX
상하이에	상하이/NNP+에/JKB
투자자문사를	투자/NNG+자문사/NNG+를/JKO
설립해	설립/NNG+하/XSV+아/EC
중국	중국/NNP
기업의	기업/NNG+의/JKG
한국	한국/NNP
증시	증시/NNG
상장,	상장/NNG+,/SP
M&A	M/SL+&/SW+A/SL
등	등/NNB
IB	IB/SL
사업을	사업/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.23.3
우리투자증권은 베이징에 리서치센터를 설립해 현지 애널리스트를 뽑았고 중국 경제와 기업에 대한 심층 분석 결과를 국내 투자자들에게 제공하고 있다.

우리투자증권은	우리투자증권/NNP+은/JX
베이징에	베이징/NNP+에/JKB
리서치센터를	리서치/NNG+센터/NNG+를/JKO
설립해	설립/NNG+하/XSV+아/EC
현지	현지/NNG
애널리스트를	애널리스트/NNG+를/JKO
뽑았고	뽑/VV+았/EP+고/EC
중국	중국/NNP
경제와	경제/NNG+와/JC
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심층	심층/NNG
분석	분석/NNG
결과를	결과/NNG+를/JKO
국내	국내/NNG
투자자들에게	투자자/NNG+들/XSN+에게/JKB
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


