# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.203
metadata : {}


# id : NWRW1800000021.203.1.1
[이젠 원자력이다]“가진 건 머리뿐”… 맨손으로 일으킨 ‘원자력 독립국’

[이젠	[/SS+이제/NNG+ㄴ/JX
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.15.2
1조 kWh는 서울시에서 35년간 사용할 수 있는 전력량으로 이로 인한 국민의 경제적 부담 경감액은 약 18조 원으로 추산됐다.

1조	1/SN+조/NR
kWh는	kWh/SW+는/JX
서울시에서	서울시/NNP+에서/JKB
35년간	35/SN+년/NNB+간/XSN
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전력량으로	전력량/NNG+으로/JKB
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
국민의	국민/NNG+의/JKG
경제적	경제/NNG+적/XSN
부담	부담/NNG
경감액은	경감액/NNG+은/JX
약	약/MMA
18조	18/SN+조/NR
원으로	원/NNB+으로/JKB
추산됐다.	추산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.15.3
또 2005년 한국표준형원전의 완성판이라 할 수 있는 울진 5, 6호기의 준공으로 한국은 총 20기의 원전을 보유한 세계 6위 원자력 대국으로 발돋움했다.

또	또/MAG
2005년	2005/SN+년/NNB
한국표준형원전의	한국/NNP+표준/NNG+형/XSN+원전/NNG+의/JKG
완성판이라	완성판/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
울진	울진/NNP
5,	5/SN+,/SP
6호기의	6/SN+호기/NNG+의/JKG
준공으로	준공/NNG+으로/JKB
한국은	한국/NNP+은/JX
총	총/MMA
20기의	20/SN+기/NNB+의/JKG
원전을	원전/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
6위	6/SN+위/NNB
원자력	원자력/NNG
대국으로	대국/NNG+으로/JKB
발돋움했다.	발돋움/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.15.4
이명박 정부 출범 후 원자력은 녹색성장의 동력으로 재조명받고 있다.

이명박	이명박/NNP
정부	정부/NNG
출범	출범/NNG
후	후/NNG
원자력은	원자력/NNG+은/JX
녹색성장의	녹색/NNG+성장/NNG+의/JKG
동력으로	동력/NNG+으로/JKB
재조명받고	재/XPN+조명/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.203.15.5
녹색성장을 새로운 국정비전으로 내세운 현 정부는 2008년 8월 국가에너지기본계획을 통해 화석에너지의 비중을 크게 낮추는 대신 2030년까지 원자력 등 저탄소에너지 비중을 전체 에너지원의 39%까지 확대하는 계획을 발표했다.

녹색성장을	녹색/NNG+성장/NNG+을/JKO
새로운	새롭/VA+ㄴ/ETM
국정비전으로	국정/NNG+비전/NNG+으로/JKB
내세운	내세우/VV+ㄴ/ETM
현	현/MMD
정부는	정부/NNG+는/JX
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
국가에너지기본계획을	국가/NNG+에너지/NNG+기본/NNG+계획/NNG+을/JKO
통해	통하/VV+아/EC
화석에너지의	화석/NNG+에너지/NNG+의/JKG
비중을	비중/NNG+을/JKO
크게	크/VA+게/EC
낮추는	낮추/VV+는/ETM
대신	대신/NNG
2030년까지	2030/SN+년/NNB+까지/JX
원자력	원자력/NNG
등	등/NNB
저탄소에너지	저/XPN+탄소/NNG+에너지/NNG
전체	전체/NNG
에너지원의	에너지원/NNG+의/JKG
39%까지	39/SN+%/SW+까지/JX
확대하는	확대/NNG+하/XSV+는/ETM
계획을	계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.16.1
원자력은 온실가스 배출이 거의 없고 발전단가도 낮아 경제성이 높은 데다 고유가 시대 및 국제적인 환경규제 변화에 대응하기 위한 가장 현실적 에너지 대안이기 때문이다.

원자력은	원자력/NNG+은/JX
온실가스	온실가스/NNG
배출이	배출/NNG+이/JKS
거의	거의/MAG
없고	없/VA+고/EC
발전단가도	발전/NNG+단가/NNG+도/JX
낮아	낮/VA+아/EC
경제성이	경제/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
데다	데/NNB+다/JX
고유가	고/XPN+유가/NNG
시대	시대/NNG
및	및/MAG
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
환경규제	환경/NNG+규제/NNG
변화에	변화/NNG+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
가장	가장/MAG
현실적	현실/NNG+적/XSN
에너지	에너지/NNG
대안이기	대안/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.203.16.2
이에 따라 정부는 2030년까지 원자력발전량 비중을 전체 전력의 59%까지 확대할 계획이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
정부는	정부/NNG+는/JX
2030년까지	2030/SN+년/NNB+까지/JX
원자력발전량	원자력/NNG+발전량/NNG
비중을	비중/NNG+을/JKO
전체	전체/NNG
전력의	전력/NNG+의/JKG
59%까지	59/SN+%/SW+까지/JX
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.203.17.1
○ 새로운 희망, 원자력 (50, 60년대)

○	○/SW
새로운	새롭/VA+ㄴ/ETM
희망,	희망/NNG+,/SP
원자력	원자력/NNG
(50,	(/SS+50/SN+,/SP
60년대)	60/SN+년대/NNB+)/SS


# id : NWRW1800000021.203.18.1
1957: 한국, 국제원자력기구(IAEA) 정식 가입

1957:	1957/SN+:/SP
한국,	한국/NNP+,/SP
국제원자력기구(IAEA)	국제원자력기구/NNP+(/SS+IAEA/SL+)/SS
정식	정식/NNG
가입	가입/NNG


# id : NWRW1800000021.203.19.1
1959: 국내 최초 연구용 원자료 TRIGA MARK-II 기공

1959:	1959/SN+:/SP
국내	국내/NNG
최초	최초/NNG
연구용	연구/NNG+용/XSN
원자료	원자료/NNG
TRIGA	TRIGA/SL
MARK-II	MARK/SL+-/SO+II/SL
기공	기공/NNG


# id : NWRW1800000021.203.20.1
1959: 원자력 연구소(현 한국원자력연구원) 설립

1959:	1959/SN+:/SP
원자력	원자력/NNG
연구소(현	연구소/NNG+(/SS+현/MMD
한국원자력연구원)	한국원자력연구원/NNP+)/SS
설립	설립/NNG


# id : NWRW1800000021.203.21.1
1962: 원자력발전대책위원회 구성.

1962:	1962/SN+:/SP
원자력발전대책위원회	원자력/NNG+발전/NNG+대책/NNG+위원회/NNG
구성.	구성/NNG+./SF


# id : NWRW1800000021.203.21.2
원자력 발전 추진 계획 수립

원자력	원자력/NNG
발전	발전/NNG
추진	추진/NNG
계획	계획/NNG
수립	수립/NNG


# id : NWRW1800000021.203.22.1
○ 기반 마련 및 본격적 기술개발 (70~90년대)

○	○/SW
기반	기반/NNG
마련	마련/NNG
및	및/MAG
본격적	본격/NNG+적/XSN
기술개발	기술/NNG+개발/NNG
(70~90년대)	(/SS+70/SN+~/SO+90/SN+년대/NNB+)/SS


# id : NWRW1800000021.203.23.1
1971: 국내 최초 원전 고리1호기 착공

1971:	1971/SN+:/SP
국내	국내/NNG
최초	최초/NNG
원전	원전/NNG
고리1호기	고리/NNP+1/SN+호기/NNG
착공	착공/NNG


# id : NWRW1800000021.203.24.1
1988: 경수로용 핵원료 국산화 성공

1988:	1988/SN+:/SP
경수로용	경수로/NNG+용/XSN
핵원료	핵/NNG+원료/NNG
국산화	국산/NNG+화/XSN
성공	성공/NNG


# id : NWRW1800000021.203.25.1
1995: 연구용 원자로 ‘하나로’ 자력 설계

1995:	1995/SN+:/SP
연구용	연구/NNG+용/XSN
원자로	원자로/NNG
‘하나로’	‘/SS+하나로/NNG+’/SS
자력	자력/NNG
설계	설계/NNG


# id : NWRW1800000021.203.26.1
1999: 연구로용 개량 핵연료 개발

1999:	1999/SN+:/SP
연구로용	연구로/NNG+용/XSN
개량	개량/NNG
핵연료	핵연료/NNG
개발	개발/NNG


# id : NWRW1800000021.203.27.1
○ 원자력, 녹색성장의 동력 (2000~현재)

○	○/SW
원자력,	원자력/NNG+,/SP
녹색성장의	녹색/NNG+성장/NNG+의/JKG
동력	동력/NNG
(2000~현재)	(/SS+2000/SN+~/SO+현재/NNG+)/SS


# id : NWRW1800000021.203.28.1
2006: 원자력발전소 이용률 세계 3위

2006:	2006/SN+:/SP
원자력발전소	원자력/NNG+발전소/NNG
이용률	이용/NNG+률/XSN
세계	세계/NNG
3위	3/SN+위/NNB


# id : NWRW1800000021.203.29.1
2008: 이명박 대통령 ‘저탄소 녹색성장’ 비전 발표

2008:	2008/SN+:/SP
이명박	이명박/NNP
대통령	대통령/NNG
‘저탄소	‘/SS+저/XPN+탄소/NNG
녹색성장’	녹색/NNG+성장/NNG+’/SS
비전	비전/NNG
발표	발표/NNG


# id : NWRW1800000021.203.30.1
미래 원자력 시스템 개발에 대한 장기 계획 수립

미래	미래/NNG
원자력	원자력/NNG
시스템	시스템/NNG
개발에	개발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장기	장기/NNG
계획	계획/NNG
수립	수립/NNG


# id : NWRW1800000021.203.31.1
국가에너지기본계획 수립(2030년까지 원자력 발전소 18기 추가 건설, 원자력 발전량 비중 59%까지 확대 예정)

국가에너지기본계획	국가/NNG+에너지/NNG+기본/NNG+계획/NNG
수립(2030년까지	수립/NNG+(/SS+2030/SN+년/NNB+까지/JX
원자력	원자력/NNG
발전소	발전소/NNG
18기	18/SN+기/NNB
추가	추가/NNG
건설,	건설/NNG+,/SP
발전량	발전량/NNG
비중	비중/NNG
59%까지	59/SN+%/SW+까지/JX
확대	확대/NNG
예정)	예정/NNG+)/SS


# id : NWRW1800000021.203.32.1
■원자력 발전 이것이 궁금하다

■원자력	■/SW+원자력/NNG
발전	발전/NNG
이것이	이것/NP+이/JKS
궁금하다	궁금하/VA+다/EF


# id : NWRW1800000021.203.33.1
원자력 발전은 한국의 에너지 수급에서 가장 중요한 수단으로 꼽힌다.

원자력	원자력/NNG
발전은	발전/NNG+은/JX
한국의	한국/NNP+의/JKG
에너지	에너지/NNG
수급에서	수급/NNG+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
수단으로	수단/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.203.33.2
정부는 지난해 원자력 에너지 비중을 14.9%에서 2030년 27.8%로, 설비비중을 26%에서 41%로 확대한다고 밝혔다.

정부는	정부/NNG+는/JX
지난해	지난해/NNG
원자력	원자력/NNG
에너지	에너지/NNG
비중을	비중/NNG+을/JKO
14.9%에서	14/SN+./SP+9/SN+%/SW+에서/JKB
2030년	2030/SN+년/NNB
27.8%로,	27/SN+./SP+8/SN+%/SW+로/JKB+,/SP
설비비중을	설비/NNG+비중/NNG+을/JKO
26%에서	26/SN+%/SW+에서/JKB
41%로	41/SN+%/SW+로/JKB
확대한다고	확대/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.33.3
원자력 발전은 또 한국이 운영과 건설에서 경쟁력을 갖추고 있다.

원자력	원자력/NNG
발전은	발전/NNG+은/JX
또	또/MAG
한국이	한국/NNP+이/JKS
운영과	운영/NNG+과/JC
건설에서	건설/NNG+에서/JKB
경쟁력을	경쟁력/NNG+을/JKO
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.203.33.4
해외로 진출하는 수출산업으로 재조명 받고 있다.

해외로	해외/NNG+로/JKB
진출하는	진출/NNG+하/XSV+는/ETM
수출산업으로	수출/NNG+산업/NNG+으로/JKB
재조명	재/XPN+조명/NNG
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.203.33.5
하지만 원전은 방사능 유출에 대한 두려움 때문에 선뜻 호감을 갖기 어려운 대상이기도 하다.

하지만	하지만/MAJ
원전은	원전/NNG+은/JX
방사능	방사능/NNG
유출에	유출/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
두려움	두려움/NNG
때문에	때문/NNB+에/JKB
선뜻	선뜻/MAG
호감을	호감/NNG+을/JKO
갖기	갖/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
대상이기도	대상/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000021.203.34.1
원자력 발전에 대한 대표적인 궁금증을 풀어봤다.

원자력	원자력/NNG
발전에	발전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
궁금증을	궁금증/NNG+을/JKO
풀어봤다.	풀/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.203.35.1
Q. 원자력 발전의 원리는 무엇인가요?

Q.	Q/SL+./SF
원자력	원자력/NNG
발전의	발전/NNG+의/JKG
원리는	원리/NNG+는/JX
무엇인가요?	무엇/NP+이/VCP+ㄴ가/EF+요/JX+?/SF


# id : NWRW1800000021.203.36.1
A. 원자력 발전은 ‘우라늄을 태워’ 얻은 에너지로 터빈을 돌려 전기를 생산합니다.

A.	A/SL+./SF
원자력	원자력/NNG
발전은	발전/NNG+은/JX
‘우라늄을	‘/SS+우라늄/NNG+을/JKO
태워’	태우/VV+어/EC+’/SS
얻은	얻/VV+은/ETM
에너지로	에너지/NNG+로/JKB
터빈을	터빈/NNG+을/JKO
돌려	돌리/VV+어/EC
전기를	전기/NNG+를/JKO
생산합니다.	생산/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.36.2
우라늄이 석유나 석탄처럼 불타는 것은 아닙니다.

우라늄이	우라늄/NNG+이/JKS
석유나	석유/NNG+나/JC
석탄처럼	석탄/NNG+처럼/JKB
불타는	불타/VV+는/ETM
것은	것/NNB+은/JX
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.36.3
우라늄이 핵분열을 할 때 나오는 막대한 열로 터빈을 돌리는 것입니다.

우라늄이	우라늄/NNG+이/JKS
핵분열을	핵분열/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
나오는	나오/VV+는/ETM
막대한	막대하/VA+ㄴ/ETM
열로	열/NNG+로/JKB
터빈을	터빈/NNG+을/JKO
돌리는	돌리/VV+는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.36.4
보통 우라늄-235 1g이 완전히 핵분열할 경우 석탄 3t을 태울 때와 같은 열량이 나옵니다.

보통	보통/MAG
우라늄-235	우라늄/NNG+-/SO+235/SN
1g이	1/SN+g/SW+이/JKS
완전히	완전히/MAG
핵분열할	핵분열/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
석탄	석탄/NNG
3t을	3/SN+t/SW+을/JKO
태울	태우/VV+ㄹ/ETM
때와	때/NNG+와/JKB
같은	같/VA+은/ETM
열량이	열량/NNG+이/JKS
나옵니다.	나오/VV+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.36.5
원자로는 이런 핵분열 연쇄반응이 천천히 일어나 에너지를 안전하게 뽑아 쓸 수 있도록 해줍니다.

원자로는	원자로/NNG+는/JX
이런	이런/MMD
핵분열	핵분열/NNG
연쇄반응이	연쇄/NNG+반응/NNG+이/JKS
천천히	천천히/MAG
일어나	일어나/VV+아/EC
에너지를	에너지/NNG+를/JKO
안전하게	안전/NNG+하/XSA+게/EC
뽑아	뽑/VV+아/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해줍니다.	하/VX+아/EC+주/VX+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.37.1
Q. 원자력 발전이 환경을 오염시키지는 않나요?

Q.	Q/SL+./SF
원자력	원자력/NNG
발전이	발전/NNG+이/JKS
환경을	환경/NNG+을/JKO
오염시키지는	오염/NNG+시키/XSV+지/EC+는/JX
않나요?	않/VX+나요/EF+?/SF


# id : NWRW1800000021.203.38.1
A. 생태계를 파괴하는 지구 온난화 현상은 이산화탄소를 다량 배출하는 석유, 석탄, 천연가스 등 화석연료를 과다 사용해 발생합니다.

A.	A/SL+./SF
생태계를	생태/NNG+계/XSN+를/JKO
파괴하는	파괴/NNG+하/XSV+는/ETM
지구	지구/NNG
온난화	온난/NNG+화/XSN
현상은	현상/NNG+은/JX
이산화탄소를	이산화/NNG+탄소/NNG+를/JKO
다량	다량/NNG
배출하는	배출/NNG+하/XSV+는/ETM
석유,	석유/NNG+,/SP
석탄,	석탄/NNG+,/SP
천연가스	천연가스/NNG
등	등/NNB
화석연료를	화석/NNG+연료/NNG+를/JKO
과다	과다/NNG
사용해	사용/NNG+하/XSV+아/EC
발생합니다.	발생/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.38.2
우리나라도 소비에너지 중 화석연료의 비중이 85% 정도로 높습니다.

우리나라도	우리나라/NNG+도/JX
소비에너지	소비/NNG+에너지/NNG
중	중/NNB
화석연료의	화석/NNG+연료/NNG+의/JKG
비중이	비중/NNG+이/JKS
85%	85/SN+%/SW
정도로	정도/NNG+로/JKB
높습니다.	높/VA+습니다/EF+./SF


# id : NWRW1800000021.203.38.3
이와 달리 원자력 발전은 온실가스를 거의 발생시키지 않는 친환경 에너지원으로 꼽힙니다.

이와	이/NP+와/JKB
달리	달리/MAG
원자력	원자력/NNG
발전은	발전/NNG+은/JX
온실가스를	온실가스/NNG+를/JKO
거의	거의/MAG
발생시키지	발생/NNG+시키/XSV+지/EC
않는	않/VX+는/ETM
친환경	친/XPN+환경/NNG
에너지원으로	에너지원/NNG+으로/JKB
꼽힙니다.	꼽히/VV+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.38.4
원자력은 현재 사용하고 있는 여러 발전원 가운데 온실가스 배출량이 가장 적은 청정에너지라는 연구결과가 있습니다.

원자력은	원자력/NNG+은/JX
현재	현재/MAG
사용하고	사용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
여러	여러/MMN
발전원	발전원/NNG
가운데	가운데/NNG
온실가스	온실가스/NNG
배출량이	배출량/NNG+이/JKS
가장	가장/MAG
적은	적/VA+은/ETM
청정에너지라는	청정에너지/NNG+이/VCP+라는/ETM
연구결과가	연구/NNG+결과/NNG+가/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000021.203.39.1
Q. 태양열, 풍력 등 더 환경친화적인 대체에너지 이용이 바람직하지 않나요?

Q.	Q/SL+./SF
태양열,	태양열/NNG+,/SP
풍력	풍력/NNG
등	등/NNB
더	더/MAG
환경친화적인	환경친화/NNG+적/XSN+이/VCP+ㄴ/ETM
대체에너지	대체/NNG+에너지/NNG
이용이	이용/NNG+이/JKS
바람직하지	바람직하/VA+지/EC
않나요?	않/VX+나/EF+요/JX+?/SF


# id : NWRW1800000021.203.40.1
A. 한국을 포함한 세계 각국은 화석연료의 고갈에 대비해 태양열, 풍력 등 대체에너지를 개발하려는 노력을 많이 기울이고 있습니다.

A.	A/SL+./SF
한국을	한국/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
각국은	각국/NNG+은/JX
화석연료의	화석/NNG+연료/NNG+의/JKG
고갈에	고갈/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
태양열,	태양열/NNG+,/SP
풍력	풍력/NNG
등	등/NNB
대체에너지를	대체/NNG+에너지/NNG+를/JKO
개발하려는	개발/NNG+하/XSV+려는/ETM
노력을	노력/NNG+을/JKO
많이	많이/MAG
기울이고	기울이/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000021.203.40.2
하지만 아직은 경제적, 기술적 차원에서 많은 과제가 남아 있습니다.

하지만	하지만/MAJ
아직은	아직/MAG+은/JX
경제적,	경제/NNG+적/XSN+,/SP
기술적	기술/NNG+적/XSN
차원에서	차원/NNG+에서/JKB
많은	많/VA+은/ETM
과제가	과제/NNG+가/JKS
남아	남/VV+아/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000021.203.40.3
원자력 발전은 대체 에너지가 완전히 상용화돼 에너지 문제를 영원히 해결하기 전의 유일한 대안으로 받아들여지고 있습니다.

원자력	원자력/NNG
발전은	발전/NNG+은/JX
대체	대체/NNG
에너지가	에너지/NNG+가/JKS
완전히	완전히/MAG
상용화돼	상용/NNG+화/XSN+되/XSV+어/EC
에너지	에너지/NNG
문제를	문제/NNG+를/JKO
영원히	영원히/MAG
해결하기	해결/NNG+하/XSV+기/ETN
전의	전/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
대안으로	대안/NNG+으로/JKB
받아들여지고	받아들이/VV+어/EC+지/VX+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000021.203.41.1
Q. 원자력 발전이 안전한가요?

Q.	Q/SL+./SF
원자력	원자력/NNG
발전이	발전/NNG+이/JKS
안전한가요?	안전/NNG+하/XSA+ㄴ가/EF+요/JX+?/SF


# id : NWRW1800000021.203.42.1
A. 원전은 가동 중에 이상한 점이 발견되면 자동으로 멈추도록 설계됐습니다.

A.	A/SL+./SF
원전은	원전/NNG+은/JX
가동	가동/NNG
중에	중/NNB+에/JKB
이상한	이상/NNG+하/XSA+ㄴ/ETM
점이	점/NNG+이/JKS
발견되면	발견/NNG+되/XSV+면/EC
자동으로	자동/NNG+으로/JKB
멈추도록	멈추/VV+도록/EC
설계됐습니다.	설계/NNG+되/XSV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.203.42.2
원자로가 정지되면 핵분열이 중지돼 안전한 상태가 되는 것이죠.

원자로가	원자로/NNG+가/JKS
정지되면	정지/NNG+되/XSV+면/EC
핵분열이	핵분열/NNG+이/JKS
중지돼	중지/NNG+되/XSV+어/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
상태가	상태/NNG+가/JKC
되는	되/VV+는/ETM
것이죠.	것/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000021.203.42.3
만약 큰 사고가 발생해 방사성 물질이 나오더라도 격납용기(돔)에 의해 모두 차폐돼 사고완화 조치를 하게 됩니다.

만약	만약/MAG
큰	크/VA+ㄴ/ETM
사고가	사고/NNG+가/JKS
발생해	발생/NNG+하/XSV+아/EC
방사성	방사/NNG+성/XSN
물질이	물질/NNG+이/JKS
나오더라도	나오/VV+더라도/EC
격납용기(돔)에	격납/NNG+용기/NNG+(/SS+돔/NNG+)/SS+에/JKB
의해	의하/VV+아/EC
모두	모두/MAG
차폐돼	차폐/NNG+되/XSV+어/EC
사고완화	사고/NNG+완화/NNG
조치를	조치/NNG+를/JKO
하게	하/VV+게/EC
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.42.4
원자폭탄과 원자력 발전은 원리는 같지만 우라늄 원료, 핵분열 환경이 서로 다릅니다.

원자폭탄과	원자/NNG+폭탄/NNG+과/JC
원자력	원자력/NNG
발전은	발전/NNG+은/JX
원리는	원리/NNG+는/JX
같지만	같/VA+지만/EC
우라늄	우라늄/NNG
원료,	원료/NNG+,/SP
핵분열	핵분열/NNG
환경이	환경/NNG+이/JKS
서로	서로/MAG
다릅니다.	다르/VA+ㅂ니다/EF+./SF


# id : NWRW1800000021.203.42.5
알코올 농도가 적당한 맥주와 알콜 농도가 높은 연료의 차이와 같습니다.

알코올	알코올/NNG
농도가	농도/NNG+가/JKS
적당한	적당하/VA+ㄴ/ETM
맥주와	맥주/NNG+와/JC
알콜	알콜/NNG
높은	높/VA+은/ETM
연료의	연료/NNG+의/JKG
차이와	차이/NNG+와/JKB
같습니다.	같/VA+습니다/EF+./SF


# id : NWRW1800000021.203.43.1
방사성 폐기물(방폐물) 관리도 안전하게 하고 있습니다.

방사성	방사/NNG+성/XSN
폐기물(방폐물)	폐기물/NNG+(/SS+방폐물/NNG+)/SS
관리도	관리/NNG+도/JX
안전하게	안전/NNG+하/XSA+게/EC
하고	하/VX+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000021.203.43.2
한국수력원자력은 해수면 80∼130m 아래의 암반에 동굴을 파고 그 안에 중·저준위 방폐물(방사성 물질을 이용하는 과정에 발생하는 작업복, 주사기 등의 폐기물)을 저장하는 시설을 올해 말 경북 경주에 준공할 예정입니다.

한국수력원자력은	한국수력원자력/NNP+은/JX
해수면	해수면/NNG
80∼130m	80/SN+∼/SO+130/SN+m/SW
아래의	아래/NNG+의/JKG
암반에	암반/NNG+에/JKB
동굴을	동굴/NNG+을/JKO
파고	파/VV+고/EC
그	그/MMD
안에	안/NNG+에/JKB
중·저준위	중/NNG+·/SP+저/XPN+준위/NNG
방폐물(방사성	방폐물/NNG+(/SS+방사/NNG+성/XSN
물질을	물질/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
과정에	과정/NNG+에/JKB
발생하는	발생/NNG+하/XSV+는/ETM
작업복,	작업복/NNG+,/SP
주사기	주사기/NNG
등의	등/NNB+의/JKG
폐기물)을	폐기물/NNG+)/SS+을/JKO
저장하는	저장/NNG+하/XSV+는/ETM
시설을	시설/NNG+을/JKO
올해	올해/NNG
말	말/NNB
경북	경북/NNP
경주에	경주/NNP+에/JKB
준공할	준공/NNG+하/XSV+ㄹ/ETM
예정입니다.	예정/NNG+이/VCP+ㅂ니다/EF+./SF


