# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.443
metadata : {}


# id : NWRW1800000024.443.1.1
출구 없는 ‘패권 중독증’…미국의 화근

출구	출구/NNG
인력들	인력/NNG+들/XSN
중심으로	중심/NNG+으로/JKB
해외이민이	해외/NNG+이민/NNG+이/JKS
급증하면서	급증/NNG+하/XSV+면서/EC
인구학적으로도	인구학/NNG+적/XSN+으로/JKB+도/JX
불리해질	불리/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없어	없/VA+어/EC
화해	화해/NNG
없는	없/VA+는/ETM
대결은	대결/NNG+은/JX
이스라엘	이스라엘/NNP
쪽의	쪽/NNB+의/JKG
비극으로	비극/NNG+으로/JKB
끝나게	끝나/VV+게/EC
될	되/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000024.443.9.3
석유 국유화를 도모한 이란의 모사데그 민족주의정권을 영국과 합작해 전복하고, 사담 후세인을 지원해 시아파의 이란과 전쟁을 벌이게 했으며, 아프간에선 소련을 무너뜨리기 위해 탈레반을 키웠던 미국의 중동공작이 앞으로 성공할 가능성은 거의 없다.

석유	석유/NNG
국유화를	국유/NNG+화/XSN+를/JKO
도모한	도모/NNG+하/XSV+ㄴ/ETM
이란의	이란/NNP+의/JKG
모사데그	모사데그/NNP
민족주의정권을	민족주의/NNG+정권/NNG+을/JKO
영국과	영국/NNP+과/JKB
합작해	합작/NNG+하/XSV+아/EC
전복하고,	전복/NNG+하/XSV+고/EC+,/SP
사담	사담/NNP
후세인을	후세인/NNP+을/JKO
지원해	지원/NNG+하/XSV+아/EC
시아파의	시아파/NNG+의/JKG
이란과	이란/NNP+과/JKB
전쟁을	전쟁/NNG+을/JKO
벌이게	벌이/VV+게/EC
했으며,	하/VX+았/EP+으며/EC+,/SP
아프간에선	아프간/NNP+에서/JKB+ㄴ/JX
소련을	소련/NNP+을/JKO
무너뜨리기	무너뜨리/VV+기/ETN
위해	위하/VV+아/EC
탈레반을	탈레반/NNP+을/JKO
키웠던	키우/VV+었/EP+던/ETM
미국의	미국/NNP+의/JKG
중동공작이	중동/NNP+공작/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
성공할	성공/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.443.9.4
아프간·이라크 침공은 석유 가격을 올려놓아 결과적으로 미국이 가장 꺼려온 이란의 중동내 영향력을 오히려 압도적으로 키우는 역효과만 낳았다.

아프간·이라크	아프간/NNP+·/SP+이라크/NNP
침공은	침공/NNG+은/JX
석유	석유/NNG
가격을	가격/NNG+을/JKO
올려놓아	올려놓/VV+아/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
미국이	미국/NNP+이/JKS
가장	가장/MAG
꺼려온	꺼리/VV+어/EC+오/VX+ㄴ/ETM
이란의	이란/NNP+의/JKG
중동내	중동/NNP+내/NNB
영향력을	영향력/NNG+을/JKO
오히려	오히려/MAG
압도적으로	압도/NNG+적/XSN+으로/JKB
키우는	키우/VV+는/ETM
역효과만	역효과/NNG+만/JX
낳았다.	낳/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.443.9.5
미국은 이란을 공격할 여력이 없다.

미국은	미국/NNP+은/JX
이란을	이란/NNP+을/JKO
공격할	공격/NNG+하/XSV+ㄹ/ETM
여력이	여력/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.443.10.1
콜코는 1949년에 출범한 북대서양조약기구(나토)도 미국이 유럽의 독자세력화를 막고 자국에 복속시키기 위해 만든 것이며, 소련과 그 동맹체제의 위협이나 반공주의는 구실에 지나지 않았다고 지적한다.

콜코는	콜코/NNP+는/JX
1949년에	1949/SN+년/NNB+에/JKB
출범한	출범/NNG+하/XSV+ㄴ/ETM
북대서양조약기구(나토)도	북대서양조약기구/NNP+(/SS+나토/NNP+)/SS+도/JX
미국이	미국/NNP+이/JKS
유럽의	유럽/NNP+의/JKG
독자세력화를	독자/NNG+세력/NNG+화/XSN+를/JKO
막고	막/VV+고/EC
자국에	자국/NNG+에/JKB
복속시키기	복속/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
만든	만들/VV+ㄴ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
소련과	소련/NNP+과/JC
그	그/MMD
동맹체제의	동맹/NNG+체제/NNG+의/JKG
위협이나	위협/NNG+이나/JC
반공주의는	반공주의/NNG+는/JX
구실에	구실/NNG+에/JKB
지나지	지나/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.443.10.2
마치 해방공간에서 친일파들의 반공주의가 자신들의 범죄행위를 숨기고 정적들을 제거하기 위한 구실에 지나지 않았듯이.

마치	마치/MAG
해방공간에서	해방/NNG+공간/NNG+에서/JKB
친일파들의	친일파/NNG+들/XSN+의/JKG
반공주의가	반공주의/NNG+가/JKS
자신들의	자신/NNG+들/XSN+의/JKG
범죄행위를	범죄/NNG+행위/NNG+를/JKO
숨기고	숨기/VV+고/EC
정적들을	정적/NNG+들/XSN+을/JKO
제거하기	제거/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
구실에	구실/NNG+에/JKB
지나지	지나/VV+지/EC
않았듯이.	않/VX+았/EP+듯이/EC+./SF


# id : NWRW1800000024.443.10.3
그 나토도 유럽과의 이해대립으로 조만간 해체될 것으로 콜코는 본다.

그	그/MMD
나토도	나토/NNP+도/JX
유럽과의	유럽/NNP+과/JKB+의/JKG
이해대립으로	이해/NNG+대립/NNG+으로/JKB
조만간	조만간/MAG
해체될	해체/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
콜코는	콜코/NNP+는/JX
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.443.10.4
동맹해체와 전쟁 포기가 해법이다.

동맹해체와	동맹/NNG+해체/NNG+와/JC
전쟁	전쟁/NNG
포기가	포기/NNG+가/JKS
해법이다.	해법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.443.11.1
냉전붕괴 뒤 적들의 부재 속에 방만한 금융투기와 막대한 재정·무역적자를 조장하고, 군산복합체와 출세주의·기회주의에 사로잡힌 정치적 야심가들만 살찌워 놓은 채 전 세계를 동반자살로 몰아가는 미국.

냉전붕괴	냉전/NNG+붕괴/NNG
뒤	뒤/NNG
적들의	적/NNG+들/XSN+의/JKG
부재	부재/NNG
속에	속/NNG+에/JKB
방만한	방만하/VA+ㄴ/ETM
금융투기와	금융/NNG+투기/NNG+와/JC
막대한	막대하/VA+ㄴ/ETM
재정·무역적자를	재정/NNG+·/SP+무역/NNG+적자/NNG+를/JKO
조장하고,	조장/NNG+하/XSV+고/EC+,/SP
군산복합체와	군산/NNG+복합체/NNG+와/JC
출세주의·기회주의에	출세주의/NNG+·/SP+기회주의/NNG+에/JKB
사로잡힌	사로잡히/VV+ㄴ/ETM
정치적	정치/NNG+적/XSN
야심가들만	야심가/NNG+들/XSN+만/JX
살찌워	살찌우/VV+어/EC
놓은	놓/VX+은/ETM
채	채/NNB
전	전/MMN
세계를	세계/NNG+를/JKO
동반자살로	동반/NNG+자살/NNG+로/JKB
몰아가는	몰아가/VV+는/ETM
미국.	미국/NNP+./SF


# id : NWRW1800000024.443.11.2
콜코는 기존 사회주의와 자본주의 이후를 모색해야 한다고 말한다.

콜코는	콜코/NNP+는/JX
기존	기존/NNG
사회주의와	사회주의/NNG+와/JC
자본주의	자본주의/NNG
이후를	이후/NNG+를/JKO
모색해야	모색/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


