# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.277
metadata : {}


# id : NWRW1800000025.277.1.1
김치 없이 못사는 한국인에게 ‘잔인한 가을’

김치	김치/NNG
한편 농식품부는 배추 외에 마늘, 고추 등 김장에 필요한 채소 출하량을 늘린다는 계획이다.

한편	한편/MAG
농식품부는	농식품부/NNG+는/JX
배추	배추/NNG
외에	외/NNB+에/JKB
마늘,	마늘/NNG+,/SP
고추	고추/NNG
등	등/NNB
김장에	김장/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
채소	채소/NNG
출하량을	출하량/NNG+을/JKO
늘린다는	늘리/VV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.277.17.7
마늘의 경우 10월 말까지 2263t을 조기 수입하고 고추 역시 11월까지 수입 물량 7185t과 계약재배 물량 1만5000t을 시장에 내놓아 가격 안정을 유도하기로 했다.

마늘의	마늘/NNG+의/JKG
경우	경우/NNG
10월	10/SN+월/NNB
말까지	말/NNB+까지/JX
2263t을	2263/SN+t/SW+을/JKO
조기	조기/NNG
수입하고	수입/NNG+하/XSV+고/EC
고추	고추/NNG
역시	역시/MAG
11월까지	11/SN+월/NNB+까지/JX
수입	수입/NNG
물량	물량/NNG
7185t과	7185/SN+t/SW+과/JC
계약재배	계약/NNG+재배/NNG
1만5000t을	1/SN+만/NR+5000/SN+t/SW+을/JKO
시장에	시장/NNG+에/JKB
내놓아	내놓/VV+아/EC
가격	가격/NNG
안정을	안정/NNG+을/JKO
유도하기로	유도/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.17.8
농식품부 관계자는 “예년보다 월동배추 재배량이 많기 때문에 수입 물량 등 공급이 확대되면 11월에는 배추 한 포기 가격을 2000원 선으로 형성할 수 있을 것”이라며 “공급 확대와 더불어 국세청, 공정거래위원회 등과 사재기 등 불공정 거래 행위에 대한 단속도 시작할 것”이라고 말했다.

농식품부	농식품부/NNG
관계자는	관계자/NNG+는/JX
“예년보다	“/SS+예년/NNG+보다/JKB
월동배추	월동/NNG+배추/NNG
재배량이	재배/NNG+량/NNG+이/JKS
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
수입	수입/NNG
물량	물량/NNG
등	등/NNB
공급이	공급/NNG+이/JKS
확대되면	확대/NNG+되/XSV+면/EC
11월에는	11/SN+월/NNB+에/JKB+는/JX
배추	배추/NNG
한	한/MMN
포기	포기/NNG
가격을	가격/NNG+을/JKO
2000원	2000/SN+원/NNB
선으로	선/NNG+으로/JKB
형성할	형성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“공급	“/SS+공급/NNG
확대와	확대/NNG+와/JKB
더불어	더불/VV+어/EC
국세청,	국세청/NNG+,/SP
공정거래위원회	공정/NNG+거래/NNG+위원회/NNG
등과	등/NNB+과/JC
사재기	사재기/NNG
불공정	불/XPN+공정/NNG
거래	거래/NNG
행위에	행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단속도	단속/NNG+도/JX
시작할	시작/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


