# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.10
metadata : {}


# id : NWRW1800000026.10.1.1
[美 전략국제문제 연구소 한·중·일 3국 실장 좌담]"오바마, 아프간 정책서 지지층 배신… 한미 FTA도 그렇게 하길"

[美	[/SS+美/SH
동북아에는 어떤 영향을 끼칠까.

동북아에는	동북아/NNP+에/JKB+는/JX
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
끼칠까.	끼치/VV+ㄹ까/EF+./SF


# id : NWRW1800000026.10.18.1
"(그린) 아프간 전쟁은 오바마를 매우 현실적으로 만들었으며 그가 아시아에 대해서 많은 시간을 쓰는 것을 허용하지 않는다."

"(그린)	"/SS+(/SS+그린/NNP+)/SS
아프간	아프간/NNP
전쟁은	전쟁/NNG+은/JX
오바마를	오바마/NNP+를/JKO
매우	매우/MAG
현실적으로	현실/NNG+적/XSN+으로/JKB
만들었으며	만들/VV+었/EP+으며/EC
그가	그/NP+가/JKS
아시아에	아시아/NNP+에/JKB
대해서	대하/VV+아서/EC
많은	많/VA+은/ETM
시간을	시간/NNG+을/JKO
쓰는	쓰/VV+는/ETM
것을	것/NNB+을/JKO
허용하지	허용/NNG+하/XSV+지/EC
않는다."	않/VX+는다/EF+./SF+"/SS


# id : NWRW1800000026.10.19.1
"(차) 오바마의 아프간 정책은 그가 민주당 지지층을 처음으로 배반한 결정이라는 점에서 주목된다.

"(차)	"/SS+(/SS+차/NNP+)/SS
오바마의	오바마/NNP+의/JKG
아프간	아프간/NNP
정책은	정책/NNG+은/JX
그가	그/NP+가/JKS
민주당	민주당/NNP
지지층을	지지/NNG+층/XSN+을/JKO
처음으로	처음/NNG+으로/JKB
배반한	배반/NNG+하/XSV+ㄴ/ETM
결정이라는	결정/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.10.19.2
한미 FTA를 비롯한 무역정책도 그렇게 될 수 있기를 바란다."

한미	한미/NNP
FTA를	FTA/SL+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
무역정책도	무역/NNG+정책/NNG+도/JX
그렇게	그렇/VA+게/EC
될	되/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
바란다."	바라/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000026.10.20.1
―최근 김정일 위원장의 방중 가능성이 거론되고 있다.

―최근	―/SS+최근/NNG
김정일	김정일/NNP
위원장의	위원장/NNG+의/JKG
방중	방중/NNG
가능성이	가능/NNG+성/XSN+이/JKS
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.20.2
북한 문제를 둘러싼 동북아 정세는 어떻게 될 것으로 보나.

북한	북한/NNP
문제를	문제/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
동북아	동북아/NNP
정세는	정세/NNG+는/JX
어떻게	어떻/VA+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보나.	보/VV+나/EF+./SF


# id : NWRW1800000026.10.21.1
"(차) 중국은 지난해 원자바오 총리의 방북 이후, (북핵 문제의 완전한 해결보다는) 현 상태에서의 안정을 원하는 정책을 취했다.

"(차)	"/SS+(/SS+차/NNP+)/SS
중국은	중국/NNP+은/JX
지난해	지난해/NNG
원자바오	원자바오/NNP
총리의	총리/NNG+의/JKG
방북	방북/NNG
이후,	이후/NNG+,/SP
(북핵	(/SS+북핵/NNG
문제의	문제/NNG+의/JKG
완전한	완전/NNG+하/XSA+ㄴ/ETM
해결보다는)	해결/NNG+보다/JKB+는/JX+)/SS
현	현/MMD
상태에서의	상태/NNG+에서/JKB+의/JKG
안정을	안정/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
정책을	정책/NNG+을/JKO
취했다.	취하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.21.2
북한은 6자회담에 복귀하면서 제재 약화나 회담 복귀 대가를 바랄 것이다.

북한은	북한/NNP+은/JX
6자회담에	6/SN+자/NNB+회담/NNG+에/JKB
복귀하면서	복귀/NNG+하/XSV+면서/EC
제재	제재/NNG
약화나	약화/NNG+나/JC
회담	회담/NNG
복귀	복귀/NNG
대가를	대가/NNG+를/JKO
바랄	바라/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.21.3
동북아에서 올해 와일드카드는 김정일과의 정상회담을 거론하는 일본의 하토야마 총리가 쥐고 있다."

동북아에서	동북아/NNP+에서/JKB
올해	올해/NNG
와일드카드는	와일드카드/NNG+는/JX
김정일과의	김정일/NNP+과/JKB+의/JKG
정상회담을	정상/NNG+회담/NNG+을/JKO
거론하는	거론/NNG+하/XSV+는/ETM
일본의	일본/NNP+의/JKG
하토야마	하토야마/NNP
총리가	총리/NNG+가/JKS
쥐고	쥐/VV+고/EC
있다."	있/VX+다/EF+./SF+"/SS


# id : NWRW1800000026.10.22.1
"(그린) 현재 일본 민주당은 일관된 외교정책이 없고, 하토야마는 정치적으로 취약한 상태다.

"(그린)	"/SS+(/SS+그린/NNP+)/SS
현재	현재/MAG
일본	일본/NNP
민주당은	민주당/NNP+은/JX
일관된	일관/NNG+되/XSV+ㄴ/ETM
외교정책이	외교/NNG+정책/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
하토야마는	하토야마/NNP+는/JX
정치적으로	정치/NNG+적/XSN+으로/JKB
취약한	취약/NNG+하/XSA+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.22.2
그래서 북한이 이런 취약한 일본 정치인들을 노리고, 돈을 뜯어내려 할 가능성이 있다.

그래서	그래서/MAJ
북한이	북한/NNP+이/JKS
이런	이런/MMD
취약한	취약/NNG+하/XSA+ㄴ/ETM
일본	일본/NNP
정치인들을	정치인/NNG+들/XSN+을/JKO
노리고,	노리/VV+고/EC+,/SP
돈을	돈/NNG+을/JKO
뜯어내려	뜯어내/VV+려/EC
할	하/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.10.22.3
오자와는 북한과 과거에 접촉했던 당파 출신이고, 북한은 이를 또다시 노리고 있다."

오자와는	오자와/NNP+는/JX
북한과	북한/NNP+과/JKB
과거에	과거/NNG+에/JKB
접촉했던	접촉/NNG+하/XSV+았/EP+던/ETM
당파	당파/NNG
출신이고,	출신/NNG+이/VCP+고/EC+,/SP
북한은	북한/NNP+은/JX
이를	이/NP+를/JKO
또다시	또다시/MAG
노리고	노리/VV+고/EC
있다."	있/VX+다/EF+./SF+"/SS


# id : NWRW1800000026.10.23.1
―오바마가 말한 '핵 없는 세상'은 동아시아에 잘 적용되고 있나.

―오바마가	―/SS+오바마/NNP+가/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
'핵	'/SS+핵/NNG
없는	없/VA+는/ETM
세상'은	세상/NNG+'/SS+은/JX
동아시아에	동아시아/NNP+에/JKB
잘	잘/MAG
적용되고	적용/NNG+되/XSV+고/EC
있나.	있/VX+나/EF+./SF


# id : NWRW1800000026.10.24.1
"(차) 북한은 핵 없는 세상을 만들자는 오바마 대통령의 프라하 연설을 뒤틀어서 자신들의 입장을 오히려 강화시키고 있다.

"(차)	"/SS+(/SS+차/NNP+)/SS
북한은	북한/NNP+은/JX
핵	핵/NNG
없는	없/VA+는/ETM
세상을	세상/NNG+을/JKO
만들자는	만들/VV+자는/ETM
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
프라하	프라하/NNP
연설을	연설/NNG+을/JKO
뒤틀어서	뒤틀/VV+어서/EC
자신들의	자신/NNG+들/XSN+의/JKG
입장을	입장/NNG+을/JKO
오히려	오히려/MAG
강화시키고	강화/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.24.2
그들은 핵군축 협상을 하자며 자신들을 핵무장 국가로 부각시키는 데 역이용하고 있다."

그들은	그/NP+들/XSN+은/JX
핵군축	핵/NNG+군축/NNG
협상을	협상/NNG+을/JKO
하자며	하/VV+자며/EC
자신들을	자신/NNG+들/XSN+을/JKO
핵무장	핵무장/NNG
국가로	국가/NNG+로/JKB
부각시키는	부각/NNG+시키/XSV+는/ETM
데	데/NNB
역이용하고	역이용/NNG+하/XSV+고/EC
있다."	있/VX+다/EF+./SF+"/SS


# id : NWRW1800000026.10.25.1
"(프리먼) 중국은 미·러의 핵 군축이 이뤄지면 자신들도 동참하겠다지만 그들이 관심 갖는 의제는 아니다.

"(프리먼)	"/SS+(/SS+프리먼/NNP+)/SS
중국은	중국/NNP+은/JX
미·러의	미/NNP+·/SP+러/NNP+의/JKG
핵	핵/NNG
군축이	군축/NNG+이/JKS
이뤄지면	이뤄지/VV+면/EC
자신들도	자신/NNG+들/XSN+도/JX
동참하겠다지만	동참/NNG+하/XSV+겠/EP+다지만/EC
그들이	그/NP+들/XSN+이/JKS
관심	관심/NNG
갖는	갖/VV+는/ETM
의제는	의제/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.10.25.2
아예 논의 자체를 싫어한다.

아예	아예/MAG
논의	논의/NNG
자체를	자체/NNG+를/JKO
싫어한다.	싫어하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.10.25.3
그동안 중국 핵무기에 대해 얘기를 꺼내보려 했으나 그렇게 성공적이지 못했다."

그동안	그동안/NNG
중국	중국/NNP
핵무기에	핵무기/NNG+에/JKB
대해	대하/VV+아/EC
얘기를	얘기/NNG+를/JKO
꺼내보려	꺼내/VV+어/EC+보/VX+려/EC
했으나	하/VX+았/EP+으나/EC
그렇게	그렇/VA+게/EC
성공적이지	성공/NNG+적/XSN+이/VCP+지/EC
못했다."	못하/VX+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000026.10.26.1
―중국을 비롯한 아시아의 경제적 성장이 계속되고 있다.

―중국을	―/SS+중국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
아시아의	아시아/NNP+의/JKG
경제적	경제/NNG+적/XSN
성장이	성장/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.26.2
앞으로 10년을 '아시아의 시대'라 할 만하나.

앞으로	앞/NNG+으로/JKB
10년을	10/SN+년/NNB+을/JKO
'아시아의	'/SS+아시아/NNP+의/JKG
시대'라	시대/NNG+'/SS+이/VCP+라/EC
할	하/VV+ㄹ/ETM
만하나.	만/NNB+하/XSA+나/EF+./SF


# id : NWRW1800000026.10.27.1
"(프리먼) 중국은 여전히 성장 여력이 많다.

"(프리먼)	"/SS+(/SS+프리먼/NNP+)/SS
중국은	중국/NNP+은/JX
여전히	여전히/MAG
성장	성장/NNG
여력이	여력/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.10.27.2
중국 인구는 도시로 밀려들고 있다.

중국	중국/NNP
인구는	인구/NNG+는/JX
도시로	도시/NNG+로/JKB
밀려들고	밀려들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.27.3
하지만 중국이 당면한 문제는 미국을 더 이상 수출기지로 활용할 수 없다는 점이다.

하지만	하지만/MAJ
중국이	중국/NNP+이/JKS
당면한	당면/NNG+하/XSV+ㄴ/ETM
문제는	문제/NNG+는/JX
미국을	미국/NNP+을/JKO
더	더/MAG
이상	이상/NNG
수출기지로	수출/NNG+기지/NNG+로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.27.4
미국 GDP의 74%가 소비로 만들어지던 시대는 끝났다.

미국	미국/NNP
GDP의	GDP/SL+의/JKG
74%가	74/SN+%/SW+가/JKS
소비로	소비/NNG+로/JKB
만들어지던	만들/VV+어/EC+지/VX+던/ETM
시대는	시대/NNG+는/JX
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.27.5
아마 이는 62~63% 선으로 낮아질 것이다.

아마	아마/MAG
이는	이/NP+는/JX
62~63%	62/SN+~/SO+63/SN+%/SW
선으로	선/NNG+으로/JKB
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.27.6
대미 수출에 의존하던 중국은 패러다임을 바꿔야 한다."

대미	대미/NNG
수출에	수출/NNG+에/JKB
의존하던	의존/NNG+하/XSV+던/ETM
중국은	중국/NNP+은/JX
패러다임을	패러다임/NNG+을/JKO
바꿔야	바꾸/VV+어야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000026.10.28.1
"(그린) 미국의 GDP는 60년대부터 전 세계의 25% 선을 계속 유지하고 있다.

"(그린)	"/SS+(/SS+그린/NNP+)/SS
미국의	미국/NNP+의/JKG
GDP는	GDP/SL+는/JX
60년대부터	60/SN+년대/NNB+부터/JX
전	전/MMN
세계의	세계/NNG+의/JKG
25%	25/SN+%/SW
선을	선/NNG+을/JKO
계속	계속/MAG
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.28.2
앞으로도 변하지 않을 것이다.

앞으로도	앞/NNG+으로/JKB+도/JX
변하지	변하/VV+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.28.3
중국에는 앞으로 여러 정치적 시스템의 대두와 도전이 있을 것이다.

중국에는	중국/NNP+에/JKB+는/JX
앞으로	앞/NNG+으로/JKB
여러	여러/MMN
정치적	정치/NNG+적/XSN
시스템의	시스템/NNG+의/JKG
대두와	대두/NNG+와/JC
도전이	도전/NNG+이/JKS
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.28.4
일본은 올해 스위스·프랑스처럼 1~2% 성장 잠재력이 있다."

일본은	일본/NNP+은/JX
올해	올해/NNG
스위스·프랑스처럼	스위스/NNP+·/SP+프랑스/NNP+처럼/JKB
1~2%	1/SN+~/SO+2/SN+%/SW
성장	성장/NNG
잠재력이	잠재력/NNG+이/JKS
있다."	있/VA+다/EF+./SF+"/SS


# id : NWRW1800000026.10.29.1
"(차) 아시아의 시대를 말할 때는 경제뿐 아니라 글로벌 리더십을 언급해야 한다.

"(차)	"/SS+(/SS+차/NNP+)/SS
아시아의	아시아/NNP+의/JKG
시대를	시대/NNG+를/JKO
말할	말/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
경제뿐	경제/NNG+뿐/JX
아니라	아니/VCN+라/EC
글로벌	글로벌/NNG
리더십을	리더십/NNG+을/JKO
언급해야	언급/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.10.29.2
어떤 역할을 맡느냐가 중요하다.

어떤	어떤/MMD
역할을	역할/NNG+을/JKO
맡느냐가	맡/VV+느냐/EF+가/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.10.29.3
만약 미래에 또 다른 경제 위기가 닥친다면 그때 미국 외에 아시아가 어떤 역할을 할 것인가.

만약	만약/MAG
미래에	미래/NNG+에/JKB
또	또/MAG
다른	다른/MMD
경제	경제/NNG
위기가	위기/NNG+가/JKS
닥친다면	닥치/VV+ㄴ다면/EC
그때	그때/NNG
미국	미국/NNP
외에	외/NNB+에/JKB
아시아가	아시아/NNP+가/JKS
어떤	어떤/MMD
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000026.10.29.4
그게 중요하다."

그게	그거/NP+이/JKS
중요하다."	중요/NNG+하/XSA+다/EF+./SF+"/SS


# id : NWRW1800000026.10.30.1
◆빅터 차 CSIS 한국실장

◆빅터	◆/SW+빅터/NNP
차	차/NNP
CSIS	CSIS/SL
한국실장	한국실장/NNG


# id : NWRW1800000026.10.31.1
백악관 NSC에서 아시아 담당 보좌관을 역임할 때 북한에 대해 '강경한 관여정책(hawkish engagement)'을 주장했다.

백악관	백악관/NNP
NSC에서	NSC/SL+에서/JKB
아시아	아시아/NNP
담당	담당/NNG
보좌관을	보좌관/NNG+을/JKO
역임할	역임/NNG+하/XSV+ㄹ/ETM
때	때/NNG
북한에	북한/NNP+에/JKB
대해	대하/VV+아/EC
'강경한	'/SS+강경/NNG+하/XSA+ㄴ/ETM
관여정책(hawkish	관여/NNG+정책/NNG+(/SS+hawkish/SL
engagement)'을	engagement/SL+)/SS+'/SS+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.31.2
주한미군 기지 이전과 전략적 유연성을 비롯한 한미동맹 조정에 깊이 관여했다.

주한미군	주한/NNG+미군/NNG
기지	기지/NNG
이전과	이전/NNG+과/JC
전략적	전략/NNG+적/XSN
유연성을	유연성/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
한미동맹	한미/NNP+동맹/NNG
조정에	조정/NNG+에/JKB
깊이	깊이/MAG
관여했다.	관여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.31.3
한국계이며, 한·미·일 3각관계를 다룬 '적대적 제휴'의 저자다.

한국계이며,	한국/NNP+계/XSN+이/VCP+며/EC+,/SP
한·미·일	한·미·일/NNP
3각관계를	3/SN+각/NNG+관계/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
'적대적	'/SS+적대/NNG+적/XSN
제휴'의	제휴/NNG+'/SS+의/JKG
저자다.	저자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.31.4
컬럼비아대 박사.

컬럼비아대	컬럼비아대/NNP
박사.	박사/NNG+./SF


# id : NWRW1800000026.10.32.1
◆찰스 프리먼 CSIS 중국실장

◆찰스	◆/SW+찰스/NNP
프리먼	프리먼/NNP
CSIS	CSIS/SL
중국실장	중국실장/NNG


# id : NWRW1800000026.10.33.1
상원에서 입법 보좌관으로 공직을 시작한 후 무역대표부(USTR)에서 중국과의 무역협상을 담당했다.

상원에서	상원/NNG+에서/JKB
입법	입법/NNG
보좌관으로	보좌관/NNG+으로/JKB
공직을	공직/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
후	후/NNG
무역대표부(USTR)에서	무역/NNG+대표부/NNG+(/SS+USTR/SL+)/SS+에서/JKB
중국과의	중국/NNP+과/JKB+의/JKG
무역협상을	무역/NNG+협상/NNG+을/JKO
담당했다.	담당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.33.2
리처드 닉슨(Nixon) 대통령이 마오쩌둥(毛澤東) 주석과 회담할 때 통역을 맡았던 외교관 아버지를 따라 베이징과 타이베이(臺北)에서 유년기를 보냈다.

리처드	리처드/NNP
닉슨(Nixon)	닉슨/NNP+(/SS+Nixon/SL+)/SS
대통령이	대통령/NNG+이/JKS
마오쩌둥(毛澤東)	마오쩌둥/NNP+(/SS+毛澤東/SH+)/SS
주석과	주석/NNG+과/JKB
회담할	회담/NNG+하/XSV+ㄹ/ETM
때	때/NNG
통역을	통역/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
외교관	외교관/NNG
아버지를	아버지/NNG+를/JKO
따라	따르/VV+아/EC
베이징과	베이징/NNP+과/JC
타이베이(臺北)에서	타이베이/NNP+(/SS+臺北/SH+)/SS+에서/JKB
유년기를	유년기/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.10.33.3
보스턴대 법학박사.

보스턴대	보스턴대/NNP
법학박사.	법학/NNG+박사/NNG+./SF


# id : NWRW1800000026.10.34.1
◆마이클 그린 CSIS 일본실장

◆마이클	◆/SW+마이클/NNP
그린	그린/NNP
CSIS	CSIS/SL
일본실장	일본실장/NNG


# id : NWRW1800000026.10.35.1
백악관 NSC 아시아 담당 선임보좌관을 역임하며 한·중·일 3국 문제를 담당했다.

백악관	백악관/NNP
NSC	NSC/SL
아시아	아시아/NNP
담당	담당/NNG
선임보좌관을	선임/NNG+보좌관/NNG+을/JKO
역임하며	역임/NNG+하/XSV+며/EC
한·중·일	한·중·일/NNP
3국	3국/NNG
문제를	문제/NNG+를/JKO
담당했다.	담당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.35.2
미국의 소장파 중 대표적인 일본통.

미국의	미국/NNP+의/JKG
소장파	소장파/NNG
중	중/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
일본통.	일본통/NNG+./SF


# id : NWRW1800000026.10.35.3
일본은 물론 한국에도 지인(知人)이 많으며 때가 되면 주일(駐日) 대사 물망에 오를 것이라는 관측이 있다.

일본은	일본/NNP+은/JX
물론	물론/MAG
한국에도	한국/NNP+에/JKB+도/JX
지인(知人)이	지인/NNG+(/SS+知人/SH+)/SS+이/JKS
많으며	많/VA+으며/EC
때가	때/NNG+가/JKC
되면	되/VV+면/EC
주일(駐日)	주일/NNG+(/SS+駐日/SH+)/SS
대사	대사/NNG
물망에	물망/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.10.35.4
존스홉킨스대 국제대학원(SAIS) 박사.

존스홉킨스대	존스홉킨스대/NNP
국제대학원(SAIS)	국제/NNG+대학원/NNG+(/SS+SAIS/SL+)/SS
박사.	박사/NNG+./SF


