# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.95
metadata : {}


# id : NWRW1800000025.95.1.1
[커버스토리]최신 트렌드·속보 실시간 내 손안에… 국내 SNS는 스마트폰 아니어도 OK

[커버스토리]최신	[/SS+커버스토리/NNG+]/SS+최신/NNG
근황이든	근황/NNG+이/VCP+든/EC
감상이든	감상/NNG+이/VCP+든/EC
꾸준히	꾸준히/MAG
글을	글/NNG+을/JKO
등록하지	등록/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
SNS	SNS/SL
세계에서는	세계/NNG+에서/JKB+는/JX
금세	금세/MAG
잊혀진다.	잊히/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.95.17.3
국내 트위터러의 필수 순례코스였던 김연아 선수의 트위터 사이트는 김 선수가 바쁜 훈련 일정 탓에 포스팅이 뜸해지면서 관심이 예전만 못해졌다.

국내	국내/NNG
트위터러의	트위터러/NNG+의/JKG
필수	필수/NNG
순례코스였던	순례/NNG+코스/NNG+이/VCP+었/EP+던/ETM
김연아	김연아/NNP
선수의	선수/NNG+의/JKG
트위터	트위터/NNP
사이트는	사이트/NNG+는/JX
김	김/NNP
선수가	선수/NNG+가/JKS
바쁜	바쁘/VA+ㄴ/ETM
훈련	훈련/NNG
일정	일정/NNG
탓에	탓/NNG+에/JKB
포스팅이	포스팅/NNG+이/JKS
뜸해지면서	뜸하/VA+아/EC+지/VX+면서/EC
관심이	관심/NNG+이/JKS
예전만	예전/NNG+만/JX
못해졌다.	못/MAG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.95.17.4
영화배우 박중훈, 탤런트 정보석, 소설가 이외수 김영하 등은 꾸준한 포스팅으로 인기있는 트위터러다.

영화배우	영화배우/NNG
박중훈,	박중훈/NNP+,/SP
탤런트	탤런트/NNG
정보석,	정보석/NNP+,/SP
소설가	소설가/NNG
이외수	이외수/NNP
김영하	김영하/NNP
등은	등/NNB+은/JX
꾸준한	꾸준하/VA+ㄴ/ETM
포스팅으로	포스팅/NNG+으로/JKB
인기있는	인기/NNG+있/VV+는/ETM
트위터러다.	트위터러/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.18.1
꾸준한 포스팅이 모든 것을 해결해 주지는 않는다.

꾸준한	꾸준하/VA+ㄴ/ETM
포스팅이	포스팅/NNG+이/JKS
모든	모든/MMN
것을	것/NNB+을/JKO
해결해	해결/NNG+하/XSV+아/EC
주지는	주/VX+지/EC+는/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000025.95.18.2
남이 보낸 메시지에 지속적으로 반응을 보이는 것도 필수다.

남이	남/NNG+이/JKS
보낸	보내/VV+ㄴ/ETM
메시지에	메시지/NNG+에/JKB
지속적으로	지속/NNG+적/XSN+으로/JKB
반응을	반응/NNG+을/JKO
보이는	보이/VV+는/ETM
것도	것/NNB+도/JX
필수다.	필수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.18.3
나를 찜한 모든 이를 대상으로 하는 글을 올리는 것도 좋지만 특정인의 메시지에 ‘리플’ 형식으로 맞장구를 치거나 메시지를 띄우면 심리적 거리가 급속히 줄어 내 SNS 게시판의 열독자로 만들 수 있다.

나를	나/NP+를/JKO
찜한	찜하/VV+ㄴ/ETM
모든	모든/MMN
이를	이/NP+를/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
글을	글/NNG+을/JKO
올리는	올리/VV+는/ETM
것도	것/NNB+도/JX
좋지만	좋/VA+지만/EC
특정인의	특정인/NNG+의/JKG
메시지에	메시지/NNG+에/JKB
‘리플’	‘/SS+리플/NNG+’/SS
형식으로	형식/NNG+으로/JKB
맞장구를	맞장구/NNG+를/JKO
치거나	치/VV+거나/EC
메시지를	메시지/NNG+를/JKO
띄우면	띄우/VV+면/EC
심리적	심리/NNG+적/XSN
거리가	거리/NNG+가/JKS
급속히	급속히/MAG
줄어	줄/VV+어/EC
내	나/NP+의/JKG
SNS	SNS/SL
게시판의	게시판/NNG+의/JKG
열독자로	열독자/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.18.4
박용만 ㈜두산 회장, 정용진 신세계그룹 부회장, 심상정 진보신당 대표 등은 일반 트위터러들의 질문에까지 손수 답변하곤 하는 것으로 유명하다.

박용만	박용만/NNP
㈜두산	㈜/SW+두산/NNP
회장,	회장/NNG+,/SP
정용진	정용진/NNP
신세계그룹	신세계그룹/NNP
부회장,	부회장/NNG+,/SP
심상정	심상정/NNP
진보신당	진보신당/NNP
대표	대표/NNG
등은	등/NNB+은/JX
일반	일반/NNG
트위터러들의	트위터러/NNG+들/XSN+의/JKG
질문에까지	질문/NNG+에/JKB+까지/JX
손수	손수/MAG
답변하곤	답변/NNG+하/XSV+곤/EC
하는	하/VX+는/ETM
것으로	것/NNB+으로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.95.19.1
다른 사람들은 제공하기 힘든 차별화된 정보를 담을 수 있는 글이라면 가장 좋다.

다른	다른/MMD
사람들은	사람/NNG+들/XSN+은/JX
제공하기	제공/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
정보를	정보/NNG+를/JKO
담을	담/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
글이라면	글/NNG+이/VCP+라면/EC
가장	가장/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000025.95.19.2
자신이 종사하는 분야의 최신 정보나 깊이 있는 분석은 나를 찜하는 이들을 순식간에 늘리는 비결이다.

자신이	자신/NNG+이/JKS
종사하는	종사/NNG+하/XSV+는/ETM
분야의	분야/NNG+의/JKG
최신	최신/NNG
정보나	정보/NNG+나/JC
깊이	깊이/NNG
있는	있/VA+는/ETM
분석은	분석/NNG+은/JX
나를	나/NP+를/JKO
찜하는	찜하/VV+는/ETM
이들을	이/NP+들/XSN+을/JKO
순식간에	순식/NNG+간/XSN+에/JKB
늘리는	늘리/VV+는/ETM
비결이다.	비결/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.19.3
‘미국 드라마(미드)’ 마니아라면 한국 방영을 앞둔 최신 드라마 소식을, 정보기술(IT) 분야 종사자라면 해외 유저의 아이패드 사용기를 소개하는 식으로 SNS 세계의 ‘인맥 허브’에 등극할 수 있다.

‘미국	‘/SS+미국/NNP
드라마(미드)’	드라마/NNG+(/SS+미드/NNG+)/SS+’/SS
마니아라면	마니아/NNG+이/VCP+라면/EC
한국	한국/NNP
방영을	방영/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
최신	최신/NNG
드라마	드라마/NNG
소식을,	소식/NNG+을/JKO+,/SP
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
분야	분야/NNG
종사자라면	종사자/NNG+이/VCP+라면/EC
해외	해외/NNG
유저의	유저/NNG+의/JKG
아이패드	아이패드/NNP
사용기를	사용기/NNG+를/JKO
소개하는	소개/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
SNS	SNS/SL
세계의	세계/NNG+의/JKG
‘인맥	‘/SS+인맥/NNG
허브’에	허브/NNG+’/SS+에/JKB
등극할	등극/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.19.4
트위터 팔로어가 160명에 달하는 회사원 차홍일 씨(34)는 “한국 관련 뉴스에 대한 외국인들의 반응을 전문적으로 포스팅 했더니 팔로어가 늘더라”고 말한다.

트위터	트위터/NNP
팔로어가	팔로어/NNG+가/JKS
160명에	160/SN+명/NNB+에/JKB
달하는	달하/VV+는/ETM
회사원	회사원/NNG
차홍일	차홍일/NNP
씨(34)는	씨/NNB+(/SS+34/SN+)/SS+는/JX
“한국	“/SS+한국/NNP
관련	관련/NNG
뉴스에	뉴스/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
외국인들의	외국인/NNG+들/XSN+의/JKG
반응을	반응/NNG+을/JKO
전문적으로	전문/NNG+적/XSN+으로/JKB
포스팅	포스팅/NNG
했더니	하/VV+았/EP+더니/EC
늘더라”고	늘/VV+더라/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.95.20.1
끝으로 사이버 공간의 네트워크를 오프라인까지 확장할 수 있다면 금상첨화다.

끝으로	끝/NNG+으로/JKB
사이버	사이버/NNG
공간의	공간/NNG+의/JKG
네트워크를	네트워크/NNG+를/JKO
오프라인까지	오프라인/NNG+까지/JX
확장할	확장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
금상첨화다.	금상첨화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.20.2
‘커피당’이나 ‘맛집당’처럼 같은 취미를 가진 이들이 모여 정보를 공유하거나 ‘번개’로 불리는 오프라인 모임을 추진하면 결속력을 다질 수 있다.

‘커피당’이나	‘/SS+커피당/NNG+’/SS+이나/JC
‘맛집당’처럼	‘/SS+맛집당/NNG+’/SS+처럼/JKB
같은	같/VA+은/ETM
취미를	취미/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
이들이	이/NP+들/XSN+이/JKS
모여	모이/VV+어/EC
정보를	정보/NNG+를/JKO
공유하거나	공유/NNG+하/XSV+거나/EC
‘번개’로	‘/SS+번개/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
오프라인	오프라인/NNG
모임을	모임/NNG+을/JKO
추진하면	추진/NNG+하/XSV+면/EC
결속력을	결속력/NNG+을/JKO
다질	다지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


