# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.15
metadata : {}


# id : NWRW1800000021.15.1.1
[다윈은 살아있다]<3>신자유주의, 진화냐 도태냐

[다윈은	[/SS+다윈/NNP+은/JX
○	○/SW
다윈의	다윈/NNP+의/JKG
눈으로	눈/NNG+으로/JKB
본	보/VV+ㄴ/ETM
신자유주의의	신/XPN+자유주의/NNG+의/JKG
미래	미래/NNG


# id : NWRW1800000021.15.19.1
케인스주의가 부활하면서 신자유주의가 과연 경제 환경의 적자(適者)이며 그 미래가 어떤지에 대한 의문이 제기되고 있다.

케인스주의가	케인스주의/NNG+가/JKS
부활하면서	부활/NNG+하/XSV+면서/EC
신자유주의가	신/XPN+자유주의/NNG+가/JKS
과연	과연/MAG
경제	경제/NNG
환경의	환경/NNG+의/JKG
적자(適者)이며	적자/NNG+(/SS+適者/SH+)/SS+이/VCP+며/EC
그	그/MMD
미래가	미래/NNG+가/JKS
어떤지에	어떻/VA+ㄴ지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
의문이	의문/NNG+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.15.19.2
전문가들은 “단기적으로는 정부 차원의 대규모 부양책에 의존할 수밖에 없어 신자유주의가 위축될 것”이라고 말한다.

전문가들은	전문가/NNG+들/XSN+은/JX
“단기적으로는	“/SS+단기/NNG+적/XSN+으로/JKB+는/JX
정부	정부/NNG
차원의	차원/NNG+의/JKG
대규모	대/XPN+규모/NNG
부양책에	부양책/NNG+에/JKB
의존할	의존/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없어	없/VA+어/EC
신자유주의가	신/XPN+자유주의/NNG+가/JKS
위축될	위축/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.15.20.1
하지만 신자유주의 옹호론자들은 “대공황 당시 케인지언의 부양책은 높은 실업률과 스태그플레이션만 일으킨 채 결국 성공하지 못했다”며 “이번 위기도 케인스주의에 따른 임시처방보다 신자유주의의 토대 강화에 더욱 힘을 기울이는 계기로 삼아야 한다”고 주장한다.

하지만	하지만/MAJ
신자유주의	신/XPN+자유주의/NNG
옹호론자들은	옹호론자/NNG+들/XSN+은/JX
“대공황	“/SS+대/XPN+공황/NNG
당시	당시/NNG
케인지언의	케인지언/NNG+의/JKG
부양책은	부양책/NNG+은/JX
높은	높/VA+은/ETM
실업률과	실업/NNG+률/XSN+과/JC
스태그플레이션만	스태그플레이션/NNG+만/JX
일으킨	일으키/VV+ㄴ/ETM
채	채/NNB
결국	결국/MAG
성공하지	성공/NNG+하/XSV+지/EC
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
위기도	위기/NNG+도/JX
케인스주의에	케인스주의/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
임시처방보다	임시/NNG+처방/NNG+보다/JKB
신자유주의의	신/XPN+자유주의/NNG+의/JKG
토대	토대/NNG
강화에	강화/NNG+에/JKB
더욱	더욱/MAG
힘을	힘/NNG+을/JKO
기울이는	기울이/VV+는/ETM
계기로	계기/NNG+로/JKB
삼아야	삼/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.15.21.1
한국하이에크학회장인 민경국 강원대 교수는 “지금 시장에서 일어나는 문제는 신자유주의 때문이 아니라 통화 정책, 부동산 정책 같은 데서 국가의 개입이 필요 이상으로 이뤄졌기 때문”이라며 “재산권과 자유를 더 철저히 보호해주면서 시장원리를 강화하면 경제는 다윈의 진화론에서처럼 자연선택과 자연도태를 스스로 반복하면서 순방향으로 나아갈 것”이라고 말했다.

한국하이에크학회장인	한국하이에크학회장/NNG+이/VCP+ㄴ/ETM
민경국	민경국/NNP
강원대	강원대/NNP
교수는	교수/NNG+는/JX
“지금	“/SS+지금/MAG
시장에서	시장/NNG+에서/JKB
일어나는	일어나/VV+는/ETM
문제는	문제/NNG+는/JX
신자유주의	신/XPN+자유주의/NNG
때문이	때문/NNB+이/JKC
아니라	아니/VCN+라/EC
통화	통화/NNG
정책,	정책/NNG+,/SP
부동산	부동산/NNG
정책	정책/NNG
같은	같/VA+은/ETM
데서	데/NNB+서/JKB
국가의	국가/NNG+의/JKG
개입이	개입/NNG+이/JKS
필요	필요/NNG
이상으로	이상/NNG+으로/JKB
이뤄졌기	이뤄지/VV+었/EP+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
“재산권과	“/SS+재산/NNG+권/XSN+과/JC
자유를	자유/NNG+를/JKO
더	더/MAG
철저히	철저히/MAG
보호해주면서	보호/NNG+하/XSV+아/EC+주/VX+면서/EC
시장원리를	시장/NNG+원리/NNG+를/JKO
강화하면	강화/NNG+하/XSV+면/EC
경제는	경제/NNG+는/JX
다윈의	다윈/NNP+의/JKG
진화론에서처럼	진화/NNG+론/XSN+에서/JKB+처럼/JKB
자연선택과	자연/NNG+선택/NNG+과/JC
자연도태를	자연/NNG+도태/NNG+를/JKO
스스로	스스로/MAG
반복하면서	반복/NNG+하/XSV+면서/EC
순방향으로	순방향/NNG+으로/JKB
나아갈	나아가/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.22.1
‘진화경제론’을 쓴 유동운 부경대 교수는 “다윈주의자의 시각에서 본다면 지금까지 신자유주의를 완벽하게 해본 나라는 어디에도 없다”면서 “신자유주의 원칙을 유지한다면 시장경제는 이번에 드러난 문제점을 스스로 보완할 것이며 위기를 계기로 더 효율적인 형태로 발전할 것”이라고 내다봤다.

‘진화경제론’을	‘/SS+진화/NNG+경제/NNG+론/XSN+’/SS+을/JKO
쓴	쓰/VV+ㄴ/ETM
유동운	유동운/NNP
부경대	부경대/NNP
교수는	교수/NNG+는/JX
“다윈주의자의	“/SS+다윈주의자/NNG+의/JKG
시각에서	시각/NNG+에서/JKB
본다면	보/VV+ㄴ다면/EC
지금까지	지금/NNG+까지/JX
신자유주의를	신/XPN+자유주의/NNG+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
해본	하/VV+아/EC+보/VX+ㄴ/ETM
나라는	나라/NNG+는/JX
어디에도	어디/NP+에/JKB+도/JX
없다”면서	없/VA+다/EF+”/SS+면서/EC
“신자유주의	“/SS+신/XPN+자유주의/NNG
원칙을	원칙/NNG+을/JKO
유지한다면	유지/NNG+하/XSV+ㄴ다면/EC
시장경제는	시장/NNG+경제/NNG+는/JX
이번에	이번/NNG+에/JKB
드러난	드러나/VV+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
스스로	스스로/MAG
보완할	보완/NNG+하/XSV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
위기를	위기/NNG+를/JKO
계기로	계기/NNG+로/JKB
더	더/MAG
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
형태로	형태/NNG+로/JKB
발전할	발전/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


