# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.411
metadata : {}


# id : NWRW1800000021.411.1.1
운영능력 최고 - 건설비용 최저… 한국원전 국제무대 통했다

운영능력	운영/NNG+능력/NNG
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.16.6
나는 비서에게 ‘커피 다 떨어졌다고 하고 보리차를 내와라’고 했다.

나는	나/NP+는/JX
비서에게	비서/NNG+에게/JKB
‘커피	‘/SS+커피/NNG
다	다/MAG
떨어졌다고	떨어지/VV+었/EP+다고/EC
하고	하/VV+고/EC
보리차를	보리차/NNG+를/JKO
내와라’고	내오/VV+아라/EF+’/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.16.7
보리차를 마시자 나는 기운이 나는데 수석부사장은 피로해 보였다.”

보리차를	보리차/NNG+를/JKO
마시자	마시/VV+자/EC
나는	나/NP+는/JX
기운이	기운/NNG+이/JKS
나는데	나/VV+는데/EC
수석부사장은	수석/NNG+부사장/NNG+은/JX
피로해	피로/NNG+하/XSA+아/EC
보였다.”	보이/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000021.411.17.1
“가만히 보니 그는 통행금지를 시한으로 삼고 있는 것 같았다.

“가만히	“/SS+가만히/MAG
보니	보/VV+니/EC
그는	그/NP+는/JX
통행금지를	통행/NNG+금지/NNG+를/JKO
시한으로	시한/NNG+으로/JKB
삼고	삼/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.411.17.2
‘통행금지 시간 전에는 끝나겠지’하는 계산을 했던 것 같다.

‘통행금지	‘/SS+통행/NNG+금지/NNG
시간	시간/NNG
전에는	전/NNG+에/JKB+는/JX
끝나겠지’하는	끝나/VV+겠/EP+지/EF+’/SS+하/VV+는/ETM
계산을	계산/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000021.411.17.3
시간 끌기 작전에 돌입했다는 것을 눈치 챘다.

시간	시간/NNG
끌기	끌/VV+기/ETN
작전에	작전/NNG+에/JKB
돌입했다는	돌입/NNG+하/XSV+았/EP+다는/ETM
것을	것/NNB+을/JKO
눈치	눈치/NNG
챘다.	채/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.17.4
나는 숙직실에 지시해 ‘매트리스를 회의실에 갖다 놓으라’고 했다.

나는	나/NP+는/JX
숙직실에	숙직실/NNG+에/JKB
지시해	지시/NNG+하/XSV+아/EC
‘매트리스를	‘/SS+매트리스/NNG+를/JKO
회의실에	회의실/NNG+에/JKB
갖다	갖/VV+다/EC
놓으라’고	놓/VV+으라/EF+’/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.17.5
그는 질린 듯한 얼굴이었다.

그는	그/NP+는/JX
질린	질리/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
얼굴이었다.	얼굴/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.411.17.6
통행금지 시간을 넘기면 오히려 자기가 불리해질 것이라고 판단한 모양이었다.

통행금지	통행/NNG+금지/NNG
시간을	시간/NNG+을/JKO
넘기면	넘기/VV+면/EC
오히려	오히려/MAG
자기가	자기/NP+가/JKS
불리해질	불리/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
모양이었다.	모양/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.411.17.7
결국 우리가 원하던 방향으로 합의가 이뤄졌다.

결국	결국/MAG
우리가	우리/NP+가/JKS
원하던	원/NNG+하/XSV+던/ETM
방향으로	방향/NNG+으로/JKB
합의가	합의/NNG+가/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.17.8
오후 11시 50분.

오후	오후/NNG
11시	11/SN+시/NNB
50분.	50/SN+분/NNB+./SF


# id : NWRW1800000021.411.17.9
열네 시간에 걸친 담판이었다.”

열네	열네/MMN
시간에	시간/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
담판이었다.”	담판/NNG+이/VCP+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000021.411.18.1
이번 수주에선 원청업체와 하청업체가 바뀌었다.

이번	이번/NNG
수주에선	수주/NNG+에서/JKB+ㄴ/JX
원청업체와	원청/NNG+업체/NNG+와/JC
하청업체가	하청/NNG+업체/NNG+가/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.18.2
이 대통령은 참모진과의 회의에서 당시 순간을 술회하며 “기술이 없어 힘겹고 설움 받던 시절이 있었다.

이	이/NNP
대통령은	대통령/NNG+은/JX
참모진과의	참모진/NNG+과/JKB+의/JKG
회의에서	회의/NNG+에서/JKB
당시	당시/NNG
순간을	순간/NNG+을/JKO
술회하며	술회/NNG+하/XSV+며/EC
“기술이	“/SS+기술/NNG+이/JKS
없어	없/VA+어/EC
힘겹고	힘겹/VA+고/EC
설움	설움/NNG
받던	받/VV+던/ETM
시절이	시절/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.411.18.3
그러나 이제는 우리도 당당하게 선진기술로 세계에 진출하는 원전수출국의 첫발을 내디딜 수 있게 됐다”고 밝혔다고 김은혜 청와대 대변인이 전했다.

그러나	그러나/MAJ
이제는	이제/NNG+는/JX
우리도	우리/NP+도/JX
당당하게	당당/MAG+하/XSA+게/EC
선진기술로	선진/NNG+기술/NNG+로/JKB
세계에	세계/NNG+에/JKB
진출하는	진출/NNG+하/XSV+는/ETM
원전수출국의	원전/NNG+수출국/NNG+의/JKG
첫발을	첫발/NNG+을/JKO
내디딜	내디디/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
김은혜	김은혜/NNP
청와대	청와대/NNP
대변인이	대변인/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.19.1
■ “만세! 해냈다” 수주戰 사령부 ‘워룸’ 환호성… 컨소시엄 직원 100여명, 작년부터 한전 지하서 밤새워

■	■/SW
“만세!	“/SS+만세/IC+!/SF
해냈다”	해내/VV+었/EP+다/EF+”/SS
수주戰	수주/NNG+戰/SH
사령부	사령부/NNG
‘워룸’	‘/SS+워/NNG+룸/NNG+’/SS
환호성…	환호성/NNG+…/SE
컨소시엄	컨소시엄/NNG
직원	직원/NNG
100여명,	100/SN+여/XSN+명/NNB+,/SP
작년부터	작년/NNG+부터/JX
한전	한전/NNP
지하서	지하/NNG+서/JKB
밤새워	밤새우/VV+어/EC


# id : NWRW1800000021.411.20.1
27일 오후 7시 15분.

27일	27/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
15분.	15/SN+분/NNB+./SF


# id : NWRW1800000021.411.20.2
서울 강남구 삼성동 한국전력공사 본사 지하 2층 워룸(War Room).

서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
한국전력공사	한국전력공사/NNP
본사	본사/NNG
지하	지하/NNG
2층	2/SN+층/NNG
워룸(War	워/NNG+룸/NNG+(/SS+War/SL
Room).	Room/SL+)/SS+./SF


# id : NWRW1800000021.411.20.3
40여 명의 사람들이 숨을 죽였다.

40여	40/SN+여/XSN
명의	명/NNB+의/JKG
사람들이	사람/NNG+들/XSN+이/JKS
숨을	숨/NNG+을/JKO
죽였다.	죽이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.20.4
적막 속에서 한 통의 전화가 걸려왔기 때문이다.

적막	적막/NNG
속에서	속/NNG+에서/JKB
한	한/MMN
통의	통/NNB+의/JKG
전화가	전화/NNG+가/JKS
걸려왔기	걸리/VV+어/EC+오/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.20.5
한전 이흥주 원자력사업처 부장이 상기된 표정으로 전화를 받았다.

한전	한전/NNP
이흥주	이흥주/NNP
원자력사업처	원자력/NNG+사업처/NNG
부장이	부장/NNG+이/JKS
상기된	상기/NNG+되/XSV+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
전화를	전화/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.20.6
잠시 후 수화기를 내려놓으며 큰 소리로 외쳤다.

잠시	잠시/MAG
후	후/NNG
수화기를	수화기/NNG+를/JKO
내려놓으며	내려놓/VV+으며/EC
큰	크/VA+ㄴ/ETM
소리로	소리/NNG+로/JKB
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.20.7
“여러분! 됐습니다.

“여러분!	“/SS+여러분/NP+!/SF
됐습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.411.20.8
우리가 해냈습니다!”

우리가	우리/NP+가/JKS
해냈습니다!”	해내/VV+었/EP+습니다/EF+!/SF+”/SS


# id : NWRW1800000021.411.21.1
아랍에미리트(UAE) 원자력발전사업 프로젝트에 한전 컨소시엄이 최종사업자로 선정됐다는 전화였다.

아랍에미리트(UAE)	아랍에미리트/NNP+(/SS+UAE/SL+)/SS
원자력발전사업	원자력/NNG+발전/NNG+사업/NNG
프로젝트에	프로젝트/NNG+에/JKB
한전	한전/NNP
컨소시엄이	컨소시엄/NNG+이/JKS
최종사업자로	최종/NNG+사업자/NNG+로/JKB
선정됐다는	선정/NNG+되/XSV+었/EP+다는/ETM
전화였다.	전화/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.411.21.2
순간 현장에 모인 한전 컨소시엄 관계자 40여 명은 “와” 하고 환호했다.

순간	순간/NNG
현장에	현장/NNG+에/JKB
모인	모이/VV+ㄴ/ETM
한전	한전/NNP
컨소시엄	컨소시엄/NNG
관계자	관계자/NNG
40여	40/SN+여/XSN
명은	명/NNB+은/JX
“와”	“/SS+와/IC+”/SS
하고	하고/JKQ
환호했다.	환호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.21.3
모두 눈시울이 붉게 충혈돼 있었다.

모두	모두/MAG
눈시울이	눈시울/NNG+이/JKS
붉게	붉/VA+게/EC
충혈돼	충혈/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.411.21.4
이들은 모두 함께 “대한민국 만세”를 외쳤다.

이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
함께	함께/MAG
“대한민국	“/SS+대한민국/NNP
만세”를	만세/NNG+”/SS+를/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.22.1
이곳 워룸에서 한전, 한국수력원자력, 두산중공업, 현대건설, 삼성물산 등 컨소시엄 참여 기업 직원 100여 명은 지난해 12월부터 1년 동안 ‘총성 없는’ 전쟁을 벌여왔다.

이곳	이곳/NP
워룸에서	워/NNG+룸/NNG+에서/JKB
한전,	한전/NNP+,/SP
한국수력원자력,	한국수력원자력/NNP+,/SP
두산중공업,	두산중공업/NNP+,/SP
현대건설,	현대건설/NNP+,/SP
삼성물산	삼성물산/NNP
등	등/NNB
컨소시엄	컨소시엄/NNG
참여	참여/NNG
기업	기업/NNG
직원	직원/NNG
100여	100/SN+여/XSN
명은	명/NNB+은/JX
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
1년	1/SN+년/NNB
동안	동안/NNG
‘총성	‘/SS+총성/NNG
없는’	없/VA+는/ETM+’/SS
전쟁을	전쟁/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.411.22.2
보안 때문에 지상으로 올라가려면 별도 엘리베이터를 이용해야 하는 지하 워룸에서 직원들은 쉴 새 없이 UAE로 전화를 걸고 e메일을 보냈다.

보안	보안/NNG
때문에	때문/NNB+에/JKB
지상으로	지상/NNG+으로/JKB
올라가려면	올라가/VV+려면/EC
별도	별도/NNG
엘리베이터를	엘리베이터/NNG+를/JKO
이용해야	이용/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
지하	지하/NNG
워룸에서	워/NNG+룸/NNG+에서/JKB
직원들은	직원/NNG+들/XSN+은/JX
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
UAE로	UAE/SL+로/JKB
전화를	전화/NNG+를/JKO
걸고	걸/VV+고/EC
e메일을	e/SL+메일/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.22.3
UAE 측에서 추가 자료를 요청할 때 마감시간을 급박하게 설정해 밤을 새우기 일쑤였고 막판 한 달간은 주말까지 반납해야 했다.

UAE	UAE/SL
측에서	측/NNB+에서/JKB
추가	추가/NNG
자료를	자료/NNG+를/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
때	때/NNG
마감시간을	마감/NNG+시간/NNG+을/JKO
급박하게	급박/NNG+하/XSA+게/EC
설정해	설정/NNG+하/XSV+아/EC
밤을	밤/NNG+을/JKO
새우기	새우/VV+기/ETN
일쑤였고	일쑤/NNG+이/VCP+었/EP+고/EC
막판	막판/NNG
한	한/MMN
달간은	달/NNB+간/XSN+은/JX
주말까지	주말/NNG+까지/JX
반납해야	반납/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.411.23.1
‘우리가 할 수 있을까’란 의구심이 ‘할 수 있다’는 자신감으로 바뀌기 시작한 것은 10월.

‘우리가	‘/SS+우리/NP+가/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있을까’란	있/VA+을까/EF+’/SS+이/VCP+란/ETM
의구심이	의구심/NNG+이/JKS
‘할	‘/SS+하/VV+ㄹ/ETM
있다’는	있/VA+다/EF+’/SS+는/ETM
자신감으로	자신감/NNG+으로/JKB
바뀌기	바뀌/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
10월.	10/SN+월/NNB+./SF


# id : NWRW1800000021.411.23.2
조성기 원자력사업처 차장은 “협상 과정에서 10월부터 UAE 측 요구가 많아지는 등 우리가 수주할 수 있다는 느낌이 들었다”며 “이번 수주는 한국 원자력이 요르단, 이집트 등 중동지역에 진출할 수 있는 교두보가 될 것”이라고 강조했다.

조성기	조성기/NNP
원자력사업처	원자력/NNG+사업처/NNG
차장은	차장/NNG+은/JX
“협상	“/SS+협상/NNG
과정에서	과정/NNG+에서/JKB
10월부터	10/SN+월/NNB+부터/JX
UAE	UAE/SL
측	측/NNB
요구가	요구/NNG+가/JKS
많아지는	많아지/VV+는/ETM
등	등/NNB
우리가	우리/NP+가/JKS
수주할	수주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
느낌이	느낌/NNG+이/JKS
들었다”며	들/VV+었/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
수주는	수주/NNG+는/JX
한국	한국/NNP
원자력이	원자력/NNG+이/JKS
요르단,	요르단/NNP+,/SP
이집트	이집트/NNP
중동지역에	중동/NNP+지역/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
교두보가	교두보/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.24.1
■ 원전 수주에 金국방 긴급출동 왜?… 지난달 UAE 극비 방문… 군사분야 지원 약속한 듯

■	■/SW
원전	원전/NNG
수주에	수주/NNG+에/JKB
金국방	金/SH+국방/NNG
긴급출동	긴급/NNG+출동/NNG
왜?…	왜/MAG+?/SF+…/SE
지난달	지난달/NNG
UAE	UAE/SL
극비	극비/NNG
방문…	방문/NNG+…/SE
군사분야	군사/NNG+분야/NNG
지원	지원/NNG
약속한	약속/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000021.411.25.1
한국의 아랍에미리트(UAE) 원자력발전사업 수주에는 한-UAE 군사협력 약속도 큰 영향을 미친 것으로 알려져 양국 간 군사협력 내용에 관심이 쏠리고 있다.

한국의	한국/NNP+의/JKG
아랍에미리트(UAE)	아랍에미리트/NNP+(/SS+UAE/SL+)/SS
원자력발전사업	원자력/NNG+발전/NNG+사업/NNG
수주에는	수주/NNG+에/JKB+는/JX
한-UAE	한/NNP+-/SO+UAE/SL
군사협력	군사/NNG+협력/NNG
약속도	약속/NNG+도/JX
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
양국	양국/NNG
간	간/NNB
내용에	내용/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.411.25.2
이번 원전 수주를 위해 김태영 국방부 장관이 11월 중순 2차례나 극비리에 UAE를 방문해 양국 간 군사협력을 강화하는 군사교류협력 협정(MOU)을 체결한 것으로 알려졌기 때문이다.

이번	이번/NNG
원전	원전/NNG
수주를	수주/NNG+를/JKO
위해	위하/VV+아/EC
김태영	김태영/NNP
국방부	국방부/NNG
장관이	장관/NNG+이/JKS
11월	11/SN+월/NNB
중순	중순/NNG
2차례나	2/SN+차례/NNG+나/JX
극비리에	극비/NNG+리/XSN+에/JKB
UAE를	UAE/SL+를/JKO
방문해	방문/NNG+하/XSV+아/EC
양국	양국/NNG
간	간/NNB
군사협력을	군사/NNG+협력/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
군사교류협력	군사/NNG+교류/NNG+협력/NNG
협정(MOU)을	협정/NNG+(/SS+MOU/SL+)/SS+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌기	알려지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.26.1
군 안팎에서는 UAE가 군사 분야에서 한국군의 지원이나 협력을 요청했고, 김 장관이 이에 응한 게 아니겠느냐는 관측을 내놓고 있다.

군	군/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
UAE가	UAE/SL+가/JKS
군사	군사/NNG
분야에서	분야/NNG+에서/JKB
한국군의	한국군/NNG+의/JKG
지원이나	지원/NNG+이나/JX
협력을	협력/NNG+을/JKO
요청했고,	요청/NNG+하/XSV+았/EP+고/EC+,/SP
김	김/NNP
장관이	장관/NNG+이/JKS
이에	이/NP+에/JKB
응한	응하/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니겠느냐는	아니/VCN+겠/EP+느냐는/ETM
관측을	관측/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.411.26.2
하지만 양국은 군사협력 내용을 비밀에 부친 채 구체적인 언급을 자제하고 있다.

하지만	하지만/MAJ
양국은	양국/NNG+은/JX
군사협력	군사/NNG+협력/NNG
내용을	내용/NNG+을/JKO
비밀에	비밀/NNG+에/JKB
부친	부치/VV+ㄴ/ETM
채	채/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
언급을	언급/NNG+을/JKO
자제하고	자제/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.411.26.3
군 당국자는 “방위산업 분야를 포함한 군사 분야에서도 경제 분야처럼 교류협력을 확대하자는 취지”라며 “2006년 양국이 군사 분야에서 협력을 강화하자며 체결한 협정을 구체화하는 것”이라고 설명했다.

군	군/NNG
당국자는	당국자/NNG+는/JX
“방위산업	“/SS+방위/NNG+산업/NNG
분야를	분야/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
군사	군사/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
경제	경제/NNG
분야처럼	분야/NNG+처럼/JKB
교류협력을	교류/NNG+협력/NNG+을/JKO
확대하자는	확대/NNG+하/XSV+자는/ETM
취지”라며	취지/NNG+”/SS+라며/EC
“2006년	“/SS+2006/SN+년/NNB
양국이	양국/NNG+이/JKS
분야에서	분야/NNG+에서/JKB
협력을	협력/NNG+을/JKO
강화하자며	강화/NNG+하/XSV+자며/EC
체결한	체결/NNG+하/XSV+ㄴ/ETM
협정을	협정/NNG+을/JKO
구체화하는	구체/NNG+화/XSN+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.27.1
UAE는 김 장관과의 협의 과정에서 마일즈 교전장비를 이용한 교육훈련시스템 구축, 항만방어체계, 공군 조종사 양성훈련 등을 희망한 것으로 알려졌다.

UAE는	UAE/SL+는/JX
김	김/NNP
장관과의	장관/NNG+과/JKB+의/JKG
협의	협의/NNG
과정에서	과정/NNG+에서/JKB
마일즈	마일즈/NNG
교전장비를	교전/NNG+장비/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
교육훈련시스템	교육/NNG+훈련/NNG+시스템/NNG
구축,	구축/NNG+,/SP
항만방어체계,	항만/NNG+방어/NNG+체계/NNG+,/SP
공군	공군/NNG
조종사	조종사/NNG
양성훈련	양성/NNG+훈련/NNG
등을	등/NNB+을/JKO
희망한	희망/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.27.2
마일즈 교육훈련체계는 레이저 빔을 이용한 마일즈 교전장비와 컴퓨터, 통신장비 등을 활용해 실전과 동일한 전장을 체험할 수 있도록 한 훈련체계다.

마일즈	마일즈/NNG
교육훈련체계는	교육/NNG+훈련/NNG+체계/NNG+는/JX
레이저	레이저/NNG
빔을	빔/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
교전장비와	교전/NNG+장비/NNG+와/JC
컴퓨터,	컴퓨터/NNG+,/SP
통신장비	통신/NNG+장비/NNG
등을	등/NNB+을/JKO
활용해	활용/NNG+하/XSV+아/EC
실전과	실전/NNG+과/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
전장을	전장/NNG+을/JKO
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
훈련체계다.	훈련/NNG+체계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.27.3
항만방어체계는 주요 항만 시설에 열상감시장비(TOD)와 열감지센서 등을 설치해 침입자를 확인하는 감시체계다.

항만방어체계는	항만/NNG+방어/NNG+체계/NNG+는/JX
주요	주요/NNG
항만	항만/NNG
시설에	시설/NNG+에/JKB
열상감시장비(TOD)와	열상/NNG+감시/NNG+장비/NNG+(/SS+TOD/SL+)/SS+와/JC
열감지센서	열/NNG+감지/NNG+센서/NNG
등을	등/NNB+을/JKO
설치해	설치/NNG+하/XSV+아/EC
침입자를	침입자/NNG+를/JKO
확인하는	확인/NNG+하/XSV+는/ETM
감시체계다.	감시/NNG+체계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.28.1
양국 간 군사협력에는 유사시 군사적 지원까지 포함하는 것으로 알려졌다.

양국	양국/NNG
간	간/NNB
군사협력에는	군사/NNG+협력/NNG+에/JKB+는/JX
유사시	유사시/NNG
군사적	군사/NNG+적/XSN
지원까지	지원/NNG+까지/JX
포함하는	포함/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.28.2
정부의 한 관계자는 “아랍에미리트가 자국 안보에 문제가 발생했을 경우 한국이 군사 분야에서 지원해 줄 것을 요청한 것으로 안다”면서 “한국군이 도울 수 있는 방안이 있다면 적극 도와야 하지 않겠느냐”고 말했다.

정부의	정부/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“아랍에미리트가	“/SS+아랍에미리트/NNP+가/JKS
자국	자국/NNG
안보에	안보/NNG+에/JKB
문제가	문제/NNG+가/JKS
발생했을	발생/NNG+하/XSV+았/EP+을/ETM
경우	경우/NNG
한국이	한국/NNP+이/JKS
군사	군사/NNG
분야에서	분야/NNG+에서/JKB
지원해	지원/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”면서	알/VV+ㄴ다/EF+”/SS+면서/EC
“한국군이	“/SS+한국군/NNG+이/JKS
도울	돕/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안이	방안/NNG+이/JKS
있다면	있/VA+다면/EC
적극	적극/NNG
도와야	돕/VV+아야/EC
하지	하/VX+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


