# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.313
metadata : {}


# id : NWRW1800000026.313.1.1
'후계자 단독 출마, 97% 찬성'은 북한과 시리아뿐;'3代 세습' 북한 통해 본 '세습 독재' 7개국 연구

'후계자	'/SS+후계자/NNG
고학력	고/XPN+학력/NNG
청년	청년/NNG
실업자들의	실업자/NNG+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
파고들었다.	파고들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.313.11.5
'미래 세대 재단(FGF)'을 설립해 영어와 컴퓨터 교육을 하고 외국기업 취업을 주선한 것이다.

'미래	'/SS+미래/NNG
세대	세대/NNG
재단(FGF)'을	재단/NNG+(/SS+FGF/SL+)/SS+'/SS+을/JKO
설립해	설립/NNG+하/XSV+아/EC
영어와	영어/NNP+와/JC
컴퓨터	컴퓨터/NNG
교육을	교육/NNG+을/JKO
하고	하/VV+고/EC
외국기업	외국/NNG+기업/NNG
취업을	취업/NNG+을/JKO
주선한	주선/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.11.6
최근엔 빈민가 재개발 지역을 직접 방문하거나, TV에 출연해 식료품 보조금 정책을 옹호하는 발언을 하는 등 활동 폭도 넓히고 있다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
빈민가	빈민가/NNG
재개발	재/XPN+개발/NNG
지역을	지역/NNG+을/JKO
직접	직접/MAG
방문하거나,	방문/NNG+하/XSV+거나/EC+,/SP
TV에	TV/SL+에/JKB
출연해	출연/NNG+하/XSV+아/EC
식료품	식료품/NNG
보조금	보조금/NNG
정책을	정책/NNG+을/JKO
옹호하는	옹호/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
활동	활동/NNG
폭도	폭/NNG+도/JX
넓히고	넓히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.313.12.1
중앙아시아의 자원 대국 카자흐스탄에도 잠재적 대권 후계자가 있다.

중앙아시아의	중앙아시아/NNP+의/JKG
자원	자원/NNG
대국	대국/NNG
카자흐스탄에도	카자흐스탄/NNP+에/JKB+도/JX
잠재적	잠재/NNG+적/XSN
대권	대권/NNG
후계자가	후계자/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.313.12.2
2012년 대선이 시행되면 대권을 이어받을 가장 강력한 후보 1순위로 거론되고 있는 누르술탄 나자르바예프(70) 대통령의 맏딸 다리가 나자르바예바(47)다.

2012년	2012/SN+년/NNB
대선이	대선/NNG+이/JKS
시행되면	시행/NNG+되/XSV+면/EC
대권을	대권/NNG+을/JKO
이어받을	이어받/VV+을/ETM
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
후보	후보/NNG
1순위로	1/SN+순위/NNG+로/JKB
거론되고	거론/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
누르술탄	누르술탄/NNP
나자르바예프(70)	나자르바예프/NNP+(/SS+70/SN+)/SS
대통령의	대통령/NNG+의/JKG
맏딸	맏/XPN+딸/NNG
다리가	다리가/NNP
나자르바예바(47)다.	나자르바예바/NNP+(/SS+47/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.12.3
그녀는 2개 채널과 1개 위성 TV를 운영하는 카자흐 최대 방송사 '카바르'의 설립자로 주로 미디어 분야에서 경력을 쌓고 있다.

그녀는	그녀/NP+는/JX
2개	2/SN+개/NNB
채널과	채널/NNG+과/JC
1개	1/SN+개/NNB
위성	위성/NNG
TV를	TV/SL+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
카자흐	카자흐/NNP
최대	최대/NNG
방송사	방송사/NNG
'카바르'의	'/SS+카바르/NNP+'/SS+의/JKG
설립자로	설립자/NNG+로/JKB
주로	주로/MAG
미디어	미디어/NNG
분야에서	분야/NNG+에서/JKB
경력을	경력/NNG+을/JKO
쌓고	쌓/VV+고/EC
있다.	있/VX+다/EF+./SF


