# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.339
metadata : {}


# id : NWRW1800000022.339.1.1
재방송만 틀면서… MBC·SBS, 케이블 채널 각각 7개로 늘려;"뜨는 프로, 채널만 바꿔' 돌림 편성'하면 돈벌이 돼 "지상파 '채널 독과점' 심화 방송 콘텐츠 다양성도 훼손

재방송만	재/XPN+방송/NNG+만/JX
'3%룰'을	'/SS+3/SN+%/SW+룰/NNG+'/SS+을/JKO
적용하면	적용/NNG+하/XSV+면/EC
허점이	허점/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.339.15.2
국내에서 실제로 방송을 하고 있는 채널의 숫자는 160여개.

국내에서	국내/NNG+에서/JKB
실제로	실제로/MAG
방송을	방송/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
채널의	채널/NNG+의/JKG
숫자는	숫자/NNG+는/JX
160여개.	160/SN+여/XSN+개/NNB+./SF


# id : NWRW1800000022.339.15.3
여기에 3%룰을 적용해 지상파에는 4개 정도의 채널만 허용해야 한다는 주장도 있다.

여기에	여기/NP+에/JKB
3%룰을	3/SN+%/SW+룰/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
지상파에는	지상파/NNG+에/JKB+는/JX
4개	4/SN+개/NNB
정도의	정도/NNG+의/JKG
채널만	채널/NNG+만/JX
허용해야	허용/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장도	주장/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.339.16.1
게다가 케이블·위성 방송채널에서 지상파방송 프로그램의 재방송 횟수나 비율에 대한 규제는 없다.

게다가	게다가/MAG
케이블·위성	케이블/NNG+·/SP+위성/NNG
방송채널에서	방송/NNG+채널/NNG+에서/JKB
지상파방송	지상파/NNG+방송/NNG
프로그램의	프로그램/NNG+의/JKG
재방송	재/XPN+방송/NNG
횟수나	횟수/NNG+나/JC
비율에	비율/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규제는	규제/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.339.16.2
박천일 숙명여대 교수는 "지상파의 과도한 방송 채널 과점을 막으려는 법 제정의 취지가 현실에서는 힘을 발휘하지 못하고 있다"며 "지상파 계열 PP의 재방송 비율을 제한하고 자체 제작 비율을 늘리도록 의무화하는 강제적 수단까지 고려해볼 만하다"고 말했다.

박천일	박천일/NNP
숙명여대	숙명여대/NNP
교수는	교수/NNG+는/JX
"지상파의	"/SS+지상파/NNG+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
방송	방송/NNG
채널	채널/NNG
과점을	과점/NNG+을/JKO
막으려는	막/VV+으려는/ETM
법	법/NNG
제정의	제정/NNG+의/JKG
취지가	취지/NNG+가/JKS
현실에서는	현실/NNG+에서/JKB+는/JX
힘을	힘/NNG+을/JKO
발휘하지	발휘/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"지상파	"/SS+지상파/NNG
계열	계열/NNG
PP의	PP/SL+의/JKG
재방송	재/XPN+방송/NNG
비율을	비율/NNG+을/JKO
제한하고	제한/NNG+하/XSV+고/EC
자체	자체/NNG
제작	제작/NNG
늘리도록	늘리/VV+도록/EC
의무화하는	의무/NNG+화/XSN+하/XSV+는/ETM
강제적	강제/NNG+적/XSN
수단까지	수단/NNG+까지/JX
고려해볼	고려/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
만하다"고	만/NNB+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


