# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.155
metadata : {}


# id : NWRW1800000025.155.1.1
[6·2 국민의 선택/화제의 당선자]대전시장 염홍철 당선자 外

[6·2	[/SS+6/SN+·/SP+2/SN
경기 연천군에서는 한나라당 김규선 후보(57)가 현직 군수인 형의 뒤를 이어 당선되는 ‘가문의 영광’을 연출했다.

경기	경기/NNP
연천군에서는	연천군/NNP+에서/JKB+는/JX
한나라당	한나라당/NNP
김규선	김규선/NNP
후보(57)가	후보/NNG+(/SS+57/SN+)/SS+가/JKS
현직	현직/NNG
군수인	군수/NNG+이/VCP+ㄴ/ETM
형의	형/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
당선되는	당선/NNG+되/XSV+는/ETM
‘가문의	‘/SS+가문/NNG+의/JKG
영광’을	영광/NNG+’/SS+을/JKO
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.155.23.2
친인척이 자리를 물려받는 경우는 있었지만 친형제가 연이어 단체장 자리를 바통터치 하는 진기록은 이번이 처음이다.

친인척이	친인척/NNG+이/JKS
자리를	자리/NNG+를/JKO
물려받는	물려받/VV+는/ETM
경우는	경우/NNG+는/JX
있었지만	있/VA+었/EP+지만/EC
친형제가	친/XPN+형제/NNG+가/JKS
연이어	연잇/VV+어/EC
단체장	단체장/NNG
바통터치	바통/NNG+터치/NNG
하는	하/VV+는/ETM
진기록은	진기록/NNG+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.155.24.1
김 당선자의 형인 김규배 현 연천군수(64)는 민선 3, 4기에 연이어 당선돼 이번에 3선 도전이 예상됐다.

김	김/NNP
당선자의	당선자/NNG+의/JKG
형인	형/NNG+이/VCP+ㄴ/ETM
김규배	김규배/NNP
현	현/MMD
연천군수(64)는	연천군수/NNG+(/SS+64/SN+)/SS+는/JX
민선	민선/NNG
3,	3/SN+,/SP
4기에	4/SN+기/NNG+에/JKB
연이어	연잇/VV+어/EC
당선돼	당선/NNG+되/XSV+어/EC
이번에	이번/NNG+에/JKB
3선	3/SN+선/NNB
도전이	도전/NNG+이/JKS
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.24.2
전곡리 선사유적지 개발과 한탄강 수해 방지 사업 등 지역 현안을 무난히 해결해 왔기 때문.

전곡리	전곡리/NNP
선사유적지	선사/NNG+유적지/NNG
개발과	개발/NNG+과/JC
한탄강	한탄강/NNP
수해	수해/NNG
방지	방지/NNG
사업	사업/NNG
등	등/NNB
지역	지역/NNG
현안을	현안/NNG+을/JKO
무난히	무난히/MAG
해결해	해결/NNG+하/XSV+아/EC
왔기	오/VX+았/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.155.24.3
하지만 3선 등정을 눈앞에 두고 용퇴해 동생인 김 당선자가 한나라당 공천을 받을 수 있게 했다.

하지만	하지만/MAJ
3선	3/SN+선/NNB
등정을	등정/NNG+을/JKO
눈앞에	눈앞/NNG+에/JKB
두고	두/VV+고/EC
용퇴해	용퇴/NNG+하/XSV+아/EC
동생인	동생/NNG+이/VCP+ㄴ/ETM
김	김/NNP
당선자가	당선자/NNG+가/JKS
한나라당	한나라당/NNP
공천을	공천/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.155.24.4
김 당선자는 결혼 후 15년 동안 형인 김 군수와 함께 살 정도로 우애가 남달랐다.

김	김/NNP
당선자는	당선자/NNG+는/JX
결혼	결혼/NNG
후	후/NNG
15년	15/SN+년/NNB
동안	동안/NNG
형인	형/NNG+이/VCP+ㄴ/ETM
군수와	군수/NNG+와/JKB
함께	함께/MAG
살	살/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
우애가	우애/NNG+가/JKS
남달랐다.	남다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.155.24.5
김 당선자는 1998년 연천군의원 선거에 당선되며 지역 정계에 입문했고 군의회 부의장을 지냈다.

김	김/NNP
당선자는	당선자/NNG+는/JX
1998년	1998/SN+년/NNB
연천군의원	연천군/NNP+의원/NNG
선거에	선거/NNG+에/JKB
당선되며	당선/NNG+되/XSV+며/EC
지역	지역/NNG
정계에	정계/NNG+에/JKB
입문했고	입문/NNG+하/XSV+았/EP+고/EC
군의회	군/NNG+의회/NNG
부의장을	부의장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.24.6
김 당선자는 “형에 이어 군정을 이끌 수 있도록 성원해준 군민께 감사드린다”며 “가문의 영광에 그치지 않고 연천의 영광이 되도록 노력하겠다”고 말했다.

김	김/NNP
당선자는	당선자/NNG+는/JX
“형에	“/SS+형/NNG+에/JKB
이어	잇/VV+어/EC
군정을	군정/NNG+을/JKO
이끌	이끌/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
성원해준	성원/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
군민께	군민/NNG+께/JKB
감사드린다”며	감사/NNG+드리/VV+ㄴ다/EF+”/SS+며/EC
“가문의	“/SS+가문/NNG+의/JKG
영광에	영광/NNG+에/JKB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
연천의	연천/NNP+의/JKG
영광이	영광/NNG+이/JKC
되도록	되/VV+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.155.25.1
■ 경기도의원 비례대표 이라 당선자, 몽골 출신 아줌마… 국내 1호 ‘다문화 정치인’

■	■/SW
경기도의원	경기도/NNP+의원/NNG
비례대표	비례/NNG+대표/NNG
이라	이라/NNP
당선자,	당선자/NNG+,/SP
몽골	몽골/NNP
출신	출신/NNG
아줌마…	아줌마/NNG+…/SE
국내	국내/NNG
1호	1/SN+호/NNB
‘다문화	‘/SS+다문화/NNG
정치인’	정치인/NNG+’/SS


# id : NWRW1800000025.155.26.1
6·2지방선거에서 국내 1호 ‘다문화 정치인’이 탄생했다.

6·2지방선거에서	6/SN+·/SP+2/SN+지방/NNG+선거/NNG+에서/JKB
국내	국내/NNG
1호	1/SN+호/NNB
‘다문화	‘/SS+다문화/NNG
정치인’이	정치인/NNG+’/SS+이/JKS
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.155.26.2
영광의 주인공은 몽골 출신 이라 씨(33·여).

영광의	영광/NNG+의/JKG
주인공은	주인공/NNG+은/JX
몽골	몽골/NNP
출신	출신/NNG
이라	이라/NNP
씨(33·여).	씨/NNB+(/SS+33/SN+·/SP+여/NNG+)/SS+./SF


# id : NWRW1800000025.155.26.3
이 씨는 이번 선거에서 한나라당 경기도의원 비례대표 후보 1번 공천을 받아 당선됐다.

이	이/NNP
씨는	씨/NNB+는/JX
이번	이번/NNG
선거에서	선거/NNG+에서/JKB
한나라당	한나라당/NNP
경기도의원	경기도/NNP+의원/NNG
비례대표	비례/NNG+대표/NNG
후보	후보/NNG
1번	1/SN+번/NNB
공천을	공천/NNG+을/JKO
받아	받/VV+아/EC
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.27.1
2003년 9월 한국인과 결혼한 이 씨는 2008년 10월 한국 국적을 취득했다.

2003년	2003/SN+년/NNB
9월	9/SN+월/NNB
한국인과	한국인/NNG+과/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
이	이/NNP
씨는	씨/NNB+는/JX
2008년	2008/SN+년/NNB
10월	10/SN+월/NNB
한국	한국/NNP
국적을	국적/NNG+을/JKO
취득했다.	취득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.155.27.2
성(姓)은 살고 있는 경기 성남시에서 딴 ‘성남 이씨’로 하고, 이름은 부르기 편하고 기억하기 쉬운 외자로 지었다.

성(姓)은	성/NNG+(/SS+姓/SH+)/SS+은/JX
살고	살/VV+고/EC
있는	있/VX+는/ETM
경기	경기/NNP
성남시에서	성남시/NNP+에서/JKB
딴	따/VV+ㄴ/ETM
‘성남	‘/SS+성남/NNP
이씨’로	이/NNP+씨/NNB+’/SS+로/JKB
하고,	하/VV+고/EC+,/SP
이름은	이름/NNG+은/JX
부르기	부르/VV+기/ETN
편하고	편하/VA+고/EC
기억하기	기억/NNG+하/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
외자로	외자/NNG+로/JKB
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.27.3
현재는 서울출입국관리사무소 결혼이민자 네트워크 부회장을 맡아 결혼이주여성들의 든든한 버팀목으로 활동하고 있다.

현재는	현재/NNG+는/JX
서울출입국관리사무소	서울출입국관리사무소/NNP
결혼이민자	결혼/NNG+이민자/NNG
네트워크	네트워크/NNG
부회장을	부회장/NNG+을/JKO
맡아	맡/VV+아/EC
결혼이주여성들의	결혼/NNG+이주/NNG+여성/NNG+들/XSN+의/JKG
든든한	든든하/VA+ㄴ/ETM
버팀목으로	버팀목/NNG+으로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.155.27.4
또 지난해에는 신구대 산업디자인과에 입학해 이 학교가 운영하는 성남시 다문화가족지원센터에서 봉사활동을 하고 있다.

또	또/MAG
지난해에는	지난해/NNG+에/JKB+는/JX
신구대	신구대/NNP
산업디자인과에	산업/NNG+디자인과/NNG+에/JKB
입학해	입학/NNG+하/XSV+아/EC
이	이/MMD
학교가	학교/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
성남시	성남시/NNP
다문화가족지원센터에서	다문화/NNG+가족/NNG+지원/NNG+센터/NNG+에서/JKB
봉사활동을	봉사/NNG+활동/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.155.27.5
이 씨는 자원봉사를 하며 자신과 비슷한 어려움을 겪는 외국인들을 목격하고 정치인의 꿈을 갖게 됐다.

이	이/NNP
씨는	씨/NNB+는/JX
자원봉사를	자원봉사/NNG+를/JKO
하며	하/VV+며/EC
자신과	자신/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
외국인들을	외국인/NNG+들/XSN+을/JKO
목격하고	목격/NNG+하/XSV+고/EC
정치인의	정치인/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.27.6
이 씨는 다문화 정치인의 장점을 십분 살려 의정활동을 펼칠 계획이다.

이	이/NNP
씨는	씨/NNB+는/JX
다문화	다문화/NNG
정치인의	정치인/NNG+의/JKG
장점을	장점/NNG+을/JKO
십분	십분/MAG
살려	살리/VV+어/EC
의정활동을	의정/NNG+활동/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.155.28.1
■ 부산시의원 비례대표 이경혜 당선자, 9년전 시력 상실… 부산점자도서관장 등 지내

■	■/SW
부산시의원	부산시/NNP+의원/NNG
비례대표	비례/NNG+대표/NNG
이경혜	이경혜/NNP
당선자,	당선자/NNG+,/SP
9년전	9/SN+년/NNB+전/NNG
시력	시력/NNG
상실…	상실/NNG+…/SE
부산점자도서관장	부산/NNP+점자/NNG+도서관장/NNG
등	등/NNB
지내	지내/VV+어/EF


# id : NWRW1800000025.155.29.1
“강하고 아름다운 통합 사회를 만드는 데 최선을 다하겠습니다.”

“강하고	“/SS+강하/VA+고/EC
아름다운	아름답/VA+ㄴ/ETM
통합	통합/NNG
사회를	사회/NNG+를/JKO
만드는	만들/VV+는/ETM
데	데/NNB
최선을	최선/NNG+을/JKO
다하겠습니다.”	다/MAG+하/XSV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000025.155.30.1
한나라당 추천을 받아 부산시의원 비례대표 후보 1번으로 당선된 이경혜 씨(53·여).

한나라당	한나라당/NNP
추천을	추천/NNG+을/JKO
받아	받/VV+아/EC
부산시의원	부산시/NNP+의원/NNG
비례대표	비례/NNG+대표/NNG
후보	후보/NNG
1번으로	1/SN+번/NNB+으로/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
이경혜	이경혜/NNP
씨(53·여).	씨/NNB+(/SS+53/SN+·/SP+여/NNG+)/SS+./SF


# id : NWRW1800000025.155.30.2
그는 한국시각장애인연합회 부산지부장을 맡고 있는 시각장애인이다.

그는	그/NP+는/JX
한국시각장애인연합회	한국시각장애인연합회/NNP
부산지부장을	부산/NNP+지부장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
시각장애인이다.	시각/NNG+장애인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.155.31.1
이화여대 불어교육학과를 졸업한 그는 프랑스 국립 툴루즈대에 유학한 뒤 한때 국내 대학에서 불문학 강의까지 할 정도로 뛰어난 인재로 꼽혔다.

이화여대	이화여대/NNP
불어교육학과를	불어/NNP+교육학과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
프랑스	프랑스/NNP
국립	국립/NNG
툴루즈대에	툴루즈대/NNP+에/JKB
유학한	유학/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
한때	한때/MAG
국내	국내/NNG
대학에서	대학/NNG+에서/JKB
불문학	불문학/NNG
강의까지	강의/NNG+까지/JX
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
인재로	인재/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.31.2
그러나 대학 4학년 때부터 찾아온 포도막염 때문에 시력이 점차 떨어져 2001년 시력을 완전히 잃었다.

그러나	그러나/MAJ
대학	대학/NNG
4학년	4/SN+학년/NNG
때부터	때/NNG+부터/JX
찾아온	찾아오/VV+ㄴ/ETM
포도막염	포도막염/NNG
때문에	때문/NNB+에/JKB
시력이	시력/NNG+이/JKS
점차	점차/MAG
떨어져	떨어지/VV+어/EC
2001년	2001/SN+년/NNB
시력을	시력/NNG+을/JKO
완전히	완전히/MAG
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.32.1
10년 전부터 장애인단체 활동을 하면서 부산점자도서관장 등을 지낸 이 씨는 “장애인과 비장애인이라는 구분이 없는 사회를 만들려고 부산시의원에 도전했다”고 말했다.

10년	10/SN+년/NNB
전부터	전/NNG+부터/JX
장애인단체	장애인/NNG+단체/NNG
활동을	활동/NNG+을/JKO
하면서	하/VV+면서/EC
부산점자도서관장	부산/NNP+점자/NNG+도서관장/NNG
등을	등/NNB+을/JKO
지낸	지내/VV+ㄴ/ETM
이	이/NNP
씨는	씨/NNB+는/JX
“장애인과	“/SS+장애인/NNG+과/JC
비장애인이라는	비/XPN+장애인/NNG+이/VCP+라는/ETM
구분이	구분/NNG+이/JKS
없는	없/VA+는/ETM
사회를	사회/NNG+를/JKO
만들려고	만들/VV+려고/EC
부산시의원에	부산시/NNP+의원/NNG+에/JKB
도전했다”고	도전/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.155.32.2
그는 당선이 확정되자 “비례대표인 만큼 우리 사회에서 상대적으로 힘없고 어려운 이들을 대변할 수 있도록 열심히 노력하겠다”고 말했다.

그는	그/NP+는/JX
당선이	당선/NNG+이/JKS
확정되자	확정/NNG+되/XSV+자/EC
“비례대표인	“/SS+비례/NNG+대표/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
우리	우리/NP
사회에서	사회/NNG+에서/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
힘없고	힘없/VA+고/EC
어려운	어렵/VA+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
대변할	대변/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
열심히	열심히/MAG
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


