# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.9
metadata : {}


# id : NWRW1800000022.9.1.1
"국가 대표로 누군가를 설득하는 경험에 매료됐어요";제1회 아시아청소년모의국회(AYP) 참가해보니…

"국가	"/SS+국가/NNG
다른	다른/MMD
사람을	사람/NNG+을/JKO
설득하면서	설득/NNG+하/XSV+면서/EC
작은	작/VA+은/ETM
의견이	의견/NNG+이/JKS
거대한	거대/NNG+하/XSA+ㄴ/ETM
힘이	힘/NNG+이/JKC
되는	되/VV+는/ETM
과정을	과정/NNG+을/JKO
느꼈어요.	느끼/VV+었/EP+어요/EF+./SF


# id : NWRW1800000022.9.13.2
혼자서 열 걸음을 걷는 게 아니라 열 사람을 한 걸음씩 걷게 하는 힘이요.

혼자서	혼자/NNG+서/JKS
열	열/NR
걸음을	걸음/NNG+을/JKO
걷는	걷/VV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
사람을	사람/NNG+을/JKO
한	한/MMN
걸음씩	걸음/NNG+씩/XSN
걷게	걷/VV+게/EC
하는	하/VX+는/ETM
힘이요.	힘/NNG+이요/JX+./SF


# id : NWRW1800000022.9.13.3
국제기관에서 일하면서 세상을 긍정적으로 바꾸는 일을 하고 싶어요.”

국제기관에서	국제기관/NNG+에서/JKB
일하면서	일/NNG+하/XSV+면서/EC
세상을	세상/NNG+을/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
바꾸는	바꾸/VV+는/ETM
일을	일/NNG+을/JKO
하고	하/VV+고/EC
싶어요.”	싶/VX+어요/EF+./SF+”/SS


