# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.91
metadata : {}


# id : NWRW1800000022.91.1.1
제철 맞은 대게, 통발째 훔쳐가는 도둑들;포항·영덕·울진서 기승 범행현장 포착 어려워 피해 어민들 '속앓이'

제철	제철/NNG
과정을	과정/NNG+을/JKO
거쳐야	거치/VV+어야/EC
하는	하/VX+는/ETM
탓에	탓/NNG+에/JKB
범행을	범행/NNG+을/JKO
밝히기까지	밝히/VV+기/ETN+까지/JX
오랜	오랜/MMA
시간이	시간/NNG+이/JKS
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.18.3
포항해양경찰서 수사계 김명규 경장은 "의심 선박으로 신고돼 출동해 보면 심증적으로는 의심이 가지만 막상 물증이 없다"며 "훔친 어구나 대게를 바다에 내던지고 발뺌을 하면 어쩔 도리가 없다"고 말했다.

포항해양경찰서	포항해양경찰서/NNP
수사계	수사/NNG+계/XSN
김명규	김명규/NNP
경장은	경장/NNG+은/JX
"의심	"/SS+의심/NNG
선박으로	선박/NNG+으로/JKB
신고돼	신고/NNG+되/XSV+어/EC
출동해	출동/NNG+하/XSV+아/EC
보면	보/VX+면/EC
심증적으로는	심증/NNG+적/XSN+으로/JKB+는/JX
의심이	의심/NNG+이/JKS
가지만	가/VV+지만/EC
막상	막상/MAG
물증이	물증/NNG+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"훔친	"/SS+훔치/VV+ㄴ/ETM
어구나	어구/NNG+나/JC
대게를	대게/NNG+를/JKO
바다에	바다/NNG+에/JKB
내던지고	내던지/VV+고/EC
발뺌을	발뺌/NNG+을/JKO
하면	하/VV+면/EC
어쩔	어쩌/VV+ㄹ/ETM
도리가	도리/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.18.4
작년 한해 포항해경이 해상어구 절도범을 검거한 건수는 단 2건뿐이다.

작년	작년/NNG
한해	한/MMN+해/NNB
포항해경이	포항/NNP+해경/NNG+이/JKS
해상어구	해상/NNG+어구/NNG
절도범을	절도범/NNG+을/JKO
검거한	검거/NNG+하/XSV+ㄴ/ETM
건수는	건수/NNG+는/JX
단	단/MMA
2건뿐이다.	2/SN+건/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000022.91.18.5
사정이 이렇다 보니 피해 어민들은 신고를 꺼리고 있다.

사정이	사정/NNG+이/JKS
이렇다	이렇/VA+다/EF
보니	보/VX+니/EC
피해	피해/NNG
어민들은	어민/NNG+들/XSN+은/JX
신고를	신고/NNG+를/JKO
꺼리고	꺼리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.91.18.6
도둑은 활개치고 있으나, 정작 신고한 어민은 조사를 위해 경찰서에 불려다니는 통에 일을 할 수 없다는 이유에서다.

도둑은	도둑/NNG+은/JX
활개치고	활개/NNG+치/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
정작	정작/MAG
신고한	신고/NNG+하/XSV+ㄴ/ETM
어민은	어민/NNG+은/JX
조사를	조사/NNG+를/JKO
위해	위하/VV+아/EC
경찰서에	경찰서/NNG+에/JKB
불려다니는	불리/VV+어/EC+다니/VV+는/ETM
통에	통/NNB+에/JKB
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000022.91.19.1
해경은 이번 3월 한달간을 특별단속 기간으로 정하고 절도범 근절에 나섰다.

해경은	해경/NNG+은/JX
이번	이번/NNG
3월	3/SN+월/NNB
한달간을	한/MMN+달/NNB+간/XSN+을/JKO
특별단속	특별/NNG+단속/NNG
기간으로	기간/NNG+으로/JKB
정하고	정하/VV+고/EC
절도범	절도범/NNG
근절에	근절/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.91.19.2
포항해양경찰서 신동삼 수사과장은 "해상범죄의 특성상 완전히 뿌리 뽑기는 힘들겠지만, 연중 계속해서 단속에 힘써 질서를 바로잡아 나가겠다."고 말했다.

포항해양경찰서	포항해양경찰서/NNP
신동삼	신동삼/NNP
수사과장은	수사과장/NNG+은/JX
"해상범죄의	"/SS+해상/NNG+범죄/NNG+의/JKG
특성상	특성/NNG+상/XSN
완전히	완전히/MAG
뿌리	뿌리/NNG
뽑기는	뽑/VV+기/ETN+는/JX
힘들겠지만,	힘들/VA+겠/EP+지만/EC+,/SP
연중	연중/NNG
계속해서	계속/NNG+하/XSV+아서/EC
단속에	단속/NNG+에/JKB
힘써	힘쓰/VV+어/EC
질서를	질서/NNG+를/JKO
바로잡아	바로잡/VV+아/EC
나가겠다."고	나가/VX+겠/EP+다/EF+./SF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


