# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.150
metadata : {}


# id : NWRW1800000025.150.1.1
[광역단체장 후보 24시 밀착 르포]<4> 서울시장

[광역단체장	[/SS+광역/NNG+단체장/NNG
적극적으로	적극/NNG+적/XSN+으로/JKB
참여해주면	참여/NNG+하/XSV+아/EC+주/VX+면/EC
이긴다고	이기/VV+ㄴ다고/EC
본다”고	보/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.17.1
이날 오전 11시 한강 마포대교 남단의 여의도 국제 무역항 예정 용지에 도착한 한 후보는 “25일 국무회의에서 항만법을 시행해 이곳에 국제무역항을 만든다고 하는데 이는 모든 국민이 반대하는 대운하 망령이 되살아나는 것”이라며 “이를 막아낼 수 있도록 도와달라”고 호소했다.

이날	이날/NNG
오전	오전/NNG
11시	11/SN+시/NNB
한강	한강/NNP
마포대교	마포대교/NNP
남단의	남단/NNG+의/JKG
여의도	여의도/NNP
국제	국제/NNG
무역항	무역항/NNG
예정	예정/NNG
용지에	용지/NNG+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
한	한/NNP
후보는	후보/NNG+는/JX
“25일	“/SS+25/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
항만법을	항만법/NNG+을/JKO
시행해	시행/NNG+하/XSV+아/EC
이곳에	이곳/NP+에/JKB
국제무역항을	국제/NNG+무역항/NNG+을/JKO
만든다고	만들/VV+ㄴ다고/EC
하는데	하/VV+는데/EC
이는	이/NP+는/JX
모든	모든/MMN
국민이	국민/NNG+이/JKS
반대하는	반대/NNG+하/XSV+는/ETM
대운하	대/XPN+운하/NNG
망령이	망령/NNG+이/JKS
되살아나는	되살아나/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이를	“/SS+이/NP+를/JKO
막아낼	막/VV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와달라”고	돕/VV+아/EC+달/VX+라/EF+”/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.18.1
낮 대학로 유세를 마친 한 후보는 강서구 화곡동에 있는 지하철 5호선 까치산역으로 이동하던 도중 길가에 있는 작은 식당에 들러 점심 식사를 했다.

낮	낮/NNG
대학로	대학로/NNP
유세를	유세/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
한	한/NNP
후보는	후보/NNG+는/JX
강서구	강서구/NNP
화곡동에	화곡동/NNP+에/JKB
있는	있/VA+는/ETM
지하철	지하철/NNG
5호선	5/SN+호선/NNB
까치산역으로	까치산역/NNP+으로/JKB
이동하던	이동/NNG+하/XSV+던/ETM
도중	도중/NNG
길가에	길가/NNG+에/JKB
작은	작/VA+은/ETM
식당에	식당/NNG+에/JKB
들러	들르/VV+어/EC
점심	점심/NNG
식사를	식사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.18.2
순두부찌개를 시켜 20여 분 만에 먹었다.

순두부찌개를	순두부찌개/NNG+를/JKO
시켜	시키/VV+어/EC
20여	20/SN+여/XSN
분	분/NNB
만에	만/NNB+에/JKB
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.18.3
김현 민주당 부대변인은 “오늘 일정이 빡빡해 ‘든든한’ 음식을 권했다”고 말했다.

김현	김현/NNP
민주당	민주당/NNP
부대변인은	부대변인/NNG+은/JX
“오늘	“/SS+오늘/MAG
일정이	일정/NNG+이/JKS
빡빡해	빡빡하/VA+아/EC
‘든든한’	‘/SS+든든하/VA+ㄴ/ETM+’/SS
음식을	음식/NNG+을/JKO
권했다”고	권/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.18.4
막판 대추격전에 1분 1초가 아쉬운 듯했다.

막판	막판/NNG
대추격전에	대/XPN+추격전/NNG+에/JKB
1분	1/SN+분/NNB
1초가	1/SN+초/NNB+가/JKS
아쉬운	아쉽/VA+ㄴ/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.150.19.1
한 후보는 까치산역 앞 유세가 끝나자마자 서울 연고팀인 넥센 히어로즈와 LG 트윈스의 경기가 벌어지는 목동야구장으로 급히 달려갔다.

한	한/NNP
후보는	후보/NNG+는/JX
까치산역	까치산역/NNP
앞	앞/NNG
유세가	유세/NNG+가/JKS
끝나자마자	끝나/VV+자마자/EC
서울	서울/NNP
연고팀인	연고/NNG+팀/NNG+이/VCP+ㄴ/ETM
넥센	넥센/NNP
히어로즈와	히어로즈/NNP+와/JC
LG	LG/SL
트윈스의	트윈스/NNP+의/JKG
경기가	경기/NNG+가/JKS
벌어지는	벌어지/VV+는/ETM
목동야구장으로	목동야구장/NNP+으로/JKB
급히	급히/MAG
달려갔다.	달려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.19.2
야구장 매표소에서 줄을 선 시민들과 일일이 악수를 했다.

야구장	야구장/NNG
매표소에서	매표소/NNG+에서/JKB
줄을	줄/NNG+을/JKO
선	서/VV+ㄴ/ETM
시민들과	시민/NNG+들/XSN+과/JKB
일일이	일일이/MAG
악수를	악수/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.19.3
한 후보를 알아보고 먼 곳에서 달려와 악수를 청하고 사진을 찍는 시민들도 있었다.

한	한/NNP
후보를	후보/NNG+를/JKO
알아보고	알아보/VV+고/EC
먼	멀/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
달려와	달려오/VV+아/EC
악수를	악수/NNG+를/JKO
청하고	청/NNG+하/XSV+고/EC
사진을	사진/NNG+을/JKO
찍는	찍/VV+는/ETM
시민들도	시민/NNG+들/XSN+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.150.20.1
‘국민참여당’이라고 적힌 배지를 달고 노란색 옷을 입은 10여 명이 월드컵 응원 구호에 맞춰 “대∼한명숙”을 외치며 지지를 호소하자 한 후보는 두 손을 번쩍 치켜들고 “이깁시다”라고 외치기도 했다.

‘국민참여당’이라고	‘/SS+국민참여당/NNP+’/SS+이/VCP+라고/EC
적힌	적히/VV+ㄴ/ETM
배지를	배지/NNG+를/JKO
달고	달/VV+고/EC
노란색	노란색/NNG
옷을	옷/NNG+을/JKO
입은	입/VV+은/ETM
10여	10/SN+여/XSN
명이	명/NNB+이/JKS
월드컵	월드컵/NNG
응원	응원/NNG
구호에	구호/NNG+에/JKB
맞춰	맞추/VV+어/EC
“대∼한명숙”을	“/SS+대/XPN+∼/SO+한명숙/NNP+”/SS+을/JKO
외치며	외치/VV+며/EC
지지를	지지/NNG+를/JKO
호소하자	호소/NNG+하/XSV+자/EC
한	한/NNP
후보는	후보/NNG+는/JX
두	두/MMN
손을	손/NNG+을/JKO
번쩍	번쩍/MAG
치켜들고	치켜들/VV+고/EC
“이깁시다”라고	“/SS+이기/VV+ㅂ시다/EF+”/SS+라고/JKQ
외치기도	외치/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.150.20.2
선거 막판인데도 한 후보의 목소리는 평소와 별다른 차이가 없었다.

선거	선거/NNG
막판인데도	막판/NNG+이/VCP+ㄴ데/EC+도/JX
한	한/NNP
후보의	후보/NNG+의/JKG
목소리는	목소리/NNG+는/JX
평소와	평소/NNG+와/JKB
별다른	별다르/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.150.20.3
캠프 공보팀 관계자는 “목을 보호하기 위해 연설 후 바로 도라지즙을 마신다”고 귀띔했다.

캠프	캠프/NNG
공보팀	공보/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
“목을	“/SS+목/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
연설	연설/NNG
후	후/NNG
바로	바로/MAG
도라지즙을	도라지즙/NNG+을/JKO
마신다”고	마시/VV+ㄴ다/EF+”/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.21.1
오후 5시부터 열린 용산역 유세에는 500여 명의 선거 운동원 및 관계자가 모여들었다.

오후	오후/NNG
5시부터	5/SN+시/NNB+부터/JX
열린	열리/VV+ㄴ/ETM
용산역	용산역/NNP
유세에는	유세/NNG+에/JKB+는/JX
500여	500/SN+여/XSN
명의	명/NNB+의/JKG
선거	선거/NNG
운동원	운동원/NNG
및	및/MAG
관계자가	관계자/NNG+가/JKS
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.21.2
연설에서는 “한명숙”을 연호하는 목소리와 박수 소리가 제법 크게 들렸다.

연설에서는	연설/NNG+에서/JKB+는/JX
“한명숙”을	“/SS+한명숙/NNP+”/SS+을/JKO
연호하는	연호/NNG+하/XSV+는/ETM
목소리와	목소리/NNG+와/JC
박수	박수/NNG
소리가	소리/NNG+가/JKS
제법	제법/MAG
크게	크/VA+게/EC
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.21.3
연설을 마치자 일부 시민은 악수를 하기 위해 모여들어 한 후보가 지나가기 어려울 정도였다.

연설을	연설/NNG+을/JKO
마치자	마치/VV+자/EC
일부	일부/NNG
시민은	시민/NNG+은/JX
악수를	악수/NNG+를/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
모여들어	모여들/VV+어/EC
한	한/NNP
후보가	후보/NNG+가/JKS
지나가기	지나가/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.150.21.4
거리에 있던 일부 노점상 주인이 거리로 나와 선거 로고송에 맞춰 춤을 추기도 했다.

거리에	거리/NNG+에/JKB
있던	있/VA+던/ETM
일부	일부/NNG
노점상	노점상/NNG
주인이	주인/NNG+이/JKS
거리로	거리/NNG+로/JKB
나와	나오/VV+아/EC
선거	선거/NNG
로고송에	로고송/NNG+에/JKB
맞춰	맞추/VV+어/EC
춤을	춤/NNG+을/JKO
추기도	추/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.150.21.5
연설을 듣던 한 30대 상인은 “오세훈 식 개발을 하면 이곳 상인들은 다 상권을 내놔야 한다는 불안감 때문에 개발을 중단시켜주기를 바라는 심정”이라고 설명했다.

연설을	연설/NNG+을/JKO
듣던	듣/VV+던/ETM
한	한/MMN
30대	30/SN+대/NNB
상인은	상인/NNG+은/JX
“오세훈	“/SS+오세훈/NNP
식	식/NA
개발을	개발/NNG+을/JKO
하면	하/VV+면/EC
이곳	이곳/NP
상인들은	상인/NNG+들/XSN+은/JX
다	다/MAG
상권을	상권/NNG+을/JKO
내놔야	내놓/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
불안감	불안감/NNG
때문에	때문/NNB+에/JKB
중단시켜주기를	중단/NNG+시키/XSV+어/EC+주/VX+기/ETN+를/JKO
바라는	바라/VV+는/ETM
심정”이라고	심정/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.22.1
한 후보는 오후 7시 반부터 광화문광장에서 열린 ‘생명과 평화를 위한 서울마당’에 참석해 “김대중 노무현 대통령께서 지키고 발전시킨 민주주의와 경제를 지킬 수 있도록 이명박 정권을 심판해 달라”며 정권 심판론의 불씨를 지폈다.

한	한/NNP
후보는	후보/NNG+는/JX
오후	오후/NNG
7시	7/SN+시/NNB
반부터	반/NNG+부터/JX
광화문광장에서	광화문광장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘생명과	‘/SS+생명/NNG+과/JC
평화를	평화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
서울마당’에	서울/NNP+마당/NNG+’/SS+에/JKB
참석해	참석/NNG+하/XSV+아/EC
“김대중	“/SS+김대중/NNP
노무현	노무현/NNP
대통령께서	대통령/NNG+께서/JKS
지키고	지키/VV+고/EC
발전시킨	발전/NNG+시키/XSV+ㄴ/ETM
민주주의와	민주주의/NNG+와/JC
경제를	경제/NNG+를/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
이명박	이명박/NNP
정권을	정권/NNG+을/JKO
심판해	심판/NNG+하/XSV+아/EC
달라”며	달/VX+라/EF+”/SS+며/EC
정권	정권/NNG
심판론의	심판/NNG+론/XSN+의/JKG
불씨를	불씨/NNG+를/JKO
지폈다.	지피/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.23.1
한 후보는 이날 지하철 2호선을 타고 시청역∼신촌역∼홍대입구역을 돌며 유세를 마무리했다.

한	한/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
지하철	지하철/NNG
2호선을	2/SN+호선/NNB+을/JKO
타고	타/VV+고/EC
시청역∼신촌역∼홍대입구역을	시청역/NNP+∼/SO+신촌역/NNP+∼/SO+홍대입구역/NNP+을/JKO
돌며	돌/VV+며/EC
유세를	유세/NNG+를/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.23.2
한 후보는 “젊은층이 투표하면 권력을 이길 수 있다”며 젊은층의 투표 참여를 독려했다.

한	한/NNP
후보는	후보/NNG+는/JX
“젊은층이	“/SS+젊/VA+은/ETM+층/NNG+이/JKS
투표하면	투표/NNG+하/XSV+면/EC
권력을	권력/NNG+을/JKO
이길	이기/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
투표	투표/NNG
참여를	참여/NNG+를/JKO
독려했다.	독려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.23.3
자신에게 우호적인 젊은층의 지지에서 반전의 실마리를 찾은 듯했다.

자신에게	자신/NNG+에게/JKB
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
지지에서	지지/NNG+에서/JKB
반전의	반전/NNG+의/JKG
실마리를	실마리/NNG+를/JKO
찾은	찾/VV+은/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.150.24.1
■선진당 지상욱 후보… “누굴 위한 재개발인가”서민-상인들 지지 호소

■선진당	■/SW+선진당/NNP
지상욱	지상욱/NNP
후보…	후보/NNG+…/SE
“누굴	“/SS+누구/NP+ㄹ/JKO
위한	위하/VV+ㄴ/ETM
재개발인가”서민-상인들	재/XPN+개발/NNG+이/VCP+ㄴ가/EF+”/SS+서민/NNG+-/SO+상인/NNG+들/XSN
지지	지지/NNG
호소	호소/NNG


# id : NWRW1800000025.150.25.1
자유선진당 지상욱 서울시장 후보는 지방선거 마지막 주말 내내 재래시장과 교회 등을 돌며 지지를 호소했다.

자유선진당	자유선진당/NNP
지상욱	지상욱/NNP
서울시장	서울시장/NNG
후보는	후보/NNG+는/JX
지방선거	지방/NNG+선거/NNG
마지막	마지막/NNG
주말	주말/NNG
내내	내내/MAG
재래시장과	재래시장/NNG+과/JC
교회	교회/NNG
등을	등/NNB+을/JKO
돌며	돌/VV+며/EC
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.25.2
지 후보는 29일 도봉구 도봉산 입구 차량유세에서 “빌딩 몇 개 세운다고 도시경쟁력이 생기겠느냐.

지	지/NNP
후보는	후보/NNG+는/JX
29일	29/SN+일/NNB
도봉구	도봉구/NNP
도봉산	도봉산/NNP
입구	입구/NNG
차량유세에서	차량/NNG+유세/NNG+에서/JKB
“빌딩	“/SS+빌딩/NNG
몇	몇/NR
개	개/NNB
세운다고	세우/VV+ㄴ다고/EC
도시경쟁력이	도시/NNG+경쟁력/NNG+이/JKS
생기겠느냐.	생기/VV+겠/EP+느냐/EF+./SF


# id : NWRW1800000025.150.25.3
도대체 누구를 위한 재개발인지 모르겠다”며 서민들의 지지를 호소했다.

도대체	도대체/MAG
누구를	누구/NP+를/JKO
위한	위하/VV+ㄴ/ETM
재개발인지	재/XPN+개발/NNG+이/VCP+ㄴ지/EC
모르겠다”며	모르/VV+겠/EP+다/EF+”/SS+며/EC
서민들의	서민/NNG+들/XSN+의/JKG
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.25.4
그는 인근 재래시장을 찾아 국수, 떡볶이, 부침개 등을 먹으며 상인들과 대화를 나누기도 했다.

그는	그/NP+는/JX
인근	인근/NNG
재래시장을	재래시장/NNG+을/JKO
찾아	찾/VV+아/EC
국수,	국수/NNG+,/SP
떡볶이,	떡볶이/NNG+,/SP
부침개	부침개/NNG
등을	등/NNB+을/JKO
먹으며	먹/VV+으며/EC
상인들과	상인/NNG+들/XSN+과/JKB
대화를	대화/NNG+를/JKO
나누기도	나누/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.150.26.1
30일에는 온누리교회에서 예배를 본 뒤 관악산에서 등산을 온 시민들과 일일이 악수를 하며 한 표를 호소했다.

30일에는	30/SN+일/NNB+에/JKB+는/JX
온누리교회에서	온누리교회/NNP+에서/JKB
예배를	예배/NNG+를/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
관악산에서	관악산/NNP+에서/JKB
등산을	등산/NNG+을/JKO
온	오/VV+ㄴ/ETM
시민들과	시민/NNG+들/XSN+과/JKB
일일이	일일이/MAG
악수를	악수/NNG+를/JKO
하며	하/VV+며/EC
한	한/MMN
표를	표/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.26.2
오후에는 명동성당을 방문한 뒤 명동거리에서 젊은층의 표심 잡기에 주력했다.

오후에는	오후/NNG+에/JKB+는/JX
명동성당을	명동성당/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
명동거리에서	명동/NNP+거리/NNG+에서/JKB
젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
표심	표심/NNG
잡기에	잡/VV+기/ETN+에/JKB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.26.3
지 후보는 “부인(심은하 씨)이 함께 오지 않았느냐”는 시민들의 관심에 대해 “먼발치에서 지켜보고 있다.

지	지/NNP
후보는	후보/NNG+는/JX
“부인(심은하	“/SS+부인/NNG+(/SS+심은하/NNP
씨)이	씨/NNB+)/SS+이/JKS
함께	함께/MAG
오지	오/VV+지/EC
않았느냐”는	않/VX+았/EP+느냐/EF+”/SS+는/JX
시민들의	시민/NNG+들/XSN+의/JKG
관심에	관심/NNG+에/JKB
대해	대하/VV+아/EC
“먼발치에서	“/SS+먼발치/NNG+에서/JKB
지켜보고	지켜보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.150.26.4
부인의 유명세로 선거를 치르는 것은 옳지 않다.

부인의	부인/NNG+의/JKG
유명세로	유명세/NNG+로/JKB
선거를	선거/NNG+를/JKO
치르는	치르/VV+는/ETM
것은	것/NNB+은/JX
옳지	옳/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.150.26.5
선거가 끝나면 같이 오겠다”고 답했다.

선거가	선거/NNG+가/JKS
끝나면	끝나/VV+면/EC
같이	같이/MAG
오겠다”고	오/VV+겠/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.27.1
■진보신당 노회찬 후보… 야권 단일화 압박에 고민… 유세 취소하고 논의끝 “완주”

■진보신당	■/SW+진보신당/NNP
노회찬	노회찬/NNP
후보…	후보/NNG+…/SE
야권	야권/NNG
단일화	단일/NNG+화/XSN
압박에	압박/NNG+에/JKB
고민…	고민/NNG+…/SE
유세	유세/NNG
취소하고	취소/NNG+하/XSV+고/EC
논의끝	논의/NNG+끝/NNG
“완주”	“/SS+완주/NNG+”/SS


# id : NWRW1800000025.150.28.1
진보신당 노회찬 서울시장 후보는 30일 심상정 경기도지사 후보의 후보직 사퇴의 여파로 모든 유세 일정을 취소하고 대책 논의에 부심했다.

진보신당	진보신당/NNP
노회찬	노회찬/NNP
서울시장	서울시장/NNG
후보는	후보/NNG+는/JX
30일	30/SN+일/NNB
심상정	심상정/NNP
경기도지사	경기/NNP+도지사/NNG
후보의	후보/NNG+의/JKG
후보직	후보직/NNG
사퇴의	사퇴/NNG+의/JKG
여파로	여파/NNG+로/JKB
모든	모든/MMN
유세	유세/NNG
일정을	일정/NNG+을/JKO
취소하고	취소/NNG+하/XSV+고/EC
대책	대책/NNG
논의에	논의/NNG+에/JKB
부심했다.	부심/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.28.2
노 후보는 오전 9시부터 늦은 저녁까지 국회에서 중앙선거대책위원회 회의, 자문위원단 회의 등 릴레이 회의를 열어 대응책을 논의했다.

노	노/NNP
후보는	후보/NNG+는/JX
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
늦은	늦/VA+은/ETM
저녁까지	저녁/NNG+까지/JX
국회에서	국회/NNG+에서/JKB
중앙선거대책위원회	중앙/NNG+선거/NNG+대책/NNG+위원회/NNG
회의,	회의/NNG+,/SP
자문위원단	자문/NNG+위원단/NNG
회의	회의/NNG
등	등/NNB
릴레이	릴레이/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
대응책을	대응책/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.29.1
노 후보는 당의 존재감을 알리기 위해서라도 완주해야 한다는 생각이다.

노	노/NNP
후보는	후보/NNG+는/JX
당의	당/NNG+의/JKG
존재감을	존재감/NNG+을/JKO
알리기	알리/VV+기/ETN
위해서라도	위하/VV+아서/EC+라도/JX
완주해야	완주/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.29.2
노 후보 측 관계자는 “도중에 포기하는 일은 절대 없다”며 “회의에서도 노 후보는 반드시 끝까지 완주하겠다고 밝혔다”고 전했다.

노	노/NNP
후보	후보/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
“도중에	“/SS+도중/NNG+에/JKB
포기하는	포기/NNG+하/XSV+는/ETM
일은	일/NNG+은/JX
절대	절대/MAG
없다”며	없/VA+다/EF+”/SS+며/EC
“회의에서도	“/SS+회의/NNG+에서/JKB+도/JX
후보는	후보/NNG+는/JX
반드시	반드시/MAG
끝까지	끝/NNG+까지/JX
완주하겠다고	완주/NNG+하/XSV+겠/EP+다고/EC
밝혔다”고	밝히/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.29.3
그러나 민주당 등에서는 “야권의 힘을 하나로 모아야 한나라당과 맞설 수 있다”며 사퇴를 압박하고 있는 것으로 전해졌다.

그러나	그러나/MAJ
민주당	민주당/NNP
등에서는	등/NNB+에서/JKB+는/JX
“야권의	“/SS+야권/NNG+의/JKG
힘을	힘/NNG+을/JKO
하나로	하나/NR+로/JKB
모아야	모으/VV+아야/EC
한나라당과	한나라당/NNP+과/JKB
맞설	맞서/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
사퇴를	사퇴/NNG+를/JKO
압박하고	압박/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.150.30.1
노 후보는 당초 이날 관악산 등산로 인사로 일정을 시작해 마포대교 남단에서 서울 무역항 지정 규탄 기자회견, 잠실 및 신촌 거리유세 등을 벌일 예정이었다.

노	노/NNP
후보는	후보/NNG+는/JX
당초	당초/NNG
이날	이날/NNG
관악산	관악산/NNP
등산로	등산로/NNG
인사로	인사/NNG+로/JKB
일정을	일정/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
마포대교	마포대교/NNP
남단에서	남단/NNG+에서/JKB
서울	서울/NNP
무역항	무역항/NNG
지정	지정/NNG
규탄	규탄/NNG
기자회견,	기자/NNG+회견/NNG+,/SP
잠실	잠실/NNP
및	및/MAG
신촌	신촌/NNP
거리유세	거리/NNG+유세/NNG
등을	등/NNB+을/JKO
벌일	벌이/VV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


