# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.189
metadata : {}


# id : NWRW1800000022.189.1.1
맛공이 떴다! 올림피아드 경시대회를 가다;사교육 조장 논란에도 올해 응시인원 크게 늘어

맛공이	맛공/NNP+이/JKS
선발과정에서	선발/NNG+과정/NNG+에서/JKB
지방	지방/NNG
학생을	학생/NNG+을/JKO
우대하고,	우대/NNG+하/XSV+고/EC+,/SP
사교육을	사교육/NNG+을/JKO
홈페이지나	홈페이지/NNG+나/JC
출판	출판/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
정보를	정보/NNG+를/JKO
공유하고	공유/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.18.1
최혜정 한국학부모신문 편집인은 "아이의 재능과 적성은 생각하지 않고 무조건적으로 시키는 학부모가 문제"라며 "다른 아이가 하니까 우리 아이도 올림피아드 준비를 시켜야 한다며 부화뇌동하기 보다는 아이 스스로 판단해서 결정하게 해야 한다"고 말했다.

최혜정	최혜정/NNP
한국학부모신문	한국학부모신문/NNP
편집인은	편집인/NNG+은/JX
"아이의	"/SS+아이/NNG+의/JKG
재능과	재능/NNG+과/JC
적성은	적성/NNG+은/JX
생각하지	생각/NNG+하/XSV+지/EC
않고	않/VX+고/EC
무조건적으로	무/XPN+조건/NNG+적/XSN+으로/JKB
시키는	시키/VV+는/ETM
학부모가	학부모/NNG+가/JKS
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
"다른	"/SS+다른/MMD
아이가	아이/NNG+가/JKS
하니까	하/VV+니까/EC
우리	우리/NP
아이도	아이/NNG+도/JX
올림피아드	올림피아드/NNG
준비를	준비/NNG+를/JKO
시켜야	시키/VV+어야/EC
한다며	하/VX+ㄴ다며/EC
부화뇌동하기	부화뇌동/NNG+하/XSV+기/ETN
보다는	보다/JKB+는/JX
아이	아이/NNG
스스로	스스로/MAG
판단해서	판단/NNG+하/XSV+아서/EC
결정하게	결정/NNG+하/XSV+게/EC
해야	하/VX+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


