# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.52
metadata : {}


# id : NWRW1800000022.52.1.1
[청년취업 10000명] "100전 100패 후 첫 직장 잡았어요";공학도 고건씨 "일할 수 있게 돼 행복" '잡월드' 통해 채용 잇따라… 21명째 취업

[청년취업	[/SS+청년/NNG+취업/NNG
잡월드를	잡월드/NNP+를/JKO
통해	통하/VV+아/EC
맺어진	맺어지/VV+ㄴ/ETM
여섯	여섯/NR
번째	번/NNB+째/XSN
'구직자-구인자'	'/SS+구직자/NNG+-/SO+구인자/NNG+'/SS
커플이다.	커플/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.17.1
오씨는 GPS(위성위치확인시스템)를 이용한 GIS(지리정보시스템) 응용 소프트웨어 개발자로 일하게 된다.

오씨는	오/NNP+씨/NNB+는/JX
GPS(위성위치확인시스템)를	GPS/SL+(/SS+위성/NNG+위치/NNG+확인/NNG+시스템/NNG+)/SS+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
GIS(지리정보시스템)	GIS/SL+(/SS+지리/NNG+정보/NNG+시스템/NNG+)/SS
응용	응용/NNG
소프트웨어	소프트웨어/NNG
개발자로	개발자/NNG+로/JKB
일하게	일/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.52.17.2
지오시스템 강동호 사장은 "GIS라는 흔치 않은 분야에, 고도의 전문성(컴퓨터 프로그래밍 능력)까지 요구되는 직종인데, 중소기업에 대한 (고급 두뇌 인력들의) 기피 현상 때문에 딱 맞는 인재를 구하기가 쉽지 않았다"고 말했다.

지오시스템	지오시스템/NNP
강동호	강동호/NNP
사장은	사장/NNG+은/JX
"GIS라는	"/SS+GIS/SL+이/VCP+라는/ETM
흔치	흔하/VA+지/EC
않은	않/VX+은/ETM
분야에,	분야/NNG+에/JKB+,/SP
고도의	고도/NNG+의/JKG
전문성(컴퓨터	전문/NNG+성/XSN+(/SS+컴퓨터/NNG
프로그래밍	프로그래밍/NNG
능력)까지	능력/NNG+)/SS+까지/JX
요구되는	요구/NNG+되/XSV+는/ETM
직종인데,	직종/NNG+이/VCP+ㄴ데/EC+,/SP
중소기업에	중소기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
(고급	(/SS+고급/NNG
두뇌	두뇌/NNG
인력들의)	인력/NNG+들/XSN+의/JKG+)/SS
기피	기피/NNG
현상	현상/NNG
때문에	때문/NNB+에/JKB
딱	딱/MAG
맞는	맞/VV+는/ETM
인재를	인재/NNG+를/JKO
구하기가	구하/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.18.1
인터넷을 통해 휴대전화 문자메시지 서비스를 하는 ㈜스카이온도 잡월드에서 웹디자인과 기획, 모바일 서비스 담당자 등 3명의 인재를 뽑았다.

인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
휴대전화	휴대/NNG+전화/NNG
문자메시지	문자/NNG+메시지/NNG
서비스를	서비스/NNG+를/JKO
하는	하/VV+는/ETM
㈜스카이온도	㈜/SW+스카이온/NNP+도/JX
잡월드에서	잡월드/NNP+에서/JKB
웹디자인과	웹/NNG+디자인/NNG+과/JC
기획,	기획/NNG+,/SP
모바일	모바일/NNG
서비스	서비스/NNG
담당자	담당자/NNG
등	등/NNB
3명의	3/SN+명/NNB+의/JKG
인재를	인재/NNG+를/JKO
뽑았다.	뽑/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.18.2
또 해외 영업 분야에서 일할 인재를 구하는 번역소프트웨어 서비스 업체 ㈜에버트란 역시 2명의 서류전형 합격자를 뽑고 최종 합격자를 가려내기 위한 면접 전형을 할 예정이다.

또	또/MAG
해외	해외/NNG
영업	영업/NNG
분야에서	분야/NNG+에서/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
인재를	인재/NNG+를/JKO
구하는	구하/VV+는/ETM
번역소프트웨어	번역/NNG+소프트웨어/NNG
서비스	서비스/NNG
업체	업체/NNG
㈜에버트란	㈜/SW+에버트란/NNP
역시	역시/MAG
2명의	2/SN+명/NNB+의/JKG
서류전형	서류/NNG+전형/NNG
합격자를	합격자/NNG+를/JKO
뽑고	뽑/VV+고/EC
최종	최종/NNG
가려내기	가려내/VV+기/ETN
위한	위하/VV+ㄴ/ETM
면접	면접/NNG
전형을	전형/NNG+을/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


