# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.381
metadata : {}


# id : NWRW1800000028.381.1.1
세상엔 별별 음식자격증이 다 있네!

세상엔	세상/NNG+에/JKB+ㄴ/JX
국내에	국내/NNG+에/JKB
‘채소	‘/SS+채소/NNG
&	&/SW
과일	과일/NNG
마이스터	마이스터/NNG
협회	협회/NNG
한국지부’를	한국/NNP+지부/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
일정	일정/NNG
교육	교육/NNG
과정을	과정/NNG+을/JKO
이수한	이수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
과제를	과제/NNG+를/JKO
제출하고	제출/NNG+하/XSV+고/EC
시험에	시험/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.34
자격증은 한국지부에서 주지만, 일본 본부에서도 인정하는 것이다.

자격증은	자격증/NNG+은/JX
한국지부에서	한국/NNP+지부/NNG+에서/JKB
주지만,	주/VV+지만/EC+,/SP
일본	일본/NNP
본부에서도	본부/NNG+에서/JKB+도/JX
인정하는	인정/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.35
지금까지 배출한 자격자는 총 68명.

지금까지	지금/NNG+까지/JX
배출한	배출/NNG+하/XSV+ㄴ/ETM
자격자는	자격자/NNG+는/JX
총	총/MMA
68명.	68/SN+명/NNB+./SF


# id : NWRW1800000028.381.3.36
일본에선 꽤 유명한 자격증이며, 일본에서 연예활동을 하고 있는 탤런트 윤손하도 이 자격증을 땄다고 자신의 에세이에서 밝힌 바 있다.

일본에선	일본/NNP+에서/JKB+ㄴ/JX
꽤	꽤/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
자격증이며,	자격증/NNG+이/VCP+며/EC+,/SP
일본에서	일본/NNP+에서/JKB
연예활동을	연예/NNG+활동/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
탤런트	탤런트/NNG
윤손하도	윤손하/NNP+도/JX
이	이/MMD
자격증을	자격증/NNG+을/JKO
땄다고	따/VV+았/EP+다고/EC
자신의	자신/NNG+의/JKG
에세이에서	에세이/NNG+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.381.3.37
국내에선 4과목 총 14시간의 강의를 수강하고 시험을 치르면 된다.

국내에선	국내/NNG+에서/JKB+ㄴ/JX
4과목	4/SN+과목/NNG
총	총/MMA
14시간의	14/SN+시간/NNB+의/JKG
강의를	강의/NNG+를/JKO
수강하고	수강/NNG+하/XSV+고/EC
시험을	시험/NNG+을/JKO
치르면	치르/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.38
합격률은 80%.

합격률은	합격/NNG+률/XSN+은/JX
80%.	80/SN+%/SW+./SF


# id : NWRW1800000028.381.3.39
수강료는 약 100만원.

수강료는	수강료/NNG+는/JX
약	약/MMA
100만원.	100/SN+만/NR+원/NNB+./SF


# id : NWRW1800000028.381.3.40
이 자격증 자체로만으로는 바로 취업으로 연결되긴 어렵지만, 요리연구가이거나 농산물 생산·유통 혹은 가공식품 개발 쪽 일을 하고 있는 사람들에게 전문성을 더하고 또 내세울 수 있는 데는 도움이 된다.

이	이/MMD
자격증	자격증/NNG
자체로만으로는	자체/NNG+로/JKB+만/JX+으로/JKB+는/JX
바로	바로/MAG
취업으로	취업/NNG+으로/JKB
연결되긴	연결/NNG+되/XSV+기/ETN+ㄴ/JX
어렵지만,	어렵/VA+지만/EC+,/SP
요리연구가이거나	요리/NNG+연구가/NNG+이/VCP+거나/EC
농산물	농산물/NNG
생산·유통	생산/NNG+·/SP+유통/NNG
혹은	혹은/MAG
가공식품	가공식품/NNG
개발	개발/NNG
쪽	쪽/NNB
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VA+는/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
전문성을	전문/NNG+성/XSN+을/JKO
더하고	더/MAG+하/XSV+고/EC
또	또/MAG
내세울	내세우/VV+ㄹ/ETM
수	수/NNB
데는	데/NNB+는/JX
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.41
(02)511-7191, www.vege-fru.co.kr 부르고뉴 와인 마스터 | 웬만한 일반인들도 ‘와인’이라고 하면 기본 이상의 전문 지식을 가지게 되면서, 이젠 와인 전문가연하려면 와인 중에서도 ‘특별난’ 자기 분야가 있어야 한다.

(02)511-7191,	(/SS+02/SN+)/SS+511/SN+-/SO+7191/SN+,/SP
www.vege-fru.co.kr	www/SL+./SP+vege/SL+-/SO+fru/SL+./SP+co/SL+./SP+kr/SL
부르고뉴	부르고뉴/NNP
와인	와인/NNG
마스터	마스터/NNG
|	|/SW
웬만한	웬만하/VA+ㄴ/ETM
일반인들도	일반인/NNG+들/XSN+도/JX
‘와인’이라고	‘/SS+와인/NNG+’/SS+이라고/JKQ
하면	하/VV+면/EC
기본	기본/NNG
이상의	이상/NNG+의/JKG
전문	전문/NNG
지식을	지식/NNG+을/JKO
가지게	가지/VV+게/EC
되면서,	되/VV+면서/EC+,/SP
이젠	이제/NNG+ㄴ/JX
전문가연하려면	전문가연/NNG+하/VV+려면/EC
중에서도	중/NNB+에서/JKB+도/JX
‘특별난’	‘/SS+특별나/VA+ㄴ/ETM+’/SS
자기	자기/NNG
분야가	분야/NNG+가/JKS
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.42
‘프랑스 부르고뉴 와인 협회’에서는 부르고뉴 와인 전문가 과정을 운영하면서 이수자들에게 인증서를 발급하며, 이 인증서가 있는 사람만이 ‘부르고뉴 와인 심화 과정’ 강의를 진행할 수 있는 자격을 준다.

‘프랑스	‘/SS+프랑스/NNP
부르고뉴	부르고뉴/NNP
와인	와인/NNG
협회’에서는	협회/NNG+’/SS+에서/JKB+는/JX
전문가	전문가/NNG
과정을	과정/NNG+을/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
이수자들에게	이수자/NNG+들/XSN+에게/JKB
인증서를	인증서/NNG+를/JKO
발급하며,	발급/NNG+하/XSV+며/EC+,/SP
이	이/MMD
인증서가	인증서/NNG+가/JKS
있는	있/VA+는/ETM
사람만이	사람/NNG+만/JX+이/JKS
‘부르고뉴	‘/SS+부르고뉴/NNP
심화	심화/NNG
과정’	과정/NNG+’/SS
강의를	강의/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
자격을	자격/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.43
한국에선 유일하게 와인아카데미(WSApdp) 이인순 대표강사가 지난 6월 자격을 취득했다.

한국에선	한국/NNP+에서/JKB+ㄴ/JX
유일하게	유일/NNG+하/XSA+게/EC
와인아카데미(WSApdp)	와인아카데미/NNP+(/SS+WSApdp/SL+)/SS
이인순	이인순/NNP
대표강사가	대표/NNG+강사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
자격을	자격/NNG+을/JKO
취득했다.	취득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.381.3.44
이씨는 자신이 배운 걸 토대로 한국에서 부르고뉴 와인 전문가 과정을 개설했으며, 수료한 사람에게는 부르고뉴에서 직접 제작한 인증서를 발급한다.

이씨는	이/NNP+씨/NNB+는/JX
자신이	자신/NNG+이/JKS
배운	배우/VV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
토대로	토대/NNG+로/JKB
한국에서	한국/NNP+에서/JKB
부르고뉴	부르고뉴/NNP
와인	와인/NNG
전문가	전문가/NNG
과정을	과정/NNG+을/JKO
개설했으며,	개설/NNG+하/XSV+았/EP+으며/EC+,/SP
수료한	수료/NNG+하/XSV+ㄴ/ETM
사람에게는	사람/NNG+에게/JKB+는/JX
부르고뉴에서	부르고뉴/NNP+에서/JKB
직접	직접/MAG
제작한	제작/NNG+하/XSV+ㄴ/ETM
인증서를	인증서/NNG+를/JKO
발급한다.	발급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.45
부르고뉴 와인의 재배 환경과 지역별 특징, 역사를 이해하고 와인을 시음해 봄으로써 부르고뉴 와인에 대해 체계적인 학습을 진행한다.

부르고뉴	부르고뉴/NNP
와인의	와인/NNG+의/JKG
재배	재배/NNG
환경과	환경/NNG+과/JC
지역별	지역/NNG+별/XSN
특징,	특징/NNG+,/SP
역사를	역사/NNG+를/JKO
이해하고	이해/NNG+하/XSV+고/EC
와인을	와인/NNG+을/JKO
시음해	시음/NNG+하/XSV+아/EC
봄으로써	보/VX+ㅁ/ETN+으로써/JKB
와인에	와인/NNG+에/JKB
대해	대하/VV+아/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
학습을	학습/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.46
강의는 총 4주간 주 1회 2시간으로 진행되며 프랑스 협회의 공식 교재를 사용해 현지와 같은 수준의 교육을 제공한다고 와인아카데미 쪽은 설명한다.

강의는	강의/NNG+는/JX
총	총/MMA
4주간	4/SN+주간/NNB
주	주/NNG
1회	1/SN+회/NNB
2시간으로	2/SN+시간/NNB+으로/JKB
진행되며	진행/NNG+되/XSV+며/EC
프랑스	프랑스/NNP
협회의	협회/NNG+의/JKG
공식	공식/NNG
교재를	교재/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
현지와	현지/NNG+와/JKB
같은	같/VA+은/ETM
수준의	수준/NNG+의/JKG
교육을	교육/NNG+을/JKO
제공한다고	제공/NNG+하/XSV+ㄴ다고/EC
와인아카데미	와인아카데미/NNP
쪽은	쪽/NNB+은/JX
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.47
수강료는 60만원.

수강료는	수강료/NNG+는/JX
60만원.	60/SN+만/NR+원/NNB+./SF


# id : NWRW1800000028.381.3.48
(02)2039-5235, www.wsapdp.com

(02)2039-5235,	(/SS+02/SN+)/SS+2039/SN+-/SO+5235/SN+,/SP
www.wsapdp.com	www/SL+./SP+wsapdp/SL+./SP+com/SL


