# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.6
metadata : {}


# id : NWRW1800000025.6.1.1
[21세기 한국 건축가 나의 건축을 말한다]김인철 교수의 중앙대 도서관 리모델링

[21세기	[/SS+21/SN+세기/NNG

# id : NWRW1800000025.6.16.1
도서관 문을 나섰다.

도서관	도서관/NNG
문을	문/NNG+을/JKO
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.6.16.2
건물의 외양은 캠퍼스를 밝힌 빛만 남긴 채 풍경 속에 희미하게 물러났다.

건물의	건물/NNG+의/JKG
외양은	외양/NNG+은/JX
캠퍼스를	캠퍼스/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
빛만	빛/NNG+만/JX
남긴	남기/VV+ㄴ/ETM
채	채/NNB
풍경	풍경/NNG
속에	속/NNG+에/JKB
희미하게	희미하/VA+게/EC
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.16.3
‘건축이 땅을 바꿀 수 없다’고 이야기하는 독락당의 시선이 거기에 있었다.

‘건축이	‘/SS+건축/NNG+이/JKS
땅을	땅/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
없다’고	없/VA+다/EF+’/SS+고/JKQ
이야기하는	이야기/NNG+하/XSV+는/ETM
독락당의	독락당/NNP+의/JKG
시선이	시선/NNG+이/JKS
거기에	거기/NP+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.6.17.1
● 김인철 교수는

●	●/SW
김인철	김인철/NNP
교수는	교수/NNG+는/JX


# id : NWRW1800000025.6.18.1
△1972년 홍익대 건축학과 졸업 △1981년 국민대 건축학과 석사 △1971∼1985년 엄덕문 건축사사무소 근무 △1986년 인제건축 대표 △1996년 아르키움 대표 △2003년 중앙대 교수 △2007년 김수근문화상, 한국건축문화대상, 건축가협회상(경기 파주시 웅진씽크빅 사옥) △2008년 건축가협회상, 서울시건축상 대상(어반 하이브)

△1972년	△/SW+1972/SN+년/NNB
홍익대	홍익대/NNP
건축학과	건축학과/NNG
졸업	졸업/NNG
△1981년	△/SW+1981/SN+년/NNB
국민대	국민대/NNP
석사	석사/NNG
△1971∼1985년	△/SW+1971/SN+∼/SO+1985/SN+년/NNB
엄덕문	엄덕문/NNP
건축사사무소	건축사/NNG+사무소/NNG
근무	근무/NNG
△1986년	△/SW+1986/SN+년/NNB
인제건축	인제건축/NNP
대표	대표/NNG
△1996년	△/SW+1996/SN+년/NNB
아르키움	아르키움/NNP
△2003년	△/SW+2003/SN+년/NNB
중앙대	중앙대/NNP
교수	교수/NNG
△2007년	△/SW+2007/SN+년/NNB
김수근문화상,	김수근/NNP+문화/NNG+상/NNG+,/SP
한국건축문화대상,	한국/NNP+건축/NNG+문화/NNG+대상/NNG+,/SP
건축가협회상(경기	건축가/NNG+협회상/NNG+(/SS+경기/NNP
파주시	파주시/NNP
웅진씽크빅	웅진씽크빅/NNP
사옥)	사옥/NNG+)/SS
△2008년	△/SW+2008/SN+년/NNB
건축가협회상,	건축가/NNG+협회상/NNG+,/SP
서울시건축상	서울시/NNP+건축/NNG+상/NNG
대상(어반	대상/NNG+(/SS+어반/NNP
하이브)	하이브/NNP+)/SS


